id,mutation_rate,start_time,selection_coefficient,birth_rate_clone1,birth_rate_clone2,death_rate_clone1,death_rate_clone2,growth_rate_clone1,growth_rate_clone2,push_power,set
1,30,4,2,1,3,0,0,1,3,1,1
2,20,5,2,1,3,0,0,1,3,1,1
3,10,6,2,1,3,0,0,1,3,1,1
4,30,6,2,1,3,0,0,1,3,1,1
5,20,6,3,1,4,0,0,1,4,1,1
6,10,6,3,1,4,0,0,1,4,1,1
7,10,7,3,1,4,0,0,1,4,1,1
8,20,7,3,1,4,0,0,1,4,1,1
9,30,7,3,1,4,0,0,1,4,1,1
10,10,8,4,1,5,0,0,1,5,1,1
11,20,8,4,1,5,0,0,1,5,1,1
12,30,9,4,1,5,0,0,1,5,1,1
13,30,9,5,1,6,0,0,1,6,1,1
14,10,6,2,1,3,0.2,0.2,0.8,2.8,1,2
15,20,8,2,1,3,0.3,0.3,0.7,2.7,1,2
16,25,10,2,1,3,0.4,0.4,0.6,2.6,1,2
17,10,15,3,1,4,0.5,0.5,0.5,3.5,1,2
18,20,13,3,1,4,0.5,0.5,0.5,3.5,1,2
19,10,15,2,1,3,0.6,0.6,0.4,2.4,1,2
20,10,20,3,1,4,0.6,0.6,0.4,3.4,1,2
21,15,20,2,1,3,0.7,0.7,0.3,2.3,1,2
22,25,20,2,1,3,0.7,0.7,0.3,2.3,1,2
23,10,20,1,1,2,0.8,0.8,0.2,1.2,1,2
24,10,25,1,1,2,0.8,0.8,0.2,1.2,1,2
25,10,7,4,1,5,0,0,1,5,0.05,3
26,10,6,2,1,3,0,0,1,3,0.05,3
27,10,7,3,1,4,0,0,1,4,0.2,3
28,10,9,4,1,5,0,0,1,5,0.2,3
29,10,7,4,1,5,0,0,1,5,0.4,3
30,10,6,3,1,4,0,0,1,4,0.4,3
31,10,8,3,1,4,0,0,1,4,0.6,3
32,10,6,3,1,4,0,0,1,4,0.6,3
33,10,8,4,1,5,0,0,1,5,0.8,3
34,10,6,3,1,4,0,0,1,4,0.8,3
