sim_id,figure,seed,grid,clone_id,mutation_rate,birth_rate,death_rate,growth_rate,start_time,kill_time,push_power
1,Fig2,1523152244,400,1,10,1,0,1,0,0,400
1,Fig2,1523152244,400,2,10,1,0,1,4,0,400
2,Fig2,1523146146,400,1,10,1,0,1,0,0,400
2,Fig2,1523146146,400,2,10,4,0,4,8,0,400
3,Fig2,1522781227,400,1,10,1,0,1,0,0,10
3,Fig2,1522781227,400,2,10,1,0,1,4,0,10
4,Fig2,1525365859,400,1,10,1,0,1,0,0,10
4,Fig2,1525365859,400,2,10,3,0,3,8,0,10
5,FigS7,1534780015,400,1,10,1,0,1,0,0,10
5,FigS7,1534780015,400,2,10,1.5,0,1.5,6,0,10
6,FigS4,1523146146,400,1,10,1,0,1,0,0,100
6,FigS4,1523146146,400,2,10,4,0,4,8,0,400
7,FigS2,1548201328,400,1,10,1,0.8,0.2,0,0,400
7,FigS2,1548201328,400,2,10,1,0.2,0.8,35,0,400
8,FigS2,1548202534,400,1,10,1,0.9,0.1,0,0,400
8,FigS2,1548202534,400,2,10,1,0.3,0.7,100,0,400
11,FigS8,1523152244,400,1,10,1,0,1,0,13,400
11,FigS8,1523152244,400,2,10,1,0,1,4,13,400
22,FigS8,1523146146,400,1,10,1,0,1,0,10,400
22,FigS8,1523146146,400,2,10,4,0,4,8,10,400
33,FigS8,1522781227,400,1,10,1,0,1,0,44,10
33,FigS8,1522781227,400,2,10,1,0,1,4,44,10
44,FigS8,1525365859,400,1,10,1,0,1,0,21,10
44,FigS8,1525365859,400,2,10,3,0,3,8,21,10
111,FigS2,1523152244,400,1,10,1,0.2,0.8,0,0,400
111,FigS2,1523152244,400,2,10,1,0.2,0.8,4,0,400
112,FigS2,1523152244,400,1,10,1,0.4,0.6,0,0,400
112,FigS2,1523152244,400,2,10,1,0.4,0.6,4,0,400
113,FigS2,1523152244,400,1,10,1,0.6,0.4,0,0,400
113,FigS2,1523152244,400,2,10,1,0.6,0.4,4,0,400
114,FigS2,1523152244,400,1,10,1,0.8,0.2,0,0,400
114,FigS2,1523152244,400,2,10,1,0.8,0.2,4,0,400
