"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
192176906,2.62962962962963,576,20,2.20816762886095,13,18.1714421191055,0.5,1,7851,14320,80,1259,0.0124969535572889
791496214,3.63333333333333,491,20,2.95600189784868,13,16.8616578109828,0.5,1,7182,14790,534,731,0.0088383146187306
56070152,3.68421052631579,707,20,3.42275566043699,13,16.2970510561964,0.5,1,9759,14003,201,1130,0.00586269685011236
356503192,3.76315789473684,555,20,4.92509389266422,13,15.8328441928144,0.5,1,15010,9133,589,798,0.018366656692032
823275928,3.77922077922078,220,20,3.16895472662983,13,16.5697896045837,0.5,1,14371,8041,773,220,0.00760929195337499
180135495,3.84,436,20,3.15432104477475,13,16.7651254053925,0.5,1,10514,11214,469,846,0.0069570669288
518480415,3.8876404494382,419,20,1.79488481458158,13,19.6608167430251,0.5,1,1587,24937,0,1292,0.01000078371015
951165912,4.02040816326531,366,20,2.81926686004739,13,17.2307930193086,0.5,1,3265,17208,302,963,0.00602467651566185
351134023,4.0375,407,20,3.55642421326633,13,16.201219780085,0.5,1,3066,17905,310,800,0.0107954486826207
562955600,4.59770114942529,430,20,2.51627428270086,13,17.2034401778736,0.5,1,13190,9183,311,774,0.01055155150868
229031225,4.63513513513514,506,20,2.83952505275262,13,17.5115869591506,0.5,1,11569,14071,155,1014,0.00828393020903504
435444294,4.70886075949367,431,20,2.48699357183553,13,17.7348476531701,0.5,1,5209,15822,27,1043,0.00742087139072
241997740,4.74747474747475,509,20,3.03258224060263,13,17.0620668658393,0.5,1,7091,13346,403,865,0.00980313976330907
434441603,4.76388888888889,588,20,1.90539100211631,13,18.1185162144553,0.5,1,18194,6078,268,821,0.01321842716472
522877297,4.83720930232558,371,20,2.83038959745552,13,17.672701536991,0.5,1,7545,12553,732,537,0.00774601266299381
270910228,4.8953488372093,594,20,1.89164075391371,13,18.9682905338515,0.5,1,6498,14597,11,1218,0.010853024408928
