"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
380776457,0.617647058823529,93,10,3.08084713686559,4.65853779754787,8.02067853032383,0,1,5771,17693,86,251,0.00735329623468747
236073167,0.746031746031746,79,10,4.22981592728974,8.33669114218155,10.1988030809937,0,1,23424,4954,179,81,0.0107556881468705
672023619,1,40,10,4.73397581803881,3.61849586211997,5.83250643671977,0,1,121,26051,0,291,0.0128232744652111
719243931,1.03174603174603,109,10,4.41320752398687,9.05866618856612,11.4660335416486,0,1,1854,21913,1,352,0.00629536909417961
501764067,1.07272727272727,0,10,3.05887416948778,25.2569082427271,10.0520545660773,0,1,27521,0,372,0,0.0203593656513835
465554040,1.07575757575758,187,10,4.80201416924792,6.81342640165064,8.98112929791621,0,1,13678,9732,74,324,0.0118129558709824
41644716,1.10169491525424,90,10,3.62012652458808,7.93611511728211,10.0035037366808,0,1,27342,1387,242,102,0.00815072139851484
236016078,1.1038961038961,88,10,4.72015444563104,5.58301237802656,7.61107315524424,0,1,593,24337,0,389,0.00855447388666056
33497572,1.125,21,10,3.50879115288608,11.3131419791416,12.4601628575162,0,1,27914,37,286,21,0.00647105069639334
702675331,1.13793103448276,113,10,1.98445853297316,5.49877454125667,9.62634535112572,0,1,17202,8179,169,156,0.0228990463014445
16000732,1.13846153846154,176,10,3.24259936831387,7.34726784784258,10.0434593862954,0,1,21277,5275,74,319,0.00700421605595063
906246967,1.15492957746479,76,10,2.96955706096082,3.80203034598587,7.83810800571919,0,1,1939,25510,0,370,0.00824814180822087
149521190,1.171875,40,10,3.07809573878785,5.35855586950422,8.75641668470371,0,1,458,25800,0,313,0.00429148601799944
665985793,1.17741935483871,97,10,4.52390458307563,4.74315523460516,7.08310067365959,0,1,2432,23577,1,367,0.0136021448135721
289159550,1.18918918918919,53,10,4.7291006647355,4.2298523342489,6.22024429377154,0,1,139,28601,0,370,0.0253776078471407
933350779,1.1969696969697,46,10,2.35522631457262,2.86987537147341,7.17021626028442,0,1,1715,24486,2,305,0.00869025918644883
124958802,1.22058823529412,69,10,4.32974849081752,3.00349560983804,5.18158092877958,0,1,308,26429,0,353,0.00557878177144058
476785903,1.26153846153846,28,10,3.9100847198767,9.05652557166202,10.4753594304854,0,1,28125,258,252,28,0.00337954523917455
144815708,1.26415094339623,157,10,4.34398840943893,5.87920785851316,8.58355289457525,0,1,19090,9157,64,302,0.0102365608083616
577296557,1.26666666666667,57,10,4.85668845722412,9.98496280457712,10.3393044462577,0,1,29324,9,231,57,0.007686846234019
41422509,1.27692307692308,0,10,2.77953174473647,28.2335363673642,10.2485858221187,0,1,28155,0,325,0,0.00796030814956765
582578011,1.28787878787879,11,10,4.99134941614764,5.07557294118772,7.60032918587856,0,1,23,29407,0,313,0.0101494539339261
710077154,1.3,85,10,1.79089557319155,7.55484628818718,12.3009320225546,0,1,19204,7441,162,140,0.0109703908019634
855455480,1.3,12,10,4.63196877633576,1.81351119226835,4.18145851157991,0,1,7,27996,0,309,0.00949491281482373
655745419,1.31147540983607,55,10,2.68659803668941,3.4671494367032,7.40325986191583,0,1,2798,23428,7,334,0.00749102488972596
944668354,1.31481481481481,0,10,4.33961966162158,13.3892753491197,10.4681554043035,0,1,27785,0,357,0,0.00331316131483363
192098406,1.32142857142857,34,10,3.28857476925581,3.93850108164543,7.08190210120028,0,1,59,25999,0,328,0.00685193512777697
457186417,1.32258064516129,45,10,3.65597132402371,1.82452896271576,5.34737242361623,0,1,281,25574,0,338,0.00889956962180489
434790783,1.32307692307692,0,10,3.42471562402795,11.789643175218,10.8275747213268,0,1,29455,0,288,0,0.00599642106875095
217767204,1.32352941176471,44,10,2.35201225856548,2.91400427725066,7.35074676119496,0,1,715,24220,0,309,0.00924384540866252
60523697,1.32835820895522,24,10,3.64775446258374,6.08790048237556,9.54617657639371,0,1,605,26741,1,306,0.0060551984850122
404560571,1.359375,19,10,3.73454921468921,2.35994508840674,5.71958547358314,0,1,671,26724,0,303,0.00567196403777546
339691938,1.37313432835821,53,10,3.59661364203444,3.12084726280636,6.08094670670195,0,1,338,25861,0,326,0.00575305717823523
243855232,1.375,0,10,2.59473403400595,19.0457045628452,12.8035209300355,0,1,28508,0,256,0,0.0158332658519974
880965641,1.3768115942029,28,10,4.49168530893036,4.32418377073096,6.50587624013605,0,1,328,26793,0,299,0.00371143733776177
420681350,1.38095238095238,0,10,3.44602101624382,2.20574950109913,5.72908718395319,0,1,26,28187,0,285,0.0122255953968659
615196659,1.390625,41,10,4.37545696628517,1.98553159575986,5.17980349608553,0,1,271,27954,0,296,0.0125532336156804
302067868,1.39393939393939,39,10,2.65939826943964,4.17198819864604,7.90704892679751,0,1,1999,22370,0,354,0.00642641015468485
807067017,1.40540540540541,9,10,2.95106694891715,1.25157687737216,5.08190412756912,0,1,35,27625,0,265,0.00799125344226311
677772409,1.41791044776119,64,10,2.5102596743642,8.78618137473604,9.75378560041598,0,1,27275,11,218,64,0.0100416996089685
373034463,1.42857142857143,40,10,4.65573076845874,2.08697597389902,4.59592895845626,0,1,135,28265,0,305,0.0132904020834351
