"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
524545858,0.595238095238095,98,10,3.45916075190273,7,10.7356625489994,0,0.2,3014,23574,6,365,0.0034056223711847
659908772,0.681818181818182,133,10,3.30034128796104,7,10.7720219928578,0,0.2,7576,16811,114,264,0.00432551304496745
644595309,0.702380952380952,145,10,2.82736989688261,7,11.7365772638454,0,0.2,10484,14781,12,302,0.0223794125952665
374451451,0.71264367816092,126,10,3.69342008376391,7,10.4151056893451,0,0.2,4039,20873,3,360,0.00455274239891699
249443030,0.756756756756757,122,10,3.79354395207994,7,10.4774288406189,0,0.2,8595,17622,27,293,0.00620589794167285
276988954,0.772151898734177,101,10,3.77778763720389,7,9.96792425008196,0,0.2,4463,22511,10,346,0.0101972487388472
213570420,0.782051282051282,99,10,4.08286049076544,7,10.3038818522693,0,0.2,3623,20670,5,343,0.00416090502447488
28869460,0.8125,107,10,4.18955696035187,7,9.50288299115162,0,0.2,4783,20793,14,317,0.0026010250421281
66411656,0.824324324324324,15,10,4.95066724137509,7,9.87993450906568,0,0.2,170,28543,0,364,0.0239764164623283
386257452,0.839080459770115,33,10,2.27523900622551,7,11.9700525385576,0,0.2,986,23281,4,299,0.00915659737650041
989497350,0.839506172839506,135,10,4.91186416722482,7,9.19030539010961,0,0.2,2316,22797,6,342,0.00498200570527242
523376131,0.873417721518987,138,10,3.90492869170257,7,10.13482718624,0,0.2,2431,21875,2,398,0.0100582043351739
158667108,0.873417721518987,43,10,3.74674318841995,7,10.3067013713028,0,0.2,861,24466,1,314,0.00369194150147283
105421210,0.880952380952381,98,10,3.79830038322112,7,10.4716940583068,0,0.2,6554,19500,30,287,0.00339231390247717
279575096,0.888888888888889,80,10,4.79588233992548,7,9.51481098177988,0,0.2,78,26294,0,334,0.00762515903670287
88910235,0.896103896103896,73,10,3.05099159304778,7,11.6098330658121,0,0.2,1011,26320,1,345,0.00114361509843964
548413042,0.896551724137931,123,10,4.19162217782947,7,9.73763925909047,0,0.2,1994,24893,0,373,0.0141105711577963
249014732,0.902439024390244,77,10,2.92090537195441,7,11.4950147405938,0,0.2,5477,21194,8,314,0.00674136708233853
947528358,0.911392405063291,124,10,3.580766618128,7,10.7555552750659,0,0.2,3354,21095,3,363,0.00279393583228126
409263194,0.921052631578947,131,10,3.15925188879374,7,11.5071708183906,0,0.2,4650,21591,20,393,0.00149233163167814
