"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
29065024,0.704225352112676,55,10,4.58609521802898,3.00960491099663,5.47184011132335,0,0.822450656259315,225,27610,0,319,0.0276709997197507
426477359,0.710144927536232,0,10,1.55449393167651,13.5939418375936,11.4908985056895,0,0.577051238094396,29837,0,321,0,0.0118980315414138
693542477,0.73015873015873,16,10,4.09246931472473,1.27894209817183,4.0219937618533,0,0.578709141444732,40,29248,0,309,0.0062976781523412
325451988,0.815384615384615,160,10,2.42677884804973,6.72028520100061,9.86014775409778,0,0.604673222450473,27257,746,167,161,0.00493111483075721
765179712,0.819444444444444,12,10,2.15320689511735,2.60748591046766,6.80033770722525,0,0.986296980029028,1251,26177,4,333,0.0161891030112746
744431510,0.838235294117647,109,10,3.59532452984454,8.95756052441967,11.113562911118,0,0.994898959514805,25865,2903,130,170,0.0142242822540148
31568165,0.863636363636364,80,10,2.53670821560013,5.21549122188431,9.6310228758657,0,0.992917416589902,21928,6799,202,147,0.00624245642245029
36740317,0.873239436619718,29,10,3.23573185564514,2.91689002440022,6.46746500701601,0,0.317380132912618,638,25897,0,339,0.00279424043053381
61660225,0.904109589041096,115,10,4.36084268002398,9.06267454037307,11.8787838589072,0,0.58877004607428,3600,21468,4,390,0.00491233601533023
776732194,0.91304347826087,67,10,4.07095359456633,5.75787914208653,8.49363578865413,0,0.712728833783573,758,26005,0,336,0.00443096393454042
981916492,0.92,87,10,4.88628822367981,4.06026409848405,6.11522762651309,0,0.669124651954194,512,27304,0,338,0.0176467885005202
340090027,0.943661971830986,41,10,4.25511944679701,3.2512017145501,5.86577731821714,0,0.26942629260347,183,26495,0,322,0.00916716285741313
221510999,0.947368421052632,23,10,3.22516819054927,6.30273959754339,9.55568196859406,0,0.406244014684481,1245,24407,11,319,0.00788833529623793
211668686,0.955882352941177,29,10,2.99547409920413,1.87204400741258,5.23516831136643,0,0.603973548989121,102,27068,0,310,0.00948558427613537
281055189,0.971428571428571,26,10,4.29630312334863,5.32080782018267,8.06820232426158,0,0.432981305005624,870,25727,9,315,0.00370387968719867
361368775,1,41,10,2.75957123627556,3.42758428572368,7.02309066156241,0,0.979391542365534,235,26573,0,348,0.010907535109509
857632292,1,29,10,4.88472710569651,1.16317209459699,3.12957064757526,0,0.858000399772893,40,27296,0,321,0.0164760451472032
530021620,1.01315789473684,61,10,2.12675470109346,4.21123174317812,9.40582194621151,0,0.49295909119982,924,25272,0,310,0.00680134951903441
698847573,1.01388888888889,91,10,1.89655377979739,4.70828838646195,10.018369963235,0,0.526764962585637,17057,10966,27,264,0.003365566783316
39267870,1.01428571428571,0,10,1.89480551281534,2.25677190955755,7.13951563079642,0,0.583267762577757,77,28189,0,343,0.00276412117175282
168861791,1.01639344262295,144,10,3.70417913422493,6.45041149681909,9.07104183406928,0,0.354923580905054,15286,11637,45,310,0.00371641737462694
549301798,1.02739726027397,93,10,1.47015339953737,5.82968037865971,12.2413373646231,0,0.28185723663656,24735,2630,152,104,0.00880878060501677
166351305,1.02816901408451,25,10,4.15940628748,1.92145254571768,4.1789442462193,0,0.638145479877791,67,28569,0,319,0.00999371032816349
417379758,1.03125,81,10,4.06185292273735,7.79775186053747,9.98763127195992,0,0.6286208455161,27688,2060,212,81,0.00313968547420499
418025492,1.05633802816901,27,10,3.21103338099657,5.13506438715335,8.56227738377027,0,0.49034491734661,158,25750,0,281,0.00415925215275623
492056621,1.07142857142857,21,10,2.04234458374218,5.47984980210651,10.3262148890428,0,0.799067110651078,16707,8190,261,21,0.00459683643573001
919200115,1.07692307692308,58,10,3.36612100550609,4.89844885190517,8.1777642702266,0,0.618994043847276,1205,25225,1,385,0.00162283670801165
633452274,1.08571428571429,32,10,2.91014689889972,5.76109407133048,9.85500500303352,0,0.705755448355493,1108,26036,5,258,0.00953017419837474
477960074,1.10606060606061,6,10,2.94831619232014,2.35377252212503,5.99966997054983,0,0.692464710690042,188,25985,0,327,0.0117672374583619
617193886,1.11538461538462,50,10,2.97358608968683,4.23298146316973,7.83647629500886,0,0.518482943330167,361,28452,0,277,0.00295012963350043
457876828,1.12676056338028,17,10,3.934809362908,3.15373066345913,6.10910160126443,0,0.613826794786298,84,29430,0,252,0.0120463626701268
831611821,1.13157894736842,110,10,4.06084104446989,6.48547429188841,8.88212359447588,0,0.57680896162832,7843,19072,78,315,0.0143113515531692
201161134,1.13636363636364,36,10,4.64529764964551,3.93990608112319,6.30335071315729,0,0.832518857225407,133,27432,0,308,0.011339459269936
374007663,1.14084507042254,48,10,3.96877941988636,4.14122245712503,6.91461266204709,0,0.779081152109752,947,25606,0,307,0.00657661065488997
42051836,1.14666666666667,96,10,3.13568012318522,8.3104300053544,11.1534210074637,0,0.692101328091714,6035,19037,8,367,0.0155736386001901
503753140,1.14864864864865,30,10,3.99430958480706,2.14797674750052,4.4777972049748,0,0.468145395256457,60,26769,0,279,0.0133143134847251
706036514,1.15789473684211,63,10,1.6793931624603,3.63244245944586,9.33839232486935,0,0.681907440595347,9371,19208,9,285,0.0115154608301562
515112741,1.16666666666667,46,10,3.05254540088685,5.67390588408347,9.19865309195768,0,0.535715263443727,1087,27903,0,304,0.0040582446804497
388848489,1.17142857142857,101,10,2.24107570157864,6.10826378088408,10.3071474056672,0,0.987450184642747,14284,10799,144,149,0.0340868326100088
599240258,1.17910447761194,79,10,4.56642210420611,10.0102375193954,12.2776032765877,0,0.705931619203793,13194,12999,92,261,0.00557200954905606
98152124,1.18055555555556,43,10,4.97741046928199,3.48992620244187,5.48219181126594,0,0.453419496928898,135,25264,0,268,0.00430630788598393
344556666,1.19444444444444,0,10,2.89529937179537,1.38497934511002,5.34599421857753,0,0.983707195773934,24,27561,0,354,0.0148508038290092
699509182,1.2,31,10,3.70806423934776,4.37209495125272,6.94132723780309,0,0.667173006731366,262,27813,0,326,0.00336556678331601
322123750,1.20547945205479,42,10,2.59563393906112,2.51320398686422,6.40545822342019,0,0.634786331630591,566,25714,0,304,0.0097132750378932
788865840,1.20833333333333,12,10,4.47477118296164,1.73483108626616,4.13477771562689,0,0.689183906112994,18,28833,0,257,0.00503995509313523
708718535,1.21621621621622,95,10,1.65384893520992,4.86446266198618,9.84426961839693,0,0.775690589207395,16990,8064,140,189,0.00830902962425171
892705584,1.22222222222222,9,10,3.34366355445147,3.90111710853785,6.97914174091116,0,0.346014908305811,161,29317,0,241,0.0189799936756969
980562603,1.234375,63,10,1.81593327424694,6.8134569164806,10.0412883263597,0,0.508381869872871,29496,213,210,63,0.0128406984931021
952561226,1.23684210526316,46,10,4.973969490836,4.387335814062,6.56837473676728,0,0.707972523759439,403,29058,0,316,0.0215935702954637
491109917,1.24324324324324,44,10,2.97464233105282,5.08949645444378,8.10286182081925,0,0.821572204651662,1669,24958,3,303,0.00397482452020647
886650275,1.2463768115942,0,10,3.80527168004673,11.9827870673861,9.72165464478659,0,0.723037971497092,27441,0,291,0,0.0090245966123062
82724067,1.25,54,10,3.8141953120784,9.12029570108591,11.7611342765651,0,0.71412038964463,1912,24828,1,354,0.00732769925773484
627033315,1.25396825396825,42,10,4.82857096348982,7.97017735971669,10.3439709827699,0,0.365349001803049,28939,435,178,42,0.0102765840918149
4092171,1.26027397260274,84,10,4.62338301172418,8.70341950821171,10.6890058343882,0,0.634983775969341,16107,8604,228,139,0.00205300793632506
592874353,1.26666666666667,53,10,3.54042415754665,7.97048119651752,10.7507500400243,0,0.799068584832168,1792,23475,0,353,0.0121952302266039
281275403,1.27272727272727,0,10,1.72039569058038,2.41777527400199,8.95886148640338,0,0.524866731977661,123,26367,0,258,0.00401209415385064
638348251,1.28985507246377,123,10,2.15423707714113,6.22571747810561,10.9086951068442,0,0.704094789857662,14080,12438,96,268,0.0189758574224023
626420181,1.296875,90,10,2.35437190574566,5.78397017294103,9.73596535557066,0,0.573207310593478,20019,5046,228,106,0.00680592393959459
195246141,1.29850746268657,71,10,4.1370998786194,6.31323028452916,8.50088942199771,0,0.623401262076232,13214,14540,127,248,0.0172047312926569
319004132,1.3,109,10,3.05556128846506,7.29498116210688,10.3387274883932,0,0.381422090790747,25081,1920,214,147,0.0135309321507027
609543882,1.30882352941176,33,10,3.38822436989307,3.8712871826567,8.13859763030161,0,0.724013675795721,972,25525,1,307,0.00368430502218022
313747415,1.31818181818182,0,10,2.63750256451618,10.1564172329103,9.48407456266365,0,0.592565141795132,28760,0,331,0,0.00880231590756959
2933577,1.32432432432432,0,10,4.89705297341791,11.2464376002216,11.2008140171223,0,0.658206509475405,28042,0,291,0,0.0166595555774142
557209530,1.328125,8,10,1.81234445437903,4.91896857198535,9.93213790369055,0,0.591394412348331,2781,22440,0,320,0.017266261780532
731202530,1.33333333333333,40,10,1.814560076658,2.05887339702953,8.41007331809024,0,0.684250177396865,3329,21615,5,327,0.00754394969543286
942071160,1.33333333333333,23,10,3.45049958960403,2.86145478519057,6.60961210869995,0,0.444977621858962,78,26246,0,354,0.013037913060585
903336731,1.33823529411765,43,10,2.45689233651578,10.1280858250852,11.3088503461425,0,0.360793326772063,28101,2,225,43,0.0135070550604574
880475446,1.34285714285714,16,10,2.18299025421634,2.99904220428034,7.59484582410022,0,0.403790646491908,2867,21904,31,268,0.00839977592138532
173673776,1.34722222222222,23,10,2.46519004511454,3.75558151354961,8.00462512442713,0,0.903158007042433,1132,26780,2,350,0.0191804093818914
631046373,1.34782608695652,0,10,3.00388186192125,1.78134635429019,5.70312078075483,0,0.364047381160613,57,26776,0,311,0.00808850146655145
188436363,1.34782608695652,51,10,2.86937183964514,4.34170637596406,8.69143802980644,0,0.528729910089465,2412,25322,2,345,0.00730848358860238
531774380,1.35211267605634,51,10,2.28047063088121,5.15534514440357,9.93711951052788,0,0.917242701021598,9079,16256,78,241,0.0192893938080984
534002895,1.35294117647059,56,10,3.35881814356444,6.97044239080379,9.89830658531146,0,0.346527549792573,624,25957,0,324,0.00435056993132749
706182787,1.36,130,10,2.75308940153662,2.95930862804083,6.87739564849142,0,0.860240330051493,1744,27026,0,358,0.0189190499573469
