"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
825205322,148.932870784122,0,25,3.94852625075243,27.3698848296858,14.1371373936616,0.182844482586957,1,29821,0,926,0,0.0135216213126049
173391948,150.632001911944,0,25,4.35691180174877,17.9893462512686,15.6878265950789,0.144441481568267,1,28286,0,857,0,0.0128242798361057
865298978,162.483845350853,0,25,3.74923273080722,24.8811136453197,11.2436971566821,0.0781581630541099,1,28811,0,977,0,0.0123064209860996
61616101,171.201635506207,641,25,3.75336600450599,17.6959825867253,21.2862897720898,0.632313896532526,1,1033,23445,0,1662,0.00750067295453929
690069872,171.994185948247,401,25,4.17466042651539,13.5242982594917,17.0590889046687,0.78990745874372,1,10,26918,0,1350,0.011120445496826
596742628,179.259588307014,188,25,4.35649501672613,7.85920721264952,10.4221082068007,0.319357185467507,1,97,27944,0,1413,0.00832171136700278
968437646,183.352120249535,99,25,2.84104694445994,2.65889404995049,7.15344422315376,0.262134754834218,1,296,26303,0,1156,0.0127926929399577
240826944,185.555921489992,0,25,2.6131404386901,14.0452887886966,12.1175041063434,0.203852687150212,1,28082,0,843,0,0.0117319389648368
843902666,185.617887069108,119,25,2.81892048562738,12.5734938025665,13.2470928072973,0.167381599740611,1,28366,27,785,119,0.00726498611405004
138716577,185.73906428105,0,25,1.22163878137687,27.3313944746032,11.8915575727728,0.192621553262965,1,29284,0,987,0,0.0186560105374383
793399667,193.711125132244,85,25,3.54946856180222,2.91331228146941,6.43899670673163,0.426311065576141,1,7,29172,0,920,0.00935287994943573
238613490,199.115544345488,160,25,3.71974425186518,4.7589979620433,8.43911530723849,0.713353640332855,1,18,26978,0,1190,0.00787698222691839
270784773,200.167429918056,153,25,2.81183283421661,5.36722953476006,9.89104285732647,0.59184981992845,1,34,26894,0,1086,0.00746240421497532
752111147,207.255880495584,45,25,3.02510041447257,2.83812004665099,6.88872105363402,0.518931846453309,1,35,27670,0,867,0.00686198088733362
365825812,207.33788848158,25,25,4.36030257387151,4.05841006422927,6.77567679343509,0.817785463697289,1,0,29025,0,913,0.01055289484946
734806468,208.664802973573,0,25,1.29111958876869,23.8066905431552,18.9392798037649,0.235848426278247,1,28614,0,1169,0,0.0244919933209447
587578384,209.804671063349,0,25,1.51193895004939,22.1869984585696,12.3415840219572,0.125418086358537,1,28552,0,955,0,0.0132664963821783
215350092,210.259363644048,0,25,3.10902247323263,14.4419226527654,12.4463005604478,0.23796533298078,1,27615,0,974,0,0.00658842894655478
930381138,210.753410411315,538,25,4.85898516613337,13.2262987492627,15.6114887872819,0.574399428618013,1,809,23576,1,1358,0.00721853479618528
916197288,211.931592736902,412,25,3.66360328803708,7.82149183913915,13.3403701989235,0.734978028648095,1,41,27754,0,1632,0.00401821765421748
291489973,215.004651112482,0,25,1.34700658023973,20.9691235992783,13.2313449912783,0.210998846511362,1,27851,0,1034,0,0.0138014357524275
300572261,217.140507506085,184,25,2.71667261360222,9.20824225862983,11.435777787376,0.143535865959825,1,28999,184,875,184,0.00690399301521526
690253708,219.371830461434,0,25,4.18106601441007,24.2009886532859,14.026993704678,0.181582880135726,1,28198,0,836,0,0.0109448595152971
159032586,222.112584064929,0,25,3.11099560105044,1.44474010939459,7.18371078968171,0.0471973368930615,1,8,28469,0,1029,0.0164687541296007
394013252,222.564597364451,347,25,2.43761737542392,9.48528923008119,14.7528262006166,0.629647966202811,1,475,24469,0,1318,0.00558589321354878
998815692,231.103872749896,71,25,2.96111355298867,16.4369490110319,16.7919570849979,0.270746385125586,1,27280,1,944,71,0.00765374791279519
758060199,234.580476595986,0,25,1.70196239087282,26.0952835339808,12.5351026440477,0.144323874206589,1,28436,0,881,0,0.0145931460203962
126296872,240.777905963151,528,25,3.54821974000986,11.6313989543786,15.1078005024825,0.60954349361856,1,1443,27865,0,1431,0.00729657301019808
338692322,244.634421126709,0,25,1.69123277932099,18.399890322665,13.2523330454486,0.192791118263434,1,28668,0,928,0,0.0154484859187208
772097536,244.80808810168,592,25,4.13149374257033,9.38858165858425,12.4802188176135,0.603402980071738,1,198,25647,0,1641,0.00839520474184723
218495033,245.778355434322,0,25,2.16341674307486,19.3326715955809,11.569213441863,0.0884350088807297,1,29762,0,703,0,0.00862322264841592
173256084,246.320928871259,630,25,3.60341195253119,23.2781876048988,27.4866188879639,0.926439902890255,1,4,27493,0,1631,0.012271509153515
780271163,246.33513756669,282,25,4.7010343905682,8.40348422157492,11.0992125990555,0.684048995889824,1,123,25766,0,1105,0.0103732711073416
442791802,246.720489623379,686,25,4.30738271277353,24.6200777160348,27.0501686256252,0.704320282687926,1,237,25241,0,1533,0.0116910999367947
927072634,248.724747461928,0,25,1.87427424523614,27.3197606504711,16.0628673252965,0.281297246196475,1,26969,0,994,0,0.0130769750052901
115310639,249.018071633366,251,25,2.07987188135662,5.709730892119,10.7642827122712,0.278464494387685,1,4188,21000,9,997,0.00900226540219245
728375573,249.449393665328,271,25,3.8837790042568,5.65638598014661,8.83991272565501,0.904052089670853,1,1,28517,0,1433,0.0105026429692245
908005498,251.376212080618,463,25,4.34607069280042,14.745154090069,17.5703603074198,0.826714636440185,1,21,28866,0,1297,0.010815078572428
762967565,254.098406134316,441,25,3.32513766813103,7.57459768434336,11.5604952449469,0.734385464878591,1,17,28376,0,1393,0.00687445721621969
