"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
155130832,1.51940298507463,505,24.8069639661437,3.45403210136321,10.2012180069325,13.8600892377481,0.46167064336505,1,3705,16355,0,1624,0.00600976313521208
133126109,2.16510903426791,497,29.7856384022137,2.95797481311853,8.91304476762786,12.9244564954416,0.402006419802043,1,912,23460,61,1440,0.00589847122530074
196506620,2.46616541353383,77,30.1994029774847,4.3354885238629,4.03160669412403,8.95416697291937,0.479575805625154,1,0,27800,0,1258,0.009953670192695
656868659,2.64044943820225,0,26.2299969291191,2.97092448905265,18.4828929782723,11.6394555258825,0.269734095674815,1,28809,0,1206,0,0.00624544012090667
655634198,3.15223880597015,514,14.8047629612666,2.90779274223295,21.9314658953419,25.8937215250949,0.571995539127814,1,8438,12481,0,1180,0.00692429230796174
421874271,3.16849816849817,704,19.0430442883201,3.76909084822263,19.7501907007893,22.8712961621771,0.677315663968037,1,12457,9739,0,1438,0.007962936154156
114150155,3.2876254180602,359,22.5255398041999,3.50237166904679,11.4807974806445,16.0025165526145,0.906782445049019,1,57,25691,0,1325,0.009953670192695
346255638,3.58333333333333,483,37.825032531496,2.4325199649397,9.41069161190154,14.4404519434206,0.307216488430989,1,2296,19371,454,1516,0.00692429230796174
151107741,3.85611510791367,0,33.9129512641515,4.2090505945744,14.196967593875,10.6938450720782,0.191415865917075,1,27179,0,1172,0,0.00910049846189257
208717712,3.96369636963696,0,21.9868649688279,2.1203193349224,17.362262716325,15.4068035376657,0.261114184519275,1,25611,0,982,0,0.00816711400426256
741573046,4.24817518248175,1002,29.9622458968082,3.91917864415134,20.0933679280768,22.6503722698111,0.572198061054467,1,5998,14933,720,1344,0.00723903286741454
442844684,4.41444866920152,78,28.0773324535995,1.10973557889292,3.67365157068702,17.1710947996193,0.388741273836148,1,25858,2395,1343,78,0.0151674974364876
27473740,4.9775641025641,341,26.8661370744309,1.34368668827364,15.4427552803123,16.8895697414323,0.417185469797096,1,27483,7,1144,341,0.00707816547036089
107376910,5.19338422391858,414,30.4901202441095,1.32995942834932,12.5406513429898,27.4539559951274,0.758264831512925,1,1261,24517,1,2135,0.010983360212629
410754682,5.6405529953917,1908,38.6866787472734,4.10904103269167,27.9025689907035,31.3251678981425,0.847958559489341,1,254,28662,0,3383,0.0127406978466496
656690863,5.7018779342723,1080,40.9848667556604,3.6048523402124,11.4301902930858,14.2991270203936,0.510079073351409,1,11086,13759,14,2432,0.00522159747813509
408706124,5.83815028901734,0,52.1080678648401,4.29254424806269,11.7288476439181,11.0029617859696,0.103463304393658,1,29333,0,1851,0,0.0117969424506015
812923472,5.93924050632911,964,43.6024255823832,2.29952221913219,9.63543712527142,14.8526910029199,0.515524693688654,1,1482,21046,0,2531,0.00549168010631449
767847650,6.04590163934426,366,25.3720220305445,3.08849418843681,10.9722524287576,13.6161355719606,0.354932612969113,1,29109,213,795,479,0.00612533550319693
557142022,6.14029850746269,0,50.887185190127,3.6354177853357,26.8111389837174,11.8891042067648,0.0922890508005386,1,28974,0,1996,0,0.0127406978466496
943046471,6.24489795918367,2288,40.4882587662037,3.31856428645739,24.6617102835264,28.8912599381812,0.749896967202527,1,919,22395,0,3901,0.00838203805700631
898206086,6.39357429718875,0,50.1290644634702,2.9952113380125,23.8968914913933,12.1087410404047,0.0309038493853914,1,29166,0,1299,0,0.0113756230773657
352200194,6.80833333333333,391,45.3838806087415,4.02386116161577,12.74812365166,15.823301644885,0.8320286035742,1,0,25510,0,2326,0.00816711400426256
118653920,6.83850931677019,349,51.3855087243445,3.31625536509116,7.75063437221687,10.9952725125592,0.324977712908516,1,349,26802,0,1846,0.00600976313521208
739997731,7.25704225352113,0,58.0146828138216,1.15835476525035,19.3047004447382,12.944154077673,0.0658984500351855,1,27996,0,2021,0,0.0151674974364876
879579054,7.27472527472527,0,31.2926427414761,4.00116431693719,20.3605139665575,13.4638032575702,0.334286881451499,1,27188,0,1659,0,0.00816711400426256
263610841,7.31607629427793,522,29.7084199775424,1.31842110103348,12.6372122178481,24.46734838027,0.560771372090742,1,17172,9132,1559,658,0.00723903286741454
195228492,7.375,2018,44.7140265465057,3.897452811579,25.1747460591412,29.0988374541782,0.85945293692739,1,74,27938,0,4245,0.0113756230773657
