"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
177724563,0.895470383275261,233,10,1.64949055012927,15,22.7275177655684,0.5,1,8477,13019,411,379,0.0137064389242366
475853266,0.972696245733788,136,10,1.81402417675111,15,22.8562371559075,0.5,1,6503,12080,331,347,0.0148537879904891
420049521,0.986577181208054,391,10,2.14663859979743,15,20.3579745758642,0.5,1,11879,10862,149,702,0.00790499294576362
958446888,1.00677966101695,292,10,2.75805039498343,15,19.7421560565824,0.5,1,5210,12486,9,612,0.00822982619876131
328738533,1.03741496598639,312,10,2.83154145306739,15,19.6795542523249,0.5,1,11290,9162,135,577,0.00860730788266668
239381318,1.04152249134948,359,10,1.88454080801313,15,20.8152198794389,0.5,1,26797,1401,261,550,0.0199749728638438
261130060,1.12996389891697,158,10,2.43149236935195,15,20.5902719169214,0.5,1,13746,6785,560,158,0.00395085765748249
39290792,1.13074204946996,397,10,2.3374097388066,15,19.836866000413,0.5,1,16137,6064,10,682,0.0119582376904328
828199540,1.14391143911439,229,10,3.54912577543449,15,18.7770703381575,0.5,1,3709,15871,446,266,0.0149947176099699
401497833,1.15139442231076,228,10,4.36563127952229,15,17.3948990147937,0.5,1,7503,13118,0,593,0.00920818676763386
695994291,1.15202702702703,147,10,4.17425872709839,15,17.5979422590705,0.5,1,5360,12868,550,150,0.00787080475827281
126070953,1.15666666666667,284,10,3.45332715808672,15,18.3540576327603,0.5,1,10216,11354,10,656,0.00886510408355198
965447061,1.17537313432836,291,10,3.53482988519299,15,18.7810228918876,0.5,1,7330,13252,0,620,0.0076823247061714
248486378,1.17730496453901,255,10,2.11342708735798,15,22.0667854771322,0.5,1,4984,15112,0,589,0.0116287662102559
378272518,1.18773946360153,186,10,3.10606000351573,15,18.3557810662996,0.5,1,13742,6899,389,189,0.011112843532474
148720536,1.20912547528517,260,10,4.02413099306901,15,18.2849862408591,0.5,1,10910,7456,17,582,0.0088998772134464
36279000,1.21111111111111,140,10,3.74204900766201,15,17.4534144525536,0.5,1,10690,8356,533,140,0.0100402384639918
726758808,1.21376811594203,285,10,3.44271470288177,15,18.0674197918142,0.5,1,5881,11818,116,546,0.00955644807227771
587082820,1.21722846441948,189,10,2.69454232173469,15,19.4807326387128,0.5,1,4893,15679,480,193,0.0179161573435902
328839093,1.21875,269,10,4.31000988124996,15,17.2782626014584,0.5,1,14331,7036,5,536,0.00924682312034498
641210665,1.2295719844358,117,10,2.58944713196998,15,19.042898648151,0.5,1,8458,9693,536,117,0.0167653482569222
847978353,1.23232323232323,273,10,1.86053129590438,15,22.181617628658,0.5,1,8747,9850,1,631,0.0108192826584953
874630266,1.240625,252,10,1.79822109256939,15,23.0466100772797,0.5,1,7404,15033,494,277,0.00715031130727523
644778064,1.24738675958188,126,10,2.85060964339096,15,19.6273541946919,0.5,1,17129,8709,525,126,0.0143704020909223
431939943,1.25475285171103,150,10,4.650909244185,15,16.8193414903197,0.5,1,14202,8030,572,150,0.00250922609346653
902922518,1.25563909774436,322,10,3.77126998682795,15,18.1191799553785,0.5,1,21420,6405,192,515,0.0104358844154549
475711310,1.26164874551971,319,10,2.36273320848505,15,19.6498909713474,0.5,1,8710,12284,53,614,0.00573556560607595
291522557,1.26551724137931,157,10,2.03106683436051,15,22.8454053595743,0.5,1,8314,17581,400,368,0.0220080830809362
522510224,1.265625,99,10,3.93380662624485,15,18.7382062522311,0.5,1,9832,10247,604,99,0.00649561899336737
116474276,1.26811594202899,325,10,3.74049206976137,15,18.1992554141119,0.5,1,10840,12974,0,753,0.0103943709041962
900822407,1.27054794520548,257,10,1.63801276805517,15,22.0884181518394,0.5,1,8219,11433,421,361,0.00691712829624834
991847744,1.28040540540541,142,10,4.21685474134679,15,17.6092542306284,0.5,1,5853,12635,504,142,0.0136428914847183
683239448,1.28178694158076,322,10,2.98902193734373,15,18.3851848175331,0.5,1,19097,8648,486,379,0.00568955738946907
154651325,1.28621908127208,299,10,2.37317404419962,15,20.0542921718054,0.5,1,15587,7110,501,410,0.0118501976688929
865897604,1.2910447761194,276,10,3.61035990132759,15,18.5935814793389,0.5,1,7644,11421,347,333,0.00515130323902539
252306856,1.29387755102041,78,10,3.02446916024416,15,18.5608140255041,0.5,1,22131,2844,471,78,0.00495360875838321
893342011,1.29411764705882,305,10,4.81618103474641,15,17.3517321088794,0.5,1,8207,12080,121,550,0.00929260967028969
