"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
756832487,0.978494623655914,440,10,1.46260228458763,24.9839550250761,43.3421127261692,0.8,1,9331,10924,48,983,0.00668617659831637
303787193,1.11217948717949,513,10,1.53376703121009,28.6811846302461,41.4593908724792,0.8,1,5291,10782,221,1042,0.00831104450455434
515378733,1.17174515235457,358,10,1.21561872352564,19.4001366389177,43.5905814075448,0.8,1,8424,15906,1215,535,0.00615115739651799
147237160,1.1780303030303,443,10,1.34234707306524,21.4206092078596,35.8400744798566,0.8,1,6953,12949,1068,588,0.00586397258059131
318305688,1.18237082066869,369,10,1.27913909796607,19.3223130580546,39.0922836301518,0.8,1,6844,14892,833,514,0.00284177746407201
747765978,1.20504731861199,245,10,1.44059568684173,14.1817995876387,38.8792524829718,0.8,1,4968,14086,951,570,0.00818945924846679
140465370,1.25252525252525,223,10,1.16892577306427,12.3041732300368,43.6712075350536,0.8,1,6751,13669,1240,449,0.0162926851867141
911094418,1.25589225589226,227,10,1.32683393150255,24.0844785182374,46.1138633082233,0.8,1,10283,11002,1212,268,0.0148013723503212
421384681,1.2655737704918,437,10,1.56811216393608,21.5782375395114,34.6705654953095,0.8,1,4114,12709,17,1176,0.00659136543683892
422357099,1.315625,478,10,1.43134001640736,25.9939392552254,46.4610040070402,0.8,1,4846,15782,1,1336,0.00506965828915676
470591482,1.32038834951456,623,10,1.57580219972636,29.1899514164889,38.6142171362265,0.8,1,17666,6914,452,954,0.00792204191945006
933259144,1.33448275862069,140,10,1.6152338480152,26.5477829740247,37.0318626262883,0.8,1,13757,9582,1257,140,0.0071789286056584
863633193,1.34237288135593,201,10,1.79309590162684,27.5011605723849,37.521621911547,0.8,1,11302,7864,1120,201,0.00344723051746738
181397761,1.34364261168385,280,10,1.16896063019656,17.455028492547,45.7055741714215,0.8,1,8747,12943,1115,572,0.00417350682277508
900443163,1.39672131147541,150,10,1.69026407554816,26.2315422537506,37.9759999813113,0.8,1,8880,10209,1223,150,0.0143577650886524
955176963,1.41052631578947,278,10,1.13914633505956,22.4958151737385,47.6612537177009,0.8,1,187,25695,0,1307,0.00521928713278363
998485932,1.41317365269461,295,10,1.2830104325031,19.5074865377823,39.8532829826788,0.8,1,6093,16277,590,924,0.00287368038559682
223354273,1.42394822006472,132,10,1.12659363151758,12.8620307863004,48.5296699419514,0.8,1,4106,19474,548,1053,0.00899863470126326
444821684,1.42424242424242,82,10,1.41499673527781,28.6581914581224,46.876102170329,0.8,1,8038,13181,1295,86,0.00276186401681666
269898740,1.42434210526316,144,10,1.14417792451453,6.2155883387096,33.1695078513968,0.8,1,1275,24688,0,1392,0.0111955660978544
322942487,1.42857142857143,155,10,1.68254409295386,24.6128818371174,34.885210425705,0.8,1,9399,8169,976,156,0.00396851775070783
843241631,1.43010752688172,411,10,1.5923765195438,19.7945330127408,34.852723946596,0.8,1,7156,11057,155,872,0.00353046632860488
346548749,1.44407894736842,431,10,1.49760805965607,23.6972171545051,36.8834316652264,0.8,1,9792,7763,985,513,0.00389680720558219
292600752,1.44444444444444,480,10,1.43170300429493,28.1567147565591,40.2432386601105,0.8,1,8179,13563,870,625,0.00303268085813746
29157651,1.45161290322581,468,10,1.21811209002194,23.6300917446619,44.4303880316267,0.8,1,12391,9509,740,905,0.00310317705878095
183562245,1.46394984326019,298,10,1.34680502131929,21.5877214179035,40.4315888993484,0.8,1,10581,9769,1167,302,0.00450415656417725
789275787,1.49712643678161,461,10,1.21409641595569,26.4666749159993,49.3634252590843,0.8,1,3360,16039,337,1181,0.0541125604391482
90321983,1.53432835820896,113,10,1.10586847546069,7.54377291439571,40.69962042745,0.8,1,520,25814,119,1409,0.0206062846781264
51454095,1.53763440860215,309,10,1.4264372696297,23.2440374575319,40.1005005921124,0.8,1,10289,12338,169,930,0.00563543220389805
848863609,1.54545454545455,592,10,1.62703233162311,27.8606591969397,37.1053862025767,0.8,1,6429,10043,0,1154,0.00602016506376456
940327220,1.54573170731707,186,10,1.18230378915489,12.1537597148431,48.6588305160394,0.8,1,527,26295,0,1434,0.0164973906928654
808211700,1.54901960784314,413,10,1.55878182388582,24.5179381572093,41.7460341658215,0.8,1,14985,8730,961,726,0.00890283031393444
665255653,1.54925373134328,334,10,1.15390980793199,21.7852251534365,47.7155656513814,0.8,1,7739,14099,69,1275,0.00681827047113176
257064999,1.5685618729097,401,10,1.41322919276531,28.5775084010569,45.3138151694619,0.8,1,10390,9745,1151,401,0.00409491670456804
496945509,1.59090909090909,227,10,1.34950761233137,16.8781260838605,34.8783012635882,0.8,1,7268,11075,1149,231,0.00813569059301789
699780443,1.59604519774011,443,10,1.4324472719049,20.434309714252,37.0185522810312,0.8,1,6851,13424,1084,693,0.00479149348411895
103438024,1.61824324324324,555,10,2.08513287015334,28.9954737847036,37.0750710757147,0.8,1,7170,9259,1216,736,0.00525254722570762
757455696,1.62876254180602,190,10,1.37578598798232,22.5534173339719,40.5892082145997,0.8,1,5577,14702,1219,191,0.00515529500240351
579599767,1.64217252396166,548,10,1.83861001043193,29.0403032069459,43.010925447027,0.8,1,6102,12070,18,1189,0.00435656105320177
789099125,1.64561403508772,441,10,1.54402136075472,20.455867502191,32.22445096897,0.8,1,7941,9422,0,961,0.00452696932722687
579286677,1.64666666666667,249,10,1.89102913217943,28.1668005146354,37.7818458976131,0.8,1,7066,10988,1105,250,0.00150570881007971
960493865,1.64684014869888,682,10,1.69514297278464,27.8415197093263,37.5060445188872,0.8,1,13246,6812,662,963,0.0134528938309832
127878367,1.65248226950355,244,10,1.82172560598784,27.6318022553097,41.707446957622,0.8,1,15276,9718,1425,249,0.00611172778395515
862893380,1.66903914590747,260,10,1.18998214669086,16.6575539802707,44.7377336555529,0.8,1,7894,14456,1261,268,0.00570827484907592
540150871,1.67253521126761,414,10,1.62710129266696,20.3698951766261,34.479066018318,0.8,1,9335,8296,668,758,0.00530702415679601
738441132,1.67656765676568,371,10,1.59450551994172,22.8768042843704,37.8685209154839,0.8,1,5084,11928,0,1008,0.00120580663545546
39368434,1.68231046931408,523,10,1.78296269302343,25.7665440216142,36.7292418755758,0.8,1,4836,12526,1104,685,0.0159322742324721
394418100,1.68421052631579,661,10,2.02650602946408,29.7064109770673,35.5626693268651,0.8,1,5615,10545,364,988,0.0166470074553605
938903814,1.68458781362007,183,10,1.27688759098492,11.8670092104474,33.428830897914,0.8,1,2481,22657,6,1360,0.018441618358478
306991012,1.68729641693811,107,10,1.77576385988917,27.3768838419114,37.1562735408352,0.8,1,14525,8123,1223,107,0.00595286567633585
76811659,1.70731707317073,228,10,1.25522383673533,11.4067667808388,39.362201479821,0.8,1,5774,15579,53,1098,0.00101662825550847
773070346,1.71071428571429,537,10,2.06334701597513,23.3853858573919,30.793470300797,0.8,1,5025,11419,84,986,0.0199016302259089
334661716,1.71379310344828,402,10,1.62151541279445,29.0591599708112,40.1828015293438,0.8,1,9305,12309,1221,456,0.00781597065218498
778688327,1.73539518900344,208,10,1.43758146716966,25.0651944891144,42.7737819187327,0.8,1,4489,12365,1161,218,0.0134028235136791
531120355,1.73724489795918,518,10,1.29538234524201,26.2660106261666,47.4269282723495,0.8,1,9471,13893,221,1308,0.00270506649851044
515938981,1.73968253968254,488,10,1.49090438755805,24.4808087048587,40.3673244507777,0.8,1,23831,3922,845,656,0.0427057344962622
873888008,1.74183976261128,364,10,1.24135213235311,21.9679604625571,48.9995815282828,0.8,1,6696,13899,933,656,0.00553273943075983
67296337,1.74339622641509,390,10,1.74104456823687,23.3848746835251,33.9370698816527,0.8,1,16254,6942,17,868,0.0280738884813423
314271846,1.74498567335244,481,10,1.68178940724686,28.6267011490117,39.1409480716698,0.8,1,11510,9943,1224,495,0.00579729557087781
146659299,1.74766355140187,157,10,1.12703330568454,15.8798274872512,44.6448408136187,0.8,1,1686,25545,0,1341,0.00580398702627207
731204300,1.75076923076923,175,10,1.16848474390119,9.51772428877898,37.0469623945589,0.8,1,3172,20892,0,1245,0.0119155585734284
847864708,1.75389408099688,331,10,1.17658645824326,22.1377470070804,47.4839219116427,0.8,1,4695,19829,255,1147,0.00498409523820486
260199803,1.76221498371335,666,10,2.03036522154764,29.7383522667375,37.7038087155588,0.8,1,4870,11643,1052,823,0.0178946393019395
405378488,1.76551724137931,516,10,1.73269402675152,28.3382806695652,40.6502521711274,0.8,1,5008,14055,964,842,0.00152479524746719
161104564,1.76689189189189,22,10,1.16471905190205,3.01642603903395,32.2949423427706,0.8,1,36,27861,0,1067,0.0420679665477984
241888302,1.76969696969697,340,10,1.25926289199455,17.3690360404205,38.9025044214806,0.8,1,3322,19763,1,1062,0.00335786779036607
821387382,1.77586206896552,228,10,1.33309945937695,20.7415229865902,44.2347793120609,0.8,1,16653,8305,1094,252,0.00251483970467932
660170750,1.77878787878788,313,10,1.13332647051641,22.2644104891475,49.795416420826,0.8,1,2986,20487,0,1418,0.0131066927699703
272983290,1.78405315614618,259,10,1.14045490880816,17.3780251844367,51.0218119606262,0.8,1,337,25273,0,1417,0.0104522338567544
769209340,1.78623188405797,151,10,1.71122158509106,27.312566036983,36.192057452938,0.8,1,9173,9178,1318,156,0.00272119851569051
508732972,1.78651685393258,86,10,1.18552285478562,7.61291176127147,51.7376083028106,0.8,1,1733,22148,308,1159,0.0850130997946656
586831059,1.78723404255319,422,10,1.30897083383072,19.4064545619635,39.7433011488827,0.8,1,6236,15667,434,1284,0.0185497146233385
831928768,1.79032258064516,371,10,1.24579732234556,21.2299878267249,44.904835989564,0.8,1,12826,8678,215,1022,0.00763617624736395
960571410,1.79032258064516,438,10,1.38843049136146,28.2930235058667,42.780546,0.8,1,20641,6168,204,874,0.00588473577942576
269850135,1.79047619047619,481,10,1.61208098629368,28.4668118771491,38.4537301980644,0.8,1,12393,11484,170,1015,0.00517241999207901
68169852,1.79078014184397,144,10,1.42317001254618,27.0818965799484,41.226625645285,0.8,1,4433,13174,1041,144,0.00373165068752863
372735302,1.79288025889968,161,10,1.15173379191834,14.9292047515417,60.5860913905969,0.8,1,648,21785,0,1645,0.0156704165258783
956691555,1.7979797979798,457,10,1.34886074135792,21.8092321258282,37.5212948055697,0.8,1,14517,9286,198,1081,0.00124512289153018
820437898,1.79889807162534,377,10,1.16981698474221,28.557669706113,56.8815996806296,0.8,1,10131,17132,269,1408,0.00360318385272488
155039388,1.80201342281879,247,10,1.13387934143292,21.488813851941,48.134622018248,0.8,1,1304,17588,86,1436,0.00613621829369351
202711900,1.80811808118081,343,10,1.41979910987051,21.6441889715102,34.7577628695094,0.8,1,17037,7019,1253,354,0.0102682535135533
696159713,1.81008902077151,480,10,1.40914570915734,25.6809113545954,44.2320700324332,0.8,1,4880,15699,20,1280,0.00357381754017816
213453327,1.81184668989547,611,10,1.53767077343624,25.7602222360103,36.4075802638362,0.8,1,8926,9235,564,938,0.00775140738717317
808563919,1.81528662420382,498,10,1.62855543254476,29.871257771708,41.6181870998709,0.8,1,9372,10975,55,1039,0.00325936702783693
92610677,1.81639344262295,12,10,1.04907099980337,2.37589850586146,40.6329330183014,0.8,1,366,26916,0,1115,0.0741117948159936
945615112,1.81981981981982,446,10,1.63826621498398,29.3500534037909,41.2798848552099,0.8,1,3753,13579,1058,453,0.00558710958560255
445375439,1.82291666666667,790,10,1.90835163529236,26.46599476622,40.174789649887,0.8,1,7709,8292,0,1383,0.00794563333393367
706399450,1.82554517133956,115,10,1.21824327622039,19.6320345077948,47.0016245762899,0.8,1,0,26084,0,1387,0.00237836778969731
30245332,1.82697947214076,231,10,1.08488539346731,20.2696401442582,69.1385628246244,0.8,1,5503,22064,347,1656,0.00239840855629737
51325156,1.82808022922636,577,10,1.24406196278921,27.997715855545,44.6637486424046,0.8,1,12941,9682,382,1063,0.00355516521003122
249844615,1.83081570996979,498,10,1.50160453859564,20.9923727035551,37.3803900766895,0.8,1,4088,16490,1016,837,0.00765683942558806
702982836,1.83236994219653,311,10,1.2178093529215,16.1220523666523,40.5310988674957,0.8,1,1963,23144,3,1220,0.00138756609050191
19271455,1.83333333333333,178,10,1.39293258958864,20.7669852509593,35.5081536778197,0.8,1,16278,9716,1467,178,0.00960372973326461
67326011,1.84294871794872,221,10,1.14404939525034,15.4823963253066,47.4506020035298,0.8,1,4873,15260,0,950,0.00318716853640292
102215841,1.84472049689441,330,10,1.23697297378158,22.6749771825201,45.2204478734017,0.8,1,9209,11892,0,1183,0.000685217889712214
915313372,1.84900284900285,329,10,1.15500468258917,21.2426657073042,53.3460526853973,0.8,1,3,25767,0,1383,0.00256413074628546
921442412,1.85,202,10,1.35116976810128,14.0317164979676,32.8548446424037,0.8,1,8993,11432,990,202,0.00628917853367839
281673659,1.8551724137931,559,10,1.55097539519864,27.8296990780968,39.5513873652073,0.8,1,11012,8584,32,1175,0.00206510951951447
409552009,1.85714285714286,404,10,1.38581185128926,26.6497400646709,44.0580334053461,0.8,1,1703,18454,0,1275,0.0250966770265418
392270043,1.85762711864407,320,10,1.14437429570801,28.5021021739965,58.8605834584538,0.8,1,14252,9100,585,851,0.00856207820041549
