"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
993351934,0.548387096774194,19.6762350776345,2.67919640462679,6.3839590546862,10.3780721601139,0,1,7917,20906,21,726,0.0068316449407788
992956079,0.553435114503817,20.7181459637268,1.99088024703012,2.74525809808446,7.6735912000013,0,1,813,25261,1,674,0.0163590630146608
637293051,0.665413533834586,20.5128621158301,2.45360306944722,4.33565547744025,9.4646841550468,0,1,18239,8182,676,41,0.00303814927006798
682972053,0.696485623003195,23.2731455366381,3.66481396929779,6.16223111340023,8.61377854115413,0,1,385,26385,0,891,0.0155361868786229
472484740,0.718146718146718,22.3385953032808,4.98367244027422,12.3367442215522,10.1015025297842,0,1,29712,0,887,0,0.00757478819062804
37399936,0.836298932384342,20.7822597751792,3.61734797134836,3.8422070561406,6.70988027654604,0,1,1605,24430,0,752,0.00852524685760214
110420339,0.849829351535836,20.5850731651685,3.99055820692856,3.62913940152814,6.00367915556597,0,1,246,26631,0,829,0.00698787065732633
882019644,0.891129032258065,20.9938755773225,1.06098580812923,17.7248335317372,9.95033705015214,0,1,28340,0,671,0,0.0161156960360072
754402076,0.895522388059702,19.6016028372043,4.07080067274071,5.1787643854935,8.00977663298885,0,1,2239,23546,0,729,0.0129231991683138
186770210,0.918439716312057,21.0389822757003,4.581691886074,2.82169859427991,5.09566157563093,0,1,166,27186,0,824,0.00570886688482825
268045092,0.922509225092251,20.9832626592226,2.68924932507859,10.1230593044605,13.2752083260938,0,1,17468,8524,168,632,0.00405775516074134
905080469,0.932907348242812,22.120156440347,2.70029451616633,4.36465875869693,8.0956930812174,0,1,6915,18673,172,642,0.0149325989554474
137701254,0.962406015037594,18.9119958733286,3.79263177972047,2.75240535175017,5.90615149965832,0,1,428,25259,0,640,0.0189947715086557
529919710,0.97841726618705,19.1626499881776,4.59099874509461,4.30600503591122,6.64382270553725,0,1,765,24627,0,680,0.00839865589043856
747664663,0.987394957983193,20.7117273278074,1.38243403361321,4.40755386607535,10.9345919215626,0,1,17942,8956,441,105,0.00432167177034883
66835485,1,20.2170987950904,4.92649512431462,3.32868539838636,5.39502335571704,0,1,132,27565,0,595,0.00565034574685497
251748779,1.0036496350365,20.099731062076,3.58935674523427,5.28113977996931,8.05216502845452,0,1,8592,18697,10,595,0.00724309897638252
854313342,1.04029304029304,19.9126024408873,3.39792640579598,2.84379769807157,6.42817450845016,0,1,936,26207,0,766,0.00599293072575204
825890499,1.07608695652174,20.5740374803706,3.23806827321261,3.44183732947667,7.01519042091725,0,1,2079,27024,0,821,0.00291018798607682
881591302,1.09230769230769,17.8455243077023,4.32834509400117,2.68257929148927,5.6243770263882,0,1,63,28227,0,472,0.0401322812465397
558010975,1.09556313993174,20.3686366567515,3.0269130540322,7.74948069886224,10.907632453059,0,1,7094,21614,3,833,0.00864539310802333
185082568,1.10759493670886,23.156658517811,3.17868699212905,8.42048633254972,11.8316114127223,0,1,16743,11505,39,954,0.00587339815727702
581990216,1.12237762237762,21.4692663246957,3.0978928448918,5.44810190214147,9.08080517899788,0,1,2115,25841,0,798,0.00781014656859376
126807412,1.12857142857143,21.4602319820771,3.1922799236471,4.31588564299279,8.7414573598871,0,1,8901,17467,31,742,0.0011777575734069
152923958,1.13362068965517,22.6065123395385,4.07686345432646,16.0013361483557,8.49053779809831,0,1,28341,0,663,0,0.00531280771418397
395076941,1.13414634146341,19.8598183476223,3.59543111707104,3.40848851835495,6.26828373372626,0,1,436,25319,5,697,0.00356781605940891
206159633,1.13523131672598,23.6331561221333,3.09992422905187,1.01908823928436,4.74264843718767,0,1,143,27990,0,694,0.014986525465474
820310033,1.15576323987539,20.9200064441327,1.96045645239275,3.35503706629117,7.81494998391508,0,1,2484,24377,3,974,0.00267919759845615
567440678,1.16433566433566,19.6622187123899,2.70371151294876,3.34600987661688,6.99439289521473,0,1,2314,25306,0,934,0.0113390137219037
870934309,1.17621145374449,21.0802712776205,2.87340034967351,17.063242946957,9.7617976264408,0,1,29371,0,772,0,0.007013390074024
670946113,1.18006430868167,21.0249687057692,2.28783166709498,6.66086574007604,10.3849109532141,0,1,8342,20957,6,893,0.0125074596979302
537814817,1.22134387351779,23.1998460677383,3.82472778400669,13.6423411380554,12.2566425713879,0,1,27534,0,590,0,0.00833564509418924
784413305,1.22137404580153,19.8914256113098,3.15045666409464,3.56153672815624,6.82959004620466,0,1,110,26466,0,618,0.00769497456303619
249022891,1.23012552301255,21.7284776416819,1.44429444563584,13.2904273310359,10.8898722877833,0,1,28375,0,689,0,0.00493989409463319
11294862,1.23021582733813,18.7477098819423,4.73194254235363,1.5891785880903,3.88438954483992,0,1,45,26964,0,632,0.0135366683845414
36544423,1.23684210526316,22.244615346223,1.41136609645587,9.50802940141531,10.3084963031202,0,1,27353,4,523,196,0.00971575179332433
496631526,1.24014336917563,21.2689025602975,3.22732897296331,4.70332294485315,8.05726242705738,0,1,8713,16343,162,588,0.00450163091581197
675988591,1.24472573839662,21.0408949900082,3.50698336503279,1.58331593451483,5.92106281420606,0,1,39,27808,0,760,0.00904082782453398
590953270,1.26104417670683,20.56632886752,4.69166804419514,10.7248041223136,9.81856601490859,0,1,28132,0,670,0,0.0216380411809092
3845402,1.26587301587302,21.478989310456,2.94642004781134,15.6406093026152,11.4983038404877,0,1,29930,0,704,0,0.000798510614653066
535340068,1.26778242677824,18.4885423195023,3.50864669453135,1.74535040319474,5.86975677665284,0,1,39,29088,0,551,0.0170251623889834
103787158,1.26838235294118,17.4487165923946,2.58984346591779,3.94192381563037,8.55372629683077,0,1,396,26601,2,534,0.00445864489979349
371398335,1.27443609022556,21.5415111850127,4.05556562677337,9.07937243505542,12.3389606550603,0,1,7023,20068,78,675,0.00247969624111589
137894620,1.27755102040816,20.1861452458898,4.88793350448013,10.8970335709875,11.1457255582181,0,1,28788,1,480,99,0.00451997501927611
863799629,1.28235294117647,23.3844412772156,2.39935928802052,2.12984698340553,6.81259303515774,0,1,808,26117,0,768,0.00319234021391424
499315154,1.28294573643411,20.1572361746623,3.51027938150581,1.57972330558574,4.63166877400528,0,1,110,26294,0,629,0.00832971952547161
123023989,1.28571428571429,21.4014055862414,2.90482772018846,3.22627640244689,7.22564416003851,0,1,3397,22639,23,546,0.011490855769144
87501628,1.2875,20.0729226729964,4.77467035911504,12.8686917307196,9.79748259139742,0,1,28474,0,646,0,0.00632886284241304
550972182,1.29411764705882,22.2009680205664,2.34314719128394,13.1607233307695,9.71607048971726,0,1,27677,0,773,0,0.0065636597152243
906395020,1.29694323144105,19.5755721048691,3.92677918590762,10.1438547729473,12.1965374102311,0,1,26487,2184,387,93,0.00207288052691367
597388902,1.30487804878049,19.9525767482535,1.64156940206385,4.07887032782331,10.8756215075225,0,1,16458,10649,231,348,0.00206942877241112
446581869,1.30575539568345,21.6806212634845,2.66687393371685,1.93236964187351,5.50935860767968,0,1,205,26429,0,812,0.00558204485785172
854770300,1.31060606060606,20.7326955571799,4.99310713495005,2.82761096175806,4.79966812050036,0,1,205,26405,0,793,0.0056315691283001
903861743,1.312,19.1880395132855,3.43042408033586,17.653143865584,10.3320036736716,0,1,26763,0,643,0,0.00883938558206874
571111644,1.31428571428571,21.5326989985388,3.70074593267629,9.40849477361673,10.7748141788912,0,1,29467,168,561,169,0.000773130707074184
678703357,1.3156146179402,21.4030097848121,4.71863881871438,7.88654290363822,9.92600518455044,0,1,1068,25965,0,848,0.00988833704144291
