"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
981747074,0.887387387387387,157,30,2.09520390896209,7,10.7102480093721,0,1,23090,3460,930,157,0.00883143461620086
181146518,1.37674418604651,64,30,2.62990994641646,7,10.5815938587591,0,1,16611,7671,802,64,0.00771693125347627
646104600,1.4037558685446,322,30,2.60273105605394,7,10.0565609139652,0,1,26241,1277,451,565,0.00752871341802563
129584417,1.52233676975945,321,30,3.60725918535477,7,10.2463147454295,0,1,7254,16265,27,1133,0.00868697702079881
508398507,1.59715639810427,275,30,4.31215922198049,7,10.0644702508795,0,1,19221,7853,244,777,0.0131410270569175
764760858,1.60728744939271,140,30,4.11182694201034,7,9.20676917188142,0,1,21442,3110,756,140,0.0126482385422831
860904435,1.6390977443609,252,30,3.12102200598974,7,9.80903049266577,0,1,9344,15089,12,1230,0.00692000892890866
518462604,1.66507177033493,67,30,2.2234605434885,7,9.63160075816578,0,1,25759,410,830,67,0.00893625549183043
656917104,1.66666666666667,313,30,3.66343520702374,7,9.61799780504134,0,1,13147,14352,204,1060,0.0103420747479194
999195366,1.69803921568627,201,30,2.17331069843577,7,10.5746757621176,0,1,19544,4893,606,204,0.00628483902722139
537800492,1.74305555555556,422,30,3.50164657763549,7,9.80628543600227,0,1,11567,15438,56,1344,0.00989488049226227
695215731,1.74384236453202,62,30,3.68314877344236,7,9.17357014609211,0,1,28386,973,868,62,0.011768567816598
579416787,1.81057268722467,266,30,1.90207164907369,7,11.1510698992458,0,1,19940,6429,419,575,0.0102036210089006
923906760,1.81180811808118,110,30,2.26891917857501,7,11.3975917554976,0,1,4961,19071,448,420,0.00736504573502507
448718972,1.84186046511628,168,30,3.29367479087781,7,9.20018575048876,0,1,26493,607,674,168,0.00961732423721985
281227344,1.8561872909699,433,30,3.77537255317327,7,9.36894435514793,0,1,10063,14706,130,1140,0.00977701413738123
554602803,1.86147186147186,404,30,2.41799755490498,7,9.91955435574466,0,1,26081,2703,692,660,0.00912955563954267
98488694,1.87336244541485,33,30,2.15485753298015,7,10.7738474889028,0,1,25354,2197,998,33,0.00903445610163077
716682780,1.87732342007435,316,30,4.93319153656395,7,8.77133507527745,0,1,600,27476,0,1224,0.0199853119823953
821279356,1.88571428571429,290,30,2.43698986352655,7,10.3244335636502,0,1,26608,1737,499,554,0.00922465517745458
