"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
528735027,1.17699115044248,61,10,4.3696520878002,6.72388061066158,8.99798163796324,0,1,20960,3961,298,61,1
245952175,1.46666666666667,0,10,2.81480383966118,16.3542488093954,11.9475548287565,0,1,28779,0,350,0,1
578708167,1.53383458646617,0,10,3.76905796211213,15.3643511126284,11.5202378022583,0,1,29319,0,294,0,1
889957710,1.60555555555556,145,10,3.07060154527426,4.91108176321723,8.26428439046576,0,1,6721,15595,101,316,1
409713066,1.6140350877193,0,10,1.74223413038999,15.2449083318934,10.8488060875782,0,1,26715,0,325,0,1
388104356,1.73684210526316,23,10,4.58149655628949,3.80111495521851,6.41884313352827,0,1,225,27671,0,329,1
590976404,1.76923076923077,0,10,3.12778873369098,27.277298934292,9.66058459085324,0,1,27702,0,293,0,1
758448899,1.81884057971015,0,10,3.01912944763899,28.714697647607,11.7494115119253,0,1,26165,0,361,0,1
82914884,1.85123966942149,0,10,4.91232957225293,16.1047000996768,11.1530225186586,0,1,28996,0,381,0,1
513785501,1.88888888888889,0,10,3.28744818083942,15.4493109157775,10.6084322214701,0,1,28019,0,289,0,1
355713774,1.88976377952756,80,10,2.26304364390671,9.31817786791362,10.1230888955192,0,1,28751,8,254,80,1
241699043,1.91525423728814,0,10,1.83455249294639,22.4873535346705,12.4631327155054,0,1,28630,0,355,0,1
903348522,1.92372881355932,189,10,2.36933283787221,6.95123752090149,9.89877770235134,0,1,25546,2474,73,318,1
558896218,1.95614035087719,0,10,3.94825290236622,28.2876656081062,10.5183855240131,0,1,28894,0,288,0,1
595497880,1.98230088495575,11,10,1.25622763857245,4.91023168200627,10.5750180416879,0,1,24990,2579,298,11,1
286053947,2,0,10,1.43978298828006,20.7017456453759,11.1854447098336,0,1,29117,0,283,0,1
417174275,2.00833333333333,0,10,2.22039749007672,13.525332527468,11.1413157782662,0,1,29468,0,374,0,1
483789288,2.0593220338983,26,10,4.15165886282921,11.8611033372581,11.9960694986662,0,1,27775,1,235,26,1
286264362,2.06837606837607,0,10,2.7656003376469,23.7204743549228,10.4741910952781,0,1,29238,0,262,0,1
635094076,2.09649122807018,0,10,1.30380265321583,16.9017804260366,11.4428849729342,0,1,28434,0,309,0,1
115921507,2.09821428571429,0,10,2.48829456884414,14.0342554377858,11.1912722914888,0,1,28055,0,361,0,1
529212036,2.11851851851852,45,10,3.60967440158129,10.1453686070163,10.53990213223,0,1,27507,1,284,45,1
237097042,2.12173913043478,0,10,4.04986620973796,14.0629461226054,11.6971389055374,0,1,29056,0,280,0,1
441133110,2.12230215827338,23,10,4.15155278984457,2.62572872661985,5.23499842471641,0,1,156,27868,0,323,1
131026964,2.13114754098361,0,10,1.59263163991272,18.856994145317,9.68251582417734,0,1,26416,0,284,0,1
301351897,2.13392857142857,0,10,1.97508315555751,20.3567834880669,11.4266541568424,0,1,28729,0,282,0,1
647593900,2.19827586206897,40,10,1.42222570627928,4.67368339654058,10.5483697334639,0,1,24359,2887,179,152,1
502229917,2.21052631578947,0,10,2.52322599943727,24.191704202909,9.90670847031198,0,1,28542,0,302,0,1
296046473,2.21621621621622,0,10,2.71010786388069,18.0582817175891,9.80659062817292,0,1,28496,0,283,0,1
275139012,2.22131147540984,0,10,4.90819543693215,13.2115995094646,12.0922174032387,0,1,28356,0,256,0,1
556766995,2.225,0,10,4.38386244978756,21.8028151451144,10.2392757411941,0,1,28211,0,266,0,1
281686094,2.232,0,10,4.30984446872026,14.2099647575524,11.3994681650039,0,1,29060,0,318,0,1
814604217,2.23333333333333,0,10,1.95527808368206,13.6668634631205,9.35199785828235,0,1,29099,0,286,0,1
522554759,2.25675675675676,56,10,2.28343149181455,4.79368467628956,9.30445035392521,0,1,8908,15487,0,422,1
276003958,2.26984126984127,119,10,1.96988942939788,11.0135539299808,12.4746872851069,0,1,29358,1,198,119,1
965706016,2.3206106870229,56,10,2.0895330440253,10.7954221148975,11.2895198009148,0,1,29154,3,264,56,1
668583379,2.32484076433121,72,10,4.40800164733082,6.54079944826663,8.86436610242447,0,1,2648,19434,0,408,1
