"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
111220856,0.387096774193548,78,10,4.94812738506762,7,9.5432887669683,0,0.2,2015,23369,3,367,0.0101367860545027
761272489,0.435,110,10,3.12923762064504,7,10.811466904979,0,0.2,1916,22687,1,400,0.0106837603546112
977042674,0.436781609195402,73,10,3.26492439727938,7,10.8327719791592,0,0.2,299,27848,0,429,0.0080151442446376
336131442,0.441624365482233,114,10,3.9315771056929,7,9.93625646656007,0,0.2,1989,23943,9,380,0.00478234765356308
893693356,0.472527472527473,41,10,4.8628704832953,7,9.59147635658454,0,0.2,158,25216,0,355,0.00985820901107287
352983018,0.480874316939891,98,10,3.04348442891292,7,11.9221553300611,0,0.2,21476,6824,245,138,0.00879847296706162
924409059,0.586734693877551,130,10,3.98194503562764,7,9.77554794508178,0,0.2,1457,23393,12,396,0.0120855377123002
580784978,0.596685082872928,38,10,4.34414751686705,7,9.6212198464611,0,0.2,51,27384,0,374,0.0105543301194266
316315540,0.620689655172414,76,10,4.3098837524071,7,9.84252663582163,0,0.2,792,24118,0,418,0.00692871968767804
20222222,0.624277456647399,54,10,4.35180425964236,7,9.7409948181096,0,0.2,857,23360,0,291,0.010453704085447
261154339,0.627777777777778,79,10,2.71219342504406,7,12.2182855754006,0,0.2,9566,16613,15,403,0.000703332148628925
935976476,0.635922330097087,87,10,3.91548087446985,7,10.1629397368652,0,0.2,1059,24260,7,439,0.00442802792782843
622737186,0.655913978494624,43,10,4.72485694573702,7,9.3873069062188,0,0.2,394,27883,0,399,0.00390462610104163
794026050,0.661458333333333,83,10,4.91656570799635,7,9.58874214894058,0,0.2,2754,21742,3,405,0.0155693625847275
847511474,0.66839378238342,122,10,2.9277696413703,7,12.3851869541311,0,0.2,20283,4799,128,339,0.0173165590288328
898028817,0.678217821782178,80,10,4.22716793590011,7,9.97555135492228,0,0.2,4414,22034,11,401,0.00949530719928004
189333998,0.679558011049724,56,10,4.88400896227003,7,9.80342538551587,0,0.2,1038,26864,0,374,0.0120892218738996
197966614,0.690821256038647,85,10,3.46636780259633,7,10.5717059085195,0,0.2,7693,17660,75,402,0.00375771731716188
521788976,0.703296703296703,26,10,3.90876122992594,7,9.9360112157398,0,0.2,461,24903,0,408,0.0377608210104276
441416229,0.705882352941177,59,10,3.27280697617274,7,10.668272526774,0,0.2,2888,23403,1,358,0.00683283369514125
429851490,0.713513513513514,87,10,4.3690627056374,7,9.74360847800067,0,0.2,3689,22270,8,339,0.00355254367193769
777142087,0.713592233009709,88,10,4.58699632269262,7,9.72503538496044,0,0.2,2212,24820,9,426,0.0108954867213548
