"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
609256711,3.40540540540541,47,10,2.85049240781836,12.2019607867466,17.0323562664483,0,0.065361721971314,17110,2958,592,47,0.00887829429757903
939800848,3.66666666666667,42,10,1.85366818324285,7.84752410811829,20.4174304285261,0,0.0642731425923711,28668,2,520,42,0.00887829429757903
916924603,3.77397260273973,39,10,4.07565127341103,2.82821603472903,8.29968705517243,0,0.0559685577332945,183,26031,0,626,0.0162768728788949
78352193,5.22413793103448,12,10,3.37308333487228,10.3977122013408,19.7208330369509,0,0.0639749088181197,27943,1,577,12,0.00928185312928716
243624789,5.79166666666667,0,10,4.54594714967755,11.5351588656011,26.822379579426,0,0.0449137893128669,28921,1,736,0,0.020581500417115
469205532,5.80357142857143,0,10,1.54374542004331,10.99866932765,21.7799735288418,0,0.0569179451930273,28928,1,519,0,0.0120286567902684
128827911,6.05555555555556,56,10,3.00389528520478,6.18026129234542,12.7398677102219,0,0.0554306418128428,1271,21731,0,978,0.00591886286505269
262489744,6.95384615384615,21,10,4.51041274618467,10.1338487288922,14.5447259004393,0,0.108709715738061,14829,2192,419,21,0.0205119213081998
257947437,7.88695652173913,0,10,1.30115861510123,6.4444845650429,18.2846721087161,0,0.0969710197694268,29278,49,453,0,0.00735630098942263
952558724,8.06779661016949,15,10,2.80785187172034,6.27031060679053,13.2417563777476,0,0.125650748247806,19957,1895,430,15,0.00485793461565645
952119953,8.07692307692308,5,10,2.99617968173569,1.81075643049642,6.61380849406146,0,0.105411940930988,114,28465,0,401,0.0106539531570948
197939934,8.98445595854922,152,10,2.56217679732825,3.59138489674024,7.02792822154952,0,0.7026028351081,3339,19052,4,427,0.0106539531570948
815971373,9.05056179775281,83,10,4.67585975350397,4.03258064967749,6.2925036625795,0,0.726536612794588,2041,21359,0,420,0.0148926226927132
850738261,9.10344827586207,52,10,3.96839309735643,3.57690250703754,6.42469658677626,0,0.33896113013373,420,24196,0,448,0.00591886286505269
263530304,9.13194444444444,20,10,3.24688569175983,2.57627925541519,7.76762624288193,0,0.136872750699907,116,27931,0,397,0.013083802122748
390528596,9.14893617021277,96,10,4.86402453548536,4.26503048093041,6.52246167093085,0,0.536131796231989,512,29339,0,410,0.0144272282335659
777186375,9.14935064935065,53,10,4.3638497464743,7.10153349297766,10.3151300933005,0,0.155884822480897,1639,23912,17,326,0.0109271314431742
19627299,9.19540229885057,35,10,3.53517831977487,4.89512022241452,8.70997509551584,0,0.607729028181971,1210,25911,0,378,0.00458711872041583
191043640,9.21341463414634,70,10,3.20185054706232,5.80057051729534,8.68467095083827,0,0.342958447107284,3500,18019,36,338,0.00653541108016234
508519566,9.27683615819209,69,10,3.79739124732965,6.98418561462673,9.54768280997355,0,0.724864391157727,3771,20859,1,413,0.0134759824159682
93382376,9.36231884057971,85,10,1.87815135002109,7.12871432171555,19.270006977649,0,0.0382148186069063,6716,10093,550,542,0.00786363209214143
292958678,9.3956043956044,110,10,4.13494404904311,6.51505709314795,9.43997184382268,0,0.840797289921647,5501,20469,0,428,0.00432532286292312
875125810,9.40740740740741,155,10,4.69753027344744,5.94702476697367,8.17728857192195,0,0.527233240726093,1010,24042,0,433,0.00559718553543026
966038498,9.67428571428571,96,10,3.97278302600109,4.73208835022998,7.5119276163601,0,0.386178009862582,2816,23923,0,489,0.00717093000958306
120465946,9.70760233918129,46,10,3.65643100566251,4.25023551246039,7.1831114431715,0,0.521658913570094,712,29111,0,328,0.00571822344589836
553530069,9.77325581395349,117,10,4.70226007657997,6.16576369541773,8.30221322503293,0,0.922366606804379,2180,21132,0,406,0.012577583588237
886232004,9.79775280898876,106,10,3.25470912461842,4.11330163842334,7.26572202725593,0,0.611437070472312,1852,23383,1,426,0.0122076546591712
572205557,9.84242424242424,91,10,4.52455130545504,5.50991317732837,8.19419055137266,0,0.500060668537113,2260,22906,0,386,0.00907130069535248
954194654,9.86451612903226,72,10,3.57117473590101,3.9916770355137,7.41087493681286,0,0.307115625208309,808,25043,0,415,0.0119585188498003
831401160,9.89880952380952,89,10,3.94796984105887,3.45854773986309,5.91553732096,0,0.928906565280402,1302,21185,0,407,0.0167701114509826
964023619,9.98192771084337,47,10,4.38919153903632,2.15969805580412,4.73079528209146,0,0.411758673317826,229,27219,0,422,0.0151865560353326
200737399,10.0184049079755,78,10,4.38778306193383,6.90924458143892,9.58693186944094,0,0.285985930064711,1860,20820,44,317,0.00463215354656297
344949185,10.0769230769231,92,10,4.10210060477924,8.39955270124487,10.9627261378657,0,0.602541466294352,4160,16539,168,173,0.00932973299067627
876462861,10.1076923076923,22,10,3.75689031261766,7.80662324580929,11.4080355304805,0,0.210679929039943,6770,11733,289,22,0.0111382237551446
812012791,10.2101910828025,68,10,2.50363618232568,2.85057205943335,6.7650907191099,0,0.526734790842444,684,25973,0,384,0.00560734376689202
547257431,10.2242424242424,160,10,4.76401543125653,5.97932780624211,8.18294658498129,0,0.511696757684828,1719,24864,0,483,0.00827295605001682
806108729,10.2635135135135,74,10,3.95207125986869,5.45509722191367,10.0811514065515,0,0.824183095660922,6516,12598,0,385,0.0135288294058347
652802906,10.2882352941176,60,10,3.36083871181913,3.81140134002789,6.82198162424984,0,0.471356390859886,1084,25654,0,383,0.00669766061045435
190013464,10.2955974842767,67,10,3.19846852524648,3.05965810837357,6.40989937014754,0,0.850491480147536,686,23584,0,335,0.00409767429119032
984531396,10.3441558441558,82,10,3.01843533788793,7.21122211759969,10.6346458997516,0,0.607434951264659,6186,15024,0,352,0.00292461459214368
600582452,10.3684210526316,28,10,2.60701998267944,3.51043226792165,7.25071160272192,0,0.542043797429191,697,26719,0,322,0.00632014170336134
390888847,10.3776223776224,16,10,4.26640414996496,2.9960836950862,5.7784208885219,0,0.303625015594141,128,28297,0,362,0.018278841200898
620637197,10.4375,66,10,4.90302640065059,3.76759544442344,6.09809185061221,0,0.545714548518811,572,23172,0,364,0.013470515485982
34573040,10.4430379746835,92,10,3.21881715164127,6.84556165368631,9.62924691569755,0,0.869012147863049,17843,8300,59,336,0.00284775477469516
420644830,10.4965986394558,31,10,2.61621303063955,3.28923061097557,7.72486306594853,0,0.506227546976021,2117,22793,0,331,0.0082659981391253
953729479,10.5,15,10,2.14750528454405,9.78448285192318,12.5922967994465,0,0.15602277612718,28267,1,299,15,0.010727938942908
965806438,10.5034013605442,14,10,4.81227258080964,8.38509233786761,10.8363996145716,0,0.266854655697497,255,28235,0,368,0.00887829429757903
400956750,10.5131578947368,75,10,3.57810908730312,5.37965147798432,7.65937031140236,0,0.870523278256115,2133,23289,0,352,0.0113198252294133
606527921,10.5384615384615,61,10,4.29256397665283,3.50541475755444,6.23263638281805,0,0.793430056030732,353,25488,0,371,0.0151790192829577
704730435,10.5816993464052,6,10,2.67213514088506,6.01077675425046,9.21535692485479,0,0.571964196708159,240,28327,1,343,0.00491905494865865
984016423,10.6024096385542,85,10,3.38135669482499,5.95645243191234,9.37839766862107,0,0.762477718750991,7975,16077,1,333,0.0109031684356234
98341299,10.6299212598425,116,10,4.17948276968416,10.1880148598165,12.3494802245093,0,0.563910849866142,5468,12145,4,464,0.00887829429757902
718229465,10.6496815286624,71,10,3.56940520073707,8.88548354968542,9.27832845450566,0,0.723017369183785,30416,2,247,71,0.0102559606540999
99027511,10.6510067114094,0,10,1.98383885742512,10.2397802588491,10.2010917828687,0,0.378426815855065,27209,0,377,0,0.0108830704292904
719736843,10.7125,96,10,3.19284299473103,5.23673908899872,8.28586661970686,0,0.718693614642263,7018,15094,0,368,0.0048030116691821
915935272,10.7236842105263,18,10,3.57897217312121,3.17738239297249,6.19168456680249,0,0.859268830176702,292,27100,0,289,0.0174954622922881
953173752,10.7560975609756,112,10,4.82402354125051,9.23455791225213,11.4397095354789,0,0.812847922160554,7793,20100,2,345,0.0199761621695528
477986271,10.7712418300654,47,10,3.07980967640383,2.83284396228196,6.86156247980186,0,0.606978109373829,319,27246,0,380,0.00726405897074648
327470978,10.7755102040816,75,10,3.02395921142553,5.50030034911689,9.09593014273337,0,0.550222177390643,3665,20332,1,352,0.00269720333091009
506011605,10.7972027972028,52,10,3.46060267136803,5.92263407389436,8.8933756182391,0,0.775487058554131,9196,17870,54,232,0.00552799456264355
99675182,10.8203125,114,10,3.12813970428259,8.59804689018503,12.5887126634239,0,0.273542211915239,25996,3174,98,265,0.0081062687064852
134249857,10.8275862068966,57,10,2.98401148671722,3.80343030648279,7.07251871480473,0,0.552201445547251,853,24708,0,357,0.0103359247046443
61082666,10.8531468531469,29,10,2.48584963303221,5.9274829464049,9.95750488905596,0,0.506406233047589,888,25178,0,355,0.00537370444327151
335857169,10.9513888888889,35,10,2.53137026913129,6.35234352332382,10.3904703959082,0,0.930781882004379,7844,16449,91,288,0.00706227955489241
643292678,10.9724137931034,9,10,2.60629632961012,1.83299762332081,5.96795870784179,0,0.43934709291093,62,27239,0,298,0.00982279369093849
866903992,10.986301369863,20,10,3.15287112243306,1.3817418213167,6.26200548778772,0,0.292757599861868,491,27860,0,296,0.00864465497395853
468434399,11.0133333333333,43,10,2.53236832575733,4.19259094823356,9.53783249224813,0,0.382695440184232,4235,21901,5,305,0.00858720268126496
847931957,11.02,79,10,2.65997008113898,8.91825555656123,13.0749959676616,0,0.820343788298355,11842,11119,153,245,0.00856677519941836
743799703,11.0342465753425,12,10,4.068202477734,1.54593508226276,4.02614245249408,0,0.557631685480434,19,29496,0,326,0.00959815599738273
351507357,11.0357142857143,120,10,3.90982034991637,8.00668283608271,10.3957823143141,0,0.360725500538827,13739,10303,8,409,0.0106816978267748
972210110,11.0540540540541,39,10,4.02020573420501,12.2642175891574,17.7140947254839,0,0.127564381625195,28163,4,352,39,0.0156849865923896
572541202,11.0746268656716,81,10,3.77689218147429,6.84228471871115,9.44424297023573,0,0.846996024137869,9367,11376,158,164,0.0123524094575013
816796247,11.1338582677165,24,10,2.04272969847144,14.5501406568252,14.7658447841807,0,0.162827222008165,28303,1,230,24,0.00982954011517679
631478475,11.136690647482,35,10,4.71943828458846,2.98701534703565,5.4587078652827,0,0.699260994753114,328,23670,0,355,0.0138723348399672
308132015,11.1870967741935,43,10,3.57542606036792,4.16374529652618,7.0515643109373,0,0.97780901390053,1802,23647,3,327,0.00591886286505269
311683937,11.1917808219178,17,10,4.11402806574612,2.02462362231294,4.68420546578124,0,0.413879317407713,62,26494,0,369,0.00887829429757903
312348254,11.1946308724832,30,10,3.28977951784385,3.51412742694471,7.13105532640445,0,0.607218400250463,1073,26199,0,411,0.00776850751038165
329615079,11.25,79,10,2.21874534525691,11.0542973267172,15.2929245843058,0,0.118809190390742,28217,3,314,79,0.00866690633811286
724846393,11.2671232876712,109,10,1.75076407990296,3.57843686724887,8.98315879530931,0,0.966381189317255,17905,8089,128,223,0.0166911932794486
484566061,11.2794117647059,38,10,2.19205733651587,6.36009222911306,10.8653381397472,0,0.288812107972113,7700,12315,0,307,0.00413299906956265
5060273,11.2992700729927,0,10,2.80005432540831,10.7974963056487,11.9464842852745,0,0.426463871032973,27978,14,288,0,0.00729722818979098
87709696,11.3241379310345,22,10,2.48919889487628,1.24638942381413,6.2900076221159,0,0.447979026860977,119,29244,0,339,0.0105693979733084
63086529,11.4755244755245,32,10,3.76031546364486,3.04487785987338,5.85912676210968,0,0.570272025847408,202,28659,0,349,0.00793379490421955
977510860,11.4758064516129,0,10,2.21827217343906,14.5483724107313,13.7191154118641,0,0.210616920305486,28322,0,354,0,0.00917423744083166
123574953,11.5121951219512,0,10,4.06771571615734,12.2159758318246,13.5727172605376,0,0.237424802752473,28238,21,295,0,0.00678928387461926
228475027,11.5314685314685,18,10,3.44023410613548,2.33700819473848,6.39040100687863,0,0.618209303270295,1988,22575,6,316,0.00621480600830532
140530418,11.5343511450382,99,10,1.16547527093651,9.20741639259347,9.84749678978346,0,0.449755717956379,29925,4,200,99,0.00495135643518831
666043164,11.5573770491803,27,10,3.02024325801442,8.10397119090093,10.8736154180732,0,0.893583378367133,21956,3991,267,27,0.00781289898186954
996818311,11.5954198473282,82,10,4.71395331683665,9.98981876520094,11.6353502483506,0,0.829835581064622,27283,133,287,82,0.0138106800184563
764296490,11.6449275362319,37,10,3.73221422771582,4.4491248887438,7.17107967275506,0,0.680849691290971,534,26535,0,334,0.00737065941685806
462829251,11.6783216783217,0,10,4.02032651512522,13.0753322142788,12.6301255015361,0,0.894873542682713,28601,0,323,0,0.0144272282335659
677931125,11.7076923076923,143,10,2.93833773003655,7.23826225061242,10.8391724998518,0,0.308608782668378,23145,3649,41,319,0.00416512571985189
913836187,11.7462686567164,60,10,3.09414079569043,11.3884247467222,11.9157350594699,0,0.424648396976429,27104,3,221,60,0.00681955938799548
123692970,11.751724137931,14,10,4.27599022910983,1.742956744342,4.58131300030653,0,0.836740374543898,69,27984,0,306,0.0240453803892766
