"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
747260600,10.816653826392,10,2.58331479599422,20,24.7577922291884,0.6,1,13561,9311,0.00834163260025703
958371688,18.1659021245849,10,2.55148865016205,20,24.8881104187385,0.6,1,5353,20168,0.0121248622602659
384664683,18.4390889145858,10,3.94683798677603,20,23.2366510144731,0.6,1,8825,17157,0.0215504728606308
736520527,23.8746727726266,10,3.01468855845539,20,23.9629904607011,0.6,1,15717,7522,0.00805821358738705
617298342,24.0208242989286,10,4.36824655989783,20,22.3410758474247,0.6,1,11919,15235,0.00909591457558057
858411939,24.7588368062799,10,1.79226737774407,20,26.088167280277,0.6,1,12479,10225,0.0052091916860688
702733252,26.7207784317748,10,4.0428427643611,20,22.6203399325117,0.6,1,16166,6795,0.00636993000532102
804867566,27.5680975041804,10,3.18363544153379,20,23.6440903539126,0.6,1,3272,18152,0.00737252523244897
383461377,27.9463772249642,10,3.70925752105895,20,23.0201814803924,0.6,1,10230,15079,0.00780249289305631
297603695,30.935416596516,10,3.68637626502394,20,23.6911056073134,0.6,1,18229,7675,0.00840798826314169
169912313,31.0805405358401,10,2.76316728829989,20,24.6973870531366,0.6,1,7925,13753,0.0100746625463982
493081208,31.7962261911693,10,2.47011657988512,20,25.4427004379849,0.6,1,11327,10341,0.0100163217123331
664030482,32.4807635378234,10,3.15119163405701,20,23.7827422655636,0.6,1,25126,738,0.00632060579352286
93407049,34.5398320783411,10,3.10824853028304,20,24.2427724620014,0.6,1,2564,23222,0.00602384497925625
564795847,38.0657326213486,10,3.28146606708471,20,22.9883717661006,0.6,1,15744,7364,0.00305075113476666
283906274,42.8368999812078,10,4.79012229097583,20,22.0722862511203,0.6,1,12806,9590,0.013637759444709
41975078,45.287967496897,10,2.28545508985876,20,25.4199850514247,0.6,1,20679,6065,0.0175711971838321
134943091,46.5510472492295,10,4.55560875684883,20,22.9064682183115,0.6,1,21327,5283,0.00517712418806463
641064123,57.9655069847578,10,1.99326847024351,20,29.2946940780243,0.6,1,1539,25168,0.0124555033656371
611987927,59.8748695196908,10,3.92878184757293,20,23.0709095775053,0.6,1,4713,19067,0.00349405179432482
341426300,61.0409698481274,10,3.17413832878672,20,23.9125742247724,0.6,1,4261,21980,0.00616612710610263
880904506,65.2610143960389,10,2.64766262329569,20,25.5673132212384,0.6,1,646,28079,0.00591039062598654
50707139,68.7022561492707,10,4.26727549973585,20,22.2777375721549,0.6,1,4531,16723,0.00203486001591543
305302938,73.6342311700204,10,2.60560414204585,20,24.943619530178,0.6,1,13937,12239,0.00654596992343763
878494593,74.0540343262945,10,4.58351974220471,20,22.2773537713155,0.6,1,17565,3804,0.0171667978628568
183203679,76.9805170156709,10,3.67423344076666,20,23.1523362348122,0.6,1,5328,23534,0.0181076685796575
718914619,77.7881739083776,10,3.68456027132378,20,23.8161875290338,0.6,1,18311,11053,0.00696772115971175
36475914,82.3589703675319,10,4.14947156803853,20,23.3317142012932,0.6,1,14092,13529,0.00489307950413075
822505063,93.0430008114528,10,3.42486267001504,20,23.812993653804,0.6,1,5322,18419,0.00500034639894921
971904292,93.5040106091712,10,4.40158419511172,20,22.212336993707,0.6,1,13971,8683,0.0149242049901363
34872531,95.1840322743264,10,4.13808410287166,20,22.3100670280129,0.6,1,14148,10336,0.0066050186212006
256279820,95.6713123146118,10,3.87507804274937,20,23.6413884830113,0.6,1,6615,16764,0.00974872152672374
365856658,102.279030108816,10,3.78835338531891,20,23.2596301518918,0.6,1,18464,7330,0.0096649603384398
709422675,105.290075505719,10,3.67958117410711,20,23.669425140823,0.6,1,3759,22626,0.0194162247484031
105243792,105.768615382825,10,3.96720362630105,20,22.957132471657,0.6,1,5737,18124,0.0149246482526326
963273880,108.055541273921,10,4.3862539245189,20,22.9085608397522,0.6,1,6907,14348,0.0090786896314833
489344783,108.268185539428,10,3.58549686509247,20,23.0770467682851,0.6,1,1800,22048,0.00693264672521742
794657792,109.88630487918,10,2.55272223812188,20,25.086893643282,0.6,1,8169,16341,0.00818394864446827
434075930,110.905365064094,10,2.55892320297266,20,26.5915925007767,0.6,1,9403,17352,0.00829066643198521
879429916,113.696965658719,10,4.67096794835712,20,22.437957948243,0.6,1,17677,5510,0.0160968999247918
440358784,116.760438505514,10,3.6576764840288,20,22.6864777844224,0.6,1,12038,10030,0.012308218184596
660733819,117.613774703476,10,4.44283106168098,20,22.2264406695086,0.6,1,15342,6161,0.00490317936531969
64699477,118.873882749744,10,2.94753637414972,20,23.0790538815485,0.6,1,18147,3379,0.0185327325507538
760170075,118.953772533703,10,2.85211062981873,20,23.5935224446422,0.6,1,15958,6322,0.00767053184323959
470744878,122.82100797502,10,3.14642977732303,20,23.6554746457479,0.6,1,17312,3879,0.0108333621137374
54173365,123.093460427433,10,3.11072440531639,20,24.553557380094,0.6,1,1526,27218,0.00889041428331743
107322384,123.186849947549,10,4.08476940856744,20,22.5291094226642,0.6,1,15822,10708,0.0119223993969852
679957838,123.6122971229,10,2.51425957854236,20,25.4290858078239,0.6,1,11180,10734,0.0168058201987869
993390343,123.786105843911,10,1.52175224928874,20,27.8808894537094,0.6,1,24369,1018,0.00879063677987417
859444116,123.899152539475,10,3.72068670412441,20,22.1763905486725,0.6,1,20523,2142,0.00666941683800322
893700686,124.547179815522,10,3.60207716411907,20,22.003149393614,0.6,1,22450,1068,0.00793329813902048
418864067,125.67816039392,10,3.31204531599144,20,23.5435707246579,0.6,1,16485,5761,0.00830944432794135
213001823,126.285391079095,10,1.96447190714551,20,26.5530397811651,0.6,1,18519,4434,0.00627517129201299
682432653,126.483200465516,10,2.79538204973967,20,22.9596713649708,0.6,1,22845,1058,0.0227824855517514
794924401,126.712272491657,10,3.81719366574832,20,22.7198603262422,0.6,1,15694,5506,0.00813553419939896
738263327,126.988188427113,10,2.94179796967533,20,22.4921274909723,0.6,1,24135,395,0.00864264419478606
689575322,127.133787798523,10,2.58430858124476,20,23.2044443261699,0.6,1,19008,2342,0.0098711381826551
233926186,127.267434954901,10,4.33668506233836,20,22.3596115834073,0.6,1,10734,12924,0.0208423479757794
4014637,127.487254264887,10,4.76059945216347,20,22.4377161451051,0.6,1,1111,22138,0.0113781986236329
418212227,127.60485884166,10,1.48432560392244,20,31.4281832174385,0.6,1,16124,6383,0.0133105383827711
875029924,127.824097884554,10,4.85370088502892,20,22.0530737129718,0.6,1,19992,2231,0.00951243183983419
776686965,128.444540561287,10,3.02322474190556,20,23.0567673213629,0.6,1,15572,7487,0.00854233662196523
927225519,128.452325786651,10,3.9480730387097,20,22.4828637037347,0.6,1,15365,5820,0.00534120148469292
588830435,128.918578955867,10,4.77041463781431,20,22.3314609878157,0.6,1,12433,8832,0.00736127952017917
845050741,129.170430052702,10,3.28352949161804,20,22.8192339562202,0.6,1,19551,2918,0.0105826859793227
518511237,129.228479833201,10,3.01489754108344,20,23.6271382300756,0.6,1,19653,2598,0.0120373585951422
11468774,129.325171563776,10,2.34578235178128,20,24.7084937956514,0.6,1,20169,2712,0.00597490335575819
569579580,129.464280788177,10,2.08253175640495,20,25.3809609223802,0.6,1,21829,1783,0.00796675461570025
76774983,129.707362936728,10,1.029333286579,20,31.2391677350868,0.6,1,23421,1723,0.0202880538605166
570829897,130.096118312577,10,3.70784767303618,20,23.9962684273837,0.6,1,16377,6293,0.00482010595541694
67858779,130.119176142489,10,4.07955003142828,20,22.4125209239727,0.6,1,3223,22835,0.00686268051674229
368728499,130.149913561247,10,4.88341136497179,20,21.7954081929552,0.6,1,17476,5748,0.0108444263052367
26863205,130.196006083136,10,2.23400193907328,20,25.0644526123517,0.6,1,17467,5991,0.0109787744662028
180488744,130.219046225965,10,3.27753434583729,20,23.6168250084187,0.6,1,12475,9056,0.00467183641607809
572509137,130.268952555857,10,2.6848543397203,20,24.4006968317558,0.6,1,19182,3295,0.00737847778781839
520471378,130.322676461159,10,3.46139990426736,20,23.0078031863322,0.6,1,20679,2191,0.0106845463883614
123603699,130.812843406143,10,3.09664637880009,20,24.4699146858074,0.6,1,1863,20183,0.00424155294144913
103954028,130.858702423645,10,4.61347464803195,20,23.2621591262459,0.6,1,21063,3546,0.0145880520390282
167288067,131.080128165943,10,2.57008873182103,20,21.3692576244206,0.6,1,26174,4,0.00653740728126653
109867332,131.194512080346,10,4.28640498189967,20,22.8202907814641,0.6,1,9377,12229,0.0195101987006737
321656720,131.202134128984,10,3.33682827832269,20,23.4560042398444,0.6,1,20165,1646,0.00455668336270695
292360584,131.247857125364,10,3.6232643950735,20,23.0750147851031,0.6,1,17411,5076,0.00888283699788236
827434153,131.297372403259,10,3.07918749210504,20,24.0763911353522,0.6,1,4336,17332,0.010136843929427
878318003,131.764942226679,10,3.20931626648205,20,23.2733739379633,0.6,1,19305,2467,0.00413637700973645
766635107,132.053019654986,10,3.02800046358442,20,23.9060805536068,0.6,1,10470,10791,0.0190113278243815
864354373,132.09466302618,10,4.8916883533004,20,22.1161066246251,0.6,1,349,21488,0.00845765946756471
894657396,132.215732800601,10,4.16988180959513,20,22.6502858685606,0.6,1,18705,2565,0.0108913236418178
345544782,132.397129878257,10,2.3343659546865,20,26.5692783696444,0.6,1,15516,5651,0.00785140710484256
789301065,132.683834735057,10,1.70563679028291,20,29.5162749612498,0.6,1,10775,10410,0.0148143778773486
851867685,132.842011427108,10,3.32184917407992,20,23.5276711859236,0.6,1,15188,6639,0.00489498770953691
489428290,133.06765196696,10,3.90235549832117,20,22.7086046738292,0.6,1,17456,3895,0.0090461843378579
994530342,133.071409401118,10,2.01918860722173,20,26.2856596382816,0.6,1,18034,4119,0.00543132357324973
866690665,133.229125944742,10,1.56873853761226,20,26.8334358547785,0.6,1,21937,2170,0.012761028421149
864404437,133.311664905964,10,4.94650821582728,20,22.3700514045736,0.6,1,12306,10075,0.0314739707310812
566703059,133.46535130887,10,4.79617752810019,20,22.3244552516083,0.6,1,18476,2838,0.00411379107812774
195075683,133.495318269968,10,4.90722480177679,20,22.4746845685439,0.6,1,15805,7161,0.0095522703821513
257732622,133.529023062404,10,3.51412250142656,20,22.4745721995054,0.6,1,21208,2333,0.0124147579786635
