"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
158622628,12.9614813968157,10,2.57240421859131,23.1222700521293,29.2766163203346,0.6,1,3397,18661,0.00806540096368516
978910700,23.0651251893416,10,2.33078821289627,12.413746987399,18.3167262269046,0.6,1,7324,15336,0.00716924530105347
185682383,28.6530975637888,10,2.59489207040591,23.5715077130147,22.2998498974271,0.6,1,27915,0,0.00819342320120397
269728191,29.1890390386528,10,2.41319836558098,17.7372847800732,22.935614422477,0.6,1,6721,14671,0.0063726624898253
574700777,29.5803989154981,10,3.31818628637884,19.4875250286576,22.974286383972,0.6,1,8018,16801,0.00679191660099802
848919342,30.3150127824482,10,4.39894862576466,9.58110057331908,12.2166505508126,0.6,1,327,27102,0.012290134801806
888977443,31.3209195267317,10,1.24435147587923,19.4834294755207,29.7852228574244,0.6,1,27750,135,0.0101212874838402
577590943,31.3847096529504,10,1.1752139684364,21.4139984154623,26.8231913207223,0.6,1,27108,3,0.0112214274277359
409961946,31.8904374382039,10,4.46173031454951,18.537166572221,21.8291727981857,0.6,1,185,24706,0.0101212874838402
536394116,32,10,2.81275360527678,18.8887734346938,23.0231722122255,0.6,1,21699,1969,0.00614506740090297
856677942,32.4807635378234,10,2.09219581509302,10.3401240898012,17.7037419230483,0.6,1,93,26480,0.00819342320120397
367435924,32.6036807738022,10,4.41685025089457,11.6991403126901,14.0308025571735,0.6,1,572,25121,0.0107538679515802
268935505,33.1813200460741,10,2.32246902176118,27.359119616863,28.6470085458942,0.6,1,24347,2,0.0107538679515802
815668585,33.3316666249979,10,4.36828579259229,18.333491423733,21.2234732457474,0.6,1,21100,3514,0.00973935210709152
493337221,33.5261092284804,10,1.19511473155459,5.39153784462658,21.966050755392,0.6,1,237,26518,0.0135838332019961
477533783,33.6154726279432,10,1.93823706890873,4.96845452580338,11.7311433768936,0.6,1,68,27043,0.0112214274277359
144780924,33.8526217596215,10,1.67139172645954,21.864625748922,29.7120048676754,0.6,1,25658,1065,0.00973935210709152
812567734,34.3511280746353,10,4.45446884054698,23.5318406240363,25.0253804905546,0.6,1,26838,148,0.0132355297865603
347814315,34.828149534536,10,3.06227187318016,27.4313791100915,26.2524134078006,0.6,1,25597,0,0.0101212874838402
74639389,35.2278299076171,10,3.78458307945397,21.6976021385514,25.0766369411443,0.6,1,580,21346,0.00973935210709152
135742950,35.3694783676548,10,2.87054836569385,15.207307229564,19.3080578217555,0.6,1,0,27457,0.0055503834588801
671456623,35.6931365951495,10,2.88991694139841,5.83866753353404,11.791871206045,0.6,1,2,28580,0.00874890951992967
836791415,36.592348927064,10,3.79369555560477,28.4764096494842,23.9822086897291,0.6,1,26568,0,0.014338490602107
416306238,36.7287353444139,10,1.59672424174776,28.9887056347369,34.1237825348512,0.6,1,27350,278,0.015641989747753
948461337,37.1483512420134,10,3.55814196734685,7.35755088780852,10.8718279218687,0.6,1,6,27153,0.00938519384865183
934647825,37.322915213043,10,1.00273817444412,13.8795708680005,23.1933784446326,0.6,1,27687,123,0.0109826736526777
125057680,37.6297754444536,10,1.84527685858851,16.7043657083044,23.5161164699595,0.6,1,18339,4396,0.0072702205869838
47482823,37.6430604494374,10,2.21639544252768,11.2606908546783,18.3586045161801,0.6,1,13467,11442,0.00759096561288015
560063112,37.7491721763537,10,2.45988860040494,6.1647678295549,12.4423224754734,0.6,1,7,27019,0.00955899373473797
331649159,37.7888872553824,10,2.2323575205187,18.4324869644768,23.6795574787918,0.6,1,21100,2001,0.00688247548901133
443740814,38.1837661840736,10,2.47391958007123,26.1751132511052,24.8028968240286,0.6,1,26719,0,0.00921760110135447
252320086,38.7040049607273,10,3.3759166374122,8.81569892005865,12.9437420867335,0.6,1,268,26938,0.00806540096368516
209674817,38.8844441904472,10,1.92111953766924,6.97450577839921,15.0465009030847,0.6,1,381,26090,0.0105344012586908
387304761,39.344631145812,10,3.83001930150125,25.2039703113448,21.8774743433158,0.6,1,27988,0,0.0120043177133919
323113241,41.641325627314,10,3.69805288104799,5.68858598202363,9.11035509210697,0.6,1,140,27323,0.0114707924816856
689972855,42.0119030752,10,4.64181097930012,23.5098923209406,23.0525699646412,0.6,1,26895,0,0.0135838332019961
157314670,42.5440947723653,10,2.42467516350349,4.59072597288488,10.0126742708241,0.6,1,31,28229,0.0099266473399202
384181993,42.8485705712571,10,2.15966991073149,25.0827887268833,28.6895081151069,0.6,1,22715,1109,0.00955899373473797
328213061,43.2319326424346,10,1.80127057719857,9.72208749716255,20.3633612012906,0.6,1,377,25183,0.00905588880133071
755776295,43.3012701892219,10,3.21246049939963,22.3723592091622,22.326767463513,0.6,1,28087,0,0.00782099487387652
928092127,43.7035467668243,10,1.12609547635365,10.7694839025514,28.5139273666872,0.6,1,16750,10107,0.0112214274277359
