"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
803977666,9.4339811320566,30,4.19629528349039,7,9.75113889922206,0,1,2025,21564,0.00719696831282426
355532305,10,30,4.74845239825117,7,9.00912845647087,0,1,7144,16418,0.0139143664109354
178219997,10.4880884817015,30,4.83087424669136,7,8.99244224448412,0,1,15093,8983,0.0113583476157143
40645711,10.5830052442584,30,3.65153923948161,7,9.34859824719774,0,1,12614,11795,0.0114709458779907
342037867,10.6770782520313,30,4.8442110327178,7,9.02915075277767,0,1,9211,15562,0.0133602162495183
787621984,10.770329614269,30,3.731200828514,7,10.3972127944993,0,1,4370,19348,0.00629540784894578
808053434,10.8627804912002,30,4.03139475571714,7,9.30242514085609,0,1,12723,12049,0.011728764736241
501827622,11.2249721603218,30,1.725797637128,7,11.0409476286109,0,1,23382,2082,0.0159436244898234
431657650,11.3137084989848,30,3.94404569031436,7,9.63999467761964,0,1,1850,21527,0.00405600172482718
394043923,11.4017542509914,30,4.25612890814282,7,9.29675216152925,0,1,5932,18165,0.0182547935662194
695879547,11.4891252930761,30,3.91340356149015,7,9.2461994854386,0,1,18889,4828,0.00893205744499385
699314399,11.5325625946708,30,3.40680110218774,7,9.65393342011727,0,1,12078,12572,0.00698331006347482
133638585,11.5758369027902,30,3.91383191127611,7,8.99644208843887,0,1,25088,1062,0.00500511286523
606703867,11.6619037896906,30,2.67748978190171,7,10.760321660376,0,1,8297,15331,0.00984189779040294
354613773,11.8321595661992,30,4.60735163174509,7,9.06735314046147,0,1,2470,22882,0.00588994606602835
937483138,11.8321595661992,30,3.68912997175261,7,10.00652537532,0,1,6841,18094,0.0358928667083746
609439601,11.8321595661992,30,2.64009850359115,7,10.446577327972,0,1,3516,19956,0.00481953961354018
737273141,11.916375287813,30,4.36368463729808,7,9.09744333916057,0,1,673,24119,0.00943847124029038
682562773,11.916375287813,30,4.11447306034051,7,9.33869271117191,0,1,220,25670,0.0238746917568418
841340849,11.9582607431014,30,2.42403769430095,7,11.6144713060837,0,1,15276,8196,0.0163268423434367
164061764,12,30,3.16830429476111,7,9.68765885000002,0,1,10206,13626,0.0155941662629454
474510588,12.1243556529821,30,1.60704475224346,7,12.7401183288038,0,1,5603,19538,0.0210651878706895
725307968,12.1655250605964,30,3.74132512409149,7,9.01505072515638,0,1,11596,12903,0.00610304538428965
47022016,12.1655250605964,30,4.68531116510272,7,9.2200601246787,0,1,12109,11315,0.0136218110395372
720402052,12.1655250605964,30,2.93996278007434,7,10.3699249262733,0,1,889,22448,0.00505281487151587
775007093,12.2882057274445,30,2.89616877420928,7,9.88771356475699,0,1,21932,2091,0.00963765597817731
384284341,12.2882057274445,30,4.41911848099578,7,9.29829875563411,0,1,1543,23570,0.00603293472675016
366224276,12.328828005938,30,4.4124008636305,7,9.54946271797979,0,1,1496,22519,0.00722596368853
525812753,12.369316876853,30,4.87791505403058,7,9.20991978753675,0,1,1329,21933,0.0111443100228193
765114979,12.4498995979887,30,4.60926925093279,7,8.79311728296099,0,1,14635,10415,0.00798586009878691
790072107,12.4498995979887,30,2.53936208808619,7,9.74603738654856,0,1,20732,2943,0.00646023299011857
604975783,12.5299640861417,30,3.06931789198061,7,10.8961193676965,0,1,8497,14440,0.00408252715450994
860710053,12.5299640861417,30,3.18432498653946,7,10.186270618681,0,1,11750,11801,0.0113358384679237
53847019,12.5698050899765,30,4.16005514656011,7,9.57491711472068,0,1,5140,20826,0.0115562719101418
790901463,12.7279220613579,30,3.76484238168995,7,9.73466199150272,0,1,508,26465,0.00454260515879336
829240422,12.7671453348037,30,4.74664167183741,7,9.24947312854288,0,1,3808,19341,0.0109457202992798
53773354,12.8062484748657,30,2.88849328909065,7,10.2933090422784,0,1,13067,11703,0.00336946309664453
387054734,12.8840987267251,30,4.3286502426526,7,9.63546525765194,0,1,4253,19894,0.00968422723970968
254269433,12.8840987267251,30,2.62853176485145,7,10.0245929283875,0,1,16687,8696,0.00941818165853796
798514793,12.9228479833201,30,4.2073473649705,7,9.36813114846484,0,1,1997,21680,0.0106662794688709
787117460,12.9614813968157,30,3.93154421159988,7,9.81227252528488,0,1,7317,18156,0.00947161489233765
586418821,12.9614813968157,30,4.08018652680718,7,9.62586566936909,0,1,14316,9375,0.00477906757785784
986170552,12.9614813968157,30,4.70148574538191,7,9.31686192047788,0,1,10798,14325,0.0126537210008873
506932947,13,30,3.64983647016335,7,9.50201444313675,0,1,19604,6144,0.00658599946515847
105157069,13,30,3.67224895648183,7,9.16121647721114,0,1,10676,12889,0.0100169105326467
128023596,13,30,3.07670651170675,7,9.65054600649322,0,1,21167,3359,0.0138039316473346
638795548,13.0384048104053,30,4.71394695459416,7,9.62790527710275,0,1,3832,20764,0.0163242762633757
347370203,13.1529464379659,30,1.99696154524913,7,12.7876491645628,0,1,3386,21424,0.00920401371016291
701197078,13.1529464379659,30,3.40300104334013,7,11.0230898194776,0,1,12251,10996,0.00641048486583701
896697284,13.1529464379659,30,3.07679269667462,7,9.38188977265909,0,1,16043,9484,0.0038684904902008
899479248,13.1529464379659,30,4.5317674084305,7,9.47008049088228,0,1,17167,8109,0.00790831802082984
727567233,13.1909059582729,30,4.09175347484798,7,9.29708288816406,0,1,15850,9502,0.00829494420277259
156279613,13.1909059582729,30,4.81711054453937,7,8.9514362703056,0,1,7635,16600,0.00545321783846674
927231943,13.1909059582729,30,3.39979334823142,7,9.24693749031973,0,1,20840,2890,0.00902931836735675
689883609,13.228756555323,30,3.47188950027813,7,10.153136796588,0,1,13374,13823,0.0168476697077087
614829304,13.228756555323,30,2.13720781191109,7,9.37577723900806,0,1,26263,760,0.0148785440494572
550209571,13.228756555323,30,3.84878600740058,7,9.26784428952988,0,1,2984,20718,0.00824291612846872
171215375,13.228756555323,30,2.82151158631205,7,10.6153870216207,0,1,23545,3358,0.00380512554517292
554100771,13.2664991614216,30,4.5061593002447,7,9.50840079990163,0,1,796,25074,0.00593396823941674
1311572,13.3041346956501,30,3.06376960063553,7,10.570704714444,0,1,1808,21265,0.00447597048684054
586737490,13.4164078649987,30,2.15650025499676,7,10.7442366905419,0,1,10812,12137,0.0129704562909065
866762470,13.4164078649987,30,4.32424583162806,7,8.75577597472072,0,1,9914,14440,0.00453132814925015
435764896,13.4164078649987,30,3.18952294295462,7,10.2954016566807,0,1,3169,21611,0.0063554253720665
926030012,13.4536240470737,30,2.49782361492794,7,10.6576469776398,0,1,3066,23112,0.00702489985924026
367751100,13.490737563232,30,2.14884620576954,7,10.7893142132853,0,1,19837,4317,0.00887340595545751
