"seed","dist","mu","s","t","tend","d","a","wt_cells","mt_cells","weight"
331883007,8.60232526704263,10,2.61521522937325,7,16.6201412012876,0,0.05,10049,8502,0.00806932593143166
520931398,8.71779788708135,10,2.14075497778946,7,16.7195318392615,0,0.05,7410,10968,0.00609877614924321
865286368,8.94427190999916,10,2.3344437888267,7,15.8870793239859,0,0.05,8144,10127,0.00239097745749878
950906467,9.1104335791443,10,4.63831354397348,7,11.7793924104839,0,0.05,2641,14668,0.00522607464301668
147645050,9.38083151964686,10,2.91448873619794,7,14.462380932317,0,0.05,2746,17210,0.00490331889727611
573871138,9.69535971483266,10,3.5374147308098,7,14.6549505186045,0,0.05,4892,13387,0.00807705090727243
754260724,10,10,4.71579066765424,7,12.2006561579151,0,0.05,3148,13916,0.0125468083544612
449815537,10.1980390271856,10,1.9701827564317,7,17.5097582880027,0,0.05,9092,9014,0.00573659984475162
976229457,10.3440804327886,10,3.0768981846808,7,16.9409587877089,0,0.05,12130,5639,0.00559010303740612
368531264,10.5356537528527,10,4.15716088251728,7,12.4299921883732,0,0.05,2507,14891,0.0070088228902843
140910924,10.5830052442584,10,3.12710337339348,7,18.7062638865706,0,0.05,16390,1595,0.016298615659953
526467343,10.6301458127346,10,3.19026948432789,7,13.2263255289113,0,0.05,3617,13685,0.00373779467169802
888918623,10.6301458127346,10,1.48401366943492,7,20.884247717087,0,0.05,13226,5500,0.0161202857821594
691816210,10.7238052947636,10,4.02635090456457,7,13.0049412883086,0,0.05,3229,15256,0.00530095977685063
211396887,10.7238052947636,10,3.07665489098439,7,14.0237875708062,0,0.05,3363,14269,0.0045414850572972
500223410,10.770329614269,10,1.93094080964913,7,18.146309729284,0,0.05,11416,7054,0.00803272725664252
111052424,10.770329614269,10,2.20433606521788,7,16.5369518283171,0,0.05,7471,9941,0.0353015324404021
537864619,10.9087121146357,10,2.44094267655223,7,15.6684221979689,0,0.05,10358,7164,0.0128382619595601
98802573,10.9544511501033,10,2.40607216409321,7,16.7795433109675,0,0.05,12039,6750,0.00588821414299092
940519364,11,10,4.66062022756046,7,11.8016773130105,0,0.05,1592,17085,0.0178771277366785
916824599,11.0453610171873,10,2.75051074313168,7,15.600278605337,0,0.05,7156,10661,0.00580895601109941
621455831,11.0905365064094,10,3.44527657897988,7,13.2871838262565,0,0.05,3900,14284,0.00707808310084772
736781214,11.2249721603218,10,4.95092145163408,7,11.6429163283265,0,0.05,1556,17692,0.0183617407445152
801808373,11.2249721603218,10,2.48071458020472,7,16.4822286852384,0,0.05,3751,16041,0.00960170868166226
985246462,11.2694276695846,10,2.16255699771374,7,16.9902704380945,0,0.05,9627,8464,0.00801844563196424
802851089,11.3578166916005,10,3.00373767407554,7,14.6792854999194,0,0.05,3235,14734,0.00761418346804146
948914912,11.4455231422596,10,3.18559535033201,7,14.0770102803533,0,0.05,5510,11520,0.0048318289395094
410271035,11.4455231422596,10,4.28496329087245,7,11.9332081689866,0,0.05,2425,15342,0.00538125481975383
699664019,11.4455231422596,10,3.59973020933419,7,16.8567911488577,0,0.05,11412,6120,0.00973236757695856
10670965,11.4455231422596,10,2.10022415239094,7,16.6333769188255,0,0.05,11604,7115,0.0113138171548989
960614580,11.4455231422596,10,3.22371527630814,7,13.9826529958331,0,0.05,2791,15041,0.0106316146428302
326247419,11.6189500386223,10,3.33082406911687,7,13.2590214754982,0,0.05,5361,12117,0.00410565297580765
966576583,11.6619037896906,10,4.74427799668965,7,11.4307260192714,0,0.05,1576,15629,0.0109019215250767
386491240,11.6619037896906,10,1.75598512812953,7,18.8336462252345,0,0.05,5522,13614,0.00384681262024409
25012337,11.7046999107196,10,3.30864849295677,7,12.9170483479881,0,0.05,2819,15103,0.00565100802300101
256785610,11.7473401244707,10,1.92087321802448,7,17.4323303073394,0,0.05,6882,10610,0.00877933087057089
269229689,11.7473401244707,10,4.4761919536999,7,11.3435737920929,0,0.05,1538,16858,0.00969028156944829
371884367,11.8321595661992,10,4.18528837423682,7,13.0545469122944,0,0.05,2456,15300,0.0227367054068838
516466140,11.916375287813,10,3.82860516479478,7,12.5734756512282,0,0.05,3083,13970,0.0129310816555345
795316232,11.916375287813,10,2.28105594291854,7,16.7699268425946,0,0.05,6587,10849,0.00547110541727853
342266730,11.916375287813,10,4.82443939026371,7,11.8405304138085,0,0.05,2017,16612,0.00700505029465909
304704319,11.916375287813,10,3.86292164669657,7,13.7000455863809,0,0.05,3419,13862,0.00683604838692828
263553280,12.0415945787923,10,2.92165710900579,7,14.1316950817232,0,0.05,2971,14851,0.0131058584867569
345672375,12.0830459735946,10,2.16845808667946,7,17.8121998452626,0,0.05,8920,10035,0.00830852483863246
952220154,12.1243556529821,10,2.26533411149417,7,16.3215615262354,0,0.05,13182,4038,0.0231265601112093
82791869,12.1243556529821,10,2.34527642153909,7,16.3767249810785,0,0.05,4911,14815,0.00814546936557573
798232474,12.1655250605964,10,2.35411205902817,7,16.7384358234443,0,0.05,6826,11176,0.00510958003021073
704854623,12.1655250605964,10,3.63006995814078,7,13.4787858938324,0,0.05,2830,14250,0.0033217561258773
829594462,12.2065556157337,10,1.9505372531454,7,16.4963558204851,0,0.05,10028,7951,0.00633635151909737
699104358,12.2065556157337,10,4.67700884953575,7,11.28669932862,0,0.05,2408,14886,0.0191604227886602
25467169,12.2474487139159,10,1.75600285370538,7,17.7439474373204,0,0.05,11452,6945,0.00982123274328114
516978281,12.2474487139159,10,4.12103833799853,7,12.6464295276398,0,0.05,4286,12775,0.00409091459107036
712298324,12.2474487139159,10,2.53490632231773,7,15.8093117041902,0,0.05,11219,6366,0.00283159141739506
970893774,12.2882057274445,10,1.72940672287056,7,19.990121443416,0,0.05,10744,10150,0.0175379771327547
303045705,12.328828005938,10,3.7705798756073,7,12.3038667473386,0,0.05,2239,16771,0.0118640704861858
730853064,12.328828005938,10,3.47899786904178,7,12.9573511059679,0,0.05,2427,15128,0.00691221669636489
288076457,12.328828005938,10,2.9623871496983,7,15.118958852741,0,0.05,6012,11730,0.0110136347832686
127227664,12.369316876853,10,2.09566792008393,7,18.3159865006612,0,0.05,13162,6183,0.00472710331133485
421119612,12.369316876853,10,4.58062690571072,7,11.4777168648065,0,0.05,1803,15779,0.00544321145115084
900418359,12.369316876853,10,2.80303687486229,7,16.0501850671045,0,0.05,10180,8231,0.0116608460889858
45000255,12.369316876853,10,4.75948724136187,7,11.9304765625673,0,0.05,1369,16451,0.0291310823318469
570804042,12.4498995979887,10,1.87224504859092,7,19.179351379964,0,0.05,11649,8142,0.0123635939060169
698846816,12.4498995979887,10,4.41583210316923,7,11.5950950975995,0,0.05,1207,19297,0.0200817824040645
155422393,12.4899959967968,10,3.84192724148926,7,12.3184186718282,0,0.05,3991,13956,0.0103149180950758
825574471,12.5299640861417,10,4.3112166159085,7,12.5324037617496,0,0.05,2469,15277,0.00586900937187291
530968899,12.5299640861417,10,3.94756577047798,7,12.3792797427672,0,0.05,3583,13431,0.0219978522025111
121495735,12.5299640861417,10,2.21413637251691,7,16.1850861583841,0,0.05,11223,7324,0.011130161431531
397496492,12.6095202129185,10,3.16294027697047,7,14.1615198023545,0,0.05,3835,14301,0.00980235537277991
948366186,12.6491106406735,10,1.9362542035825,7,17.5059436013459,0,0.05,9832,8834,0.0115638193977592
747664038,12.6885775404495,10,2.49713726380623,7,16.7932390317928,0,0.05,5501,14381,0.0182549685551779
158163409,12.7279220613579,10,3.14669148222267,7,13.3126693259713,0,0.05,2511,15386,0.00409138471662454
624408880,12.7279220613579,10,2.25512021523336,7,15.2477397114258,0,0.05,9526,8661,0.0313929493028582
533349325,12.7279220613579,10,3.8772913144129,7,12.7398215191463,0,0.05,2664,16024,0.0132217044151397
447579572,12.7279220613579,10,2.69615075905327,7,14.9702012713484,0,0.05,6852,10175,0.00498295737827312
612405025,12.7671453348037,10,2.85192657481808,7,15.2929740714096,0,0.05,5089,12421,0.00301234637338807
991339901,12.8062484748657,10,3.95282045181342,7,12.9563472822529,0,0.05,1991,17688,0.00550083826019281
379938427,12.8452325786651,10,1.87262222117917,7,17.3322117212027,0,0.05,11314,7401,0.0036709706696039
355389653,12.8452325786651,10,1.98193196589142,7,19.2900870386519,0,0.05,8493,9268,0.00856620967392793
795013120,12.8452325786651,10,4.40359760494452,7,11.4677866038898,0,0.05,3000,14014,0.0106420432694983
617613759,12.8840987267251,10,1.78955216106989,7,18.4104108944809,0,0.05,11062,7680,0.00528401215856803
6358010,12.8840987267251,10,1.90424455074841,7,17.9567082142553,0,0.05,12493,7656,0.00806384750798872
904032651,12.9228479833201,10,4.91739849916029,7,11.8975217128993,0,0.05,3335,13741,0.00677809335806573
286302021,12.9228479833201,10,4.84623007677717,7,11.8657096062749,0,0.05,3050,15334,0.00504321226469646
83492496,12.9614813968157,10,3.10788205950193,7,13.9699349062335,0,0.05,5026,13584,0.00725544777429435
688879789,12.9614813968157,10,2.50488779920943,7,16.6412057853712,0,0.05,11553,6800,0.00809057071358246
637030303,13,10,1.99776289622464,7,18.0046307245452,0,0.05,9936,7545,0.00824187488894451
327516929,13,10,3.0369208345263,7,17.6568702175839,0,0.05,13221,5918,0.0108063284140253
520403606,13.076696830622,10,3.20917325880263,7,13.7061564220019,0,0.05,3257,14342,0.00968910671095037
699909285,13.076696830622,10,2.56584802947184,7,15.2448109949675,0,0.05,2450,17659,0.00730822444050666
321260141,13.076696830622,10,4.21129104109818,7,12.6562589327322,0,0.05,3154,14624,0.00969359764642099
656744430,13.1529464379659,10,1.89802454953475,7,18.558733475411,0,0.05,9257,9783,0.0131424594967296
275255393,13.1529464379659,10,1.81045319144661,7,17.8614685183573,0,0.05,10727,8134,0.00818427770991873
96089308,13.1529464379659,10,2.71927661071818,7,17.35989538806,0,0.05,9493,8942,0.0114923045030333
903111632,13.228756555323,10,2.71767094887537,7,15.7616757601779,0,0.05,3365,15571,0.0259397555438382
978697837,13.2664991614216,10,2.46654111674553,7,15.135500924366,0,0.05,6937,10239,0.0145872747491245
769165906,13.2664991614216,10,4.70859962267702,7,12.2267313861856,0,0.05,1900,15599,0.00591621612825243
