"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
637543426,1281.01678365274,676,15,3.29566394154742,21.9359202548828,25.0572852211069,0.599022189202024,1,22343,2656,594,698,0.00688716470660835
859577483,1507.64883179075,540,15,3.13404150106247,18.0892755344598,21.8077302300464,0.496129395680415,1,7761,12563,209,788,0.00441088076715367
883415714,1642.69230228914,564,15,3.70703901175114,19.1612239613045,21.817335139378,0.694963246420687,1,6207,13056,210,802,0.00769741937797403
8318983,1713.40567292162,608,15,1.36329720102137,19.3503603482364,34.0241741920964,0.719164945732146,1,3035,22790,12,1234,0.0126634963960218
8318983,1713.40567292162,608,15,1.36329720102137,19.3503603482364,34.0241741920964,0.719164945732146,1,3035,22790,12,1234,0.0126634963960218
758498712,1751.00571101296,366,15,1.23812671753107,13.1415768993618,29.4297505292137,0.612394803982234,1,2457,21770,58,1039,0.0106099564399102
506182900,1839.78830303924,208,15,2.4241404586051,21.3325149366651,23.7442860640412,0.542496552190479,1,27237,4,729,208,0.00654280647127793
594083092,1866.17174986656,261,15,2.4424885516637,5.86074137367644,13.7099257880491,0.940906104264259,1,50,27984,0,984,0.0170681907946381
145764044,1980.6150559864,666,15,2.62450908280438,21.6413363221984,29.0646324378445,0.913891585873116,1,45,19974,0,1287,0.0112162396650479
145764044,1980.6150559864,666,15,2.62450908280438,21.6413363221984,29.0646324378445,0.913891585873116,1,45,19974,0,1287,0.0112162396650479
97092072,1997.58078685194,198,15,3.09523587621192,22.9188203439374,24.0924309358359,0.519720040890224,1,27609,20,709,198,0.00603951366579501
97092072,1997.58078685194,198,15,3.09523587621192,22.9188203439374,24.0924309358359,0.519720040890224,1,27609,20,709,198,0.00603951366579501
31646438,2122.13925085042,355,15,2.63596906033667,17.6571826226796,21.0865785869269,0.506400792539103,1,18635,5173,412,402,0.00496922010476805
359031865,2505.82461477255,314,15,3.84659536000095,9.71583434973623,13.6288746194523,0.416044332711079,1,8788,15788,132,654,0.00701014979065492
559493361,2552.26801100511,400,15,1.77146033781754,19.9036593839209,28.3241819197417,0.676553015916402,1,4617,17146,131,789,0.0100658561096583
286688315,2682.22705973972,617,15,4.13769654441206,20.639137877678,23.4983889580202,0.79516479539212,1,189,26066,0,1098,0.0115461290669611
640085374,2744.98779596559,646,15,4.96944052789781,20.9147112579953,23.7054425823602,0.702602294066656,1,956,23954,0,1077,0.0140202995813099
415127751,2757.52824101586,473,15,3.04699986916096,27.0392836194695,31.081191630215,0.685471528630619,1,509,22528,0,951,0.0100658561096583
827047331,2801.29951986574,342,15,3.761835848641,18.4606816941171,22.1787559784518,0.680627695380265,1,49,27653,0,912,0.00740695072220143
645027176,2860.27813332899,195,15,1.18859241910215,13.7566952963808,26.9142780384534,0.630047673565255,1,26144,862,516,196,0.0109046774521299
808317637,2876.72991432981,0,15,4.11905795895494,28.6408201825268,24.6661469245842,0.598861529917671,1,27650,0,768,0,0.0130856129425559
759529278,2920.80382771593,750,15,4.85643395491227,27.4872916440799,29.9653876423688,0.854309924827228,1,201,24922,0,1122,0.0218093549042598
759529278,2920.80382771593,750,15,4.85643395491227,27.4872916440799,29.9653876423688,0.854309924827228,1,201,24922,0,1122,0.0218093549042598
102750228,2940.85531776046,395,15,3.46450394969451,14.1481948302467,17.2784309228928,0.47908335985015,1,469,24876,0,838,0.00490710485345845
548158743,2981.36109855884,425,15,3.00255743770607,17.5768976009667,21.2419829180914,0.557619717629087,1,3678,17334,51,787,0.00451228032501927
301751242,3001.56059409101,291,15,2.0600755369483,16.148270524618,25.1269578193722,0.880934097596508,1,45,27809,0,865,0.0106099564399102
