"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
548547406,491.559762389071,1154,25,4.49375224250483,24.5808388938634,27.3846590206251,0.7,1,9712,16082,453,1506,0.00772483202956728
816317097,511.04598618911,1225,25,4.7907320715729,27.6884209589575,29.9232842079732,0.7,1,10533,15205,410,1612,0.0465842944796959
243771880,552.75310944399,1217,25,3.08008015179844,26.7764124691863,30.2604048065092,0.7,1,7060,13660,303,1710,0.00618855147727206
222844914,680.290379176422,1076,25,2.23868107743818,29.2046766466936,34.9766491778552,0.7,1,9691,15587,318,1594,0.014282260571242
99048292,696.49048809011,960,25,3.24938894404927,25.8335374937236,29.7783567130628,0.7,1,7193,14107,615,1320,0.00248372608225712
316294124,715.211157631087,1210,25,2.08448663994487,23.2758804754787,31.4001961739246,0.7,1,7327,12631,286,1843,0.00263432502087641
218127945,741.074220304552,1197,25,3.16156176166254,25.7544850121693,29.9888176987594,0.7,1,10341,14528,511,1556,0.00429764390424618
607156561,830.662386291807,1273,25,4.15233225766327,25.3584113805359,28.7126275235568,0.7,1,8843,15640,277,1761,0.0092045190452757
435174909,832.431979203106,1229,25,4.28259321368686,27.4545931106204,30.3010269153361,0.7,1,7482,16515,283,1783,0.0115651713334188
740928959,879.857374805712,1347,25,4.81307676666945,24.4037204181319,26.686202278616,0.7,1,7600,14395,333,1711,0.0235425572707288
448804650,930.914066925621,808,25,3.38778906403844,25.5506064751309,29.3541530959566,0.7,1,7226,17861,513,1410,0.0126204265979427
181554611,940.682199257539,1111,25,2.0049699624919,26.3941114274148,34.4683300022177,0.7,1,9669,11483,427,1602,0.00763719222486121
489232804,946.079277862062,1110,25,2.87967651559697,21.6833947539255,26.3485231231111,0.7,1,6068,15416,226,1836,0.00268676510200944
997279175,986.849025940645,1331,25,4.08559871602902,21.3652311144093,23.7624308678998,0.7,1,8299,12058,257,1802,0.00356869659578682
519543333,1018.07809130734,900,25,2.00442914284134,12.1120674948066,22.0291101368323,0.7,1,5364,14656,255,1673,0.012559938490666
190536841,1018.23180072123,1258,25,4.19784149395621,26.4150202300721,29.0118120697986,0.7,1,9450,10522,318,1623,0.0238245867180212
291360150,1020.10587685789,934,25,2.31697476896441,20.6943506355435,26.6104959337706,0.7,1,6827,15804,345,1450,0.00640401423475715
621431855,1034.28767758298,1317,25,3.22790692819004,27.1507785945414,30.6842111024164,0.7,1,9528,16136,388,1748,0.00283210219812248
675671282,1038.52635980027,1249,25,2.77749835594024,23.9684191964936,28.4828832462108,0.7,1,7667,15428,270,1720,0.00406304278590935
551268535,1049.53037116608,907,25,1.69581332128498,23.0081865953312,33.7273429556814,0.7,1,7597,15490,285,1688,0.00842886576683533
327733283,1058.76106841912,937,25,4.31534873915995,21.7737773673937,24.1372655584692,0.7,1,7662,15228,274,1478,0.0186846527316334
623623327,1058.97497609717,915,25,3.67254996658579,19.1065544074343,22.6775350497096,0.7,1,11746,16035,521,1331,0.048071192834914
220477615,1067.07309965157,806,25,1.61028670884948,14.646931731481,26.1110061037255,0.7,1,6166,15829,399,1592,0.0102943947893729
994603655,1093.62973624532,1007,25,4.34580950880206,24.7039493554729,27.9890323455039,0.7,1,7988,16838,368,1431,0.0212604750764807
102709230,1116.07437028184,970,25,2.91130591536747,22.7917168651358,26.2252038885327,0.7,1,11051,11644,561,1306,0.00748915029952055
711953148,1146.43054739483,1231,25,4.43971724948201,23.176824600425,26.2037115868688,0.7,1,4926,15531,359,1733,0.0346709801442028
152249520,1185.25777786944,1052,25,2.28945373311133,19.3584008048609,25.6328197293879,0.7,1,12223,10485,563,1387,0.00306050014709123
721115691,1192.30574937807,1028,25,4.24178283066795,21.9133830122226,24.5643854120202,0.7,1,9614,11420,417,1496,0.0118950707662024
511010563,1195.96822700271,1260,25,4.4994163153702,25.1233117698147,27.3278715635638,0.7,1,5641,14778,302,1667,0.003653667569747
