"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
579740184,157.863865403074,137,10,3.55709044142413,6,8.38500662051566,0,1,14537,9955,112,246,0.00901903103825419
32972345,171.682847133894,132,10,2.7329816372123,6,8.90311739421429,0,1,16088,9110,106,231,0.00945952523457778
310279081,210.230825522805,135,10,4.67231611227902,6,8.05017731466909,0,1,11560,12067,91,269,0.0149995667124049
139866214,210.855400689667,178,10,2.66254904904896,6,9.48494922679789,0,1,17329,5631,112,244,0.00908563095653123
293316892,266.550182892453,245,10,2.87896299500044,6,8.97047214663817,0,1,14676,8776,81,337,0.013580566090414
299214424,280.344431012995,149,10,4.69475894193321,6,7.91327066612876,0,1,16952,7359,107,215,0.01768699922778
144552088,282.909879643677,96,10,3.44414998657337,6,9.42497460429516,0,1,11501,13265,99,252,0.00980470977341718
107335185,293.410974573208,185,10,3.25026588003437,6,8.91732533868517,0,1,19498,8898,101,230,0.00957747911610465
430689584,310.382022675283,127,10,3.76734021883518,6,8.67913234089684,0,1,18257,5701,137,215,0.00657634751652503
215383721,311.64402769827,144,10,4.69334806009114,6,8.43316517865286,0,1,15240,9622,102,232,0.011115067424485
697404077,314.866638436021,98,10,3.34963763108205,6,8.89646480136412,0,1,15174,9732,122,196,0.00608927304890765
35360726,315.844898644889,174,10,4.54255462051603,6,7.84180606308595,0,1,20337,5735,92,235,0.0160146501758712
93069212,320.190568255844,171,10,3.10872929284704,6,8.71149327258405,0,1,10275,12213,51,318,0.0058713658136658
788430255,331.882509331239,140,10,3.44022257068747,6,8.69928924036632,0,1,15570,4923,129,202,0.0104339871967366
443196481,341.175907707446,154,10,2.37318792059521,6,9.81760491197181,0,1,17238,6083,90,227,0.00955777634208669
273996689,344.633138278953,153,10,2.38409484003937,6,9.80225739606598,0,1,21673,5736,132,204,0.01079240780956
63308868,350.831868563846,94,10,3.85142601351517,6,9.06467404062242,0,1,21351,6472,178,147,0.00571914807708651
797696725,351.350252597035,161,10,2.55869812613046,6,9.70206344291229,0,1,20931,6946,95,228,0.0074565055598061
245815462,366.762866168319,103,10,3.0973313146968,6,9.59858154599376,0,1,19499,5309,156,182,0.0160213129914562
520331868,381.579611614667,116,10,2.60510402478293,6,10.3906785023716,0,1,20651,3945,204,177,0.0103865616194526
166431500,385.537287431449,147,10,3.41705090662003,6,9.29163044540818,0,1,8735,12750,54,331,0.00352170105029254
234603252,386.293929540706,130,10,2.95141799283576,6,8.74985792174756,0,1,15365,5175,143,201,0.00712754735124018
407941580,390.701932424195,88,10,3.97049761428729,6,8.98670263725804,0,1,14277,9704,155,174,0.0201036667825484
433835467,397.453141892224,121,10,4.10316788317396,6,8.92747619649701,0,1,8937,13406,47,303,0.00997367342400713
528491268,409.304287785994,110,10,2.25470397301533,6,9.8121926141333,0,1,16588,5771,155,170,0.0103997922522611
67427256,409.975609030586,166,10,2.35339145372202,6,9.57989865504375,0,1,22865,5125,128,215,0.011466967287352
765771823,410.801655303384,129,10,3.80299816305554,6,8.10026000985773,0,1,22828,3414,158,162,0.00746973120465669
977790071,413.649610177503,68,10,2.80684302581358,6,9.58505877721358,0,1,14178,8660,155,155,0.00470635653395554
881524097,415.980768786251,110,10,2.95790467143446,6,9.57941853519422,0,1,17316,6813,136,173,0.0107441259851488
575311075,420.887158274044,71,10,4.68388977155207,6,8.42308229542339,0,1,399,24233,0,356,0.0198762486189736
415277841,430.656475627617,144,10,2.99928700337118,6,9.32469216458925,0,1,12050,12828,59,284,0.00798638177907436
363055540,431.638737835241,139,10,3.20394687702298,6,8.58349710602842,0,1,22498,4067,156,175,0.0107955451374116
864667206,437.587705494567,111,10,3.34621771551112,6,10.3737045152056,0,1,23613,3754,166,146,0.0102389509988133
877837761,438.630824270251,117,10,2.62573552511091,6,9.40634342492785,0,1,15525,12429,116,213,0.0104491363614506
539969749,442.387838892527,129,10,3.03041362751091,6,9.47140008257301,0,1,9289,13205,43,288,0.0047239036554061
625014897,442.672565221745,125,10,2.19163860416591,6,9.61916321956263,0,1,16761,7705,127,189,0.00659193416685504
