"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
44804233,229.773801813871,466,30,3.89522724235016,7.18310570700396,9.6258827842718,0,1,13997,11731,233,762,0.0069589336039854
88917208,258.586542573275,474,30,4.00104251449057,8.70619175907017,11.0755798540823,0,1,16271,10874,268,709,0.00410778805986756
842132164,281.371640361995,443,30,4.0947073013995,8.4704256673412,10.4896395144301,0,1,15777,10448,223,726,0.00847743926540937
937012959,293.375186408121,419,30,3.12803688648807,7.02618125408574,9.89104534408343,0,1,14485,14056,188,816,0.0024954750934896
131362408,300.820544511175,365,30,3.69281728354547,7.73095078203362,10.3420658793999,0,1,13198,12547,237,734,0.00286379966251889
784613340,303.415556621608,409,30,3.02041715932348,5.68472893627348,8.87185602030132,0,1,14005,11387,212,799,0.00598925233502181
526026885,316.286262743104,222,30,4.17175982698955,7.23816902680178,9.93764345277302,0,1,13860,13815,243,696,0.00198111040583812
926054550,348.82373772437,336,30,3.84649563577474,6.88784177384084,9.34391404012,0,1,13190,14213,352,666,0.0030897575003732
925783040,360.083323690504,474,30,2.7038748593726,6.5828453873714,9.72505706713215,0,1,17092,10566,220,741,0.00404469572262098
874242726,377.996031725202,441,30,3.59552516019161,8.3959145017097,10.9937897398355,0,1,12686,12617,184,872,0.00255366044194314
177296606,390.800460593383,319,30,4.00346171419243,14.5020751341238,16.9716725836402,0,1,13302,13801,298,630,0.343877163251824
45548801,392.759468377275,324,30,2.77397781877941,5.61051668391621,8.65171329588583,0,1,14030,11560,369,611,0.00827683964715734
817622393,395.710752949677,453,30,3.23331912175506,6.70461514050061,9.63206832111743,0,1,13331,11279,158,774,0.00181814464843456
330977924,397.171247700535,405,30,4.55830132332087,6.32456631314023,8.35603663273807,0,1,11611,15416,238,812,0.0034319015572717
698894980,421.193542210704,393,30,3.28351027366218,4.73773406438841,8.09509937715913,0,1,15057,12041,258,683,0.00295277348615624
993867465,449.470799941442,412,30,3.23890731441548,6.52353770094255,9.35179858578914,0,1,16019,10757,283,681,0.0116476896016582
961677187,461.237465954361,407,30,3.79208996858766,8.05582803446155,10.4212575716544,0,1,11840,16009,168,850,0.00165554446369789
346584720,470.233984309939,428,30,4.70822712180589,12.398127797368,14.6989636856092,0,1,16126,11429,255,752,0.019771399588188
260093258,473.191293241961,344,30,4.05324027342536,10.0716501754344,12.6075308600548,0,1,14778,11342,292,649,0.00260663182274169
547657130,475.449261225633,280,30,3.71553637364781,5.81847346029904,8.92906939302995,0,1,12285,13532,208,705,0.0155779486258669
612322951,476.88887594491,435,30,4.51449617911685,10.8397528556181,12.9767744044581,0,1,11599,15298,160,815,0.00613042326820841
748656151,485.536816317774,439,30,3.69164297360452,7.89692233874966,10.2802514737318,0,1,10673,15291,115,864,0.00575090534749341
554971752,495.478556549121,391,30,1.85419448641442,4.58059253089803,9.26444961309464,0,1,16802,9025,321,612,0.0133884791721085
957604490,501.954181175932,491,30,3.06645050884663,7.34006170846084,10.2867765340645,0,1,11067,15096,112,936,0.00451965048298591
463913920,503.639752203894,390,30,3.37930574862725,7.98221014740326,10.9217946700546,0,1,11083,17137,119,885,0.00667692690320504
197857598,508.006889717059,419,30,3.84132412301704,7.57848588806821,10.7649514696884,0,1,15805,9212,251,736,0.00689791496183722
942250947,508.771068359827,340,30,4.95515559090426,8.40732407625872,10.3250343428797,0,1,12676,13131,244,689,0.00522344136739052
768805910,518.545080007515,302,30,3.31250449688395,4.93654015451581,8.45490741000885,0,1,10473,16198,183,742,0.00233584521138213
511758235,522.591618761725,324,30,3.27733151849328,6.6411819351768,10.2881488285657,0,1,12769,15872,196,710,0.00201016581286342
622964812,547.657739833922,569,30,3.12197079400454,7.9599280827077,10.5606995371386,0,1,19886,6312,228,731,0.00234508744621997
628947834,548.13684422779,306,30,4.59571625449114,6.18840921530966,8.95196636478012,0,1,9154,17236,213,771,0.00524455881896646
160033545,551.350160968508,355,30,3.05364693319441,5.24658481074606,8.44135654041892,0,1,8804,15968,194,794,0.00452654504294726
54573493,553.749040631223,428,30,4.41285013387553,6.45222566281581,8.52394489966221,0,1,11245,14293,149,810,0.013793524856018
929265327,557.917556633594,381,30,4.91397841685883,6.15042567181238,8.37246100451521,0,1,11163,15803,184,776,0.00562833037048577
985157125,575.084341640424,264,30,2.67129110831518,7.6373364754448,11.0647919352814,0,1,14052,14710,241,637,0.00165773944366185
325616019,576.886470633521,371,30,4.45197790516839,8.71823865588495,10.7563197913083,0,1,13147,12623,212,702,0.00202571228241962
873921269,582.847321345822,535,30,4.71045377380939,8.24916206683015,10.2454320549127,0,1,12197,14518,84,969,0.00226317033487353
172893915,586.902036118465,347,30,3.74534550300249,6.74319760866858,9.50161920698934,0,1,13760,14652,119,787,0.00350540205514274
553930911,590.838387378478,558,30,4.76181386086593,12.7615171981951,14.6464126940015,0,1,12309,14104,108,924,0.042105579077665
216033007,595.81205090196,360,30,4.62532572268776,6.77238156385008,8.78687054495791,0,1,9932,17547,150,878,0.00488242461284653
515070333,603.432680586658,630,30,2.59911255788152,6.48637422005481,9.49396718754501,0,1,23399,4338,226,701,0.00671420262054915
238881462,604.38481119234,441,30,4.6075173644671,6.84438456069477,9.24701310520179,0,1,15638,11234,317,715,0.00751034564137108
775182086,606.404155658584,263,30,4.76698099571284,7.54485187223377,9.42895662417913,0,1,10312,14400,173,729,0.00346242312157937
383373516,606.962931322828,485,30,4.93528581382216,6.38362023664107,8.10967277852937,0,1,11589,15412,137,822,0.00329370936631914
693864323,613.464750413583,377,30,3.79215999266247,7.99220068002856,10.6449794156336,0,1,17119,9557,300,544,0.0148098299154975
510268866,643.836935877401,277,30,2.44150467251773,8.11482907546952,11.3910332622328,0,1,14822,13832,324,608,0.00608203680321666
607008124,652.604780858982,298,30,3.19887047636434,6.1350106408717,9.33086685322223,0,1,16762,11393,274,574,0.00233136458785553
724152262,675.019999703713,370,30,2.94703806641174,6.80447169147586,10.28429080746,0,1,17706,9005,344,599,0.00340505835491557
418361914,679.643288791996,367,30,4.13627644678698,8.57844782069538,10.5681257803281,0,1,17393,9793,295,605,0.00906151330853638
305791188,685.285342029143,282,30,3.83209398795975,6.33055132125109,9.36094259817283,0,1,14827,10627,305,571,0.00861168254466142
328229426,686.291483263489,288,30,2.98964775961318,6.53158648048177,9.80166514907974,0,1,10645,14484,198,710,0.00241658507271621
317297705,686.333738060428,287,30,4.24157826708887,6.41359173374448,8.50177042436913,0,1,8416,17587,135,826,0.00386207217691142
16643171,689.406266290059,487,30,3.01670433297279,5.90995910151648,8.55148178293092,0,1,16572,11118,196,851,0.0058425905713561
6384207,691.13746823624,429,30,4.8070848842658,6.96079235231488,9.14151537165995,0,1,18053,7602,281,600,0.00783302800150897
206326146,703.841601498519,348,30,2.64362519801814,7.09562194895771,10.1282528892051,0,1,19675,8428,374,547,0.00332988176260393
416080644,704.295392573315,623,30,3.75827983046968,6.64013893067094,9.48774388036327,0,1,15528,11363,233,852,0.0098139729792334
520781732,715.376124846224,441,30,4.58191127596787,8.42058378558003,10.5284433443912,0,1,18741,7283,356,607,0.00344441979552622
176211861,717.76179892775,429,30,2.75361404983676,5.96045275789138,9.55837897314405,0,1,10678,15181,235,874,0.00835464171029731
697926762,718.862991118614,227,30,3.93674706604666,7.78343238638918,11.0251051217985,0,1,6386,19759,79,843,0.0036926150151354
529252529,726.101232611542,325,30,2.68883493712078,7.86094684966056,11.4714507731432,0,1,19051,10041,324,614,0.0110743248649978
937362572,734.902034287564,265,30,2.40840321423077,6.15478784061248,10.1124066216563,0,1,10133,16124,129,743,0.00639897138570527
2141933,739.041270836751,203,30,3.96432275928157,5.31594365505611,7.79140766835663,0,1,2315,25771,15,981,0.00327689574183472
983335539,744.867102240393,453,30,2.186802127351,6.31237384429569,11.0960111455338,0,1,18723,6078,246,641,0.0113483672764155
386070847,745.373731761457,249,30,4.92779472811779,6.76152700093596,8.96036126553457,0,1,6952,22576,69,939,0.00194081134032324
668017335,747.167317272376,340,30,4.04952934487041,8.3161314739206,10.7988266314004,0,1,17138,8648,337,570,0.00953746779323267
678393933,766.077672302228,240,30,3.9312056467632,6.28925296502901,9.02453410386512,0,1,6737,21300,124,912,0.00589169964036989
705076218,767.073660087478,324,30,3.54863009648367,8.2826561745149,11.5245550575966,0,1,11493,13255,174,688,0.00593015520977119
965176153,770.74509404861,274,30,2.36777344186657,5.92533741687983,10.434894302345,0,1,13506,11598,257,625,0.00683698963912528
42916554,774.141459941269,245,30,3.608940520949,7.3965122016318,10.2803594848686,0,1,13721,11557,288,612,0.00187651594745189
848527543,777.450319956201,258,30,3.80522662334338,4.24885003054515,6.9505154258728,0,1,2155,23321,1,1040,0.00705647161465361
123717849,780.939178169465,307,30,4.08818516495295,4.50600998299618,6.903642224381,0,1,2449,22407,7,1037,0.0186331861220725
770837208,781.252839994838,353,30,3.96258958107125,8.26876459630951,10.9576852488285,0,1,8746,15945,68,880,0.00516428045108981
128644798,783.033204915347,364,30,2.07621729380264,5.12123042460935,9.20415222710496,0,1,16571,8369,299,549,0.00187358027438914
904083603,785.744869534635,264,30,3.30782816423041,8.3616288408853,11.2164491600967,0,1,14203,12712,270,590,0.00236773003099528
634404151,786.968868507516,348,30,3.63836758395614,5.7784485145529,8.61787847506802,0,1,9618,14814,213,722,0.00388651628756403
810356282,796.328449824568,421,30,4.82784853133712,7.27344818873033,9.29664170911554,0,1,18642,8613,262,690,0.00488711312971114
554720087,799.189589521785,290,30,2.69052951572972,6.39695784751075,9.27502734074673,0,1,14395,10403,248,597,0.00539732702888859
976313822,806.098008929435,285,30,3.81346805765757,5.4907643221938,8.66352309421477,0,1,10347,14346,156,725,0.0041789247352501
757472535,806.696969127813,196,30,4.36845651938359,6.2636803862898,8.36807124850165,0,1,4729,19893,37,882,0.00757615726746389
658945392,807.073726495913,317,30,2.22765556507205,5.30236960803851,9.40417993775074,0,1,18317,7796,363,515,0.00808099661419725
185098964,807.591480886221,420,30,4.23142889834474,8.84929713451133,10.9726483986739,0,1,18578,6741,334,562,0.0254785059030039
760707670,807.665153389695,340,30,2.94961133790367,8.09972745951759,11.2891937317477,0,1,17180,10296,338,570,0.0107351211853717
799800873,809.509728168847,127,30,3.2923862278834,3.90769384623888,6.91042964769913,0,1,745,25296,0,924,0.00321629833974403
212845398,816.94981486013,310,30,2.22592176070802,5.42980911113832,10.0138558787352,0,1,18668,8105,345,555,0.00410778953392386
2322512,817.536543525731,311,30,1.61810629704936,4.86956082419668,10.3177532172399,0,1,13593,11580,212,664,0.00391177381206008
755635468,823.188313814039,265,30,4.41260078590965,3.96304693830066,6.35806762257636,0,1,2767,21692,29,966,0.00406243429021654
68458886,825.617344779045,381,30,3.15915476498709,5.56760553990631,8.97921622712889,0,1,20652,8413,314,577,0.0268262820033074
922729272,828.943906425519,285,30,3.42941317746248,3.07466758989269,6.21143241917021,0,1,476,25027,0,1119,0.00466199300324648
673488749,837.894384752637,225,30,3.27738741770666,6.18900368845195,9.2218887010727,0,1,1589,23585,1,1025,0.00131232307540599
130003258,846.052598837685,267,30,3.87811324363587,6.03866738928057,8.60692163974397,0,1,8317,16539,137,762,0.00375284179954908
42769995,848.509870302049,185,30,3.40572308219026,3.42179142529476,6.62378353873917,0,1,334,25416,0,992,0.00887762011955532
273423114,848.664244563184,329,30,3.84944622039874,8.46404462987267,11.1453117968412,0,1,18531,8530,451,478,0.00511903916631519
648173412,851.724133742845,304,30,3.15313747091108,7.0738190368107,10.4291898054489,0,1,9068,18679,104,794,0.00351042357418898
795114648,854.194357274736,291,30,2.48735427061258,4.17781883979342,8.04009168045949,0,1,4790,21660,43,967,0.00462809012049827
289379703,859.012805492444,360,30,4.67043510313097,8.16693315761342,10.4648968206877,0,1,19016,8034,370,545,0.00538954037370987
804491773,862.924678057129,336,30,3.31677456492047,7.09403469479221,9.97326371061247,0,1,18622,8737,379,523,0.0012688542106011
17980796,863.006373093502,278,30,3.95860408081651,9.88150490499324,12.220364840015,0,1,8012,18144,166,754,0.0168981147641368
299770715,863.663707701094,557,30,3.16855394694661,8.28162573171742,11.0847167886823,0,1,22495,4883,309,640,0.00938190978870579
47543059,863.895827053239,521,30,4.71069481033975,7.15794182787496,9.32394653618417,0,1,19504,8329,340,671,0.010411988981905
710056969,864.573305162726,447,30,2.98282204221509,5.9717053995572,9.02708937314998,0,1,11244,13998,101,836,0.00427282455647556
