"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
134075044,103.324730824716,137,10,3.48649864735322,7,13.0883698650676,0,0.0440848450719405,4504,12519,26,570,0.0178654244978343
192028875,121.404283285228,101,10,4.26240201939949,7,11.7760647217995,0,0.0566161119553713,2995,14706,24,535,0.00606122149754499
728082392,121.794909581641,117,10,3.10473554756649,7,13.9278971376679,0,0.046846790354541,3692,14364,7,588,0.00897804858646768
631581991,123.259888041487,100,10,2.91022257441495,7,13.4110269282137,0,0.071238225002537,4527,15580,12,529,0.00405049640215377
181720448,127.968746184371,106,10,4.8054512228378,7,11.0580659870991,0,0.0654473456898734,1722,17938,1,535,0.0047226900495314
729348156,128.42507543311,105,10,3.82607748401621,7,11.8685711376514,0,0.0635170223361186,2729,14459,11,524,0.00305480898195675
727956557,129.081369685947,120,10,4.22965717925505,7,11.6400996669526,0,0.0479979150758536,3870,13131,40,520,0.00435622931699433
875923372,132.30268326833,109,10,4.69411026193433,7,11.524499699495,0,0.0740492113674769,3813,14134,33,509,0.0446964156611997
50547888,132.819426289982,108,10,3.25108305506984,7,13.4810271150847,0,0.0609552600349909,3491,16479,28,520,0.00104685876919747
411807101,136.121269462197,130,10,3.72735621475306,7,13.2132550831055,0,0.0429189257391423,3256,14954,21,570,0.00137580191293873
95357875,139.932126404196,104,10,3.01359097039098,7,14.5540357097768,0,0.0458241428193815,4859,12995,14,519,0.00884793552025713
449900907,140.886479124152,154,10,3.11646534930599,7,13.4989832411011,0,0.055320445447693,3967,14437,23,552,0.0107432386827032
501181743,141.477913470619,149,10,4.49324653242127,7,11.5176571164245,0,0.0818764588409194,4319,13748,26,553,0.00340954617994323
831630098,144.703144402601,116,10,4.98567496412957,7,10.5390465569445,0,0.0830475317870019,3549,13846,24,481,0.00314237406009337
834927691,144.948266633306,94,10,4.78598157229717,7,11.1316576295023,0,0.0727837087222225,2184,17205,1,523,0.00593107427707906
770805355,147.773475292422,101,10,4.95547393222126,7,10.9952886218062,0,0.0665835967644155,2802,14818,25,518,0.00857399855624357
803988214,148.394743842226,91,10,4.39204354767857,7,11.2725435952445,0,0.0672398530457675,1299,19827,1,537,0.00123084149321423
1890927,150.502491673726,123,10,4.20264169500196,7,11.9252880362298,0,0.0780738997980246,3160,14555,14,567,0.00495354291632728
935170156,156.543923548632,139,10,3.60599812246892,7,12.1195289689493,0,0.0593948990529974,4273,14090,14,580,0.00664227445327343
434229132,157.797338380595,114,10,3.52051412716125,7,12.5378420502064,0,0.057106986648252,3485,14888,25,541,0.0127557820146067
5785218,162.425367476882,93,10,3.63164061794138,7,12.9654679043543,0,0.0448205948243706,2063,17426,0,551,0.0121718213176018
341007127,165.205932096883,71,10,2.96665651643114,7,12.855088046539,0,0.0700350453391627,1963,19185,4,519,0.0128772545878008
195078771,166.373074744683,117,10,3.23700810123552,7,12.8306793318741,0,0.0842810028320117,5370,14483,13,534,0.00558269257303508
713312347,168.249814264385,96,10,4.59034631542489,7,10.5375241575917,0,0.0656304430958051,2425,15457,24,519,0.00356921490838734
862406519,169.711519938984,90,10,4.85799396936931,7,11.6207138105416,0,0.0511875992331876,2307,16703,10,584,0.00636797731922316
623464335,169.826381931666,108,10,4.51027001776711,7,11.5942288124043,0,0.0637831411080428,1586,18822,1,564,0.00387442698457418
469818875,173.075128195821,80,10,4.51797501942962,7,11.9639780944419,0,0.0511927861908242,2148,15510,5,556,0.00529738335831508
994188610,174.631039623545,116,10,4.87131264238763,7,11.100808851833,0,0.0650629267826638,2422,14838,6,500,0.0162136499082389
60369854,176.632386611289,73,10,4.61251307548722,7,11.540162202246,0,0.0554393860981648,2972,14023,17,523,0.00655077380944826
535624667,176.985875142623,110,10,3.98921260720392,7,11.3430420904453,0,0.0816492765475941,3177,14420,4,522,0.0182137925858274
677982612,177.490844834318,145,10,4.7490799637059,7,12.0309791380228,0,0.0380622181712548,2686,15007,28,601,0.00892194520033575
201586040,177.699184016134,132,10,3.41828880228365,7,11.6955487048227,0,0.105524420212978,5948,14009,45,462,0.0232750707255292
133813651,179.733135509288,127,10,3.59872568535003,7,13.3575914861336,0,0.0404860459526651,3383,14329,6,627,0.0578465742641239
334718364,180.088866951847,95,10,4.21492864442644,7,11.6436062214867,0,0.0601300186651384,2599,15217,19,542,0.0137306718989389
122749198,183.523840413174,111,10,2.63670166598863,7,14.4496569025232,0,0.0654488441481908,5917,12601,52,461,0.00158082606587184
726341525,185.534363393955,96,10,2.02554015305482,7,17.4567429670257,0,0.0500996758004002,5024,15249,31,528,0.00102461177632898
546813088,185.644822173957,88,10,3.61043083428841,7,12.5011399045689,0,0.0620681914586452,5039,12247,54,451,0.0100325277629837
248661169,186.067192164551,91,10,4.12041495841449,7,11.5472132867475,0,0.0634384168811542,2294,15180,0,513,0.00228449127986879
675476637,186.099435786356,97,10,3.179541702698,7,12.2738378464426,0,0.0853638526283324,3234,14191,60,438,0.00592166091099857
477386985,187.432654572249,113,10,4.23234153657254,7,11.4554742769786,0,0.0712593898700181,2157,16414,3,563,0.0146997308509238
696088542,189.126941496974,76,10,3.84940936053761,7,13.1862896776294,0,0.0422803800532003,2380,15578,8,582,0.00909462092599437
144284302,191.130845234358,61,10,4.29690923365783,7,11.513780795971,0,0.0580075761956641,2033,17417,10,542,0.0054006063083664
514999747,193.615598545159,108,10,3.6089615388953,7,13.4709625292228,0,0.043456095121308,3217,14456,13,572,0.00966359723736482
669200316,194.958970042417,89,10,4.5643512527397,7,12.2189954634837,0,0.0521984499020203,2456,14559,10,561,0.00322716993647926
993849064,195.271605718804,115,10,3.45717707224261,7,13.0084520277239,0,0.0514534436047122,3016,14025,19,588,0.00149266180931672
306277293,196.499363866655,62,10,4.61613884647353,7,10.9659030321469,0,0.0650513129523646,1769,16471,2,515,0.00209245303376537
658535431,196.768899981679,102,10,3.65037405359243,7,12.0575383474983,0,0.0782413822383216,2800,15644,5,498,0.00173403194268435
194040085,198.040399918804,96,10,4.72836805214342,7,11.2247093338259,0,0.0538460795398585,2247,15378,1,532,0.0333880311274993
340065126,199.849943707773,117,10,4.58345013006033,7,10.8219117247216,0,0.0579503275120224,3802,13794,14,531,0.00749873566752379
824962417,200.242353162362,84,10,3.71011895909309,7,12.4425984910588,0,0.0562970743762309,2699,15545,8,558,0.00201377253942063
169308586,201.553962997506,87,10,2.93486093451813,7,14.7737065428159,0,0.0414220784485214,2789,14857,17,587,0.0100010813966028
559571943,203.879866588145,85,10,1.69577138705515,7,19.252564965868,0,0.0577036760938243,6813,17408,29,483,0.0206559119406611
992382233,203.987744729922,86,10,3.42807274771735,7,12.5530600928379,0,0.0683538714372802,2477,17297,1,534,0.00802048808638978
198248144,204.019606900905,83,10,3.7313992435832,7,13.1602763936007,0,0.0474922237264139,1356,20782,2,577,0.0102944242628696
982424745,204.049013719743,79,10,3.71175001879246,7,12.8168139155631,0,0.0673338534557894,3891,13599,29,500,0.00920619095074125
231804092,204.470046706113,121,10,3.24964052560095,7,12.2816570329124,0,0.0682124360297038,3552,14421,33,496,0.0208482341704762
191675169,204.477382612356,65,10,4.87064845401691,7,11.4664094012635,0,0.0660219171213765,3417,15085,16,549,0.00396618820437302
863450592,205.842172549747,118,10,2.95824562441433,7,13.5403479407213,0,0.0521750707792862,3766,13238,37,482,0.00260181689014501
188733425,206.007281424711,120,10,4.55896604635714,7,11.9268636103323,0,0.0543549218881363,1318,16654,0,605,0.0082277070311929
857318675,207.935086024461,77,10,3.80098660895599,7,12.9287099078147,0,0.0599184507017548,2716,18511,4,519,0.0075997342286796
410580570,208.396257164086,117,10,3.90008642494549,7,12.5649547779745,0,0.0425018579091408,3125,15009,13,570,0.00442341854460836
765028154,209.396752601372,122,10,4.91501075027174,7,11.0761453702505,0,0.0579203187804898,2353,15770,3,580,0.00472274463470106
230577346,209.578147715834,185,10,2.73444759616894,7,13.7042488915259,0,0.078102751085032,7071,12668,14,524,0.0104065960545824
361582087,210.705956251835,162,10,2.61967587082305,7,13.6847088727297,0,0.0659654537992293,5714,11565,40,491,0.0092093868365775
533205948,210.867256822865,89,10,4.56440001602807,7,10.9522728410236,0,0.0888310624322747,2218,24078,0,549,0.0168748684585979
248177701,211.728599863127,111,10,3.64057967082193,7,13.2797169252143,0,0.0495759080022706,1100,22792,0,571,0.0106293615401585
210445674,212.544113068323,108,10,2.82422375416644,7,13.8313607359236,0,0.0814867177983354,5478,13433,50,458,0.0129276999443984
906485121,213.499414519104,94,10,4.63461443172263,7,11.7260719977658,0,0.0559120954813318,2794,15475,29,509,0.0148549217794982
765561297,215.803151042796,82,10,2.18024254426078,7,18.1838352949446,0,0.0393614602802332,4695,15016,21,558,0.00731401502504471
860321350,217.896764546884,72,10,3.75549331371045,7,12.7829862864123,0,0.0482705554500323,2910,14817,36,483,0.00598692404244218
455531897,218.586367369971,77,10,3.82433288316687,7,13.8525544692555,0,0.0473932413229992,2328,15965,2,562,0.00405810970189434
764688442,219.649721147103,93,10,3.99087635032613,7,12.1324007465461,0,0.050143839161159,1278,19066,0,602,0.00111826532184663
671577136,221.695737442108,106,10,2.15478682071495,7,14.841563098171,0,0.0695940490744899,4043,14314,7,572,0.0087813686812185
246774045,222.33308345813,69,10,4.70693588309917,7,11.6218336314273,0,0.0498948545170138,1804,16504,18,521,0.00974787881367976
798549251,222.946181846651,112,10,4.41681659046088,7,12.5982053414233,0,0.040592549896825,1443,18601,0,615,0.00781804778934178
60151424,224.035711439047,121,10,4.77435449883129,7,11.5835559104943,0,0.0551343993291176,1961,16922,1,590,0.00918357830430489
563908186,224.708700321105,109,10,3.71681654055038,7,12.2148241998271,0,0.0549092449540588,1141,20765,1,566,0.00586545636232402
44634014,224.826599849751,133,10,4.87561269781904,7,11.2409042262695,0,0.056904863586634,1904,15314,1,620,0.0109760701837847
341690584,225.066656793049,147,10,2.30107953110022,7,16.8126659542462,0,0.0423333876552731,7190,9987,53,544,0.00851153097264128
21917697,226.225551165203,73,10,3.89575508002662,7,11.1849934762096,0,0.10604308964198,6391,11870,60,415,0.0316084410458559
767495683,227.457688373025,106,10,3.29733734920043,7,13.3155642285491,0,0.0506584731727045,2335,15093,13,563,0.0139142120374966
733888917,228.541024763608,95,10,3.73068954258495,7,11.8807065870545,0,0.0686783163963292,3128,15765,40,479,0.0110646886950917
232516553,229.0567615243,78,10,4.60871572844342,7,12.0900119341773,0,0.0675543326722374,2848,17282,2,517,0.0144418099331207
725369997,230.036953553119,114,10,4.1786578699786,7,12.5011475840203,0,0.0489389237967466,1010,19078,0,609,0.0104554259969914
115077390,230.885252885497,134,10,4.62584343224648,7,12.5663257460057,0,0.0422828130002601,1381,19260,1,608,0.0138330220618239
825101113,233.373091850796,105,10,3.40958790184956,7,12.5214332858457,0,0.0582340202335018,2918,14528,6,493,0.0118792344646634
699163775,233.465200833015,86,10,3.22227859403281,7,13.1617765795387,0,0.0636775796055451,2629,16484,17,533,0.00117687396143065
323711782,233.940163289675,105,10,4.95020574366734,7,10.7148808057055,0,0.0658511210140062,2309,14713,0,557,0.0122226136457957
547451392,234.482408721848,135,10,3.36335428900689,7,12.6874332053537,0,0.0572099964277372,4525,12919,61,501,0.00925112370601662
447245962,235.144636341125,88,10,3.77689402366697,7,13.4758546939865,0,0.0520410490929357,1680,20157,0,606,0.00521412873362093
335380051,235.291308806764,91,10,3.16290628888048,7,12.9913578211383,0,0.0633462676493894,2842,17809,26,561,0.0205637104253559
323921403,237.751971600658,102,10,3.26630213281571,7,14.5160306221979,0,0.0393870733454036,3605,14428,17,548,0.00458297973867168
557671459,240.995850586685,71,10,3.52547442455968,7,13.0859259077921,0,0.047451337256283,3728,13772,7,565,0.0270847874390091
326162530,242.530410464337,71,10,3.52016518161638,7,12.3360567083466,0,0.0690357905354912,2475,19722,11,509,0.00149112563449215
821327872,243.041148779379,137,10,4.82529681846271,7,11.3090811208407,0,0.0650956419319832,2362,15342,7,576,0.00587413761712566
205578331,243.308446215909,102,10,4.73667048429118,7,11.5031482518783,0,0.0513623169125919,2145,15241,8,543,0.00551459972583504
34911393,243.741666524212,110,10,4.71236052783944,7,11.9487792541235,0,0.0463064031129078,2359,16541,7,595,0.00841463175702736
583253318,245.067337684972,102,10,2.83841820872263,7,15.0131995591587,0,0.0394724816858228,3911,14159,48,545,0.00991331356678518
760044787,246.164579092931,106,10,2.90360489961613,7,17.6961340375203,0,0.04195296252466,9544,8471,179,443,0.0395691229796738
507474108,246.54411369976,98,10,3.91015723832593,7,11.9551002925357,0,0.0635042079860499,1461,21668,1,600,0.00901661423400944
