"seed","dist","mu_sub","mu","s","t","tend","d","a","wt_cells","mt_cells","wt_clones","mt_clones","weight"
402259715,254.397327029983,87,10,3.70408866205203,3.50961986570336,10.3889728583036,0,0.0503295469528601,1018,21280,0,575,0.00473226349020183
290482267,382.555878271397,259,10,4.95521772682801,7.51446711337375,9.19994486420686,0,0.870201114243956,17379,6712,124,309,0.0087445194110466
127739953,494.781770076465,107,10,2.93001262399361,7.06459393634768,14.2976113976775,0,0.0753042329823088,13625,3567,195,257,0.00334922217769696
481540858,503.316997527403,222,10,4.36197436499034,9.85375399638134,12.6676702611193,0,0.0854790057495814,12554,5076,143,354,0.0128953319923943
452543173,556.692015390916,14,10,2.49817434208188,11.1047898916743,25.8623503999462,0,0.0388463803994791,28520,1,542,14,0.00498645355474077
429838648,602.995854048765,69,10,1.65215691017878,11.0470768154982,29.6838637258976,0,0.0311072884323031,29365,1,566,69,0.0104107859894024
37198051,631.575015338637,72,10,2.1537244935138,14.8488585023104,22.0415931624086,0,0.0428873865718921,27375,1,451,72,0.0362264289946199
612915563,647.967591782182,38,10,2.10508597941481,5.91759692128608,16.7236937854812,0,0.0474966014517575,2794,17945,18,457,0.00857051204527882
702154523,676.061387745225,68,10,2.30554808303141,14.2379939235104,19.5897123984825,0,0.0657506044045992,28311,1,339,68,0.0793758408141729
100542229,687.159370160955,15,10,4.43912097252255,4.53323656812993,9.31222028059981,0,0.0670689659835461,171,27735,0,422,0.0190519215415915
571000756,709.664709563608,234,10,4.90175711232171,8.32287782698255,10.0334010198796,0,0.937448044518494,12564,7530,53,329,0.00988025654176061
598360705,714.168047451018,92,10,3.1341609070677,6.3572390910272,9.09756038615076,0,0.972781712101003,9677,14191,86,286,0.00426167570822327
189396783,734.556328677386,152,10,2.72801131705768,7.00326151033049,11.5950842448557,0,0.501567344718073,18545,5553,129,223,0.00451137026064258
342348891,743.981854617436,156,10,3.5758814012503,8.21962876564808,10.6528449022494,0,0.466385692203692,15437,6054,147,210,0.00331427378307532
669150336,758.175441438194,215,10,4.77846212930211,8.02527747227199,9.91177029349302,0,0.367922681757264,15967,4373,100,261,0.00346540398687899
434880203,762.204696915468,136,10,4.33190468763142,7.58741061617434,11.0555676175015,0,0.172255615181077,12723,5256,110,256,0.0038905700769487
572549243,764.845736080159,44,10,1.58814660554797,11.6534097846611,28.9074546434049,0,0.0385223759619872,28433,1,445,44,0.0155301394304721
598957200,766.702680313562,155,10,4.85664219923404,3.92262862386124,6.83768375887005,0,0.153489712692891,596,23085,0,448,0.00875842166766194
251101935,801.185995883603,63,10,2.07498016257184,13.6847527611909,20.688532204527,0,0.0580994287379245,29474,1,328,63,0.0160841385563545
443811721,803.980721161895,192,10,2.97759649113114,7.51052478287963,10.483818653011,0,0.396019669752631,22747,4077,159,208,0.0020161952888678
68604956,822.571577432627,121,10,2.99067017222369,5.66235459258839,11.9962584334045,0,0.115483822821333,10641,7478,89,303,0.00787276255653141
20554438,823.088087630966,130,10,4.34605377356866,6.93050785494955,10.3109176430868,0,0.097238108685358,2867,14559,6,427,0.00445536242240482
996413632,844.790506575447,101,10,1.77025820559346,11.8765074387526,20.4223082777612,0,0.0586895755576197,27306,1,295,101,0.00918519198271814
930449659,855.472968596904,42,10,2.42664369474782,6.66580851000985,15.9803326276866,0,0.0422917697156131,5030,12917,66,597,0.0203250991716218
299711431,887.844017831961,68,10,3.83927840874776,6.91538443901372,14.0868270318774,0,0.0297736337764244,1990,17874,11,736,0.00833723274688504
626114952,890.262320891994,115,10,3.28379351581508,6.99336290338275,10.0296479422358,0,0.433826969898619,23927,2450,234,124,0.00392261770736268
718034015,895.179870193695,142,10,4.08961537682683,8.4770445181887,11.1065065603332,0,0.774447837979988,14817,9236,134,217,0.00516694744929747
231042607,898.00779506639,131,10,3.92225225295741,7.5173580299285,10.0652546421216,0,0.307629719572548,18130,2878,191,156,0.00420979515222421
73015221,901.989467787734,33,10,2.72397559096486,9.37305820901766,15.7332128010725,0,0.121329116264621,28189,31,315,33,0.00875842166766193
525065914,916.098793799009,45,10,4.51946869831403,9.4907828972686,25.963749859992,0,0.0450430729633674,27730,4,354,45,0.020908743631826
754170456,939.943615330196,87,10,3.0945695201608,6.2074629620767,9.8481324694497,0,0.30652896911046,7605,16749,41,299,0.00293274422508074
443763362,970.435984493568,126,10,2.62840938152682,5.43574215097671,9.30587148045624,0,0.277665409633399,11880,8559,104,222,0.00729868472305161
506415666,970.934601299181,34,10,4.62589948479123,3.02644453516019,5.27527489277091,0,0.833894722447605,76,28666,0,346,0.0034510947321513
551698317,974.836396530207,113,10,3.74109192661384,11.5788767555721,15.5085350387705,0,0.100772541947175,28762,9,226,113,0.00625690664719723
772693492,984.665425411089,96,10,2.38223724997627,5.94639988151968,9.96898782323668,0,0.577669062885633,13726,8146,115,197,0.00644745999092443
121538032,992.258030957674,113,10,2.86609286047979,6.9400143805405,9.87017675709126,0,0.948462438653743,20343,5608,149,163,0.0134719021247465
118514293,1020.76294995459,87,10,4.58697368740987,3.47374474460972,7.0022967024021,0,0.0785391646047383,228,25631,0,386,0.023294269633341
254901866,1029.68781676778,72,10,4.1032599306762,10.2984087619844,18.4072272095344,0,0.0763762113696413,27894,39,287,72,0.00930636408957043
929672993,1038.33135366317,55,10,4.78431889701365,9.69794273363152,13.5411811267442,0,0.118739467924014,27376,11,292,55,0.0149896915342867
447933850,1038.46232478603,93,10,2.91062571345935,4.58338228974133,8.3711856084942,0,0.16956302961889,1399,19672,0,365,0.0126891192225934
908312690,1039.86778005668,127,10,2.70847667042579,9.56131153935246,12.9821209688182,0,0.428167539731823,16798,5185,134,174,0.00631045391064857
134371844,1039.94663324615,195,10,2.44029920780932,6.99406302573064,10.3450236737599,0,0.259716197418055,22596,1677,129,203,0.00724918920849779
862410425,1042.49076734521,0,10,1.85086886939878,6.66265971747612,32.0371929320675,0,0.0254670556854023,28335,1,758,0,0.0219372379701
760991754,1064.08458310418,69,10,3.60821773327715,7.67504185745857,11.1427357897709,0,0.177162603560988,23707,687,262,69,0.00649930496766977
204338716,1064.6919742348,11,10,3.340538598414,9.50523088633003,13.9739349213303,0,0.141586599087783,28618,3,329,11,0.00512832315008113
558808019,1068.37727418735,125,10,3.05640603911291,7.50193906922583,10.5229562087556,0,0.60671380189919,23061,4151,158,167,0.00302912549069372
887414958,1069.7163175347,84,10,2.15335369411316,6.64165132775073,10.7873529749978,0,0.765714266116105,19147,7343,147,160,0.0167416440006362
450827933,1074.72880300102,9,10,4.52306152923214,9.6394170750111,21.0026883966692,0,0.0610840875947375,28252,1,350,9,0.0240378334468594
78468013,1075.08976369418,120,10,2.02558225491747,5.22016923931437,9.31532879257747,0,0.612569227175659,13502,10513,87,240,0.00568570336356648
355761906,1075.91263585851,117,10,2.87969475896267,5.96007638443004,9.60446896321622,0,0.321315771820467,12706,10396,68,247,0.00411123980052086
999706501,1076.0766701309,122,10,4.81043566360293,8.60384255844068,10.2244268070048,0,0.926190612408174,21933,3455,159,158,0.0191387732737798
585329620,1083.4837331497,124,10,4.01984405375741,6.14235184634207,8.74358237660151,0,0.86198345302484,10645,14900,40,290,0.00634815834051466
929046160,1089.90412422378,122,10,3.43739230182623,9.38911587119404,11.4750403703218,0,0.952256039457421,24040,3328,180,139,0.00433286997844651
217361709,1089.99036692991,109,10,3.00999741025585,8.26011622138753,10.794704126078,0,0.394557449008531,18872,1989,215,113,0.00612035361537659
389770966,1091.89834691696,88,10,4.12298987377502,5.04737673070874,7.51855715631231,0,0.469572957001704,972,26140,0,357,0.00149014813095637
236733950,1099.34889821203,77,10,3.64290475884814,5.51699834337023,8.56558706350357,0,0.280279899740599,1263,23517,0,350,0.00821102031343306
828212792,1105.29362614646,95,10,2.25656132311398,6.54960229547927,10.7214005054233,0,0.326689455654159,12096,14032,90,222,0.0120493698331096
931577175,1117.52315412254,152,10,4.8111736396091,9.35141420306747,11.3949730777908,0,0.496270457598719,12647,12215,51,289,0.0069851116016168
157926690,1124.98711103728,127,10,4.80475710518084,7.73922291156444,9.83965275105224,0,0.662023107700766,11794,10462,92,236,0.00371172428223565
493381216,1128.919837721,73,10,4.25116235645216,3.44893900408032,5.85213225781236,0,0.986154494145994,750,24966,0,340,0.0151100151587938
596328652,1129.01107169062,86,10,4.96598427693949,5.72124664041688,8.3354366110623,0,0.174750325584097,1527,24197,0,363,0.0114943719707943
279019295,1135.17047177946,87,10,2.75166296721427,7.67571872248657,10.4302053993235,0,0.717354726462321,14044,6779,146,162,0.00941278650490104
392471290,1136.99604220947,99,10,3.64404687479994,7.36576284529652,10.1632447945703,0,0.349743153758139,13508,9326,126,204,0.00452333676000768
524192226,1160.23833758414,84,10,4.39819138892197,10.1870799547982,13.2593860442954,0,0.236169639185906,27087,1208,206,87,0.0121010077147406
492562167,1160.36804506157,105,10,3.67587755661677,5.88625655877649,8.48087944982176,0,0.764009768500979,6820,12291,61,247,0.0131912770786499
462197772,1161.2377017648,0,10,3.88961566640353,12.5576731582311,9.84066797426611,0,0.50926585076049,27010,0,297,0,0.00441784060060894
225159466,1165.71265756189,63,10,2.5798740622188,10.1228433727688,17.8105723163411,0,0.113591181270783,27817,24,258,63,0.00582788916522454
18219087,1173.88628069332,24,10,1.63429292833306,9.37665514805547,16.1097722517584,0,0.0904245482297817,27200,1,287,24,0.0170380943603865
481067669,1174.61142511045,59,10,3.53166135094032,14.0748809446218,19.2753105751559,0,0.0628222191094577,27653,1,316,59,0.0192174123010989
696456944,1178.51983436852,119,10,3.81487409576958,9.26769355386889,12.0192543744906,0,0.51842392329544,14995,9317,85,223,0.00324040206491779
614661898,1180.06271019806,94,10,4.90613996838613,6.47982829963817,8.35235836777665,0,0.676209353440589,6806,16455,30,279,0.00500022285449745
907902277,1182.43519907012,147,10,2.37918521655188,5.35051789912288,10.4960544292143,0,0.207866694033657,15385,5453,94,190,0.00848548188382975
199645004,1190.04285637115,143,10,4.08083456439214,8.18444563492304,10.2192203118878,0,0.480879745513395,14401,6731,82,220,0.00351574524013361
256231825,1191.8829640531,136,10,3.55476009390662,7.22353236800127,9.75578039135634,0,0.755921635129936,5727,17636,2,338,0.00999514324573458
989327659,1196.68667578443,128,10,4.10440334075176,6.7205617665085,9.16670429248934,0,0.364347484183404,20688,2523,154,138,0.00573822933191341
174780549,1196.68876488417,110,10,3.09683287055968,8.59883569508093,13.8724091283703,0,0.12394688045705,20164,1426,190,115,0.00360171795489434
669392704,1204.53642535209,145,10,4.60433223805084,6.51640907340269,9.0125223778792,0,0.314592380035047,5288,14688,27,320,0.00772991296646702
373365022,1204.67007931632,153,10,1.86151241354664,5.54395645159685,10.1490101287139,0,0.67268194445257,25298,3287,132,168,0.0240599270437775
863211589,1204.9730287438,26,10,2.28207720801284,4.94231541096425,11.6468676729585,0,0.131729647245733,2155,20220,6,320,0.00716893032797512
98560036,1205.39412641675,116,10,4.05562393942197,6.51517693262338,8.86302683725772,0,0.365543617540183,2676,17482,2,331,0.00561303610844209
60558931,1206.52103172717,120,10,4.96637625652876,9.1718663141085,11.1676646489276,0,0.33496458015434,17906,2374,156,132,0.00599638255945723
920362406,1207.36282864763,64,10,4.94078169679729,6.26422490304121,9.27641891911422,0,0.133769047270659,101,26222,0,331,0.00657027744888921
29016267,1218.85889257124,157,10,4.06983902302492,7.08142403497038,9.61796421932317,0,0.279487300496842,7678,9930,42,271,0.0156217195728593
585022841,1220.33519985289,22,10,4.36999824982072,5.96057053831614,8.79789629971228,0,0.720767892934435,168,27469,0,286,0.00939174669124948
822584844,1224.16992284568,25,10,3.03682019130232,8.64017440974806,9.10085969103183,0,0.75136507875727,27155,2,278,25,0.00413592134306258
813133535,1224.80039190066,93,10,4.41688126498466,3.7261598439893,5.92311034466564,0,0.894652480107921,240,24740,0,330,0.0102019393128877
352711407,1229.00122050387,158,10,4.79397964259286,7.83568164588937,9.57387313652217,0,0.435742202962952,20774,3225,124,176,0.0058237065749798
274149423,1231.28063413667,135,10,3.07920997055347,7.05958797577404,10.238927612549,0,0.304345526455713,17979,3333,123,165,0.00177656621327006
670107227,1232.71935167742,132,10,3.47766002364225,5.64092598887049,8.30050110676459,0,0.256319469598517,1324,24041,0,360,0.00706288106276841
307622558,1232.76193971099,72,10,1.90859012659103,5.86540365491903,9.80269472243335,0,0.62735517565701,24905,4703,194,103,0.0193978522898707
617946999,1234.07819849473,125,10,2.84740806153138,8.91351512620048,12.959292022349,0,0.242739240756016,15747,4813,107,177,0.00568424061508088
