time,type1,type2
0,1,0
1.18876,2,0
1.44788,1,0
1.73832,2,0
1.94291,3,0
1.98257,2,0
2.00913,1,0
2.22497,2,0
2.65923,1,0
2.83078,2,0
2.95396,3,0
3.09085,2,0
3.32,3,0
3.33738,2,0
3.72463,3,0
4.04677,4,0
4.45885,5,0
4.47128,4,0
4.67729,5,0
4.7083,4,0
5.56918,3,0
5.58529,4,0
5.89711,3,0
5.9803,4,0
6.31241,5,0
6.35521,6,0
6.3674,7,0
6.471,8,0
6.71632,9,0
6.88558,8,0
6.92578,7,0
6.95574,6,0
7.12899,7,0
7.18337,6,0
7.32217,7,0
7.49786,8,0
7.55102,7,0
7.77164,8,0
7.79886,9,0
7.88327,10,0
7.98761,11,0
7.99606,12,0
8.02017,13,0
8.02367,12,0
8.15374,11,0
8.21252,12,0
8.25697,13,0
8.30037,12,0
8.31734,13,0
8.38145,12,0
8.43087,13,0
8.43345,12,0
8.49829,13,0
8.51363,12,0
8.6123,13,0
8.63246,12,0
8.72533,13,0
8.73247,14,0
8.74955,15,0
8.81692,14,0
8.87714,13,0
8.9222,14,0
9.10193,13,0
9.13724,14,0
9.20125,15,0
9.20394,14,0
9.21684,13,0
9.26043,12,0
9.3051,13,0
9.3582,14,0
9.37375,15,0
9.38428,16,0
9.44222,15,0
9.45373,14,0
9.45708,13,0
9.48295,12,0
9.54228,13,0
9.56164,14,0
9.61338,15,0
9.63349,16,0
9.65115,15,0
9.69123,16,0
9.70612,15,0
9.72452,16,0
9.74427,17,0
9.75109,18,0
9.75612,17,0
9.76224,18,0
9.78558,17,0
9.84757,18,0
9.85149,19,0
9.85698,20,0
9.90027,19,0
9.90537,20,0
9.94478,21,0
9.96351,20,0
9.98892,21,0
10.029,20,0
10.0595,19,0
10.1861,20,0
10.3048,19,0
10.3552,18,0
10.3662,19,0
10.3822,20,0
10.4089,19,0
10.4619,18,0
10.4695,19,0
10.4798,20,0
10.4911,21,0
10.5593,22,0
10.5604,23,0
10.6923,24,0
10.7158,25,0
10.7585,26,0
10.8121,27,0
10.8144,28,0
10.8588,27,0
10.8691,28,0
10.8861,29,0
10.9211,30,0
10.9251,29,0
10.9254,30,0
10.9472,29,0
10.956,30,0
10.9568,29,0
10.9941,30,0
11.0136,31,0
11.0249,30,0
11.0386,29,0
11.0399,30,0
11.055,31,0
11.1159,30,0
11.1569,31,0
11.1957,32,0
11.2234,33,0
11.2234,34,0
11.2288,33,0
11.2516,34,0
11.2576,35,0
11.2579,36,0
11.2588,37,0
11.2814,38,0
11.3069,39,0
11.3078,40,0
11.3173,41,0
11.333,42,0
11.3392,41,0
11.3668,40,0
11.3721,39,0
11.3933,38,0
11.4064,39,0
11.4075,40,0
