time,type1,type2
0,1,0
0.0737097,2,0
1.54138,3,0
2.14194,4,0
2.27353,5,0
2.40313,6,0
2.40527,7,0
2.45251,8,0
2.50793,9,0
2.516,10,0
2.61212,11,0
2.74603,12,0
2.79816,13,0
2.8243,14,0
2.91981,15,0
2.9853,16,0
3.05212,17,0
3.10562,18,0
3.12053,19,0
3.23409,20,0
3.23605,21,0
3.24052,22,0
3.25304,23,0
3.31004,24,0
3.31206,25,0
3.41115,26,0
3.45182,27,0
3.4987,28,0
3.54379,29,0
3.55188,30,0
3.64099,31,0
3.64274,32,0
3.69851,33,0
3.70284,34,0
3.7049,35,0
3.75748,36,0
3.85231,37,0
3.8583,38,0
3.86392,39,0
3.86838,40,0
3.8702,41,0
3.90878,42,0
3.94264,43,0
3.98763,44,0
3.98766,45,0
4.0019,46,0
4.00419,47,0
4.01636,48,0
4.05131,49,0
4.05535,50,0
4.05947,51,0
4.07397,52,0
4.08405,53,0
4.09468,54,0
4.09878,55,0
4.15317,56,0
4.20186,57,0
4.2237,58,0
4.28392,59,0
4.29833,60,0
4.30014,61,0
4.30852,62,0
4.31525,63,0
4.32237,64,0
4.34496,65,0
4.35316,66,0
4.35611,67,0
4.37621,68,0
4.38144,69,0
4.40562,70,0
4.44159,71,0
4.47404,72,0
4.48352,73,0
4.48752,74,0
4.50203,75,0
4.50815,76,0
4.51294,77,0
4.56228,78,0
4.58373,79,0
4.61049,80,0
4.63718,81,0
4.64319,82,0
4.69878,83,0
4.70534,84,0
4.70664,85,0
4.71493,86,0
4.71811,87,0
4.72045,88,0
4.73708,89,0
4.74549,90,0
4.77516,91,0
4.78398,92,0
4.78664,93,0
4.81207,94,0
4.82857,95,0
4.83177,96,0
4.87493,97,0
4.87774,98,0
4.89458,99,0
4.90647,100,0
4.91183,101,0
4.92903,102,0
4.94952,103,0
4.95366,104,0
4.95747,105,0
4.96814,106,0
4.97394,107,0
4.97433,108,0
4.99521,109,0
5.01067,110,0
5.0285,111,0
5.03474,112,0
5.03943,113,0
5.03947,114,0
5.04415,115,0
5.05844,116,0
5.0601,117,0
5.09188,118,0
5.09309,119,0
5.10582,120,0
5.10967,121,0
5.1254,122,0
5.13237,123,0
5.13575,124,0
5.13726,125,0
5.14224,126,0
5.14274,127,0
5.16795,128,0
5.16859,129,0
5.17803,130,0
5.18542,131,0
5.19751,132,0
5.20164,133,0
5.20619,134,0
5.21539,135,0
5.21954,136,0
5.24026,137,0
5.24535,138,0
5.24668,139,0
5.26046,140,0
5.26503,141,0
5.27368,142,0
5.29425,143,0
5.29428,144,0
5.29627,145,0
5.29807,146,0
5.30871,147,0
5.31543,148,0
5.32066,149,0
5.32663,150,0
5.32843,151,0
5.33446,152,0
5.34569,153,0
5.35536,154,0
5.35782,155,0
5.37131,156,0
5.38471,157,0
5.39102,158,0
5.40016,159,0
5.40529,160,0
5.41946,161,0
5.4238,162,0
5.42484,163,0
5.42809,164,0
5.43366,165,0
5.43378,166,0
5.44114,167,0
5.44789,168,0
5.45084,169,0
5.4517,170,0
5.45385,171,0
5.45959,172,0
5.46622,173,0
5.48183,174,0
5.48528,175,0
5.48661,176,0
5.49724,177,0
5.50262,178,0
5.50946,179,0
5.51066,180,0
5.52203,181,0
5.52515,182,0
5.54172,183,0
5.54767,184,0
5.55271,185,0
5.55431,186,0
5.55944,187,0
5.56083,188,0
5.57573,189,0
5.58943,190,0
5.60129,191,0
5.61707,192,0
5.62619,193,0
5.63662,194,0
5.63796,195,0
5.6413,196,0
5.64235,197,0
5.64421,198,0
5.64713,199,0
5.6687,200,0
5.66888,201,0
5.67172,202,0
5.67411,203,0
5.68371,204,0
5.68447,205,0
5.68757,206,0
5.69523,207,0
5.69569,208,0
5.69772,209,0
5.70559,210,0
5.70637,211,0
5.70679,212,0
5.70827,213,0
5.71149,214,0
5.71587,215,0
5.71884,216,0
5.71966,217,0
5.71998,218,0
5.724,219,0
5.73931,220,0
5.74572,221,0
5.75457,222,0
5.75479,223,0
5.75719,224,0
5.76724,225,0
5.76846,226,0
5.77025,227,0
5.77428,228,0
5.77878,229,0
5.77955,230,0
5.78136,231,0
5.78144,232,0
5.78511,233,0
5.79362,234,0
5.79808,235,0
5.80596,236,0
5.80707,237,0
5.80798,238,0
5.8113,239,0
5.8173,240,0
5.81734,241,0
5.82197,242,0
5.82221,243,0
5.82536,244,0
5.82606,245,0
5.83547,246,0
5.8394,247,0
5.83992,248,0
5.85056,249,0
5.8509,250,0
5.8528,251,0
5.85392,252,0
5.86203,253,0
5.86244,254,0
5.87726,255,0
5.87942,256,0
5.88046,257,0
5.88543,258,0
5.88935,259,0
5.89081,260,0
5.89222,261,0
5.89463,262,0
5.90092,263,0
5.90122,264,0
5.90337,265,0
5.90356,266,0
5.91015,267,0
5.91533,268,0
5.92011,269,0
5.92721,270,0
5.92943,271,0
5.93037,272,0
5.93054,273,0
5.93174,274,0
5.93214,275,0
5.93414,276,0
5.93668,277,0
5.93695,278,0
5.94672,279,0
5.94748,280,0
5.95381,281,0
5.95387,282,0
5.95608,283,0
5.9693,284,0
5.96938,285,0
5.97042,286,0
5.97081,287,0
5.9785,288,0
5.97951,289,0
6.00178,290,0
6.00352,291,0
6.00451,292,0
6.00591,293,0
6.006,294,0
6.01121,295,0
6.01616,296,0
6.02407,297,0
6.02779,298,0
6.02806,299,0
6.02878,300,0
6.03321,301,0
6.04205,302,0
6.0458,303,0
6.04664,304,0
6.0521,305,0
6.05284,306,0
6.05354,307,0
6.05472,308,0
6.05955,309,0
6.06354,310,0
6.0706,311,0
6.07067,312,0
6.07525,313,0
6.07561,314,0
6.0766,315,0
6.07722,316,0
6.0775,317,0
6.07983,318,0
6.08243,319,0
6.08377,320,0
6.08386,321,0
6.08434,322,0
6.08493,323,0
6.09037,324,0
6.09365,325,0
6.09569,326,0
6.09793,327,0
6.10106,328,0
6.10322,329,0
6.10339,330,0
6.10456,331,0
6.10509,332,0
6.10622,333,0
6.11116,334,0
6.11642,335,0
6.11781,336,0
6.11797,337,0
6.11968,338,0
6.12457,339,0
6.12622,340,0
6.12782,341,0
6.12964,342,0
6.13401,343,0
6.13703,344,0
6.13773,345,0
6.14097,346,0
6.14225,347,0
6.14417,348,0
6.14516,349,0
6.14872,350,0
6.14951,351,0
6.15476,352,0
6.15509,353,0
6.15601,354,0
6.1581,355,0
6.15848,356,0
6.16976,357,0
6.17118,358,0
6.17654,359,0
6.18148,360,0
6.18787,361,0
6.18867,362,0
6.18947,363,0
6.19254,364,0
6.19395,365,0
6.19639,366,0
6.19802,367,0
6.20014,368,0
6.20446,369,0
6.20713,370,0
6.20877,371,0
6.21234,372,0
6.2127,373,0
6.21934,374,0
6.22719,375,0
6.23268,376,0
6.23424,377,0
6.23454,378,0
6.24425,379,0
6.25446,380,0
6.25572,381,0
6.25763,382,0
6.25824,383,0
6.2604,384,0
6.26152,385,0
6.26505,386,0
6.26694,387,0
6.27143,388,0
6.27551,389,0
6.27753,390,0
6.27766,391,0
6.27833,392,0
6.27937,393,0
6.27967,394,0
6.28145,395,0
6.28274,396,0
6.28548,397,0
6.28664,398,0
6.28715,399,0
6.29066,400,0
6.29272,401,0
6.302,402,0
6.30544,403,0
6.30849,404,0
6.31053,405,0
6.31319,406,0
6.31423,407,0
6.31532,408,0
6.31848,409,0
6.32192,410,0
6.32261,411,0
6.32695,412,0
6.32789,413,0
6.33094,414,0
6.33133,415,0
6.3321,416,0
6.33602,417,0
6.33722,418,0
6.33785,419,0
6.33881,420,0
6.33922,421,0
6.34234,422,0
6.34259,423,0
6.34405,424,0
6.3455,425,0
6.34964,426,0
6.35659,427,0
6.35795,428,0
6.35912,429,0
6.36096,430,0
6.36123,431,0
6.36575,432,0
6.37196,433,0
6.37205,434,0
6.37496,435,0
6.37814,436,0
6.37993,437,0
6.38077,438,0
6.38145,439,0
6.38214,440,0
6.38455,441,0
