time,type1,type2
0,1,0
0.433614,2,0
1.00323,3,0
1.17946,4,0
1.39392,5,0
1.47026,6,0
1.5873,7,0
1.59141,8,0
2.10889,9,0
2.22829,10,0
2.34251,11,0
2.39118,12,0
2.39878,13,0
2.42607,14,0
2.67011,15,0
2.67175,16,0
2.67188,17,0
2.68568,18,0
2.72152,19,0
2.77316,20,0
2.77566,21,0
2.93125,22,0
2.99665,23,0
2.99855,24,0
3.17742,25,0
3.18657,26,0
3.19658,27,0
3.27757,28,0
3.2794,29,0
3.29385,30,0
3.36091,31,0
3.41445,32,0
3.67357,33,0
3.67896,34,0
3.68456,35,0
3.69658,36,0
3.70866,37,0
3.72593,38,0
3.81777,39,0
3.82636,40,0
3.84255,41,0
3.8497,42,0
3.88128,43,0
3.92463,44,0
3.94196,45,0
3.95722,46,0
3.96722,47,0
3.98556,48,0
4.01388,49,0
4.02764,50,0
4.03269,51,0
4.07206,52,0
4.0839,53,0
4.10872,54,0
4.12736,55,0
4.197,56,0
4.20996,57,0
4.22635,58,0
4.23231,59,0
4.25087,60,0
4.26324,61,0
4.2785,62,0
4.29974,63,0
4.30087,64,0
4.30825,65,0
4.33469,66,0
4.36481,67,0
4.3858,68,0
4.4039,69,0
4.42515,70,0
4.43796,71,0
4.44423,72,0
4.44535,73,0
4.4859,74,0
4.49141,75,0
4.49685,76,0
4.52006,77,0
4.5234,78,0
4.52416,79,0
4.53472,80,0
4.55374,81,0
4.55892,82,0
4.56255,83,0
4.5683,84,0
4.60058,85,0
4.63034,86,0
4.64088,87,0
4.68636,88,0
4.693,89,0
4.7038,90,0
4.71035,91,0
4.71547,92,0
4.71835,93,0
4.72165,94,0
4.72495,95,0
4.74161,96,0
4.74316,97,0
4.74779,98,0
4.75119,99,0
4.75426,100,0
4.7627,101,0
4.76448,102,0
4.76757,103,0
4.76796,104,0
4.77366,105,0
4.77765,106,0
4.788,107,0
4.78963,108,0
4.80752,109,0
4.80848,110,0
4.8245,111,0
4.8389,112,0
4.84265,113,0
4.84775,114,0
4.87323,115,0
4.88027,116,0
4.88256,117,0
4.89922,118,0
4.90328,119,0
4.9071,120,0
4.91747,121,0
4.92056,122,0
4.93828,123,0
4.93847,124,0
4.94348,125,0
4.94918,126,0
4.95631,127,0
4.95827,128,0
4.97161,129,0
4.9721,130,0
4.97677,131,0
4.99189,132,0
5.0054,133,0
5.00576,134,0
5.0218,135,0
5.04852,136,0
5.05317,137,0
5.06808,138,0
5.07305,139,0
5.0796,140,0
5.08283,141,0
5.08461,142,0
5.0909,143,0
5.09814,144,0
5.10178,145,0
5.1033,146,0
5.10797,147,0
5.11497,148,0
5.14387,149,0
5.14976,150,0
5.15535,151,0
5.16466,152,0
5.1671,153,0
5.17334,154,0
5.17353,155,0
5.17725,156,0
5.18345,157,0
5.19493,158,0
5.20328,159,0
5.20663,160,0
5.20819,161,0
5.2304,162,0
5.23275,163,0
5.23505,164,0
5.23916,165,0
5.24565,166,0
5.25642,167,0
5.27293,168,0
5.27849,169,0
5.28119,170,0
5.29367,171,0
5.29763,172,0
5.3056,173,0
5.30623,174,0
5.31316,175,0
5.31396,176,0
5.31681,177,0
5.32249,178,0
5.32701,179,0
5.32855,180,0
5.32939,181,0
5.33353,182,0
5.33643,183,0
5.33665,184,0
5.33882,185,0
5.35016,186,0
5.35223,187,0
5.35371,188,0
5.3598,189,0
5.37572,190,0
5.38612,191,0
5.39066,192,0
5.39145,193,0
5.39663,194,0
5.40225,195,0
5.40907,196,0
5.411,197,0
5.41778,198,0
5.42202,199,0
5.43491,200,0
5.44507,201,0
5.45144,202,0
5.46094,203,0
5.46266,204,0
5.46482,205,0
5.4703,206,0
5.47358,207,0
5.47745,208,0
5.48505,209,0
5.48553,210,0
5.49148,211,0
5.49164,212,0
5.49234,213,0
5.49493,214,0
5.49511,215,0
5.49541,216,0
5.49941,217,0
5.50741,218,0
5.51191,219,0
5.51334,220,0
5.51645,221,0
5.51721,222,0
5.52045,223,0
5.52449,224,0
5.5274,225,0
5.52927,226,0
5.53748,227,0
5.54168,228,0
5.54686,229,0
5.55262,230,0
5.56079,231,0
5.56098,232,0
5.56118,233,0
5.56456,234,0
5.56559,235,0
5.57195,236,0
5.58211,237,0
5.58367,238,0
5.59752,239,0
5.60279,240,0
5.60684,241,0
5.61176,242,0
5.62438,243,0
5.62534,244,0
5.62545,245,0
5.63096,246,0
5.63468,247,0
5.65337,248,0
5.66377,249,0
5.66433,250,0
5.66843,251,0
5.67327,252,0
5.67377,253,0
5.68853,254,0
5.69046,255,0
5.69083,256,0
5.6939,257,0
5.69401,258,0
5.69565,259,0
5.70356,260,0
5.70442,261,0
5.7062,262,0
5.70983,263,0
5.71024,264,0
5.72164,265,0
5.72209,266,0
5.72745,267,0
5.73032,268,0
5.73428,269,0
5.73521,270,0
5.73588,271,0
5.73891,272,0
5.73968,273,0
5.74029,274,0
5.74675,275,0
5.74862,276,0
5.75485,277,0
5.75497,278,0
5.7566,279,0
5.76008,280,0
5.76815,281,0
5.77206,282,0
5.7749,283,0
5.77548,284,0
5.77816,285,0
5.78059,286,0
5.78178,287,0
5.78405,288,0
5.78566,289,0
5.78663,290,0
5.78667,291,0
5.78724,292,0
5.78787,293,0
5.78958,294,0
5.79721,295,0
5.80666,296,0
5.8107,297,0
5.81112,298,0
5.81809,299,0
5.81936,300,0
5.81989,301,0
5.82202,302,0
5.82252,303,0
5.8248,304,0
5.82643,305,0
5.82813,306,0
5.82963,307,0
5.84773,308,0
5.85024,309,0
5.85805,310,0
5.86475,311,0
5.8658,312,0
5.87029,313,0
5.87412,314,0
5.87562,315,0
5.87576,316,0
5.88194,317,0
5.88503,318,0
5.89324,319,0
5.89484,320,0
5.89629,321,0
5.90157,322,0
5.90231,323,0
5.90531,324,0
5.90789,325,0
5.91299,326,0
5.92015,327,0
5.92226,328,0
5.92344,329,0
5.92405,330,0
5.93482,331,0
5.93841,332,0
5.93915,333,0
5.94187,334,0
5.94507,335,0
5.9452,336,0
5.94814,337,0
5.95326,338,0
5.95339,339,0
5.96341,340,0
5.966,341,0
5.96665,342,0
5.96751,343,0
5.9695,344,0
5.9763,345,0
5.98036,346,0
5.9857,347,0
5.99029,348,0
5.99156,349,0
5.9928,350,0
5.99715,351,0
6.00226,351,1
6.0085,352,1
6.00999,353,1
6.01401,354,1
6.01791,355,1
6.0185,356,1
6.0273,357,1
6.03148,358,1
6.0323,359,1
6.03397,360,1
6.03475,361,1
6.03834,362,1
6.04175,363,1
6.04294,364,1
6.04391,365,1
6.0502,366,1
6.05126,367,1
6.05294,368,1
6.05465,369,1
6.05881,370,1
6.06097,371,1
6.06235,372,1
6.06395,373,1
6.06561,374,1
6.06699,375,1
6.06859,376,1
6.0689,377,1
6.07742,378,1
6.08047,379,1
6.08261,380,1
6.08442,381,1
6.08501,382,1
6.08676,383,1
6.08783,384,1
6.0925,385,1
6.09468,386,1
6.09627,387,1
6.09722,388,1
6.10038,389,1
6.10248,390,1
6.10361,391,1
6.10544,392,1
6.10839,393,1
6.10873,394,1
6.11236,395,1
6.11918,396,1
6.12023,397,1
6.12288,398,1
6.12517,399,1
6.13057,400,1
6.13329,401,1
6.1363,402,1
6.14031,403,1
6.14054,404,1
6.14117,405,1
6.14449,406,1
6.14503,407,1
6.14888,408,1
6.15149,409,1
6.15232,410,1
6.15329,411,1
6.15932,412,1
6.1594,413,1
6.16043,414,1
6.1606,415,1
6.16111,416,1
6.16231,417,1
6.16618,418,1
6.16683,419,1
6.16989,420,1
6.17629,421,1
6.17776,422,1
6.17866,423,1
6.17951,424,1
6.18279,425,1
6.18806,426,1
6.18866,427,1
6.19351,428,1
6.19749,429,1
6.19957,430,1
6.20195,431,1
6.20352,432,1
6.20459,433,1
6.20844,434,1
6.21508,435,1
6.21578,436,1
6.22009,437,1
6.22117,438,1
6.22163,439,1
6.22764,440,1
6.23259,441,1
6.23307,442,1
6.23312,443,1
6.23628,444,1
6.23707,445,1
6.24107,446,1
6.24278,447,1
6.24398,448,1
6.24614,449,1
6.24939,450,1
6.24968,451,1
6.25303,452,1
6.25338,453,1
6.26236,454,1
6.26283,455,1
6.26311,456,1
6.26317,457,1
6.26544,458,1
6.26739,459,1
6.26989,460,1
6.27005,461,1
6.27212,462,1
6.27267,463,1
6.27305,464,1
6.27344,465,1
6.27701,466,1
6.28102,467,1
6.28686,468,1
6.28843,469,1
6.29517,470,1
