"id","mu","t","s","d","a"
1,30,4,2,0,1
2,20,5,2,0,1
3,10,6,2,0,1
4,30,6,2,0,1
5,20,6,3,0,1
6,10,6,3,0,1
7,10,7,3,0,1
8,20,7,3,0,1
9,30,7,3,0,1
10,10,8,4,0,1
11,20,8,4,0,1
12,30,9,4,0,1
13,30,9,5,0,1
14,10,6,2,0.2,1
15,20,8,2,0.3,1
16,25,10,2,0.4,1
17,10,15,3,0.5,1
18,20,13,3,0.5,1
19,10,15,2,0.6,1
20,10,20,3,0.6,1
21,15,20,2,0.7,1
22,25,20,2,0.7,1
23,10,20,1,0.8,1
24,10,25,1,0.8,1
25,10,7,4,0,0.05
26,10,6,2,0,0.05
27,10,7,3,0,0.2
28,10,9,4,0,0.2
29,10,7,4,0,0.4
30,10,6,3,0,0.4
31,10,8,3,0,0.6
32,10,6,3,0,0.6
33,10,8,4,0,0.8
34,10,6,3,0,0.8
