seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
43995754,1.08474576271186,10,4,7,0.36957675758727,0.746748610093553,39,34669,0.000711228664296965
731153725,1.27868852459016,10,4,7,0.228306161629619,0.887868166893481,113,37978,0.00145453014019593
313575855,1.28333333333333,10,4,7,0.659279475760942,0.936330354934913,22,36281,0.000808011146212331
101824397,1.31147540983607,10,4,7,0.0108205336685233,0.508939375735895,16926,10691,0.00153004074032499
938184350,1.31147540983607,10,4,7,0.621385041014196,0.527770405380126,6,42456,0.000586333469417397
338129643,1.34426229508197,10,4,7,0.747075770705818,0.609274947143686,0,40120,0.000831705532623154
536428306,1.35087719298246,10,4,7,0.812483832636135,0.809576543663319,9,42851,0.000795368285673072
280734556,1.36666666666667,10,4,7,0.144462814693127,0.609871811216078,1280,25102,0.00142697257186552
829063930,1.37704918032787,10,4,7,0.41548896272128,0.532513742326576,240,33664,0.000311915313441073
605983717,1.38095238095238,10,4,7,0.315201877016843,0.865629985975329,95,39832,0.000892640313082654
60793180,1.39285714285714,10,4,7,0.26371876497217,0.678602707212803,603,28704,0.000742779468721576
259505339,1.39393939393939,10,4,7,0.250730484017588,0.691556773583236,1043,34956,0.00070242312994799
924499002,1.41269841269841,10,4,7,0.0570926759551391,0.587852452922691,7946,18060,0.00182453283927147
555454127,1.41379310344828,10,4,7,0.585817923521025,0.677972080341994,12,43070,0.000573605124303715
349020965,1.43939393939394,10,4,7,0.521930455662283,0.662216003651936,21,23615,0.000582914013198242
816803262,1.44642857142857,10,4,7,0.262346836693811,0.637025765393772,173,46204,0.000731684918286875
787882027,1.45901639344262,10,4,7,0.105208919674086,0.690281347145041,17465,10336,0.00166642143939681
513323904,1.47142857142857,10,4,7,0.36220504487648,0.672770813105598,622,44922,0.000559058989585669
493670894,1.47540983606557,10,4,7,0.631064195545076,0.549762999813462,0,33427,0.000585613720710379
681783254,1.5,10,4,7,0.103730359059542,0.849898422624402,4165,25650,0.0014938263339759
23340173,1.50847457627119,10,4,7,0.365118372522445,0.514446755168436,69,26950,0.000478105587638526
