seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
452211918,0.555555555555556,10,4.19746721810998,7.79900221095552,0,1,19701,4118,0.000792194394888921
801495006,0.568965517241379,10,2.7791093969029,6.89214061598883,0,1,15445,9198,0.00124841418774636
45502696,0.592592592592593,10,3.65733313848918,2.31383023252354,0,1,126,37175,0.00202764451870061
591979911,0.607142857142857,10,4.52157584320618,9.51134198499779,0,1,24441,6656,0.000754139334768094
848256904,0.644067796610169,10,4.18105274801528,8.4709121603108,0,1,27617,8869,0.000525399752296511
301850528,0.666666666666667,10,2.79370218776475,6.04728914766897,0,1,25304,9640,0.000697490032866871
887586726,0.666666666666667,10,2.76718864354858,5.83378591630843,0,1,25974,5645,0.000669590650719987
135191199,0.671875,10,3.54306589327262,2.57178270836945,0,1,179,26733,0.000802266126179829
704256199,0.672131147540984,10,2.79973820406692,5.14376513244266,0,1,10000,18114,0.00103153326558614
704141229,0.685185185185185,10,3.66882769793847,7.81373875423738,0,1,25363,9337,0.000686913887821843
74119391,0.689655172413793,10,3.43670124168206,7.70563903695738,0,1,30589,6449,0.00037669022354646
713568201,0.719298245614035,10,3.62851041682913,7.73382696576456,0,1,14312,10494,0.000240468387787917
937193930,0.732142857142857,10,3.70972971434796,1.34620957933034,0,1,7,43731,0.00052976331991364
436107773,0.745762711864407,10,4.97132016527698,7.64048844098787,0,1,15270,8613,0.00076988528172227
798119440,0.75,10,2.04124223880615,5.45101351357388,0,1,32016,4468,0.00159339824302966
749972911,0.754716981132076,10,2.71351621467804,8.2257414613637,0,1,25836,12734,0.000522210938768966
298866516,0.761904761904762,10,4.44507252181361,7.61666860161601,0,1,17355,9108,0.00059077196565615
990096812,0.76271186440678,10,4.90457347491616,2.42824232137843,0,1,21,45108,0.00242459563849291
37508701,0.767857142857143,10,2.12053093515788,7.19249971576552,0,1,32398,6913,0.000532750375125008
41017207,0.789473684210526,10,2.88339180206056,2.30359863297581,0,1,112,34167,0.000913927436016801
530725328,0.793650793650794,10,3.40039612677308,4.07990419410616,0,1,89,35860,0.00207648951397283
980303096,0.8,10,3.65467885951619,5.8964057656279,0,1,11100,13767,0.000874351646042633
57914798,0.803571428571429,10,2.50693126229386,9.1090215956401,0,1,32688,6039,0.00148467494890715
705272511,0.803921568627451,10,3.33228287135537,11.4360736711333,0,1,18419,6812,0.000253109916628234
655328461,0.807692307692308,10,4.65594479548885,7.88742027017056,0,1,26116,6284,0.00123629507223089
672169674,0.818181818181818,10,2.88888334485057,6.2259131497742,0,1,15333,12168,0.00184750041134942
589572851,0.818181818181818,10,3.57875728390536,8.10398353994217,0,1,39592,3986,0.00111747010032578
293750588,0.833333333333333,10,4.13405649934745,9.41665476662015,0,1,33893,5317,0.00153425508326373
962836678,0.836065573770492,10,2.20881889541782,1.80706678968974,0,1,1345,32269,0.00057270164328892
160458724,0.838709677419355,10,4.5903674313535,10.0955864642539,0,1,1798,25397,0.00131846211118471
51086153,0.846153846153846,10,2.49516669323448,8.51008886092167,0,1,22789,9646,0.00203540211576539
192007515,0.847457627118644,10,3.50249068959484,6.53601731492196,0,1,17888,8984,0.000279832545674741
872328338,0.851351351351351,10,3.30897904317739,6.81229425519565,0,1,10238,14656,0.00130321889280008
51963857,0.854545454545454,10,3.15483923634229,6.26757835043357,0,1,18605,8331,0.0002114068566821
783215445,0.864406779661017,10,4.73954356913023,6.60796845940463,0,1,800,29774,0.000613959647724405
349467399,0.864406779661017,10,4.93820292366576,8.24632215529643,0,1,16617,17001,0.000416032325094877
736925002,0.868852459016393,10,4.93336807264469,9.79180083447805,0,1,27665,8022,0.00188929510645621
918721528,0.87037037037037,10,1.87041579240749,4.85440706290791,0,1,15845,11274,0.00059875865555559
780097504,0.870967741935484,10,3.54349616914311,2.91323543457181,0,1,1324,23181,0.000874898430732827
797705169,0.876923076923077,10,2.37302146891166,4.17110208630842,0,1,704,31276,0.00108447383291141
323956231,0.87719298245614,10,4.73666329724678,1.33129358124558,0,1,20,27334,0.00116295974993488
301266405,0.877551020408163,10,2.30883036713213,9.14915325639506,0,1,32628,4561,0.000736065010237193
192575274,0.88135593220339,10,3.58970690134401,10.3263466655113,0,1,20049,16002,0.000655928870247181
196183094,0.883333333333333,10,4.95187798472225,3.84087977116159,0,1,199,30615,0.0016098197447187
721080754,0.883333333333333,10,3.53828520414638,2.52922783991491,0,1,592,32007,0.000998569284154386
952716252,0.883333333333333,10,3.32953973392298,7.25807450472615,0,1,19794,7954,0.000833414758274499
278088761,0.888888888888889,10,4.63263261064054,11.0919519424577,0,1,23312,5800,0.00052429746691498
607886785,0.888888888888889,10,3.41783950509037,6.93929271673202,0,1,29910,8452,0.000816328332130047
212147181,0.894736842105263,10,2.3471144290497,2.48263046402244,0,1,1162,43461,0.00165246013653406
518666863,0.896551724137931,10,3.58239905872032,2.96453842325696,0,1,1081,32379,0.000954365153512678
372275643,0.9,10,4.40960825242858,10.7810117166192,0,1,29892,9055,0.00108464452694759
676188733,0.901639344262295,10,4.69948601522644,7.20360789052707,0,1,17758,11223,0.000615919864783942
505995484,0.901960784313726,10,2.47865892507954,10.5286147806548,0,1,33042,0,0.00067336589457307
832248480,0.910714285714286,10,3.34930874166879,7.4401616787271,0,1,31540,2451,0.000747519127639865
513267693,0.912280701754386,10,3.98740119159935,8.51280828807719,0,1,31013,8036,0.000374337035273299
667094946,0.912280701754386,10,3.56702055277098,7.69065497203852,0,1,29787,14730,0.000829111296916021
257896886,0.912280701754386,10,4.69667779806932,8.64403947426281,0,1,32032,6075,0.000547029367374028
713885412,0.913793103448276,10,2.76151181108951,8.16685660100097,0,1,26082,6749,0.000740028158245708
241099291,0.914893617021277,10,3.9282164995919,8.8710387526813,0,1,37601,3607,0.00132096140745752
675768404,0.92156862745098,10,3.39416328841388,14.5038026854495,0,1,41175,0,0.000716713802457088
325201649,0.923076923076923,10,4.55567935191531,10.5039651948581,0,1,21731,4139,0.0021697688234968
862471657,0.924528301886792,10,3.98532437160258,7.88714039461329,0,1,38792,4814,0.000299202357930044
111124837,0.925925925925926,10,2.28543473080829,1.13871424811472,0,1,436,32913,0.00071058125149379
438170743,0.927272727272727,10,2.81970645465476,5.94603303930328,0,1,22440,7972,0.00145350007467389
529746470,0.928571428571429,10,4.08303576903571,6.66896706561438,0,1,14978,10921,0.00081343754642485
70816758,0.928571428571429,10,4.83215199540691,7.35455265651512,0,1,29546,6751,0.000948379681960247
850376773,0.929824561403509,10,4.41466466608526,9.58542230404414,0,1,27242,11495,0.000788395424066113
947912238,0.931034482758621,10,2.34827684879264,6.02829540800717,0,1,2790,28912,0.000930656735452629
303483002,0.931034482758621,10,1.63313327328905,8.57340982632736,0,1,47664,397,0.000491146538756701
571825162,0.933333333333333,10,4.45639091663726,3.49499783254264,0,1,207,43976,0.0008442232048134
829153133,0.934426229508197,10,4.243578884713,3.28212418027167,0,1,60,25823,0.000541233656499817
709892660,0.934426229508197,10,3.22366204389435,7.77973133647932,0,1,5051,21356,0.000564424192408421
993219640,0.936507936507937,10,4.44587919608721,3.51149158184381,0,1,59,40522,0.000602680774608395
97740465,0.938461538461538,10,3.76828532959202,7.69283388145615,0,1,28198,8304,0.000735386626065177
698460483,0.942307692307692,10,3.78710211787598,11.3254195168173,0,1,40812,4115,0.00282477166450164
3083685,0.942307692307692,10,2.85869608134297,5.89429890952988,0,1,17410,6605,0.000780053307318037
290811437,0.945454545454545,10,3.72449469378393,11.4252129782523,0,1,40481,40,0.000892508467067999
963621191,0.947368421052632,10,4.09590286337491,6.4640752563698,0,1,613,38643,0.00127832891769828
201486280,0.949152542372881,10,1.81968905907201,3.58781561288865,0,1,2231,27685,0.00140707342405826
794023609,0.95,10,4.06214266556779,9.14734230648153,0,1,12309,11305,0.000567478933353563
80647277,0.95,10,4.13006347944622,3.47028382092802,0,1,246,32914,0.000815074415052944
671002103,0.955882352941177,10,3.21169490808207,5.88600573813203,0,1,13318,10840,0.00259346931859243
277131998,0.959183673469388,10,3.3737103547569,8.58682453801171,0,1,18542,5063,0.000790194106112334
225860435,0.962264150943396,10,2.77146261854623,5.83741581192901,0,1,25965,4595,0.000445981561784146
917774828,0.962264150943396,10,2.5622627440458,6.62497073703098,0,1,26713,8456,0.000953247175839355
215161721,0.962962962962963,10,3.45875466758091,7.24483069802915,0,1,34111,6448,0.000131214136196661
669303926,0.962962962962963,10,3.69320353891427,8.07032583512323,0,1,28958,2089,0.000558705480066645
741201468,0.963636363636364,10,4.53705227486325,2.19511036201773,0,1,311,28590,0.000434289028629987
646098175,0.963636363636364,10,4.61806770097905,7.18100155337595,0,1,15135,12129,0.00066069719990167
828354523,0.964912280701754,10,2.16510569221116,1.17477197422663,0,1,3316,34813,0.000435225865565277
519831977,0.966101694915254,10,4.51390655765444,6.43846762956681,0,1,2808,24059,0.000307248812989208
214731477,0.966666666666667,10,3.09383755122509,3.58050171822102,0,1,866,27476,0.000457031686490495
991680349,0.966666666666667,10,3.42260793382645,12.0871208024402,0,1,19934,6634,0.000485116511451273
215217154,0.966666666666667,10,2.4204421347741,1.60059315321562,0,1,3164,29559,0.000497832244307266
284480380,0.967741935483871,10,4.84422582797125,4.25872847224562,0,1,187,42541,0.000940657567478246
676204479,0.96875,10,4.3123762069521,6.42510339975348,0,1,20673,8249,0.00108156195622764
255916405,0.981132075471698,10,2.25892679444936,6.10122415241758,0,1,1262,34015,0.000578439910810966
886765602,0.981132075471698,10,2.93308664546605,7.90601653164264,0,1,31688,7654,0.00044425187714423
599082881,0.981132075471698,10,4.6425359180928,7.81621189465488,0,1,36089,3183,0.000378867491852176
556243566,0.981481481481482,10,4.09145400415026,11.6090796857929,0,1,34080,0,0.000999886518799257
529459969,0.981818181818182,10,3.65983195880876,9.99806282453462,0,1,33177,4595,0.000526012471977138
457611363,0.982456140350877,10,4.40820177023814,1.84941901481035,0,1,47,33504,0.000649713055873782
34310469,0.982758620689655,10,2.84821165298227,6.19562494871054,0,1,41194,3065,0.000978632775719258
888905252,0.983050847457627,10,4.74625703258391,4.79715836863852,0,1,106,27821,0.00104187460143147
425909030,0.983050847457627,10,1.69283941106436,3.19026883266377,0,1,2575,36221,0.0031632533760588
764738301,0.983050847457627,10,4.33820803888648,8.56395438465657,0,1,18752,7682,0.000513407434975602
717894208,0.983606557377049,10,3.69502526009574,7.94672069548962,0,1,18709,9581,0.000663570689442331
232863708,0.984126984126984,10,3.90304728592512,6.05605368138901,0,1,405,31308,0.00150580804932313
676552453,1,10,3.63436121029864,6.71503770240121,0,1,24419,13325,0.000414547531063424
265903588,1,10,2.46273597001024,3.35336920131138,0,1,1307,31612,0.000522035718389491
365174025,1,10,2.92872203680075,9.01931899892196,0,1,23512,2294,0.000185150903694273
264524171,1,10,1.040934244863,11.7693788435817,0,1,42532,0,0.00104475331739606
361713325,1,10,4.13455509803057,1.17062418359155,0,1,29,42227,0.00202459222955324
206663091,1,10,2.64430486274013,1.25909531512244,0,1,129,47483,0.000523247759671043
791906448,1,10,2.83019039498937,3.67598870231132,0,1,98,40334,0.00047330915820856
578988575,1,10,3.51345633800825,8.26521833815132,0,1,21030,13325,0.000966677571285754
855513232,1,10,3.88070406481025,5.7777383114963,0,1,4089,19734,0.00209121772110054
956434276,1,10,3.925565865261,3.45831176875318,0,1,27,44261,0.000617875953655235
586121428,1,10,2.46586213677392,2.5856831684364,0,1,1518,26138,0.000343998709260982
275128028,1,10,4.18906225094339,6.61731512646428,0,1,16737,9181,0.00111179383343723
421267363,1,10,2.80434575802656,5.75741464743158,0,1,19201,9077,0.000530596582877138
443538330,1,10,3.81732991954692,8.69028668655058,0,1,25303,2460,0.00110248422487097
820889654,1,10,4.32758543552959,5.40726089855115,0,1,1455,23499,0.000583167035249649
775112972,1,10,4.79901191975366,7.70680817641553,0,1,26072,7086,0.00182222890507964
995816800,1,10,2.58018787812849,6.77991031574543,0,1,18559,10831,0.000564710098157186
870919127,1,10,2.3806952346727,5.43697418495097,0,1,3767,23889,0.000424462398623413
164353415,1,10,3.74275081357068,2.11757879187267,0,1,98,34080,0.000193383846823413
664650389,1,10,3.49441498208401,6.75824331513012,0,1,16972,6951,0.00141963734677317
558904573,1,10,1.93598673851039,7.58410049117901,0,1,32066,8511,0.0033502305718822
629432487,1,10,2.09831624186816,3.8973823034547,0,1,2712,27352,0.000178395375539334
287211409,1,10,4.13115702915889,7.86262512801174,0,1,20613,7479,0.000322553541194635
693345318,1,10,3.62748647350609,4.9634434452185,0,1,3155,20691,0.000669436422593428
627236160,1,10,4.58032640799664,3.78430923594611,0,1,639,29827,0.00107689782052465
346120465,1,10,4.78246224770719,4.5686125738299,0,1,172,42372,0.00032979499041646
811146080,1,10,2.9547508354747,6.63236365157061,0,1,15528,9134,0.000713426076606832
487529741,1.01538461538462,10,4.34138833404965,2.88915426454197,0,1,351,32390,0.0011655857451367
796646682,1.015625,10,4.20566593323618,9.63393567634491,0,1,13680,12070,0.000805266526067272
508473372,1.01612903225806,10,4.5506274853086,2.17345402931961,0,1,160,35261,0.000933229694716395
964578591,1.01639344262295,10,2.27502539190278,5.81508027635214,0,1,27648,5800,0.00122777295093193
549180327,1.01666666666667,10,4.07528637693769,6.1999786748559,0,1,13601,11905,0.000446507348075449
128744467,1.01666666666667,10,3.09641313574822,3.83742894014985,0,1,1279,34957,0.000652911540370352
270127101,1.01694915254237,10,2.11616803626417,6.62309885807045,0,1,13966,11258,0.000312087196788462
404032683,1.01694915254237,10,2.67325373474131,2.95105118196394,0,1,456,36602,0.000786785656478517
992874296,1.01724137931034,10,2.64898105020768,8.9213940476079,0,1,25080,5224,0.000155688828436606
830119662,1.01724137931034,10,3.60734535864736,1.06409655832895,0,1,40,27836,0.000295570588359075
356795738,1.01724137931034,10,4.3717936576399,3.97822878419842,0,1,1152,27631,0.000867071247456234
859162969,1.01724137931034,10,4.44559146924368,6.87285694565637,0,1,11233,12727,0.000243990390747502
709648462,1.01785714285714,10,3.81955371330204,8.88618438915301,0,1,26004,728,0.000643415004596726
14600434,1.01785714285714,10,4.42314175341845,4.74437949902017,0,1,271,31467,0.000352376296275815
408401829,1.01785714285714,10,4.92443084508041,9.12543016310242,0,1,28905,3017,0.000636084717098921
199971572,1.01818181818182,10,3.35617659262393,8.77218961014457,0,1,21293,11969,0.000443961262244161
147890450,1.01818181818182,10,4.43923840135264,8.13626102773978,0,1,22191,7644,0.000869733597898967
778950909,1.01851851851852,10,1.95637741522054,6.17913851641606,0,1,8182,27697,0.000506364019465384
774114105,1.01851851851852,10,3.59083677867874,10.8827809882714,0,1,39130,0,0.00058877951274601
965846479,1.01851851851852,10,3.54805512897561,8.05415470125783,0,1,21852,4124,0.000683446966804952
203547230,1.01851851851852,10,2.26486305486894,8.00483432050689,0,1,10406,17555,0.00114063895006477
49378111,1.0188679245283,10,2.4618420852972,10.4782206702556,0,1,41688,133,0.000316901779153619
6775249,1.01923076923077,10,3.97539422287126,3.22248580575851,0,1,1,41825,0.000326140081536245
134505811,1.01923076923077,10,3.43200057872451,5.39307899400772,0,1,21215,7965,0.000480016128374094
917854923,1.01923076923077,10,3.2070053323587,12.6101472831987,0,1,40473,0,0.000941163706279085
867560215,1.02040816326531,10,2.61033383429375,6.84652454734035,0,1,32417,8325,0.00126772595321493
833855282,1.02040816326531,10,2.61639976285399,8.04321121351719,0,1,35438,6489,0.000772400877485682
657730866,1.03125,10,1.8675123519595,19.8051817976589,0,1,37449,0,0.0225018511240915
795745309,1.0327868852459,10,1.46493981782774,5.24482048156535,0,1,30896,10894,0.00152018782991113
174331353,1.0327868852459,10,2.33755942454022,3.59919510417566,0,1,6185,21062,0.000370193352940702
245016135,1.03333333333333,10,4.84037152820942,2.13613706284996,0,1,119,34769,0.00149425726895931
247311089,1.03333333333333,10,2.46946752387915,5.15445461133684,0,1,25592,9779,0.000256367141334119
831804706,1.03333333333333,10,3.51288690583689,1.76833398293357,0,1,189,42702,0.00133452400022416
483831602,1.03333333333333,10,4.0775701022946,2.09208122850923,0,1,81,35252,0.000501215898935138
728237781,1.03389830508475,10,4.07009970233893,9.2284397072732,0,1,28482,8807,0.00184655470565089
693466158,1.03389830508475,10,3.23235340055476,7.62156523172767,0,1,12614,13286,0.000267961171647782
41808408,1.03389830508475,10,3.27323691084027,3.46321306416278,0,1,25,37482,0.000350073852588928
863661828,1.03448275862069,10,2.9450226915732,7.95750175393496,0,1,19887,6198,0.000289242062412405
91189444,1.03448275862069,10,1.75897019189901,6.75789429778675,0,1,24781,10597,0.00113380279411641
134653706,1.03571428571429,10,2.38294944985505,7.83478196169697,0,1,29147,947,0.00117902168811245
221038061,1.03571428571429,10,2.92369169537444,5.75594466605527,0,1,4696,30155,0.000281243675427107
740069676,1.03571428571429,10,3.09835198542713,7.20363554128701,0,1,1027,35039,0.000963451872034032
794525123,1.03636363636364,10,2.14401861543833,8.91606726433684,0,1,45539,93,0.00195488735675782
293305724,1.03636363636364,10,3.88913527178915,14.1587031675727,0,1,37760,0,0.000657923595086576
782792574,1.03703703703704,10,3.05426105576,9.15603614595475,0,1,25315,8181,0.000330642575725059
343743851,1.03703703703704,10,2.9811586230638,7.47353785086724,0,1,31127,6039,0.000770532072624005
678404562,1.04,10,4.69881961183682,8.95019004938078,0,1,39558,4132,0.00117552015277552
1640708,1.04615384615385,10,3.94132487236618,2.1905124413136,0,1,316,35240,0.000629316470246421
482597663,1.04838709677419,10,4.92049499548281,2.33735089823162,0,1,34,40899,0.00055496244896074
449811205,1.04918032786885,10,3.05603194880436,1.66239732184874,0,1,297,38195,0.000468809952758856
672079351,1.04918032786885,10,3.41803934940307,9.32022344281502,0,1,15945,8156,0.000393345497131197
346831552,1.05,10,4.2803533067162,5.06305070045226,0,1,2234,22723,0.000188545108203421
532551280,1.05,10,2.98513477958326,5.8755201705145,0,1,22006,9095,0.000927823357463458
437898069,1.05,10,3.11773716809796,3.70079466323757,0,1,4848,21539,0.000579571938681585
702678706,1.05084745762712,10,4.49452664761397,6.60649345196223,0,1,4662,28578,0.000459877897128919
938846287,1.05084745762712,10,2.74401569834321,5.81842501704006,0,1,659,37907,0.000533871275155933
653411246,1.05084745762712,10,3.29699392041569,3.61205032698926,0,1,530,36688,0.000579620879032361
961151459,1.05084745762712,10,2.93184968292869,6.61966726530858,0,1,4023,24053,0.000839243041340857
844157113,1.05172413793103,10,4.69236109664575,1.55963106479605,0,1,18,41777,0.00125044864941093
837062055,1.05263157894737,10,3.74600028526048,5.49334662854958,0,1,1508,39389,0.0011930741884314
696047184,1.05263157894737,10,3.25555308266245,2.2806399321185,0,1,120,40891,0.000435883743414552
908749580,1.05263157894737,10,1.60393077561823,4.33018405534722,0,1,13831,26635,0.00138705145261453
204138821,1.05263157894737,10,4.52043641655389,3.22305958420318,0,1,160,28976,0.00132255072843037
37888083,1.05357142857143,10,3.72168005154729,4.84148151065801,0,1,80,39843,0.000779236011342792
833985955,1.05357142857143,10,3.58548057506681,3.25787706134816,0,1,83,38141,0.000747331100432713
969226054,1.05357142857143,10,4.96777570444764,7.2638278965632,0,1,22232,9177,0.000529794597024657
479499070,1.05357142857143,10,3.70618662387072,5.93270171424568,0,1,21066,4169,0.00144002335115234
611141001,1.05454545454545,10,2.75337421844843,6.0195396260844,0,1,37680,6887,0.000509296140135319
827450210,1.05555555555556,10,2.62191515505836,8.98529364872586,0,1,19596,8586,0.000625149450038426
98091486,1.05660377358491,10,3.87718645732618,8.14753486044757,0,1,23621,6119,0.000442060327791643
758538278,1.05660377358491,10,1.69323905741259,7.40599655408851,0,1,43967,99,0.0011415272804466
54748263,1.05660377358491,10,3.23455333258929,9.58233201162738,0,1,19055,5674,0.00102120767671793
22524586,1.05660377358491,10,1.66655890658266,4.65575376717199,0,1,29731,7857,0.000933306400024685
581514043,1.06,10,3.36615327476889,9.96800894644931,0,1,32346,1373,0.00082533347765934
507336287,1.06,10,3.03759089309932,7.54650005465911,0,1,25294,6746,0.000649736755590912
241433731,1.06,10,2.77140748555583,6.37265105215623,0,1,24476,9616,0.00160950858640084
389242334,1.06,10,3.1219452321183,7.93433997690862,0,1,39079,3627,0.000322396580263177
72139720,1.0625,10,4.23426146085935,7.28916032113386,0,1,1553,41175,0.000618221386892035
338187794,1.0625,10,1.96611143616135,1.96398028689398,0,1,1753,34228,0.00123797122692995
333263363,1.0625,10,4.44600045073416,8.0389570225971,0,1,11468,15283,0.00179750193112994
910153375,1.06349206349206,10,4.39858025910906,4.90774372980639,0,1,1476,25022,0.00027462337376599
636260753,1.06451612903226,10,3.31623371541588,2.70862092484076,0,1,316,43936,0.000245452413334809
429037641,1.0655737704918,10,3.67154821689677,6.28414192798406,0,1,16948,10506,0.000395687169933144
763187441,1.0655737704918,10,3.04615769501294,6.95434190623381,0,1,21503,6555,0.000406587208249297
416107004,1.0655737704918,10,1.89753713115976,2.36770812000822,0,1,2402,38642,0.000380608416230693
920133417,1.0655737704918,10,3.10391028688434,3.22943433268942,0,1,967,31095,0.000475571827379728
6645958,1.06666666666667,10,3.10533169736753,1.39273110610538,0,1,372,29582,0.0003656454507838
444853404,1.06779661016949,10,2.52423217686208,7.95226647054649,0,1,15308,9048,0.00139745122457918
