seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
340578686,0.621621621621622,10,4,7,0.0893870749735342,0.807705383810888,28623,17505,0.000431846648127733
965885624,0.635135135135135,10,4,7,0.271167443875956,0.811381926558386,2710,27614,0.00041625546549428
581833402,0.684210526315789,10,4,7,0.104350789650975,0.797865387264088,19213,9777,0.000703242165681867
290642697,0.776315789473684,10,4,7,0.0511548872736721,0.557035969095015,5740,19343,0.00206078001895229
903417451,0.785714285714286,10,4,7,0.152707753511369,0.993821442627919,445,29293,0.00137857642514849
530052702,0.811594202898551,10,4,7,0.308528616225541,0.631247942794679,874,28248,0.000864213778007018
593143453,0.825,10,4,7,0.212996922982157,0.706567672500334,10960,19388,0.00046690423431806
652868109,0.85,10,4,7,0.223766240019791,0.906389328578783,3486,22420,0.000822342616484304
25006406,0.852941176470588,10,4,7,0.269884123401621,0.814458797158025,1545,29895,0.000570569493652849
648534857,0.88,10,4,7,0.0644947626748411,0.89176708717385,1633,35591,0.0015487803720927
377142083,0.88,10,4,7,0.29016581960303,0.75913144202073,1745,22418,0.000688357093133447
662572552,0.885714285714286,10,4,7,0.222375814963977,0.86332646906524,1774,31312,0.0012177618086631
183071403,0.894736842105263,10,4,7,0.391959528108094,0.765741228574858,328,36118,0.000689062751461607
757130955,0.894736842105263,10,4,7,0.801069588487175,0.722286410761775,3,24940,0.00115284544661586
262587962,0.906666666666667,10,4,7,0.23505761214599,0.679702063955603,3919,23745,0.000305004062838949
689480849,0.907692307692308,10,4,7,0.0670529257105799,0.635738466960521,16315,10300,0.000630353847137051
720973375,0.925373134328358,10,4,7,0.182494295066738,0.834888483920986,3992,20803,0.00113313143513438
855779839,0.938461538461538,10,4,7,0.402728007679897,0.656785122101653,763,28800,0.000426447672561028
720700277,0.944444444444444,10,4,7,0.166082104660362,0.768746369173318,1080,34453,0.00146743093794203
534743274,0.945205479452055,10,4,7,0.457109573169573,0.790992295958839,118,28343,0.000629750448341139
249084536,0.945205479452055,10,4,7,0.873148242842591,0.811237849890438,1,30507,0.000618089503966025
419874288,0.953125,10,4,7,0.153622389504196,0.752508773419741,32325,7142,0.00114487619861865
240085052,0.958333333333333,10,4,7,0.434342766529137,0.747492318726954,4,41135,0.000363546413258014
541590191,0.961538461538462,10,4,7,0.183760429448764,0.780310387268341,1770,27328,0.000896471426834998
172641669,0.96969696969697,10,4,7,0.569748710249935,0.796731501714555,51,32582,0.000483639899560856
672556557,0.971830985915493,10,4,7,0.262565290075065,0.886847665861012,1106,27490,0.00026792120868568
588751605,0.971830985915493,10,4,7,0.308284614237991,0.969069690560212,382,30709,0.000647955970091043
922736237,0.971830985915493,10,4,7,0.733147387252373,0.770245914233525,3,36845,0.00121972212194791
757140209,0.972602739726027,10,4,7,0.67073146857254,0.934427229380318,0,37911,0.00112581073112293
422462248,0.985507246376812,10,4,7,0.326542044918988,0.932553071028816,220,33954,0.00122304923542479
540934672,0.985915492957746,10,4,7,0.390485500966394,0.614525150797566,1399,23980,0.000731610428430425
986054169,0.986111111111111,10,4,7,0.144742180132206,0.762963161591444,8780,14913,0.00139979693422322
113282493,1,10,4,7,0.107781515057305,0.564071120424844,10812,20783,0.00145399045737317
636208946,1,10,4,7,0.739749439750203,0.714997196027686,4,39509,0.000795832951387697
445818967,1,10,4,7,0.473367819198091,0.629567046373756,30,42640,0.000805495429929554
676745852,1,10,4,7,0.431970763768284,0.762507010651991,1433,22202,0.000973317163998977
12645702,1.01351351351351,10,4,7,0.647289969800988,0.698891859708286,21,43158,0.000257316364441994
708425916,1.01369863013699,10,4,7,0.660623637940669,0.618876006515805,15,39247,0.00106403651795472
172564702,1.01369863013699,10,4,7,0.0711387412990527,0.746716823452709,7485,17439,0.000704539307054384
841466185,1.01369863013699,10,4,7,0.203922360053542,0.888809442153526,5968,23122,0.000721786888860118
117015388,1.01428571428571,10,4,7,0.478108886574426,0.759525364741065,35,33461,0.0013765591569652
295127670,1.01492537313433,10,4,7,0.112314207411328,0.894090209813406,7946,17973,0.000804321666856112
841149641,1.02739726027397,10,4,7,0.890121962309206,0.810177731876638,0,42520,0.00105506521818905
480009414,1.02816901408451,10,4,7,0.531065401223621,0.55916936626049,109,32482,0.00103143988737492
724715653,1.02857142857143,10,4,7,0.17858387667548,0.845108322894992,2517,23854,0.00137457377305443
301273034,1.02985074626866,10,4,7,0.0167752588886247,0.932817502520022,12837,14050,0.00213242759598837
532432168,1.03703703703704,10,4,7,0.442268029607477,0.8749987737814,430,24226,0.000743619231382749
122899342,1.03947368421053,10,4,7,0.907745879307945,0.836678376254703,0,28261,0.000999353887869031
896169460,1.04285714285714,10,4,7,0.0413675283587111,0.979424100177099,889,32223,0.00211279744120506
583890636,1.05,10,4,7,0.0969618719932479,0.815898255746869,8507,19974,0.00131122015692484
234099588,1.05,10,4,7,0.568873336798497,0.602957793316836,165,34599,0.00222224658261137
95077502,1.05128205128205,10,4,7,0.779227258208931,0.852305299735711,25,37537,0.0012118132664982
519749209,1.05194805194805,10,4,7,0.885225522797149,0.983194211192216,2,35435,0.00278484916534281
462940442,1.05263157894737,10,4,7,0.476854244425049,0.805221519858522,273,24069,0.000731475607708345
401631728,1.05555555555556,10,4,7,0.0616724980900344,0.925184973857218,7106,18156,0.000770364495538816
705260679,1.05797101449275,10,4,7,0.212682309055129,0.951889445251803,649,30488,0.00177745705057693
936293602,1.05970149253731,10,4,7,0.738694041053884,0.730997966012536,1,36346,0.000579074917036787
616608754,1.06493506493506,10,4,7,0.304460759913121,0.686369632272951,122,32494,0.000911088703806826
841956902,1.06666666666667,10,4,7,0.237916075117064,0.71140960824068,85,38337,0.00112584585193204
510125592,1.07142857142857,10,4,7,0.135356975267319,0.737485342413049,966,24689,0.0012942381899048
988733102,1.07246376811594,10,4,7,0.423028159467207,0.824440972874965,263,45231,0.000414128654676904
324089689,1.07936507936508,10,4,7,0.435029842215322,0.847042008255839,87,42155,0.000308975268507082
108251147,1.08,10,4,7,0.242100032688565,0.57372588531358,3806,23843,0.00341218411814805
555403228,1.08333333333333,10,4,7,0.235008179565369,0.940100142558003,4507,20450,0.000970074905901676
849050156,1.08474576271186,10,4,7,0.343680202690174,0.756307787768846,40,34322,0.000774386568884351
44400497,1.09210526315789,10,4,7,0.169794331758164,0.977765002835164,8867,16563,0.00180745266100395
269526067,1.09722222222222,10,4,7,0.148151368097537,0.783354555626617,5185,24121,0.00119579734893552
76197705,1.09859154929577,10,4,7,0.692017427242976,0.831257418050148,7,26536,0.000600381043324036
948323514,1.1038961038961,10,4,7,0.0946154956611076,0.582330469726282,2046,24864,0.0011615188097162
750275423,1.1044776119403,10,4,7,0.660284644241924,0.765440079911414,38,42609,0.00068247798471842
34340676,1.1044776119403,10,4,7,0.376874740698968,0.761674234722823,613,33736,0.000414958269151576
304284939,1.10606060606061,10,4,7,0.25466499643288,0.981760408237522,1022,22563,0.000852610331113456
623617349,1.10666666666667,10,4,7,0.320988824764666,0.807956895815616,6330,20467,0.00140037466806676
153338433,1.10666666666667,10,4,7,0.56325613251965,0.540918608696909,83,33259,0.00126812270644967
979090189,1.10666666666667,10,4,7,0.925842162185369,0.953358237015659,2,24749,0.000915438554713677
979487741,1.10958904109589,10,4,7,0.333645704868634,0.591626573255444,276,32690,0.00144526053467489
196274864,1.11111111111111,10,4,7,0.6208909847913,0.924851550313557,0,33088,0.00028884509011866
167216516,1.11428571428571,10,4,7,0.208182353911844,0.944671030903064,1838,32234,0.00184602451480622
770384615,1.11538461538462,10,4,7,0.928215145932814,0.89753172591767,58,33214,0.000878653586730422
770245750,1.11764705882353,10,4,7,0.63040269235977,0.892908095909646,8,40297,0.00145995761688952
532004503,1.12,10,4,7,0.677470640365037,0.694383431550088,23,32658,0.000402592608268277
50018938,1.12,10,4,7,0.031511845732796,0.793008303046443,5333,20840,0.00200256752189734
71591154,1.12,10,4,7,0.609052157813113,0.66227693295523,128,34592,0.00057508540393311
329675800,1.12676056338028,10,4,7,0.260845987771117,0.817478916304496,555,36904,0.00117730857952511
78477818,1.12676056338028,10,4,7,0.704676439633726,0.577305758500893,26,31406,0.000794426598074292
647557024,1.12676056338028,10,4,7,0.48168113800547,0.555236851523179,737,26646,0.00198813780994817
922306569,1.12857142857143,10,4,7,0.232082641365084,0.778494054755312,713,41039,0.00184900376680842
752985586,1.12987012987013,10,4,7,0.139529757246534,0.866983139513243,1570,22815,0.00044014039974739
110278772,1.12987012987013,10,4,7,0.134460941157336,0.961327322880103,1568,31548,0.000936406113872308
913544031,1.13235294117647,10,4,7,0.0867373717828159,0.988604272763997,3613,23175,0.00134610708643684
770794536,1.13432835820896,10,4,7,0.36772025347033,0.778763532091089,97,35603,0.000298628690163371
330361902,1.14084507042254,10,4,7,0.297552231781748,0.767738708672243,60,39899,0.000223940467235564
468726871,1.14457831325301,10,4,7,0.464778791144776,0.755742067898545,84,34518,0.00102534262194567
992741854,1.14666666666667,10,4,7,0.145723868048677,0.746084141845987,2295,21524,0.00102274498085232
37761569,1.14705882352941,10,4,7,0.495286946478437,0.748620943113556,49,39563,0.000451353967077354
321619338,1.14814814814815,10,4,7,0.434376863854305,0.769044076782774,2117,25938,0.0010718758741973
64792161,1.14814814814815,10,4,7,0.701764020702544,0.783816713483788,3,27907,0.000755608079480993
643581623,1.15068493150685,10,4,7,0.322260149697314,0.955308047406972,15,35888,0.00134741777062028
557751944,1.15151515151515,10,4,7,0.500987380040304,0.79325961578545,357,31880,0.000354764378629585
574265886,1.15151515151515,10,4,7,0.514448027084485,0.861388989639948,60,35646,0.000841413558093042
987127695,1.15384615384615,10,4,7,0.27110169167039,0.654090922179087,296,30836,0.000681391230009033
601706474,1.15384615384615,10,4,7,0.296417409383264,0.726172007024478,774,25454,0.0010202417729344
854841206,1.15492957746479,10,4,7,0.568601544393801,0.705585489946925,0,38388,0.000467308232974172
117384717,1.15584415584416,10,4,7,0.599887990888991,0.852879489334478,72,35971,0.00139078195487826
225163890,1.15584415584416,10,4,7,0.230318621834591,0.575352970550965,2214,22136,0.00120062043185062
181991996,1.15789473684211,10,4,7,0.635848793722636,0.744068991033518,24,32474,0.000156968193168825
162622132,1.16,10,4,7,0.0984252635412299,0.660346194885521,11403,21159,0.000638323838961349
317146400,1.16438356164384,10,4,7,0.628587119835065,0.691312046617332,2,43820,0.000384809509932236
69300093,1.16438356164384,10,4,7,0.155195020769516,0.514670029836268,36,29121,0.00169554634429871
218151700,1.16438356164384,10,4,7,0.361923125657936,0.652729609682724,418,32239,0.000544245253476306
728712264,1.16666666666667,10,4,7,0.587870211641768,0.857200671412429,66,37236,0.000979091527759812
158135521,1.16666666666667,10,4,7,0.0585858176274577,0.50555448982749,2595,23652,0.00461181940306281
489833967,1.16883116883117,10,4,7,0.111282856448576,0.638904477030706,14844,9761,0.00136696674188972
898269260,1.16883116883117,10,4,7,0.0150889703550374,0.607066932118621,1823,23629,0.00408231867854953
563555990,1.16901408450704,10,4,7,0.269670839721613,0.717406002169689,3387,32439,0.000909447529285
932417741,1.17142857142857,10,4,7,0.967098838218097,0.747223239971053,0,40150,0.00136325602679618
802093500,1.17142857142857,10,4,7,0.986705542264221,0.556721513595232,12,32249,0.00209633497037821
587374634,1.17333333333333,10,4,7,0.319559619568379,0.831259911748863,1743,28101,0.000361128736162946
67368953,1.17391304347826,10,4,7,0.804999056312653,0.60224922867108,1,28887,0.00126318419925913
147156422,1.17543859649123,10,4,7,0.15550231257506,0.507229845376927,7091,17027,0.000863278080243019
818332075,1.17567567567568,10,4,7,0.0456256546080916,0.763726054948881,1130,28297,0.00102308075482584
447818485,1.17647058823529,10,4,7,0.275054111027274,0.76366265791025,691,28107,0.000371806191409345
195281198,1.1830985915493,10,4,7,0.116928078776451,0.82460328945064,385,30121,0.000954326857555293
762611295,1.18421052631579,10,4,7,0.0360925590691129,0.646414918636903,11746,13567,0.00157002112158506
683799501,1.18421052631579,10,4,7,0.296777367857666,0.674134589848873,1787,22622,0.0010024320846651
61402229,1.18518518518519,10,4,7,0.170373110978184,0.856112540195592,7847,19092,0.000838776654177276
247421872,1.18571428571429,10,4,7,0.564658674527591,0.66220818642652,26,35946,0.000965982241279494
856582013,1.18666666666667,10,4,7,0.502601432736379,0.797157174758222,293,25224,0.000172302595527043
472201120,1.18666666666667,10,4,7,0.0945356374597527,0.62049876078409,7394,21584,0.00101432779666745
473850830,1.18666666666667,10,4,7,0.301953659540435,0.790691227735199,298,27838,0.000540408978367012
391100809,1.18840579710145,10,4,7,0.323151200202705,0.540623096314635,1137,26493,0.000511887208384429
552735946,1.18840579710145,10,4,7,0.491445701461533,0.789955364129189,100,26783,0.000492181450168681
439678232,1.18918918918919,10,4,7,0.274988189552567,0.57989680385518,1814,27435,0.000623600523604439
