seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
599759506,1.015625,10,4.43459324569609,7,0,1,20899,7984,0.000870795334381712
11839709,1.37037037037037,10,3.09295341307563,7,0,1,11090,12513,0.000925725343588188
233580280,1.4,10,3.41576380012337,7,0,1,9108,17869,0.000832851003504299
831918831,1.46938775510204,10,2.54045638412372,7,0,1,20279,8259,0.000972346792327997
192040976,1.49056603773585,10,4.60451796366231,7,0,1,20910,11566,0.000699629472988686
250744898,1.54716981132075,10,2.97509138666936,7,0,1,31532,10989,0.000644790047936773
760477583,1.55555555555556,10,2.34205763485003,7,0,1,18597,8360,0.00111495508809674
735422491,1.55932203389831,10,4.77896884220348,7,0,1,4683,19085,0.00157348427838756
827112744,1.57142857142857,10,3.68895419103253,7,0,1,3976,25142,0.000972325146201833
879041981,1.58064516129032,10,3.78821672258189,7,0,1,22212,12005,0.000700694001797885
361828375,1.61194029850746,10,3.62231685452112,7,0,1,3779,22208,0.000728158950422572
623053631,1.63265306122449,10,3.18199138909092,7,0,1,6430,19858,0.000764925176519445
85933013,1.64444444444444,10,4.18792146943637,7,0,1,17883,10520,0.00168873210055042
911964103,1.64912280701754,10,3.75165805233587,7,0,1,9194,16798,0.000494155066569985
68476064,1.69565217391304,10,4.03982935772759,7,0,1,15252,18828,0.00140578697594729
138160256,1.70967741935484,10,4.19557792209199,7,0,1,8878,23937,0.0010099245494846
614095608,1.71153846153846,10,2.8136727095512,7,0,1,29260,10547,0.000894526739216002
794240108,1.72307692307692,10,4.9271740538292,7,0,1,10805,14545,0.00182966878884751
852563481,1.74576271186441,10,3.26501384833087,7,0,1,41875,6899,0.000391153132779861
596182214,1.75,10,3.35370056819518,7,0,1,7689,18354,0.00105121992152803
657228405,1.76190476190476,10,4.48223819062625,7,0,1,15579,17769,0.00123417134815516
998024087,1.775,10,4.02517415731964,7,0,1,1431,34388,0.00170424541898235
756417550,1.78723404255319,10,2.62926388233147,7,0,1,24034,5636,0.00127506438133288
949876238,1.78846153846154,10,3.42910879899329,7,0,1,17640,10872,0.000536215374719779
968455852,1.79166666666667,10,3.94773761139122,7,0,1,11318,17665,0.00155361170445293
602022048,1.80851063829787,10,2.13842211098609,7,0,1,18884,12802,0.00101673242911178
538527925,1.82089552238806,10,4.99817564331158,7,0,1,1007,28318,0.00246406834370732
285755543,1.83050847457627,10,4.51373574931462,7,0,1,2360,22483,0.00117624998351643
579663613,1.83582089552239,10,4.8108838212834,7,0,1,1695,27397,0.00156038515937952
604478703,1.84126984126984,10,3.22045785966956,7,0,1,6998,22375,0.000888762301807109
829899848,1.85,10,2.46743674579365,7,0,1,22924,12915,0.000864006875518623
686322281,1.85294117647059,10,4.58312904294661,7,0,1,1582,26041,0.00123556416591179
160371061,1.85714285714286,10,2.32204056761721,7,0,1,25149,8860,0.00183853656854197
194747148,1.85964912280702,10,4.6754558032663,7,0,1,6480,19000,0.00107794395438418
868818072,1.89230769230769,10,3.66993593611676,7,0,1,11565,18932,0.00127536124481796
686909374,1.89393939393939,10,2.96558959784354,7,0,1,2127,30689,0.000792207527076883
892255312,1.89655172413793,10,2.61823516428099,7,0,1,13404,14319,0.00056063320473165
129362671,1.9,10,2.62173584574288,7,0,1,5079,22304,0.000721814201667696
355103966,1.90384615384615,10,1.41978171736122,7,0,1,36837,340,0.00189531385727982
120211359,1.9047619047619,10,3.30258794673455,7,0,1,8166,16094,0.000565126437734588
667665643,1.90625,10,2.84215837083996,7,0,1,24986,17683,0.000550638074244318
933327080,1.90740740740741,10,2.71723155300949,7,0,1,16002,9762,0.000787222379890811
594250560,1.91111111111111,10,4.62634529807785,7,0,1,9483,16547,0.00114062206883134
112713113,1.91228070175439,10,2.84922438920833,7,0,1,3153,24179,0.000862107479571725
984653178,1.91304347826087,10,3.00395041946203,7,0,1,22205,10714,0.000439216525450783
994891325,1.92592592592593,10,4.90575434114874,7,0,1,28507,5277,0.00118511023366808
146138888,1.93589743589744,10,2.39642208960899,7,0,1,10835,25223,0.000472269461283187
57018822,1.9375,10,1.80139342358963,7,0,1,17977,8826,0.00115373534880581
15965614,1.94339622641509,10,2.86803491712402,7,0,1,32455,5890,0.000833485639062168
99757226,1.94827586206897,10,2.85633797794856,7,0,1,4657,21821,0.000277890236663063
900349801,1.9672131147541,10,4.25637485731232,7,0,1,8601,18721,0.000979953966117583
61239240,1.97101449275362,10,2.25264308503198,7,0,1,27897,13801,0.000527841197723744
647112154,2,10,2.50488003521297,7,0,1,29691,10058,0.000682440768151711
759437466,2,10,4.37020845003003,7,0,1,1426,38244,0.00127346870681797
741363395,2.01666666666667,10,3.2197629718349,7,0,1,15424,11904,0.00131433541614693
419313840,2.02173913043478,10,2.88485811076396,7,0,1,20093,6964,0.000901502129830856
529429022,2.02985074626866,10,4.22105237334066,7,0,1,16272,24200,0.00163310207298822
175339858,2.03225806451613,10,4.27270665903718,7,0,1,4950,21076,0.000664306780941355
983651960,2.04838709677419,10,3.64762804275424,7,0,1,12952,13929,0.000802282227201414
419779114,2.05660377358491,10,3.66859110926526,7,0,1,6161,19309,0.000949557816473506
92185646,2.05714285714286,10,4.60566774483406,7,0,1,9548,18782,0.00108012612353078
255722013,2.05797101449275,10,3.72523740391685,7,0,1,4241,24936,0.000975042848665637
386833533,2.0655737704918,10,4.08134523404492,7,0,1,5147,20768,0.000956105867033453
846188289,2.078125,10,4.61321569539486,7,0,1,17783,19897,0.00117586388004992
119375953,2.08064516129032,10,4.74833524432625,7,0,1,199,34580,0.00359156259510366
104806764,2.08163265306122,10,2.70558701485354,7,0,1,18244,7854,0.000815291115030192
551168075,2.08450704225352,10,4.42470448775334,7,0,1,6362,20275,0.00116856774878653
43455185,2.08620689655172,10,3.71225780811863,7,0,1,435,31611,0.00145095807521481
831866118,2.09375,10,2.81487531517553,7,0,1,28871,7872,0.000379706036490023
92964004,2.09677419354839,10,4.13553149046361,7,0,1,13932,17832,0.00112097233872225
255669783,2.09803921568627,10,3.39215598061032,7,0,1,11515,13368,0.0010708383585256
95143571,2.10144927536232,10,4.18082479354351,7,0,1,1364,27573,0.000452271660879614
696142064,2.10144927536232,10,4.85065117894685,7,0,1,567,29093,0.000955638346337067
84849954,2.10204081632653,10,2.01245772655829,7,0,1,36858,3873,0.00094298247259768
148384015,2.1063829787234,10,4.59527458838671,7,0,1,19553,8388,0.00119920809964193
268254001,2.10909090909091,10,2.32821929795902,7,0,1,12784,12271,0.000922819354218754
656052708,2.109375,10,2.45464736433944,7,0,1,9797,16234,0.000393314068889331
656559261,2.11290322580645,10,4.04150245203435,7,0,1,15750,8623,0.000432307105959088
622929841,2.11475409836066,10,4.29012955257648,7,0,1,1770,25331,0.00103305846640691
214763338,2.11594202898551,10,3.45007987032972,7,0,1,16338,23635,0.00141424336194327
287329684,2.11627906976744,10,4.35483009416011,7,0,1,8825,14962,0.000615387147048289
663781025,2.11764705882353,10,3.86478904864172,7,0,1,27408,14422,0.00127937695952467
336237437,2.11864406779661,10,3.62455269362438,7,0,1,17454,10636,0.00079526537446321
464847129,2.13207547169811,10,3.75550794992448,7,0,1,33578,3181,0.000980221396746327
501882502,2.13559322033898,10,4.00088003467348,7,0,1,14647,12752,0.000564385842620004
205718851,2.13636363636364,10,3.99661063776588,7,0,1,3717,21774,0.00177317500151309
307852866,2.13846153846154,10,3.22257436692825,7,0,1,3847,28656,0.000888503540886126
16172821,2.14035087719298,10,4.12763575111806,7,0,1,3256,21760,0.000787003398860756
996192234,2.14285714285714,10,4.58346609935224,7,0,1,716,31632,0.00107293086661494
111197612,2.14583333333333,10,2.61742394513971,7,0,1,44962,17,0.000933173649172772
320492305,2.14754098360656,10,3.79689798746372,7,0,1,2015,28754,0.00104610386843226
762889756,2.14754098360656,10,3.03934755823658,7,0,1,2390,29681,0.000763281988834872
826656004,2.15094339622642,10,2.21872322443131,7,0,1,8786,17951,0.000745700600930434
76472480,2.15254237288136,10,4.69786887190106,7,0,1,3580,24714,0.00152409400656426
885356626,2.16417910447761,10,3.50166127135449,7,0,1,2052,26342,0.000609773374163497
925132222,2.16666666666667,10,3.46263098342948,7,0,1,13061,11290,0.00056268492817462
297514133,2.17021276595745,10,2.41050843592172,7,0,1,33489,2975,0.000951888045219813
156939752,2.17460317460317,10,3.7387903920931,7,0,1,15028,20550,0.000510364468185566
129520737,2.175,10,1.69172085130136,7,0,1,15263,16020,0.0010260268576772
66463977,2.175,10,4.726143958536,7,0,1,17125,18171,0.0015040055981842
952958153,2.17543859649123,10,4.8412303404565,7,0,1,2971,22926,0.00118245527533551
48032134,2.17808219178082,10,4.51334728897322,7,0,1,3532,26705,0.000748018387502341
280840216,2.18181818181818,10,3.26971846189655,7,0,1,32585,6303,0.000776633198983044
921715714,2.18333333333333,10,2.5042564802681,7,0,1,31817,7258,0.00092331769325399
434530241,2.19230769230769,10,2.39687371739013,7,0,1,4644,23539,0.00109140633886163
367371809,2.20289855072464,10,3.59668270134267,7,0,1,12179,22829,0.000396258225264659
885127261,2.20338983050847,10,3.36243466629235,7,0,1,20221,19060,0.00114531889073013
845465407,2.2037037037037,10,3.19189425647535,7,0,1,15920,12390,0.00103340230913138
