seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
857566016,0.864406779661017,10,2.93195217067449,9.61613042949938,0,1,38184,82,0.000758218808392846
984337694,0.923076923076923,10,1.97292478309734,15.2674030869969,0,1,42560,0,0.00081278257148123
956491628,0.982456140350877,10,1.73691183204716,14.3047694626486,0,1,40898,0,0.000871245108895536
437089760,1.01666666666667,10,4.43227913130503,12.3615517581691,0,1,41000,0,0.00100461277400959
50421074,1.06779661016949,10,2.12271117439795,18.4468561292734,0,1,40121,0,0.00167021867661575
524877616,1.09090909090909,10,3.60331830207399,2.50400116415814,0,1,38,38791,0.00133201648607799
853110089,1.12903225806452,10,3.31399483792754,14.4944257591811,0,1,40625,0,0.000768477603385211
587963156,1.171875,10,2.65645319002434,8.5939147980852,0,1,20049,11666,0.000828538065639996
36205070,1.1875,10,3.61319584050505,14.3147072235797,0,1,42784,0,0.000895500761428202
624664994,1.19117647058824,10,3.43690134364252,8.0338462638946,0,1,7140,22044,0.000474676927604538
208775267,1.21538461538462,10,2.51752395268168,9.69122073294689,0,1,42691,7,0.00100517104836307
954374270,1.22033898305085,10,4.57357919246825,13.7003387215194,0,1,43253,0,0.00131441618849812
670889416,1.22388059701493,10,3.2007342876182,6.93170188378787,0,1,2285,24297,0.000953441938774155
66091023,1.25,10,3.91641603291268,8.8566697625161,0,1,24483,19096,0.000520740250756695
951114529,1.25396825396825,10,4.16905130428219,7.06167795866457,0,1,23430,9976,0.000955311556064897
646002,1.26666666666667,10,2.71530793873276,12.9805750473756,0,1,30414,0,0.000534421110862441
141518116,1.26666666666667,10,2.63750561310927,16.2342483540826,0,1,42238,0,0.00082788457225052
202048668,1.26984126984127,10,3.91136315691995,6.43563370636231,0,1,5259,22192,0.000928974891782015
492057601,1.2741935483871,10,1.84238956481773,13.6954867025181,0,1,42611,0,0.000925992465951542
431793255,1.27536231884058,10,3.87027138618711,14.5567764207928,0,1,42143,0,0.000570135728641706
399971050,1.27586206896552,10,3.08023948025514,8.00401324004738,0,1,10372,18959,0.000853489831605582
287282529,1.29032258064516,10,3.85964182932275,18.1874984129683,0,1,39832,0,0.000956303657523457
813568968,1.31034482758621,10,2.60220986879202,13.4019409060804,0,1,39182,0,0.000645591196545565
965740791,1.32786885245902,10,2.1963276683181,8.47516834269911,0,1,44141,88,0.000745386475061632
684323760,1.33333333333333,10,2.22440485466757,12.5820181878344,0,1,45232,0,0.000694320334342265
325597925,1.33333333333333,10,2.81548511428628,9.65216288734426,0,1,44521,1,0.000394761324844711
74711261,1.33898305084746,10,1.27164957992689,13.1866341756865,0,1,43798,0,0.00122678660405464
784329340,1.35211267605634,10,2.84451713127073,6.34883918434432,0,1,2671,30184,0.000802325719684397
533571256,1.36666666666667,10,3.86981250834089,15.8991282377412,0,1,34766,0,0.000889012331353768
526628767,1.36842105263158,10,2.19957116785256,7.45428763656977,0,1,40514,3017,0.00103674342320892
353868167,1.37931034482759,10,3.55312320930629,18.1051110973535,0,1,42215,0,0.00128659136829591
195840860,1.3859649122807,10,1.6898727744944,2.51625268731099,0,1,4229,37395,0.00158964194461281
527345604,1.38888888888889,10,3.78486546383632,14.102120482808,0,1,41624,0,0.000580994486668007
316913866,1.39655172413793,10,2.40609556336336,3.91870827520689,0,1,7878,16007,0.00113521249018864
597399604,1.40298507462687,10,3.7834779722221,3.95830220252574,0,1,290,32414,0.00161609280435539
322163443,1.40625,10,3.79353145337171,14.7429126885355,0,1,40862,0,0.00110817683623076
192731448,1.41379310344828,10,2.41778745112898,14.2756995073383,0,1,37251,0,0.000745616833738117
611321835,1.41379310344828,10,2.75396901272112,15.8856263356906,0,1,46086,0,0.000973488539883737
77702367,1.42028985507246,10,4.47390425406139,6.69240872653252,0,1,2614,23779,0.00133986800106342
955027214,1.42372881355932,10,1.99624841816446,13.8477845484369,0,1,36380,0,0.000664734405961382
756398501,1.42622950819672,10,2.84095408010752,11.1428096108852,0,1,45580,2,0.000733705756816652
687555146,1.4375,10,3.96782713379876,11.6071498993046,0,1,36363,1,0.0008916256713616
788589533,1.44827586206897,10,2.06381540964629,6.27419542937098,0,1,27265,7404,0.00103926632119241
159311713,1.44827586206897,10,4.22228107259974,15.6891360478361,0,1,36388,0,0.0014478462785897
825322334,1.44827586206897,10,4.48983393025578,14.6253741450539,0,1,41204,0,0.000648939920332963
896401230,1.45283018867925,10,4.40382067198989,16.8634406202956,0,1,39581,0,0.00188627587127824
894123736,1.45762711864407,10,3.15698839290077,13.5819645413012,0,1,36534,0,0.000771467038158074
508270983,1.45901639344262,10,3.40590536241957,18.2038123589348,0,1,42035,0,0.00104090857372564
538809374,1.46031746031746,10,3.64505652747186,4.85374997709962,0,1,1926,34118,0.000762020502996953
319199917,1.46153846153846,10,2.51599074042568,6.56084812582678,0,1,25438,10243,0.00107074304434009
302404830,1.46296296296296,10,3.64693197396646,14.8753642234482,0,1,46868,0,0.000610285531971473
143801730,1.46969696969697,10,4.53703741047267,7.61614609325542,0,1,7791,16896,0.0011617645797911
244637547,1.47619047619048,10,2.16956069445371,8.19118340069955,0,1,38188,1154,0.000622089350275448
551180857,1.48148148148148,10,1.99828338454754,6.1786963543433,0,1,27197,7483,0.000808846168644679
58875344,1.48333333333333,10,2.0541351130315,7.52987923439185,0,1,25065,10909,0.00103076568153899
311938005,1.48387096774194,10,2.46104372427245,7.82009127220614,0,1,43695,1147,0.000405326332746538
119231834,1.49152542372881,10,1.70429316520206,2.00413116313641,0,1,889,33655,0.00169439814273204
315737096,1.50793650793651,10,3.77447050557469,4.74459019347311,0,1,572,43849,0.000943032095897707
352560055,1.51428571428571,10,4.92159130664973,8.28532808257578,0,1,23999,16655,0.00133341064208913
87035611,1.51612903225806,10,3.0372191908969,14.5289133263981,0,1,42477,0,0.000584136904455867
344867356,1.51666666666667,10,2.74124296428039,16.5103589200459,0,1,39016,0,0.000986330171926069
516586893,1.51724137931034,10,1.66350146181496,10.3398883297682,0,1,43074,2,0.000895553708239275
200669965,1.51851851851852,10,4.12436614518609,14.5098850176706,0,1,40737,0,0.00125035646266176
144471316,1.52459016393443,10,2.41405902628368,2.83101409404545,0,1,2756,31756,0.00170978624968524
892883296,1.52542372881356,10,1.47513055496658,10.9397088279372,0,1,39040,1,0.000926114871687771
32624291,1.52542372881356,10,4.24513451534569,10.7320145120965,0,1,36954,0,0.0012348017335349
928376998,1.52631578947368,10,3.97293370387017,11.9745814923187,0,1,34725,0,0.000761701632611768
822684558,1.52857142857143,10,2.72716962150243,3.5677543581344,0,1,3587,28522,0.000551756127761012
170949415,1.53225806451613,10,2.63190987537881,13.379993270375,0,1,40765,2,0.000929640878795995
412547517,1.53448275862069,10,2.4928845888464,6.84608171548549,0,1,26049,9848,0.000634172056790956
387194657,1.53571428571429,10,1.42195447875279,15.5444752001109,0,1,41643,0,0.00129682845285622
633561136,1.53731343283582,10,4.16169574922971,7.79419331902122,0,1,16755,13491,0.0010029071496055
27850463,1.54385964912281,10,1.75032259925574,11.5909524648661,0,1,39974,0,0.00069574897700552
409142497,1.54838709677419,10,2.96143729733516,15.5237107104367,0,1,41676,0,0.000891333729211886
920500250,1.55172413793103,10,4.03203728686733,19.244585954859,0,1,45886,0,0.00165959913620688
983250696,1.55357142857143,10,1.6937354886797,9.78714205157771,0,1,38313,189,0.00131006532220548
72582198,1.55737704918033,10,1.66228474309101,9.41420297628673,0,1,38499,1,0.00123682135359512
836699037,1.55737704918033,10,3.06459359143003,9.43353512396678,0,1,38868,0,0.000588500361483095
746497681,1.56140350877193,10,1.42427902321564,3.38531715188555,0,1,12761,32787,0.0010834979026988
429980266,1.57142857142857,10,2.49839294146102,7.94727358158438,0,1,13677,11869,0.000687222090407639
644180637,1.57627118644068,10,4.56387666830931,18.3276605250281,0,1,42255,0,0.00165856073409337
557269190,1.58,10,4.87727486753635,15.5630464732982,0,1,38065,0,0.00191442228078174
422144892,1.58181818181818,10,2.75827618758024,6.1198810260819,0,1,23016,9902,0.000863179200376606
16118029,1.58823529411765,10,4.84311254487276,6.90174403744512,0,1,19527,5376,0.000954806087274297
740166517,1.59016393442623,10,2.03526339750589,5.43051754679584,0,1,37334,2549,0.000808384618203475
656092355,1.59322033898305,10,4.86078019557295,15.1694339959895,0,1,41253,0,0.000688177505466997
836317072,1.59677419354839,10,2.99368231657783,7.54698560250135,0,1,34061,15,0.000594944919257495
220673839,1.59677419354839,10,4.57719571426619,17.8359547034759,0,1,47693,0,0.00203147006350325
356977449,1.6,10,3.04193800258641,11.5218481299095,0,1,39614,0,0.000686589388284774
740076714,1.60606060606061,10,1.6641263593967,2.36612747204967,0,1,4336,34412,0.00160043360556206
81133025,1.61111111111111,10,1.61738630695982,14.7904478232788,0,1,41114,0,0.0011287013453464
920369902,1.61194029850746,10,3.77626540492911,5.66774034244407,0,1,2020,26962,0.00127957119087598
408326538,1.61666666666667,10,2.39415904831058,9.57446082140871,0,1,38829,3,0.000592414920929755
174816355,1.61666666666667,10,2.92802917776203,12.5918302369413,0,1,45961,0,0.000765956559314087
898889300,1.61818181818182,10,2.87396080040277,10.7024344038261,0,1,48116,130,0.000935087608751028
25653305,1.62264150943396,10,4.35432025027316,18.4650949138613,0,1,35745,0,0.00142518384417624
335216525,1.62962962962963,10,1.58918699404511,5.04867687808669,0,1,16400,12872,0.00111062680641498
789169650,1.63492063492063,10,3.94675704499271,5.58963270481829,0,1,3455,25278,0.00125363393700688
172729715,1.63492063492063,10,1.58581566359317,3.0614716375387,0,1,21762,16785,0.00103809687415306
987030379,1.63636363636364,10,1.37817107735868,10.4014654097729,0,1,32609,0,0.00106134425911007
2607323,1.63793103448276,10,1.21417278691778,15.8362121110974,0,1,40135,0,0.000728589001463944
