seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
57689446,9.64365076099295,10,4,7,0.584907357587638,0.826554111153281,353,23337,0.001001061133916
207108810,11,10,4,7,0.0711794587552244,0.83831745984969,20497,4104,0.00238798077365806
326493512,11.8321595661992,10,4,7,0.300661187512103,0.607150821004275,1378,23837,0.000666582642831771
674086309,11.916375287813,10,4,7,0.433202530689867,0.745577846445911,214,25592,0.000905749469410959
478465726,11.916375287813,10,4,7,0.7622713703093,0.37625295098941,1,28806,0.00114404019439276
823346969,12.328828005938,10,4,7,0.241069419161641,0.70918334370851,1145,24638,0.000973167305745907
740288457,12.5299640861417,10,4,7,0.711567674424248,0.847934542612805,99,24055,0.000729922713307278
588291585,12.6491106406735,10,4,7,0.134115828881899,0.534528483971551,6805,17689,0.00112468693712117
800026040,12.7671453348037,10,4,7,0.0800354443146952,0.24319890033886,1205,25733,0.00107218312433174
711585342,12.9228479833201,10,4,7,0.688717732147791,0.611868352462117,109,29400,0.000936612114592593
265117217,12.9614813968157,10,4,7,0.0914497738715208,0.684167052244975,3951,20017,0.0014201039475946
136865125,13.0384048104053,10,4,7,0.968539860580428,0.994956491391065,11,25411,0.00109415883022419
74927361,13.076696830622,10,4,7,0.937216823067709,0.810719611855975,3,26586,0.00170304930814902
214941083,13.490737563232,10,4,7,0.252607719137422,0.902652181806003,1709,22938,0.00179286298995395
928719463,13.6014705087354,10,4,7,0.442313424140559,0.57205435488651,158,24012,0.000552981844419054
275941529,13.7477270848675,10,4,7,0.0732512061085411,0.751245666399012,2124,21524,0.0014558810570657
121830935,13.856406460551,10,4,7,0.136783821677638,0.943226194696009,5652,18852,0.00173046079753255
5885574,14.1067359796659,10,4,7,0.277387182146026,0.376208851662086,628,24295,0.000523895992624265
499206335,14.3527000944073,10,4,7,0.507069332663752,0.8656366804734,145,23795,0.000707408924706591
930394220,14.5258390463339,10,4,7,0.462440535001474,0.273320195790385,927,24535,0.000743299481713234
433723729,14.6628782986152,10,4,7,0.0649609509187005,0.504918502864016,15391,9026,0.00140594669344077
182821785,14.6969384566991,10,4,7,0.984380932035123,0.320632378590749,3,23710,0.00150063005870681
2524425,14.9331845230681,10,4,7,0.837866829615802,0.0534217731267276,10,24033,0.0015310823640542
646779473,15.0996688705415,10,4,7,0.669266524561733,0.639590167525069,8,23714,0.000601163056580965
160327278,15.1327459504216,10,4,7,0.640290427059718,0.5828611129298,59,24704,0.000893381679540902
499599532,15.1657508881031,10,4,7,0.296843835903617,0.546213218038642,1311,22285,0.000574400655768318
165368160,15.2315462117278,10,4,7,0.535361130794761,0.91696163534026,12,26097,0.000780104635703968
619730382,15.3622914957372,10,4,7,0.505887638167612,0.558372503820485,177,27382,0.000543848814547288
64896561,15.3948043183407,10,4,7,0.694121156957262,0.773158003008105,35,25491,0.00070464717067253
993318520,15.4919333848297,10,4,7,0.634257707094376,0.857093728980918,9,25074,0.00128043194286458
560107744,15.5884572681199,10,4,7,0.985871428891945,0.787674103608565,3,27217,0.00140435656128278
869959373,15.7162336455017,10,4,7,0.731581321039718,0.54685889695713,44,24049,0.000875077973663924
797182797,15.8429795177549,10,4,7,0.221532191853135,0.359307937864219,1776,24905,0.000571914633272641
386180551,15.8429795177549,10,4,7,0.737144685855134,0.570830945992871,120,24173,0.000527344921643137
880516705,16.4012194668567,10,4,7,0.505468147567253,0.663141539809769,40,28293,0.000531715719877888
272134622,16.431676725155,10,4,7,0.222581725278811,0.00593912362844373,772,23276,0.00244755745995298
847434040,16.5227116418583,10,4,7,0.0333002387143701,0.717267178833471,17174,7841,0.00226447051405653
325026464,16.5227116418583,10,4,7,0.631609878978003,0.206857025946077,8,24410,0.000914036113492805
533016483,16.7032930884901,10,4,7,0.459144385947295,0.716847913365543,189,26330,0.000660913542934852
973208020,16.7928556237467,10,4,7,0.562547870874978,0.0583173000246353,187,28963,0.00131044604084988
151157811,16.8226038412607,10,4,7,0.561486796228898,0.647805309906757,101,24271,0.000988528821081437
405177552,17.2046505340853,10,4,7,0.756390323791182,0.178666988661603,1,24881,0.000864440271996287
790958457,17.2916164657906,10,4,7,0.592317370318682,0.344298767291447,26,24878,0.000443600579478798
355262317,17.464249196573,10,4,7,0.401677975042739,0.813055354186707,622,24674,0.000795490705149358
61076688,17.5214154679352,10,4,7,0.949922476958064,0.586987370897694,9,26892,0.0014277994176424
801929149,17.5214154679352,10,4,7,0.821895702547284,0.619199078542967,0,28801,0.000801494638364891
770890299,17.5214154679352,10,4,7,0.723271165083224,0.557329842229815,102,25264,0.000676511855023602
721231438,17.5499287747842,10,4,7,0.486046705075596,0.295887791708601,10,27136,0.000437989581753603
148955377,17.606816861659,10,4,7,0.905872294257592,0.852751938421974,4,24477,0.000651227758105285
589166638,17.6351920885484,10,4,7,0.498892632828402,0.461557459088383,261,23832,0.000570124753398515
356818119,17.8044938147649,10,4,7,0.270598520598862,0.543452066685882,535,24222,0.000793827890130232
794865695,17.832554500127,10,4,7,0.602684441359958,0.277646411903761,96,26919,0.000920471933515759
307249738,17.8605710994918,10,4,7,0.59472073019758,0.0751688884040834,66,26066,0.00103292627297219
24984732,17.8885438199983,10,4,7,0.892760493408788,0.86469947882069,5,24081,0.000810337041586774
923465155,17.9164728671689,10,4,7,0.914099498624757,0.222333242963841,17,26059,0.00148342002851803
219506962,18.1107702762748,10,4,7,0.536190907714025,0.377034389109842,172,25545,0.000732437854481766
752372524,18.2756668824971,10,4,7,0.70164642515645,0.48354732482459,11,25797,0.000782878539921538
624910837,18.3575597506858,10,4,7,0.938994009520819,0.968570422997854,5,24707,0.0020885233776045
153154089,18.4390889145858,10,4,7,0.229390611717738,0.157843610042034,270,24255,0.00121489268370458
288974684,18.4390889145858,10,4,7,0.554889533777492,0.733401294326496,0,26348,0.000498770142106531
131707280,18.4661853126194,10,4,7,0.441974207813794,0.00382418778842097,38,26615,0.00124824132372094
207674868,18.4932420089069,10,4,7,0.240624826519818,0.178688840781498,233,24911,0.00144809270198477
243715414,18.5202591774521,10,4,7,0.423930923645574,0.416114380270463,532,26229,0.000757578269909809
494873799,18.6010752377383,10,4,7,0.856830659750737,0.0693095979679615,7,28941,0.00121976785498751
899881577,18.6010752377383,10,4,7,0.113848538649181,0.454630445126294,4154,19815,0.00115915120487255
528494819,18.6815416922694,10,4,7,0.19772784070698,0.14760396169463,1376,24355,0.00184020082332109
149568238,18.6815416922694,10,4,7,0.553627303431097,0.129186849915952,36,23792,0.000764089287342549
601005006,18.7616630392937,10,4,7,0.842699581455258,0.546923543898536,98,24699,0.00109262627497511
69323259,18.7616630392937,10,4,7,0.213119733604843,0.185245906540317,2618,21327,0.00108169954259503
763195937,18.7882942280559,10,4,7,0.810058109469796,0.460536112018681,4,29164,0.00109756229685968
127296782,18.8679622641132,10,4,7,0.578330380387771,0.632271466538905,377,24046,0.00100884741234589
661420832,18.8679622641132,10,4,7,0.856046001014486,0.72536633645191,84,25886,0.000946666219909967
711984948,19.0262975904404,10,4,7,0.109683247956653,0.717343897944997,6255,17403,0.00189271639508316
371414179,19.157244060668,10,4,7,0.90962113744789,0.838865328513541,4,24276,0.00141811796003794
255213016,19.1833260932509,10,4,7,0.808746232083545,0.930228834031029,4,26912,0.00116944868202427
249443427,19.1833260932509,10,4,7,0.00102909263538686,0.846769440931192,6224,23099,0.00172160947984141
638923615,19.3390796058137,10,4,7,0.680586694475852,0.991751149832254,75,28106,0.00165158933083199
585863154,19.3907194296653,10,4,7,0.742119685029199,0.112514367858817,1,25030,0.000860423731695221
679915484,19.4422220952236,10,4,7,0.670040478495243,0.59266372699369,54,26819,0.000928429731107553
622470554,19.4422220952236,10,4,7,0.72446744365693,0.211951149856421,10,24843,0.00103685291705413
998565298,19.4679223339318,10,4,7,0.484104490282177,0.354460101426503,6,27193,0.000577097440936721
877540017,19.5192212959431,10,4,7,0.390450219645967,0.30096973443173,412,27189,0.00116881110410888
364665460,19.5448202856921,10,4,7,0.664034353679711,0.14260242992597,40,25520,0.00113876500905585
225876269,19.5703857907809,10,4,7,0.563117652558606,0.21267255275552,162,24437,0.000916065880458251
423097351,19.5703857907809,10,4,7,0.621725059216518,0.596998799992919,144,25679,0.000747363757672213
818704271,19.6214168703486,10,4,7,0.388997995553918,0.414632385045799,1127,22709,0.0011339497326067
851439591,19.6214168703486,10,4,7,0.740109402660164,0.117027809025701,4,26753,0.00133523826324434
210302117,19.672315572906,10,4,7,0.855770779112836,0.178334869794026,1,23685,0.000999064825638775
693860807,19.6977156035922,10,4,7,0.102637364104865,0.505514581599502,1905,22551,0.00123596242929181
298359293,19.6977156035922,10,4,7,0.374956168461029,0.3403698856485,97,26363,0.000936153044586608
813871663,19.7484176581315,10,4,7,0.862641298460362,0.979072341132269,1,27837,0.00172244233399587
541681265,19.7989898732233,10,4,7,0.50108291425856,0.473774066727286,131,23451,0.000577427861398045
752525498,19.7989898732233,10,4,7,0.00415523833289988,0.568201992698735,23880,2004,0.0012047649085233
826122902,19.9749843554382,10,4,7,0.464349368738761,0.620015884369872,189,27034,0.000578730583530248
436847276,20,10,4,7,0.178727848810435,0.616326455185317,628,24619,0.00112395097507015
859435072,20.0249843945008,10,4,7,0.400595428265795,0.846480040222196,250,26903,0.0010618258684939
834902023,20.0249843945008,10,4,7,0.59356447754048,0.345370509661488,19,23704,0.000416786138576392
477663231,20.0748598998847,10,4,7,0.317557282290617,0.368912793917271,954,23947,0.000659202107593532
834108719,20.174241001832,10,4,7,0.960383908805649,0.0606888045257123,1,26198,0.00113731800699778
393330308,20.1990098767242,10,4,7,0.308121912086841,0.186733377810554,827,23805,0.000686963927988792
504043563,20.2484567313166,10,4,7,0.676809808200621,0.788716755941898,17,27712,0.00114404767667003
980334518,20.2484567313166,10,4,7,0.296916476300764,0.959788010741188,355,26031,0.000715197667603436
914824627,20.2977831301844,10,4,7,0.496096589503933,0.469963444211604,67,25661,0.000602024029044104
274721398,20.3469899493758,10,4,7,0.869013770643671,0.307419296775465,14,23810,0.000745381708035429
463227979,20.3715487874634,10,4,7,0.356661366354577,0.108172412421929,0,26589,0.00153669708381429
590050483,20.4205778566621,10,4,7,0.550285010541627,0.211750773297909,86,25602,0.000680015242819417
398873109,20.4939015319192,10,4,7,0.179791903535283,0.743198411891115,2433,21573,0.0011918702330491
612048068,20.5426385841741,10,4,7,0.374562796793859,0.770693515806353,238,26998,0.000907011779365542
344789771,20.591260281974,10,4,7,0.834344197321642,0.529141389795565,14,29058,0.000845005834991025
165645594,20.6639783197718,10,4,7,0.873574774308203,0.431320052346661,1,27356,0.0013231551080564
230142109,20.7364413533277,10,4,7,0.053806355792848,0.0912700994317834,2032,23821,0.00227122979676146
429961942,20.7605394920267,10,4,7,0.928876737165549,0.957697492457772,2,27763,0.00140664942083293
84431594,20.7605394920267,10,4,7,0.870792182510769,0.376172895876608,0,26519,0.000695499098142233
365244820,20.952326839757,10,4,7,0.718756766183009,0.876962195116143,216,23791,0.000690504259986297
536316478,21.0475651798492,10,4,7,0.0816313942653056,0.457761343870948,2566,22735,0.00100860172806986
391682056,21.1896201004171,10,4,7,0.408090257767335,0.278889330154811,22,26263,0.000959556870701272
266716538,21.2132034355964,10,4,7,0.742782796642754,0.352144643404584,9,32969,0.000766869574563154
699711891,21.2367605815953,10,4,7,0.443955142292355,0.695308002174597,163,25335,0.000453802610442473
664768945,21.2837966537928,10,4,7,0.926167484634192,0.572811431654604,44,24291,0.000706603086467596
530498524,21.3072757526625,10,4,7,0.2655779626278,0.348287746299623,3878,22299,0.000966888837662479
926603202,21.3307290077015,10,4,7,0.105635119903378,0.891333627815189,2382,24319,0.00169193530605752
422520184,21.4009345590327,10,4,7,0.458516663890322,0.141686976996895,52,26026,0.000988854956552506
528893023,21.4476105895272,10,4,7,0.972020022694671,0.459341940689805,1,28433,0.00118140381611424
235704767,21.4709105535839,10,4,7,0.155484045815539,0.12693364924789,1388,24374,0.000959654470952581
350821464,21.6333076527839,10,4,7,0.712544032866427,0.231859264701785,8,24594,0.000537012681688496
420456,21.6794833886788,10,4,7,0.769269221212517,0.313621755373953,1,30628,0.000903930913389068
467057227,21.7025344142107,10,4,7,0.285721602735133,0.514426927109431,628,24130,0.00119851569570502
161011989,21.7255609824004,10,4,7,0.565854459276442,0.00740576802639931,4,27677,0.00092115867952455
135508031,21.7485631709315,10,4,7,0.480243960462016,0.472642848851874,38,27527,0.000636794872975505
847947963,21.7485631709315,10,4,7,0.236444086991134,0.0414095693965819,3369,20443,0.00125001284964566
964625743,21.7715410570772,10,4,7,0.480497922735406,0.861219471976198,227,25520,0.000592612820695461
555254214,21.7944947177034,10,4,7,0.342015007731932,0.86655801163276,1734,27246,0.00143308136552834
91655230,21.8403296678416,10,4,7,0.604490104276354,0.731500291560281,0,25406,0.000591948624551647
26495153,21.9089023002066,10,4,7,0.231528139034107,0.148885960881077,190,27014,0.00192027710504054
904898299,21.9089023002066,10,4,7,0.279256990322345,0.536126948316086,262,28514,0.000963019318326183
421767639,21.9772609758359,10,4,7,0.937076328922419,0.264441892037563,0,28188,0.00122131643880679
831888425,21.9772609758359,10,4,7,0.51545629725679,0.286882771618833,195,26038,0.000522910753906257
412746482,21.9772609758359,10,4,7,0.254557104750261,0.758643376599015,2828,26563,0.000986217782033765
865019243,22,10,4,7,0.266236346703374,0.758944167883255,2380,28772,0.00106679526943559
344823109,22.0227155455452,10,4,7,0.411731568073947,0.996865092826539,179,24952,0.00202880618315729
51340725,22.0907220343745,10,4,7,0.572918295339782,0.0540861652541348,62,26721,0.00093510695450935
445335882,22.113344387496,10,4,7,0.52843367986357,0.999227290556087,63,23756,0.000919169135940263
285523637,22.2261107708929,10,4,7,0.613937712669356,0.78157888697856,69,28692,0.000976175760104647
324985994,22.2710574513201,10,4,7,0.150588503971899,0.461442753564586,62,26471,0.00118232074725194
879623706,22.2710574513201,10,4,7,0.596833198026334,0.0316774548481143,0,28673,0.000591555123157243
