seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
742175705,7.41619848709566,10,4.20041927219414,7,0,1,5849,17897,0.000697424841487915
764616878,8.83176086632785,10,2.63068564174396,7,0,1,6375,19360,0.000680052825565297
253397937,9.1104335791443,10,4.18724729221514,7,0,1,10743,16455,0.000453005896406733
770928363,9.38083151964686,10,3.24461702802507,7,0,1,7593,17402,0.00055395739283423
419310326,9.64365076099295,10,2.52245764205746,7,0,1,17235,7621,0.000834616466462331
258977209,10.0498756211209,10,2.70143077321099,7,0,1,16659,9411,0.000523918914632107
454612345,10.0995049383621,10,3.05291869053887,7,0,1,17735,6643,0.000862311219968171
275895484,10.1488915650922,10,3.19996968815547,7,0,1,21786,3136,0.000925544755802295
549991034,10.6301458127346,10,2.86981724551879,7,0,1,10599,13333,0.000684561132332537
604405531,10.770329614269,10,4.00723339057893,7,0,1,15391,9015,0.000646385867398256
202365744,10.816653826392,10,2.65057867601963,7,0,1,10082,13573,0.000773807506830664
345745230,10.9087121146357,10,2.76951579782597,7,0,1,17951,7974,0.000872188954228552
837492556,10.9087121146357,10,4.58961293492619,7,0,1,7337,17366,0.000899226522285989
55905254,11.13552872566,10,3.32115809709854,7,0,1,11272,14091,0.000373528904377814
738450055,11.13552872566,10,4.11257560153799,7,0,1,16142,8378,0.00145811680870834
706891745,11.13552872566,10,4.54253417423488,7,0,1,9421,14548,0.00116826389921457
829394552,11.2249721603218,10,4.66432263645461,7,0,1,16656,8156,0.00119348612984195
631398916,11.4455231422596,10,2.68458666165364,7,0,1,7105,16909,0.000874329390611798
643198036,11.4455231422596,10,3.65454070325781,7,0,1,19704,5661,0.000937928833069045
284660000,11.4455231422596,10,2.64576893722408,7,0,1,25256,3169,0.000640986148328181
111717257,11.4891252930761,10,3.99880274380328,7,0,1,21544,8079,0.000675353597898349
188475069,11.5325625946708,10,3.52561717975539,7,0,1,5486,18781,0.000866531830415478
625312193,11.5758369027902,10,4.12792243459421,7,0,1,12210,12857,0.000899686420093265
606545206,11.6189500386223,10,2.73684745866081,7,0,1,17001,9588,0.000841174872778679
250048856,11.6189500386223,10,3.20794191891217,7,0,1,5820,17873,0.000601639578612093
126408807,11.8743420870379,10,2.50303801149636,7,0,1,16643,8888,0.000975729771548242
928782899,11.9582607431014,10,4.82003969469537,7,0,1,3015,20618,0.00251966134063416
360014045,12,10,4.76099830977403,7,0,1,15610,11215,0.000967733097493324
589468172,12.2882057274445,10,4.07188964856586,7,0,1,16799,8704,0.000819787271108483
838214020,12.2882057274445,10,2.92023238944829,7,0,1,16568,9991,0.000647534048856308
601559550,12.369316876853,10,3.67295306201762,7,0,1,20695,3990,0.00066155697428421
471152342,12.4096736459909,10,4.73603753587547,7,0,1,13969,10171,0.00124920364640134
727018869,12.6095202129185,10,3.20200245368179,7,0,1,6713,16913,0.00120686535027107
327918824,12.6095202129185,10,4.23396492672989,7,0,1,16079,9775,0.00110048568490462
272569023,12.7279220613579,10,4.03576474550414,7,0,1,9315,17439,0.000870940130220609
91329304,12.7671453348037,10,2.50055059209081,7,0,1,22442,3087,0.00135586661655384
948981609,12.7671453348037,10,2.41445335470403,7,0,1,22241,4153,0.00088554630760157
29753333,12.8062484748657,10,3.00308743722597,7,0,1,11269,13589,0.000712576697869075
935328094,12.8840987267251,10,4.07515813612854,7,0,1,12544,12114,0.00105211284095391
110524619,12.8840987267251,10,3.61576007621765,7,0,1,7365,16910,0.000767299209411962
428803054,12.9228479833201,10,2.44630675235404,7,0,1,11410,12661,0.0012964900620795
614111781,12.9614813968157,10,3.00330166502053,7,0,1,18295,10397,0.000711362440534379
377141092,13.0384048104053,10,4.71515224975107,7,0,1,14472,12554,0.00107287450047807
40101185,13.076696830622,10,3.88243091431778,7,0,1,19413,6389,0.000720737952117539
347961593,13.1529464379659,10,3.70366530589298,7,0,1,16688,9461,0.00125892848529447
442456363,13.1529464379659,10,3.95032312655312,7,0,1,13941,10664,0.000953763956673063
870128664,13.1909059582729,10,4.8428495324746,7,0,1,7584,18070,0.00105720873014302
323264824,13.2664991614216,10,3.07832055360817,7,0,1,18694,6200,0.000759027414493945
907481814,13.4164078649987,10,3.84545705788855,7,0,1,18351,5526,0.000542159013129376
471621501,13.4164078649987,10,4.54022644819733,7,0,1,15600,8014,0.000709552341253095
47721544,13.4536240470737,10,4.4144329988758,7,0,1,2946,20976,0.00133738000582261
403247042,13.4536240470737,10,4.31524934724339,7,0,1,16405,7825,0.00129151958922386
912439380,13.5277492584687,10,3.95061659314316,7,0,1,21339,3500,0.00115553932170874
38722111,13.5646599662505,10,2.7517799740473,7,0,1,17118,9865,0.000827520123797565
