seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
234059844,6,10,3.8506848673118,2.78248160685813,0,1,110,24577,0.00121018678708866
861737439,6.08276253029822,10,2.67326667937287,2.57957103638508,0,1,1414,26456,0.000426499586769702
997260399,6.16441400296898,10,4.11841966879392,8.84906801050447,0,1,13731,10343,0.000594463977929558
360002018,6.40312423743285,10,4.95312983628472,1.73612757894456,0,1,81,29492,0.00268747347885411
369184365,6.40312423743285,10,4.91278033976944,7.96670823411605,0,1,11076,12878,0.000631996013790254
446232426,6.48074069840786,10,4.41025901208065,1.88766523508617,0,1,429,24605,0.000719362256245117
435988744,6.48074069840786,10,3.39768405098749,8.12027466152268,0,1,14687,9963,0.000567815294710418
433800965,6.557438524302,10,3.72021487272517,6.57449080534031,0,1,20233,6353,0.000683902217806368
20305831,6.557438524302,10,3.47407582270026,6.03985676721875,0,1,10538,14073,0.000358566652324938
842682308,6.6332495807108,10,3.84415866429237,7.13972080370493,0,1,2716,21092,0.00212110694289724
122317758,6.6332495807108,10,1.97654459767296,6.9592900217732,0,1,12663,12452,0.00084465736530474
405440442,6.70820393249937,10,2.60181035827166,5.0475727930241,0,1,7252,18244,0.000397819822119916
594179150,6.70820393249937,10,2.44510066437374,4.40414858653199,0,1,4439,19787,0.00142240236766385
992752350,6.70820393249937,10,2.7289152581859,5.34189243681899,0,1,10465,16701,0.000942807947759219
287837674,6.70820393249937,10,3.83775040709737,7.36642005105776,0,1,7595,16562,0.000588411584902636
965928128,6.70820393249937,10,1.71590452280547,3.42676958647328,0,1,4508,22132,0.00197101445381277
984421653,6.78232998312527,10,2.76072388331656,4.8009085124566,0,1,4247,20689,0.000526616167665617
803242438,6.78232998312527,10,2.22664477429823,7.43238714128439,0,1,15424,8676,0.000747772753814965
247433357,6.85565460040104,10,3.05472408231631,6.24238078778434,0,1,17997,6147,0.00129890429251349
912450289,6.85565460040104,10,1.96557823385519,4.87053957398668,0,1,11192,15334,0.000866543152786284
64982695,6.92820323027551,10,4.59278159558823,8.60544513233351,0,1,18025,6315,0.00129382749886516
