seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
333402683,103.788245962633,10,4,7,0.0120210227618329,0.735922568264523,8477,15193,0.00154736119679028
237809089,132.253544375945,10,4,7,0.0223266051599932,0.815629125980949,9766,15148,0.000737961178829145
318907271,158.192920195564,10,4,7,0.161972532922697,0.926424949858392,10702,13897,0.000682431318631928
409776849,164.569134408613,10,4,7,0.146934991837095,0.810078949739152,9412,16640,0.000703864672469424
592884013,165.127223679198,10,4,7,0.132791464766367,0.744046866543074,11150,14516,0.000937101816434082
862187099,168.748333325103,10,4,7,0.0509758471784212,0.706731881003451,13302,14351,0.000777585062425314
72594748,171.610023017305,10,4,7,0.0376644183385745,0.535681262312683,14808,10407,0.000612328026107985
732113637,172.736793995952,10,4,7,0.0547901504962768,0.870127933255596,19616,17240,0.000520996675909619
114666910,178.893823258379,10,4,7,0.0310081373083417,0.607755056616948,11196,17821,0.00239951324306376
669445345,194.94614640972,10,4,7,0.0288381881782752,0.749730775586568,12260,23303,0.000688757505108101
858260110,200.149943792148,10,4,7,0.425675858312924,0.78760718256929,6,39138,0.000991679171932538
671087281,200.224873579683,10,4,7,0.100118682884926,0.850187420028995,14525,14091,0.000470781288087652
734214944,206.963764944495,10,4,7,0.0686932606968877,0.74275646830948,10621,14706,0.000382866113541617
498664960,208.604889683823,10,4,7,0.196859755370682,0.92968982833881,7765,17327,0.00100623569649998
474866102,209.320328683098,10,4,7,0.120021678862172,0.598163410823328,8331,19644,0.000654867847420294
590378016,209.411078981032,10,4,7,0.0666091998150282,0.685830890685996,9414,14328,0.000911340558577794
177216745,210.573027712478,10,4,7,0.041842122502316,0.708121138683676,15046,9496,0.0003964459832999
502531922,211.350419919148,10,4,7,0.044893444119278,0.528888435659462,6443,19257,0.000570698460371442
139309562,212.614674940372,10,4,7,0.682034108379931,0.404055726337434,0,39646,0.000904133297071171
61111856,213.119684684451,10,4,7,0.0955718668921947,0.690866559142498,5259,20961,0.000749456268612953
54386685,215.974535536021,10,4,7,0.110112721458041,0.864403434322437,12011,11661,0.000334647248429027
490610772,216.787914792315,10,4,7,0.0196381366762345,0.948356817443567,13221,10433,0.00174194660706335
835632438,217.736078774281,10,4,7,0.0346118368532397,0.758320308029659,19628,10644,0.00118048281377663
350225445,221.740839720607,10,4,7,0.151614534075321,0.855650645227924,11173,20084,0.00137430937387736
989035633,223.450218169506,10,4,7,0.93476161662473,0.754525575253726,0,34595,0.00102655159776386
147867613,223.602325569302,10,4,7,0.151151757732702,0.502702275612166,3854,24028,0.000354628559764909
