seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
518270998,48.6518242206806,10,3.24028822052579,7,0,1,18395,12910,0.00172862862209223
829329453,49.335585534176,10,3.85569138313183,7,0,1,12710,14194,0.000455359526871421
44257807,49.7995983919549,10,2.7001458824689,7,0,1,11816,12345,0.00106353474846219
386947108,59.8331012066064,10,3.60751656081445,7,0,1,12110,12046,0.00083209184633269
304402231,59.9583188556851,10,4.37592628526992,7,0,1,14620,15403,0.000943528272328005
89816886,62.0241888298428,10,3.98094195745725,7,0,1,16258,17466,0.00169279854899427
550588352,64.2884126417817,10,4.04445228816456,7,0,1,19907,21695,0.00134249620149436
555258714,66.098411478643,10,4.02083772605341,7,0,1,14455,12766,0.00128427374744176
488628390,67.8306715284465,10,4.72908237151375,7,0,1,11048,14183,0.00065315398787531
1433889,69.8140387028282,10,3.36767880237672,7,0,1,13580,13134,0.00088138992477186
691945076,70.8590149522275,10,2.79121680741912,7,0,1,16767,18197,0.00104348688988244
995396406,70.8872343937891,10,3.30522009490495,7,0,1,11914,12389,0.000955444186822763
822777042,74.3505211817644,10,4.5109168274004,7,0,1,12586,11366,0.000931616622108543
59774987,75.9078388573934,10,3.79283386668279,7,0,1,14117,12384,0.000509247401168853
456864410,76.3282385490455,10,4.11833858823271,7,0,1,13831,12309,0.000604093328627679
90019718,77.6723889165255,10,4.30717486773009,7,0,1,13214,12922,0.000849881354328437
57463980,79.7621464104371,10,4.60487817884415,7,0,1,15263,16449,0.000497722043810597
536049233,79.8999374217527,10,3.54400080949306,7,0,1,18810,22142,0.000541106388791982
459538660,80.8888125762766,10,3.03091231335709,7,0,1,17574,15027,0.00103187448572189
296447431,81.1110350075746,10,2.86876950343721,7,0,1,22019,26301,0.000991638263319816
853686794,81.8107572388864,10,4.24252426938359,7,0,1,15922,17952,0.000525962050952676
653804901,83.6002392341075,10,4.51740192784989,7,0,1,19501,24853,0.000826725826769537
669917708,84.0059521700695,10,2.97111840853325,7,0,1,12830,13534,0.00105867965443075
412172536,86.4118047491198,10,3.93297793325902,7,0,1,19525,21723,0.000587788839079775
210166052,86.4407311398972,10,2.88833633055529,7,0,1,14406,15680,0.000910976810180023
696289738,86.7352292900641,10,4.83413261128435,7,0,1,16578,16355,0.00128379377813091
12536801,87.4128137060008,10,4.33401276230988,7,0,1,12388,13472,0.000969686939434172
724202422,88.4590300647707,10,3.81107292283758,7,0,1,12332,11956,0.00197079037535796
854819987,88.8425573697651,10,3.91245468458336,7,0,1,12531,15382,0.0014254116139702
841715951,91.727858363749,10,3.16133985759617,7,0,1,11764,14907,0.000686684956473866
829362611,91.8803569866813,10,3.76171422102653,7,0,1,14472,22225,0.00111649381858421
495006894,92.4445779913565,10,4.17355805624282,7,0,1,10817,14129,0.00129873705539083
636248096,92.4662100445346,10,4.11408388687849,7,0,1,12207,14022,0.000976955625094359
249640391,92.6228913390205,10,3.97461388360825,7,0,1,11134,16617,0.000515631377129405
232212412,92.7793080379456,10,2.66573042527893,7,0,1,14010,14575,0.00124325546331306
543391670,93.0483745156249,10,3.09278885295102,7,0,1,14869,12972,0.00119646948314368
679102991,93.4558719396486,10,3.10910556402022,7,0,1,10712,13296,0.00169806640980253
964159545,93.6589557917448,10,4.0344746079116,7,0,1,18096,21058,0.000690143259771323
885895587,93.8669270829721,10,3.82902764002279,7,0,1,13463,11053,0.000795393736067441
401414410,94.5039681706541,10,4.5121466359437,7,0,1,12926,16296,0.000282613799010538
901444236,94.7997890293011,10,3.14761869545882,7,0,1,14851,14887,0.000716570611563158
111376544,95.5405672999695,10,4.94398491577738,7,0,1,12915,18601,0.00158631920196597
395426441,98.1936861514018,10,2.17123061226827,7,0,1,14314,17096,0.00150404193430611
773626605,99.428366173844,10,2.82131281286931,7,0,1,12992,11375,0.000843442892075171
707468071,100.21975853094,10,3.34026355568211,7,0,1,14488,15691,0.000479309578296029
605325272,100.608150763246,10,4.04932313926695,7,0,1,11351,13513,0.00111781379566297
862067374,101.734949746879,10,2.82119118516308,7,0,1,13777,14166,0.000872244578837992
487855830,101.960776772247,10,2.85439861488708,7,0,1,18666,21767,0.0012344908237107
264496834,102.917442642149,10,2.59652567923057,7,0,1,15227,13222,0.000687745431836076
703202384,103.464969917359,10,3.6616165011747,7,0,1,14553,15739,0.000455838117827559
844018675,104.259292151827,10,4.20711085520676,7,0,1,10190,15040,0.00106096053433506
825201905,104.647025758021,10,4.53484322343885,7,0,1,12403,12182,0.00114837390164363
423673392,104.752088284673,10,2.46591415522082,7,0,1,13629,11394,0.000315375544344694
986948907,104.876117395716,10,4.56120475714873,7,0,1,15371,14082,0.000708066316643098
98628794,105.090437243357,10,4.29167037019958,7,0,1,13209,11162,0.00112726747257752
329832418,105.394497010043,10,3.3564890215994,7,0,1,10911,12699,0.000765014163379523
997387176,105.929221652951,10,2.91025806416515,7,0,1,14791,18552,0.00182098211293942
623608203,106.226173799116,10,2.89591755851557,7,0,1,12278,12355,0.00109734687032475
174434422,106.343782140753,10,3.14515056566573,7,0,1,14797,16235,0.000791698968878363
790360438,106.357886402467,10,4.22856237139419,7,0,1,10393,14792,0.00136088932650646
707434013,106.512910015641,10,3.58010846108328,7,0,1,10712,14053,0.000850113220432182
270167174,106.855041996155,10,3.41031770094042,7,0,1,13130,13053,0.00096079166043444
808951242,107.289328453486,10,3.86783381415907,7,0,1,14915,15590,0.000845473834083377
88499812,108.972473588517,10,3.46147071179814,7,0,1,15187,16357,0.000744254576043283
165228213,109.160432391962,10,3.05708362104404,7,0,1,13585,15985,0.00063388106379549
995382849,109.786155775671,10,3.61204474772279,7,0,1,12927,17148,0.00111276154752578
910210338,109.96363035113,10,4.72080096179433,7,0,1,14743,11429,0.00109513839335124
498190163,110.372097923343,10,3.5123401276452,7,0,1,13143,10955,0.000553128449896546
898154443,110.453610171873,10,3.81280892895693,7,0,1,9363,14823,0.000567612743117487
139560385,111.112555546167,10,4.06063416271583,7,0,1,15661,15638,0.00174674571088386
386124176,111.153047641529,10,3.57548168494242,7,0,1,15721,12150,0.000732905755898495
719113292,111.278928823026,10,4.33667494295395,7,0,1,11936,12421,0.00112730860464677
477882798,111.534747948789,10,2.94043509866926,7,0,1,12342,14638,0.000846406059922541
914499794,111.834699445208,10,3.83226144543745,7,0,1,12776,18815,0.000726095771224026
95009873,112.022319204701,10,4.38524073048987,7,0,1,10819,14555,0.000651426820961844
17937158,113.106144837493,10,2.62535751908046,7,0,1,13160,14859,0.00117133266308079
1648212,113.296072306148,10,4.32663490421546,7,0,1,11624,12675,0.000456096714626021
526961266,113.366661766147,10,3.18467176665276,7,0,1,14672,14658,0.000887717354851506
164694664,113.512113890985,10,3.60231162821759,7,0,1,11120,12534,0.000777391380415362
144000349,113.582569085225,10,2.67962424881899,7,0,1,14622,12931,0.000772721665692399
909235807,114.188440745988,10,4.46730477759412,7,0,1,12591,13945,0.00112767133162567
665085090,114.825955254028,10,4.30312600051081,7,0,1,10968,14300,0.0012612666562105
460827397,114.899956483891,10,3.00704190128707,7,0,1,12678,13660,0.000545871612781291
142480539,114.991304019043,10,4.22996170826851,7,0,1,11833,12711,0.000774915165761766
839999835,115.039123779695,10,4.86098293082286,7,0,1,16345,23262,0.00121399027655019
906016598,115.20850663037,10,3.29760647509907,7,0,1,10384,15181,0.000691097650972978
144108425,115.290936330659,10,3.33269072577879,7,0,1,21179,21252,0.000977731502604493
608874487,115.403639457341,10,3.71526690799841,7,0,1,11349,14199,0.000580612114155761
559435377,115.723809131915,10,2.3577002200845,7,0,1,13820,12600,0.00298864415543776
442807199,115.87493257819,10,2.58323280738856,7,0,1,12326,13115,0.000974923904962321
421033410,115.905133622286,10,3.14332877639958,7,0,1,13212,12083,0.00193915054368886
646096859,116,10,4.37430368751758,7,0,1,14182,15268,0.00106793085575856
789311461,116,10,4.97171309629677,7,0,1,10666,17462,0.00168832468460391
331925145,116.606174793619,10,3.33349461395589,7,0,1,16526,14079,0.0010954685913679
288674596,116.636186494587,10,3.36237086717773,7,0,1,12507,13563,0.000710556119043658
490537397,116.952982005591,10,3.61643942231258,7,0,1,10547,13660,0.000865001993021727
5435885,117.268921714152,10,4.03282608227196,7,0,1,12760,12056,0.0012672411460213
59715818,117.37120600897,10,2.66382384532347,7,0,1,13792,19735,0.00159881431717583
793067444,117.435088453154,10,3.65371116636959,7,0,1,10632,15452,0.00112543903459285
32368473,117.44360348695,10,4.85681460749379,7,0,1,10493,14994,0.00213335175436124
799937496,117.537228144958,10,4.01809501102572,7,0,1,13454,17291,0.00117133639034554
990032251,117.541482039321,10,2.82953179673202,7,0,1,12909,15924,0.00120064343188857
585681215,117.753980824429,10,3.2341267105497,7,0,1,18392,15991,0.000975821904239509
45348794,117.758226888825,10,4.36858447825742,7,0,1,12615,18246,0.00131704607647613
303791489,118.410303605725,10,4.20054032815645,7,0,1,10750,14701,0.000636012763533777
696740261,118.705517984633,10,3.2622203444735,7,0,1,12191,13851,0.000283627666455145
198185151,119.058808997907,10,3.81030773635258,7,0,1,10985,16631,0.000795749459008791
287765091,119.519872824564,10,4.00375412413536,7,0,1,17115,17064,0.000832153425903656
414465285,119.749739039382,10,3.62624032467676,7,0,1,18652,15091,0.000698080934065919
749404291,119.908298294989,10,3.4238239507315,7,0,1,9137,14511,0.000867481438679521
815169439,119.970829787911,10,3.25089936622296,7,0,1,14004,14885,0.00133501306756814
728537375,120.049989587671,10,4.62347949144954,7,0,1,16637,12558,0.00115668143466064
593543,120.166551086398,10,4.44847265864777,7,0,1,14411,14463,0.00113232536992611
102560317,120.888378266895,10,4.8549738759656,7,0,1,10321,13571,0.000518147651404483
37885097,120.888378266895,10,3.48887227296812,7,0,1,11776,18531,0.000707450050772904
523550078,121.066097649177,10,3.50805956568498,7,0,1,13070,15325,0.00135499371917223
579090800,121.614143914267,10,2.03597202915471,7,0,1,17403,13659,0.000485950845960075
298102040,121.716884613434,10,2.06450930249566,7,0,1,11957,17765,0.00155480376859815
423664748,122.061459929005,10,3.24217221803434,7,0,1,14490,10181,0.00150060342635298
895321661,122.077844017659,10,2.61917592390694,7,0,1,13293,14493,0.00142186169166416
737728541,122.584664620009,10,3.32482809824218,7,0,1,12699,14674,0.00057061828693065
991539553,123.551608649989,10,4.39402951489146,7,0,1,13387,11370,0.000922061281432867
626870366,123.822453537313,10,4.2780157296569,7,0,1,16044,13668,0.00129516074953272
486147935,123.987902635701,10,3.9989915692087,7,0,1,13828,16584,0.000877452039282479
906505044,124.823875921236,10,2.97315217627271,7,0,1,12724,12405,0.00109437409914973
911895438,124.971996863297,10,3.6389594414503,7,0,1,9840,15906,0.00154293141645702
