seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
389857742,77.7110030819317,10,2.83903236834986,4.57161549757873,0,1,10320,13503,0.000699706125659663
408193596,84.1843215806839,10,4.69807513425465,6.3060880993901,0,1,14693,14944,0.000941112219371363
558585676,85.1821577561874,10,2.84403694664457,5.89636570501607,0,1,15649,12963,0.000809028469101951
39403235,85.5978971704329,10,2.36781199787096,8.99289716399244,0,1,13607,14098,0.00106304765870209
106461978,89.1908067011393,10,4.27023141984127,7.89365837350381,0,1,11146,13243,0.00117833450138852
350725277,94.1594392506667,10,3.18798923754863,6.63903764174702,0,1,12601,14285,0.000954826750234103
12531725,95.1262319236918,10,3.64402805634321,5.77572100503497,0,1,13125,15183,0.000901953083044111
945945327,98.974744253269,10,3.29832893225005,9.05968436955715,0,1,16804,20876,0.00084828128017657
309905209,99.443451267542,10,4.31846256282964,8.5287569089736,0,1,10657,14024,0.00168899298831589
733758644,101.143462467922,10,2.85100826368489,6.20972703054903,0,1,20076,20595,0.00101975615255841
532603218,102.645019362851,10,3.29835489332853,5.63511654330016,0,1,13808,10873,0.00112394695770417
733289659,105.593560409714,10,3.36306754305584,6.01557536532323,0,1,11243,13770,0.000627506125555693
387793984,105.73079021742,10,4.72020166629281,7.1904399772206,0,1,13095,13481,0.00161614046992265
569404088,106.512910015641,10,3.63369130526325,8.06462723052617,0,1,13385,13157,0.00132912908048772
785304467,112.320968656792,10,2.00565355994282,5.96139201981804,0,1,12208,19117,0.000897927452773716
514384155,112.867178577299,10,1.95442769625964,5.7425788834291,0,1,13069,15127,0.00119354540245736
919559519,114.345966260293,10,2.80142805611034,7.24296967380737,0,1,13737,10313,0.000339213371726808
251046756,114.546933612384,10,1.88955554131598,4.79545878189073,0,1,14632,11338,0.00112167543917095
1394330,115.568161705549,10,3.94630074398579,7.31851591524794,0,1,15004,20627,0.000956108067426683
482186719,115.77564510725,10,3.73393101010472,7.66885663933152,0,1,9452,15413,0.000985743741453553
824470231,116.236827210656,10,4.20230008786015,7.09409507704192,0,1,17031,11477,0.00101141231044228
542533272,116.443119161245,10,4.05854535700552,6.01554957436562,0,1,12697,14213,0.000819856453674443
747191264,118.406080924925,10,2.56298222431729,4.66435056606136,0,1,11669,13857,0.000601458148315747
567387473,119.042009391643,10,3.18399958900333,9.79227065839346,0,1,20590,16375,0.000797287900904411
874360490,124.863925935396,10,4.48090428017607,6.02904751692978,0,1,16814,21383,0.000909862246767996
375884654,126.451571757729,10,3.13599100780724,6.31343856743753,0,1,15377,17991,0.00036532010852951
237690541,127.169178655836,10,4.84091127425607,8.64419694197147,0,1,22843,20978,0.000811026214029744
999632450,127.957024035416,10,2.36957370022529,5.01962015029263,0,1,10827,16640,0.00107496867232268
565611848,128.218563398597,10,2.65157296180014,5.80226092233239,0,1,16139,14178,0.000738798275590935
422681569,128.821582042762,10,4.12137906677748,7.20989730210726,0,1,11392,13782,0.00117954023657528
410586313,130.234404056685,10,3.39861803869102,7.09385095765122,0,1,14922,11099,0.000757639241335121
334389172,130.472219265252,10,4.42847117089686,9.29810597438702,0,1,13184,13344,0.00193484551908408
121260739,132.710210609433,10,3.40355371869729,5.40678416136956,0,1,11291,13395,0.000270911111747457
149613906,133.015036743971,10,3.00014187140566,9.15688072205498,0,1,11032,16052,0.000661365665712135
346254054,135.277492584687,10,3.45640476480732,6.93222164724146,0,1,11782,16930,0.000818383489352355
130010332,136.682112948257,10,2.77934508821619,5.21128306962656,0,1,14977,15694,0.000642197337170035
6374355,138.148470856539,10,4.21102725545916,6.18857191993382,0,1,10094,19655,0.0012914411158448
538118358,138.809221595685,10,2.93950268523436,8.82648468492422,0,1,17415,17865,0.00135928461313633
933734668,139.143810498347,10,4.03874518407101,6.77231662909867,0,1,11004,14280,0.000739630914734565
597941580,139.474011916199,10,2.28850333964061,7.96425994111429,0,1,13894,12518,0.000837263541485487
127074803,139.735464360341,10,3.74423169628144,6.71428825487016,0,1,10707,20555,0.0006100497923611
431437067,140.698258695692,10,2.10202506946013,7.56625792614282,0,1,11985,14643,0.00127553404340104
514874547,142.772546380598,10,2.481927592081,4.99447860078831,0,1,11343,13503,0.00120664895567135
82047369,143.293405291381,10,4.06917994702456,6.46357369747237,0,1,11531,13382,0.00135743622462645
226910594,144.405678558705,10,3.47385960131591,6.00346096547746,0,1,10210,17650,0.00105235059657941
775481123,145.684590811794,10,3.57740906227999,8.18291662623201,0,1,11476,12228,0.00127269381277001
621427045,147.064611650798,10,3.47838155578071,7.37056694766914,0,1,17478,15001,0.00172118342627347
171938483,148.549654997916,10,3.73847719094174,6.96953006850705,0,1,12437,19494,0.00183319656151792
304868636,149.338541575844,10,3.94079807805935,7.08718796414089,0,1,14688,10401,0.00157207381099919
265970972,150.75145107096,10,4.37511448220839,7.07908842244933,0,1,13211,15037,0.00125786993340447
654031080,151.324155375142,10,3.20967154683957,6.50926998944917,0,1,10586,13055,0.00113109217614176
189166493,152.282631970951,10,4.1201536945456,8.2963861416038,0,1,9206,15313,0.000836134443916088
67396466,152.797251284177,10,3.05994667918521,7.8827299676447,0,1,9562,14759,0.00187761072607139
832411260,153.502442977302,10,2.09025762298838,5.82037176525717,0,1,25198,21576,0.00226510047905035
918240481,154.045447839266,10,3.37435017963755,7.1862043865287,0,1,9228,15172,0.000434848472362587
3184939,154.37292508727,10,1.96284719066488,5.09581066331253,0,1,17656,18226,0.000923950843310384
723254683,155.405920093155,10,2.23065567819176,4.83224231292512,0,1,10505,15892,0.00124912018731838
812553107,155.602056541679,10,3.11720550065377,7.05380245499475,0,1,18071,11107,0.000668339049221257
221701972,156.409718368137,10,3.4881791053492,6.46626812766065,0,1,13824,16427,0.00099761105980306
309984742,156.709923106356,10,2.86685567666918,6.0595970562004,0,1,9422,15575,0.000882369479841545
654587323,157.238672088008,10,4.95282399214144,11.0927094438225,0,1,11241,19109,0.00238827510575099
37005603,157.591243411555,10,3.17021954405797,7.14614264350538,0,1,11435,15113,0.000587019796368454
3236545,158.145502623375,10,3.29073114690668,6.53795851728265,0,1,15536,19677,0.000844187684213635
484024056,158.540215718284,10,2.60677463738998,5.04841827924421,0,1,9765,14644,0.000777497597737516
661133642,159.031443431794,10,2.91108847698257,6.04787911806295,0,1,8927,16006,0.000581448141460482
161945722,159.226254116587,10,3.41517244735432,7.34588611219984,0,1,15220,15737,0.000881495393824128
472242578,159.505485799078,10,4.64367068189636,8.89059872810625,0,1,11472,13912,0.000755679561939142
369597455,160.287242162313,10,4.90825821609149,7.61051153071224,0,1,13588,13640,0.00112725292520789
739685151,160.807338141019,10,2.8926833009511,6.60160984723768,0,1,13546,20710,0.00159644626718123
166943202,162.671448017161,10,2.54568070555378,4.49352889599024,0,1,11717,19244,0.000361256389808971
566151430,163.039872423895,10,3.51277937164711,6.02004316567427,0,1,12997,17930,0.000524044444581568
813498301,163.144108076265,10,4.8765716130628,5.78320314365899,0,1,14490,16205,0.00136327661125199
72344126,163.710109645067,10,2.39109737167461,6.33570952692685,0,1,13274,12991,0.000780028052912624
698731343,164.134091522755,10,3.63456743506896,6.93881503652556,0,1,13736,12161,0.00114036294159422
556417146,164.596476268479,10,4.38797723045743,8.43770083410477,0,1,17802,29910,0.00199337449210427
710682687,164.654183062563,10,3.13717164985663,5.66734862894303,0,1,10138,16766,0.000550438719217235
203610316,164.666329284405,10,4.03538363065364,7.4654394293829,0,1,13121,15190,0.000733592014776126
358220055,166.009035898652,10,2.88463981612843,5.9060853536276,0,1,20129,17322,0.00119125829811212
476766324,166.676333053016,10,3.14115510730277,6.96608730197838,0,1,17901,10383,0.00097231593833062
829663681,167.131684608275,10,4.34261471532264,7.60204066797915,0,1,13817,20240,0.00121466941400191
398753210,167.460443090301,10,3.90369286398788,7.15833704559159,0,1,10876,16385,0.000748226474919487
10716032,168.588255818725,10,2.54402152082226,6.97327206457507,0,1,18724,11408,0.000452565373457353
839434626,168.614945956757,10,4.34715190481347,6.88230808362184,0,1,12058,14342,0.00138338778622369
968264649,169.091691102786,10,2.56053257856435,4.87832208032182,0,1,12678,13109,0.00105698752291334
