seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
465162029,9.05538513813742,400,4.16100732143968,26.0444634438027,0.636552429292351,0.557604659814388,15772,11376,1
146441033,10.4403065089106,400,4.89084431529045,15.8498349168804,0.523490225197747,0.861754609271884,8014,14830,1
913567178,11.2249721603218,400,1.38908969890326,16.0892688694876,0.785686266608536,0.6967586746905,14370,8778,1
282167348,12.1655250605964,400,3.64641810581088,10.0973079151008,0.602891216287389,0.612266135867685,1468,20229,1
678616230,12.7279220613579,400,1.00568141322583,26.0816745758057,0.360627249116078,0.90318733965978,27400,0,1
983321548,13.0384048104053,400,4.72161815222353,22.6983611062169,0.672167481854558,0.721138788154349,8195,13993,1
530450110,13.4536240470737,400,1.21496474929154,20.440201593563,0.894626559922472,0.807360463310033,3335,24405,1
998569464,14.142135623731,400,4.33930905349553,15.8744529848918,0.490762905217707,0.796198665630072,6573,14813,1
413315844,14.247806848775,400,4.68644457869232,15.7942104947288,0.519696008879691,0.510430018883199,21372,7022,1
377921096,14.422205101856,400,2.69678022898734,21.151712018298,0.734830077271909,0.617681034374982,7167,16418,1
185035133,14.456832294801,400,4.87446370627731,12.7642854109872,0.0416010085027665,0.118067111121491,1490,18674,1
662437072,14.6287388383278,400,3.81331731937826,23.2921681490261,0.722945940680802,0.943400770425797,13390,8953,1
883515932,14.7309198626562,400,2.39214069582522,12.9676172283944,0.562666955869645,0.680592916440219,13698,16099,1
722402415,14.8660687473185,400,1.50444679800421,11.0893145592418,0.425551516236737,0.948651895159855,26383,2167,1
732860501,15.3622914957372,400,3.70885025709868,4.06089975032955,0.609971879981458,0.590817781630904,8,28458,1
509015350,15.3622914957372,400,2.85746559780091,29.7738397219218,0.24652782920748,0.548803081270307,29154,0,1
748418768,15.556349186104,400,2.71750382147729,4.53538559051231,0.428292558528483,0.679644122486934,0,30014,1
85874355,15.6204993518133,400,3.89568319078535,22.787113733124,0.84917319426313,0.556612353539094,22,29575,1
956887155,15.7480157480236,400,2.49234755709767,13.6374577253591,0.711210298817605,0.62418737472035,2889,21009,1
10929129,15.7480157480236,400,3.51141489669681,20.600165076321,0.600660189520568,0.638211281970143,2970,19309,1
185559391,15.7797338380595,400,3.54430745728314,11.2822392473463,0.404905788134784,0.698781479150057,8002,20233,1
106391095,15.9373774505092,400,4.28977123927325,6.19149712263607,0.626977479783818,0.629221740877256,15,27691,1
703162326,16,400,1.44665639102459,24.8883546984289,0.26809007790871,0.685936637921259,28687,0,1
919339427,16.1554944214035,400,4.35443127714098,21.9903468184639,0.181474147597328,0.501881761942059,28509,0,1
48808625,16.3707055437449,400,1.13713998813182,13.8651982420124,0.302677049068734,0.426776454318315,27028,31,1
855602591,16.4012194668567,400,3.17545896209776,27.9266290976666,0.0126721400301903,0.078085501678288,29496,3,1
118619680,16.583123951777,400,2.69039086345583,22.3654192602262,0.719171094009653,0.0769257685169578,131,23364,1
118792305,16.6132477258362,400,1.0333564793691,7.92404012428597,0.436521727824584,0.989593787584454,28894,994,1
471397536,16.7928556237467,400,3.80194225162268,18.2136756298132,0.0796324026305229,0.613226134097204,27342,0,1
175911752,16.7928556237467,400,1.77570708654821,21.9983965572901,0.982662165071815,0.626891425577924,0,29128,1
819127948,16.8522995463527,400,1.09072903543711,22.7756859986112,0.406803997699171,0.829933081753552,29074,0,1
169611901,16.9705627484771,400,2.14419741835445,26.7045166532043,0.976837796159089,0.927177251083776,1,27932,1
186604758,17.058722109232,400,1.28864076454192,3.27926209219731,0.131829614983872,0.915594542631879,21327,6994,1
12150286,17.058722109232,400,2.99585468601435,20.3199763942976,0.17142468248494,0.70732981688343,28240,0,1
111959942,17.0880074906351,400,3.86706015374512,3.76724175876007,0.140036241151392,0.0482010811101645,42,25291,1
98782609,17.2336879396141,400,1.80394185427576,14.1451754148584,0.463250765576959,0.988838004879653,7706,12741,1
851222141,17.3781471969828,400,4.13011248316616,15.1942144131754,0.5503954004962,0.719504420878366,404,25396,1
741433098,17.4355957741627,400,2.71702350769192,29.5833550631069,0.524803863139823,0.813582133734599,27503,0,1
378844317,17.464249196573,400,4.36424947809428,23.1559865218587,0.274733632104471,0.415142058394849,26081,1025,1
247597656,17.8605710994918,400,1.76645189616829,26.4267996205017,0.746811454417184,0.574691935442388,12316,9499,1
935040755,17.8605710994918,400,4.41998511273414,22.8911978213582,0.782477474305779,0.616309185512364,8,26456,1
845143228,17.8885438199983,400,4.35862426459789,24.2187132395338,0.628128871088848,0.901251151692122,25463,2382,1
696474877,17.9164728671689,400,4.69410296995193,4.63373523787595,0.183827992295846,0.830826894845814,414,26291,1
439050451,17.9443584449264,400,3.06000546459109,18.3088283860125,0.640202609589323,0.907802545232698,8695,12499,1
975130523,17.9722007556114,400,2.08956280909479,24.7750191751402,0.970543773146346,0.224185899831355,1,24140,1
137108305,18.0277563773199,400,2.24737515579909,16.8732011911925,0.899121033260599,0.723043126286939,0,26310,1
503374298,18.0554700852678,400,4.28357117157429,29.8253382937983,0.00364754442125559,0.505888881860301,28521,0,1
342302005,18.0554700852678,400,2.82973735127598,22.0117674956564,0.318002744810656,0.740715901833028,28846,0,1
397362550,18.1107702762748,400,4.97318484261632,6.59771981230006,0.199477003421634,0.00018839561380446,246,24084,1
897891801,18.1934053986603,400,1.48036622162908,8.81927467230707,0.899728423682973,0.734247956424952,23,27487,1
409455787,18.1934053986603,400,2.90401137154549,25.8836260854732,0.994201447116211,0.361886928789318,1,26373,1
23150156,18.3847763108502,400,3.72623614780605,4.07690268661827,0.316914087859914,0.214164045872167,1,28837,1
729289619,18.4390889145858,400,3.12347243074328,5.0769987651147,0.584630281431601,0.50151875289157,68,29942,1
807135286,18.4932420089069,400,1.45136443153024,18.9623445945326,0.598288945155218,0.604202294722199,24839,497,1
364248419,18.6010752377383,400,1.22168908640742,4.16238218452781,0.850556547753513,0.817332736682147,1775,24319,1
145251386,18.6279360101972,400,3.09058409556747,7.81113323033787,0.12226797780022,0.86546036740765,16743,8898,1
509178746,18.6279360101972,400,1.15772184729576,29.8022121200338,0.414253376657143,0.770901520736516,28318,0,1
371736279,18.6815416922694,400,1.57595629990101,29.2269906401634,0.00675809965468943,0.949078039266169,29924,0,1
830030132,18.8148877222268,400,2.25299753900617,12.1153687657788,0.84524760581553,0.893744049826637,84,27252,1
639266762,18.8414436814168,400,1.71769924834371,9.51736024324782,0.645415059057996,0.923497486626729,5153,18189,1
182792185,18.8679622641132,400,3.22278987057507,12.2705683934037,0.0170743372291327,0.43746993294917,28912,6,1
278997146,18.8679622641132,400,4.37403381988406,3.29878001729958,0.744262921391055,0.328992717899382,1,25995,1
107064123,18.8944436276912,400,1.99312808737159,3.21091556688771,0.849445920670405,0.868359497049823,16,27257,1
250655037,18.8944436276912,400,1.90034904237837,19.9215927580372,0.285819176351652,0.466466409154236,26131,317,1
405665423,18.9208879284245,400,4.01387107279152,27.9254770360421,0.364499785937369,0.764418699778616,28965,0,1
138737462,19.0262975904404,400,2.14390324801207,18.0053773811087,0.812963190721348,0.70731833204627,247,27714,1
432492964,19.0525588832577,400,3.53788165561855,28.4434801011812,0.237520959926769,0.489517621695995,28076,499,1
393339210,19.0525588832577,400,1.8549541477114,11.1713512346614,0.212393829599023,0.60446107480675,29472,6,1
647478823,19.131126469709,400,2.77605496253818,8.60837212274782,0.715371504193172,0.655865147244185,1,26212,1
325681345,19.157244060668,400,1.07018795330077,4.21242800401524,0.434239532798529,0.326222445582971,12247,12095,1
797725113,19.2353840616713,400,2.52887363638729,5.75045224395581,0.695953481132165,0.759676453890279,0,26231,1
999988253,19.2353840616713,400,4.31412442866713,7.42891315580346,0.89175910782069,0.516642957692966,1,27320,1
885071706,19.2353840616713,400,4.39348003268242,27.3789672804996,0.29366031428799,0.853406086331233,29617,0,1
899845944,19.2613602842582,400,1.79767590761185,16.29791420931,0.87117631547153,0.683052845764905,6,26613,1
974459696,19.2873015219859,400,3.48990328982472,2.74363542743959,0.629015086917207,0.0918541809078306,1,27596,1
885060086,19.313207915828,400,4.627212299034,26.7830620734021,0.981138275703415,0.952388575067744,34,26529,1
925989193,19.3390796058137,400,3.95109680946916,21.4405958442949,0.141590187558904,0.407109193736687,28755,122,1
308597074,19.4164878389476,400,1.61638817563653,15.839228060795,0.308396441163495,0.195257424609736,25387,183,1
416816632,19.4679223339318,400,2.23588189762086,19.4041211970616,0.323849179781973,0.197315661236644,26350,822,1
456199874,19.4679223339318,400,2.75202034786344,25.7278773307335,0.14011517027393,0.883842006092891,26820,0,1
988480211,19.5192212959431,400,3.58251928258687,18.5407137735747,0.0556644496973604,0.072516814339906,26315,16,1
428952415,19.5703857907809,400,1.34074138756841,23.4290619054809,0.44026740686968,0.175315394531935,23531,20,1
517800213,19.6977156035922,400,4.22069249954075,13.6978856239002,0.999618925852701,0.436852104496211,1,27157,1
860330741,19.6977156035922,400,4.91139793489128,22.2764276769012,0.881547287339345,0.595334254670888,364,21780,1
303892699,19.723082923316,400,1.29918603319675,15.5434779615607,0.216172574553639,0.495476578129455,26774,8,1
975852763,19.723082923316,400,3.11749971657991,18.1500230890233,0.278096709167585,0.644895433448255,28087,0,1
639536906,19.7737199332852,400,3.26172906532884,4.9764153782744,0.844743350986391,0.109795212280005,1,26906,1
392231780,19.7737199332852,400,2.16120595857501,20.4026335529052,0.271328461589292,0.640067404834554,26937,0,1
594596084,19.7737199332852,400,2.33154875133187,25.4807415136602,0.578959829872474,0.590561527991667,27537,0,1
257881666,19.7989898732233,400,1.70868564862758,26.2469817290548,0.940162340179086,0.985901866108179,3,22622,1
487326640,19.824227601599,400,3.13143441732973,24.2674958107527,0.913887706119567,0.771211680723354,12,27219,1
279462099,19.824227601599,400,1.46694616880268,16.1182618993334,0.588774540694431,0.641481206519529,27229,90,1
868116565,19.824227601599,400,1.97690442949533,28.5239610616118,0.367949170758948,0.778319061966613,27707,0,1
666041899,19.824227601599,400,3.82762533798814,19.1108430239838,0.89407371613197,0.330191544257104,1,26833,1
958683772,19.8494332412792,400,2.64120846614242,10.1964575904422,0.103170229122043,0.55491664679721,26311,2,1
229093518,19.8494332412792,400,4.18263613805175,22.4413171662018,0.389914251165465,0.649859725730494,11086,12954,1
144460790,19.8746069143518,400,4.90801773313433,8.31162646180019,0.188636589795351,0.413340719183907,455,20806,1
856718233,19.8997487421324,400,1.67659583687782,27.5105133422185,0.116979879559949,0.941131598781794,27985,0,1
494319812,19.9248588451713,400,1.11056568007916,29.985373868607,0.525284205796197,0.749215438496321,27689,0,1
136774004,19.9248588451713,400,4.27770909387618,7.1583932756912,0.898981359088793,0.750059558544308,1,28309,1
51057504,19.9749843554382,400,4.8552360041067,27.5030693332665,0.435756701044738,0.916187108494341,28478,0,1
885843720,19.9749843554382,400,3.08490706980228,8.7236651238054,0.550648196833208,0.672104357043281,6,28720,1
593965010,20,400,1.02409373503178,5.34982278873213,0.172077051363885,0.426245836541057,25518,10,1
574841619,20,400,3.42592783365399,9.62124698143452,0.709317521657795,0.628010567976162,0,26437,1
388780475,20.0249843945008,400,4.56183834932745,24.4391064776573,0.790104908868671,0.101728809298947,4,21839,1
129411557,20.0499376557634,400,2.27757821325213,14.8194152622018,0.499542210949585,0.731398114003241,23242,3279,1
