seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
55721937,474.222222222222,478,1.9,12,0.4,0.916776044841096,7366,15428,0.0118946325473985
980937720,477.333333333333,478,1.9,12,0.4,0.669031636783103,7106,14508,0.00477730287140858
602237346,480.5,478,1.9,12,0.4,0.990101335394282,18671,2461,0.0130010220041425
492386565,482.111111111111,478,1.9,12,0.4,0.851487319892817,13914,10726,0.00235471773803491
578910523,504.5,478,1.9,12,0.4,0.85442216650094,4798,23159,0.00197408531528459
322825481,518.666666666667,478,1.9,12,0.4,0.652405790534906,9623,10520,0.0016860181888611
778161062,529.888888888889,478,1.9,12,0.4,0.522295174775221,26937,1732,0.00568734666803172
129870401,535.944444444444,478,1.9,12,0.4,0.816623420436497,5615,17194,0.00522722203145398
430995036,537.888888888889,478,1.9,12,0.4,0.81500394609533,9668,14645,0.00687578230097252
204503146,546.833333333333,478,1.9,12,0.4,0.543424235457724,14505,11675,0.00458566487715769
337117512,549.944444444444,478,1.9,12,0.4,0.758036170532429,12371,11703,0.0016146984137132
525523117,553.944444444444,478,1.9,12,0.4,0.71009497075666,4335,22195,0.00169329044652381
373131125,556.5,478,1.9,12,0.4,0.97024270786376,2871,22230,0.00414661679300242
671536838,560.888888888889,478,1.9,12,0.4,0.806788124140414,6079,15919,0.00417683268060957
187427135,561.666666666667,478,1.9,12,0.4,0.842403807492722,14932,8445,0.00274525364124474
347755711,572.833333333333,478,1.9,12,0.4,0.731241888643945,18481,10393,0.00238737887110094
648984532,574.055555555556,478,1.9,12,0.4,0.716867126655904,11604,7546,0.00179837230615403
695266150,582.333333333333,478,1.9,12,0.4,0.969360358753031,7829,12265,0.00402567576147726
31680302,587,478,1.9,12,0.4,0.650687969079496,17843,7572,0.00194856715221483
884175392,590.777777777778,478,1.9,12,0.4,0.69755322435134,12957,9560,0.0024845279793098
888309156,596.666666666667,478,1.9,12,0.4,0.78433781960236,12076,11804,0.0033237681233689
95137377,597.833333333333,478,1.9,12,0.4,0.770067958335839,11519,11981,0.00177642797535115
528639704,604.5,478,1.9,12,0.4,0.796992438548781,13370,10726,0.00132792683742269
182655756,608.222222222222,478,1.9,12,0.4,0.647236295995278,1472,23857,0.00612182728506486
807697050,623.611111111111,478,1.9,12,0.4,0.639344815787383,2235,27808,0.00274331888428533
297920002,623.777777777778,478,1.9,12,0.4,0.878093897824014,11487,11702,0.00627596571898133
4569092,624.277777777778,478,1.9,12,0.4,0.877581855324777,7168,16969,0.00384288281819915
324507135,624.388888888889,478,1.9,12,0.4,0.781986885478646,12787,7811,0.00764088408788799
501258734,624.5,478,1.9,12,0.4,0.933504508431381,9142,19869,0.0229695233334891
977260631,631.555555555556,478,1.9,12,0.4,0.796028120752018,18855,6473,0.00385274806902236
247443106,634.722222222222,478,1.9,12,0.4,0.974972311022441,9068,15010,0.00440171598893656
583393230,643.777777777778,478,1.9,12,0.4,0.950077521243534,5979,18268,0.0032552419173038
751693021,645,478,1.9,12,0.4,0.510104589427193,2602,22400,0.00389916863060944
657139468,650.666666666667,478,1.9,12,0.4,0.883610023205154,11823,12057,0.00701484295529057
740671370,652.111111111111,478,1.9,12,0.4,0.800245658505835,12115,15672,0.0028707222472995
457248804,659.277777777778,478,1.9,12,0.4,0.96087535731053,9799,14499,0.00530489276006981
102031978,661.555555555556,478,1.9,12,0.4,0.641529344413897,25422,1052,0.0026455792196996
453304358,661.888888888889,478,1.9,12,0.4,0.627038493709661,5583,17588,0.00521197529367989
940261429,663.888888888889,478,1.9,12,0.4,0.737930802995357,8350,17913,0.00328310593095529
67423500,664.666666666667,478,1.9,12,0.4,0.560712618896462,19186,7831,0.00375730992424419
690887209,664.777777777778,478,1.9,12,0.4,0.906799399258325,5708,19202,0.00168313197765611
573019983,666.055555555556,478,1.9,12,0.4,0.701998679124583,4674,22987,0.00176573174226716
625100791,671.611111111111,478,1.9,12,0.4,0.578886196701215,4879,16581,0.00342370622918826
635314107,672,478,1.9,12,0.4,0.8408583036277,9186,12161,0.0043974034965156
289064678,679.555555555556,478,1.9,12,0.4,0.890672683318134,1979,28148,0.00381237274553571
84921564,679.722222222222,478,1.9,12,0.4,0.701508819057118,6290,17612,0.0159757540515714
562551383,680.833333333333,478,1.9,12,0.4,0.714840239105118,21832,3052,0.00104336026774265
593877400,686.388888888889,478,1.9,12,0.4,0.713756900657671,9319,15495,0.00113493434747993
834063152,687.333333333333,478,1.9,12,0.4,0.770948548825578,4529,23865,0.00535186457163055
216076321,687.722222222222,478,1.9,12,0.4,0.793121128046951,8726,14403,0.00551707139232284
611898278,688.333333333333,478,1.9,12,0.4,0.628657087152632,18951,2204,0.00229826071944721
112931671,695.388888888889,478,1.9,12,0.4,0.589940651881007,2907,28330,0.00851331831725179
680315897,695.722222222222,478,1.9,12,0.4,0.620835961699336,5710,18898,0.00613999125549345
956606492,699.333333333333,478,1.9,12,0.4,0.942924433282333,10256,13079,0.00581975003792099
882707672,700.777777777778,478,1.9,12,0.4,0.920032128472049,2791,20972,0.00409435986643387
932762947,702.888888888889,478,1.9,12,0.4,0.844523093983583,1542,21688,0.00333187456405324
160937017,703.277777777778,478,1.9,12,0.4,0.911730841601417,7075,20091,0.00478757058950333
575185060,705.5,478,1.9,12,0.4,0.790362540965645,8040,16453,0.00296160758740687
346260054,705.944444444444,478,1.9,12,0.4,0.869751902848712,322,27440,0.00357458590218238
720716336,706.555555555556,478,1.9,12,0.4,0.806259225660431,14480,10528,0.00596560492936855
154668636,708.833333333333,478,1.9,12,0.4,0.625117332667763,10664,16687,0.00788246595937693
811634032,710.777777777778,478,1.9,12,0.4,0.654227438062094,21049,3990,0.00272116075884933
878753175,711.444444444444,478,1.9,12,0.4,0.893985536294623,10589,10115,0.00298078332623243
342543220,711.777777777778,478,1.9,12,0.4,0.738851706848978,21522,5041,0.00298599128337723
552281310,713.444444444444,478,1.9,12,0.4,0.634582121648084,4794,17299,0.0128619487581248
784355114,713.777777777778,478,1.9,12,0.4,0.839602216889554,14618,8447,0.00378186616431015
462959880,714.277777777778,478,1.9,12,0.4,0.824553091621574,11063,12272,0.00199206223043582
449496799,715.555555555556,478,1.9,12,0.4,0.764646423906282,28303,590,0.00733255716612361
662416014,715.611111111111,478,1.9,12,0.4,0.668604218254675,9903,13916,0.00228571060868793
814864393,715.888888888889,478,1.9,12,0.4,0.689119048479908,1932,26456,0.00331427048609136
370810041,716.277777777778,478,1.9,12,0.4,0.891300672933203,11010,19651,0.00425097909485796
783759706,716.388888888889,478,1.9,12,0.4,0.886775999297011,19251,8999,0.015323150567283
269417500,716.833333333333,478,1.9,12,0.4,0.764187926374008,11705,10868,0.00310603490799167
109035300,717,478,1.9,12,0.4,0.890392010328876,10969,12395,0.00444362549131345
22839079,717.055555555556,478,1.9,12,0.4,0.792057385741903,4935,21018,0.00248344398279753
601362517,717.833333333333,478,1.9,12,0.4,0.88234703905189,7381,14142,0.00457628134765377
778431414,719.111111111111,478,1.9,12,0.4,0.979396539452003,3742,23569,0.0105146910747649
414189188,720,478,1.9,12,0.4,0.653317813498443,13678,12673,0.00177760236459498
992908418,720.666666666667,478,1.9,12,0.4,0.607038127775923,23191,2552,0.00657111768864487
594887790,723.333333333333,478,1.9,12,0.4,0.794610074363143,16250,12877,0.00354994441181168
675136506,723.388888888889,478,1.9,12,0.4,0.721408149671615,2566,21751,0.00183385399657117
937224595,723.777777777778,478,1.9,12,0.4,0.558368637956795,13559,8628,0.00303992784438664
957607461,724.444444444444,478,1.9,12,0.4,0.595386722858093,8673,11426,0.00727938095975704
863098484,724.888888888889,478,1.9,12,0.4,0.510214164455709,6110,14684,0.00414821382079527
962158927,725.444444444444,478,1.9,12,0.4,0.652805085776137,13437,10606,0.00357748451469166
869409386,726.277777777778,478,1.9,12,0.4,0.685274969685083,11899,12342,0.00373485445109149
297834638,726.277777777778,478,1.9,12,0.4,0.537241573124846,18304,6586,0.00887962851092782
780501849,727.777777777778,478,1.9,12,0.4,0.692447711134482,12702,11214,0.00151576259621667
115892606,729.055555555556,478,1.9,12,0.4,0.689122569168228,9290,11494,0.0102069422154566
75896739,729.444444444444,478,1.9,12,0.4,0.764467627134412,15724,7422,0.00263631208583977
492681821,731.277777777778,478,1.9,12,0.4,0.599425980963533,11449,10035,0.00273801220152599
965261372,733.222222222222,478,1.9,12,0.4,0.658091738427731,2874,24379,0.0128183543297937
367648559,734.333333333333,478,1.9,12,0.4,0.962210583796467,20581,8167,0.001269392750858
181508786,734.555555555556,478,1.9,12,0.4,0.986368099371507,15446,10584,0.013597862182604
53524082,735.611111111111,478,1.9,12,0.4,0.520880889798108,5702,15903,0.00218682283393945
877895121,736.555555555556,478,1.9,12,0.4,0.975965761148608,8073,13086,0.00474378110798121
281222434,736.944444444444,478,1.9,12,0.4,0.801183911392213,15280,7655,0.00379731638429038
182092563,738.111111111111,478,1.9,12,0.4,0.720369992801279,3827,19702,0.00412325405571368
107982711,738.555555555556,478,1.9,12,0.4,0.74971782769093,4922,19688,0.00696279664529198
215174485,738.722222222222,478,1.9,12,0.4,0.757376564169241,8028,17299,0.00142347823854964
173127760,739.611111111111,478,1.9,12,0.4,0.504495737601337,11475,10794,0.00476415896494401
386909985,742,478,1.9,12,0.4,0.677944545335387,9086,17100,0.00405703744457284
