seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
993892875,6154.43137254902,380,3,15,0.890548511663747,0.437637182450759,2,27712,0.0066641098479129
766353005,6424.6,380,3,15,0.861446047495504,0.180843829395607,0,26757,0.00916315104088024
592605563,6804.62745098039,380,3,15,0.67888099411154,0.328781127554701,1,27953,0.00509949275318553
732063102,7112.60256410257,380,3,15,0.57141905397302,0.378661958610194,8,22462,0.00428059610668858
945697674,7141.88888888889,380,3,15,0.118361376230948,0.454551072136506,28400,45,0.00543001543163274
603204518,7281.30555555556,380,3,15,0.343327650522438,0.202622046725988,23823,2551,0.00533128787833032
710131784,7402.78787878788,380,3,15,0.440456522351324,0.141173149396186,1213,19292,0.0055324685529843
977533987,7466.4358974359,380,3,15,0.248069360549549,0.416363933460994,24493,791,0.00451108974320258
849708852,7719.03030303031,380,3,15,0.281939711008468,0.353194108444686,2036,16169,0.0043764303478831
154660119,7920.03333333333,380,3,15,0.685921921119301,0.255515229105676,1,27645,0.00569360841375083
269599792,7968.3,380,3,15,0.58011798117214,0.305833692187258,2,24780,0.00465429894139949
789492098,7990.19047619048,380,3,15,0.137414574245419,0.229220707017229,25425,148,0.00689931372489806
815097055,8035.39583333333,380,3,15,0.730297495056696,0.406722807018174,1,25691,0.00514422514575733
400506249,8130.98333333333,380,3,15,0.684283387526472,0.272957258729198,6,21787,0.00558515872967938
888336065,8295.89393939394,380,3,15,0.215575721145245,0.357701454868003,3172,15892,0.00488701388846946
718724693,8342.75,380,3,15,0.776631581488847,0.396985706054381,1,22462,0.00574942810408172
935983967,8343.69444444445,380,3,15,0.149565896671923,0.262257324629065,28285,197,0.00644441391886083
542860185,8390.54166666667,380,3,15,0.408217150566729,0.29400180035491,407,22424,0.00431207107806129
815898597,8458.42708333333,380,3,15,0.151659208993505,0.248195569349238,27478,148,0.00651601851795928
49399076,8463.66666666667,380,3,15,0.16256561800464,0.18746898864766,26605,153,0.00733052083270419
590306828,8469.09090909091,380,3,15,0.4688818882607,0.173433553027078,176,21557,0.005480763239405
520884883,8604.81818181818,380,3,15,0.513583722083562,0.168005603818112,170,22823,0.0058063531348152
292393862,8682.16666666667,380,3,15,0.431477020279891,0.23624396856614,1626,17193,0.00454605943113438
417678633,8691.35,380,3,15,0.529062232650112,0.243396405244997,11,24700,0.00496984463234183
479855696,8693.83333333334,380,3,15,0.470291685571743,0.470678557506245,838,19739,0.0035116267462056
410306830,8718.95238095238,380,3,15,0.706062880383777,0.394871027153504,1,24751,0.00492808123207005
328945804,8804.94444444445,380,3,15,0.082059717717649,0.47499861346387,2536,18220,0.00586441666616335
461256607,8874.39583333333,380,3,15,0.168025557978517,0.31663147858465,26570,266,0.00574942810408172
534965630,8913.06666666667,380,3,15,0.165190571166408,0.161964182204666,3409,14637,0.00761612554047189
278571174,8923.53846153846,380,3,15,0.864268440801393,0.264028750628381,1,23250,0.00792488738670723
407365747,8983.5,380,3,15,0.50490348224925,0.109957668110369,550,19784,0.00623874113421633
683089372,9049.55555555556,380,3,15,0.547967790358573,0.499375349326153,435,19767,0.00362001028775516
742608272,9054.30952380952,380,3,15,0.25371647673412,0.214638001120167,24489,464,0.0058063531348152
164621622,9067.59375,380,3,15,0.794506774710802,0.154084630715241,1,25867,0.00862414215612258
594856440,9086.21568627451,380,3,15,0.257171501667878,0.224148423831319,26937,805,0.00563886217900322
118553662,9136.72549019608,380,3,15,0.158408815930715,0.230800996665851,27267,291,0.00651601851795928
807522705,9167.64285714286,380,3,15,0.651103972397616,0.164242654856435,4,24384,0.00651601851795928
235263860,9341.8,380,3,15,0.666658344973141,0.377245113248614,1,26219,0.00488701388846946
509672076,9456.95454545455,380,3,15,0.549218996666308,0.243474748017999,204,21934,0.00505553160876151
127291357,9470.38541666667,380,3,15,0.830960565559883,0.346718909364036,1,27317,0.00658923220917231
90862181,9473.88095238095,380,3,15,0.762613748511912,0.35646520622757,1,23552,0.00574942810408172
691995076,9509.38888888889,380,3,15,0.569153046613879,0.471299437339684,423,17347,0.0037834946233312
178319461,9513.63541666667,380,3,15,0.323208061033555,0.226901608100704,24425,1962,0.00509949275318553
946541609,9521.83333333333,380,3,15,0.867734185945275,0.464112676190399,1,25420,0.00610876736058683
867635603,9615.98039215686,380,3,15,0.779575622132522,0.108227446186366,1,27437,0.00930859788279897
567788447,9620.56666666667,380,3,15,0.592710055631497,0.431608614077659,2,24929,0.00410099067563871
795990591,9660.19791666667,380,3,15,0.172949591005683,0.131407418312107,26966,236,0.00781922222155114
34585177,9858.73076923077,380,3,15,0.48626557171253,0.339967100940109,192,23394,0.00410099067563871
942367771,9883,380,3,15,0.246986344747132,0.480090006959201,25483,892,0.00412987089166433
560967105,10058.1666666667,380,3,15,0.870670414212353,0.428724954348406,1,26370,0.00651601851795928
420066800,10126.5833333333,380,3,15,0.25302636836175,0.205063646292124,2740,13922,0.00586441666616335
41744265,10176.7333333333,380,3,15,0.670737328781301,0.378347228554463,1,26216,0.00492808123207005
842631366,10237.8846153846,380,3,15,0.303904710550795,0.421197400943486,21353,901,0.00398939909262813
88421024,10548.7435897436,380,3,15,0.671458454686328,0.457273235930864,2,25666,0.00440933583922057
399277718,10987.03125,380,3,15,0.494667938819139,0.21382956306855,16486,7198,0.00501232193689175
679772426,11303.2307692308,380,3,15,0.442292418919424,0.462413991499495,20069,4491,0.00338983622321581
7066476,11465.0333333333,380,3,15,0.493536358721178,0.449871069627635,16460,7708,0.00362001028775516
323904954,11615.3974358974,380,3,15,0.372489873269441,0.271348965491427,22096,2585,0.00454605943113438
762297588,11655.2333333333,380,3,15,0.335408417102938,0.242946343298675,22829,1980,0.00484662534393666
275107946,11852.4696969697,380,3,15,0.607317134941454,0.431643544694672,1,21953,0.00412987089166433
371934846,11920.4444444444,380,3,15,0.689319265075331,0.340884465143355,4,20641,0.00509949275318553
996335079,11949.6153846154,380,3,15,0.342026840536026,0.294894753960556,22624,2327,0.00454605943113438
700117529,12264.8541666667,380,3,15,0.42043112111384,0.350148833897919,494,19846,0.0038837196464658
954419380,12355.0256410256,380,3,15,0.700610989182331,0.483569896715925,1,24259,0.00424957729432127
985887507,12604.5666666667,380,3,15,0.403604124786666,0.434428379161254,22311,3544,0.00359780163568304
458060496,16853.5416666667,380,3,15,0.519477831490221,0.110025486298865,14238,8910,0.00644441391886083
911876039,17567.0476190476,380,3,15,0.524310748179218,0.78786734240467,4226,14351,0.00431207107806129
921488791,18025.3333333333,380,3,15,0.625561481685187,0.693236754561434,6414,12537,0.00396244369335362
421754662,18070.4722222222,380,3,15,0.461794230886886,0.859781077278602,28795,576,0.0043764303478831
739536845,18118.2424242424,380,3,15,0.517205100998982,0.732883164827649,7720,13860,0.0038837196464658
784411717,18188.8888888889,380,3,15,0.42157154060647,0.809953909480439,28617,12,0.00390961111077557
178137704,18326.25,380,3,15,0.488063458015373,0.569981167778825,5900,16218,0.00318718297074095
614537404,18493.5,380,3,15,0.549400203963112,0.671901999534058,5471,18090,0.00373529723959449
954410967,18521.2619047619,380,3,15,0.769758753177184,0.613713350024912,500,18488,0.00451108974320258
519874923,18557.1862745098,380,3,15,0.41943290078156,0.871424629435077,28791,147,0.00447665394363615
741972528,18613.7878787879,380,3,15,0.497649735504673,0.515851417098641,11135,10518,0.00335109523780763
406734900,18697.0555555556,380,3,15,0.513449357318049,0.922916144051296,8091,10443,0.005480763239405
451900020,18702.4895833333,380,3,15,0.479646612027666,0.911640897432897,13168,12628,0.00505553160876151
109394903,18708.6904761905,380,3,15,0.40081177852781,0.946995116515906,25734,97,0.00538019877629665
297819995,18755.1568627451,380,3,15,0.441430436334836,0.607151314853144,23771,2860,0.0030865350874544
421135202,18766.5208333333,380,3,15,0.500760622324405,0.692580504674288,7681,9835,0.00353278112419479
488199072,18768.4122807018,380,3,15,0.416817369231781,0.53836467257722,30608,137,0.0030865350874544
268749195,18808.3921568627,380,3,15,0.503645915197405,0.783367640551574,21068,6431,0.00415916075614422
284931898,18834.0277777778,380,3,15,0.381822992356669,0.742481262454456,30126,47,0.0036652604163521
725133079,18838.5520833333,380,3,15,0.386180315928216,0.570532730511739,27882,6,0.00313605169313548
658998951,18854.149122807,380,3,15,0.47263496328971,0.515349629387293,28529,337,0.00333205492395645
245137905,18886.9871794872,380,3,15,0.813827302076483,0.813743449662342,31,24190,0.0059840986389422
293228192,18934.696969697,380,3,15,0.432363422489387,0.889683057255018,6674,13799,0.00454605943113438
103305306,18963.4270833333,380,3,15,0.44277186706114,0.606508310791487,22524,4085,0.00307037521788657
673132047,18967.3645833333,380,3,15,0.434201975603861,0.597130370823834,14465,13979,0.00307037521788657
245003683,18968.7395833333,380,3,15,0.30320928155685,0.676579058481435,26849,80,0.0036652604163521
262708236,19011.0256410256,380,3,15,0.37685275011101,0.66138348707158,16122,7342,0.00335109523780763
121743411,19017.4487179487,380,3,15,0.677124670172232,0.571526504592381,655,24728,0.0038837196464658
604133660,19035.9666666667,380,3,15,0.864406137176542,0.583063702079754,6,26853,0.00533128787833032
969504324,19038.2833333333,380,3,15,0.613023256197771,0.7709934770041,4659,16274,0.0043764303478831
325561953,19039.8333333333,380,3,15,0.31711118026782,0.839843479692183,26216,104,0.00451108974320258
573937870,19053.1060606061,380,3,15,0.683407298951586,0.892057470932935,1457,22482,0.00569360841375083
637781201,19091.2,380,3,15,0.709759511001751,0.78058780941275,166,26674,0.00496984463234183
939440688,19095.1666666667,380,3,15,0.459382299266787,0.607525555416789,2299,24127,0.00316995495468289
