seed,dist,mu,s,t,d,a,wt.cells,mt.cells,weight
226405487,5.09901951359278,450,2.80735071191992,20.446673467342,0.359815069527787,0.441806239543304,24204,1591,0.00317719097319215
252512780,5.19615242270663,450,1.76551526321986,16.1381095491552,0.37053256944824,0.100036531670263,145,23853,0.00144873803657199
461907131,5.47722557505166,450,1.52579297193362,6.20751382159439,0.255806749433705,0.361451021899032,6583,12025,0.0089538094352315
685202123,5.56776436283002,450,2.29472507418301,17.1222197655928,0.783502942239847,0.138500280816546,1,23849,0.00235666013248192
522958303,5.65685424949238,450,1.6480788916056,20.1554810046127,0.275895671166717,0.373207623336984,25019,135,0.00437109491413948
338713675,5.74456264653803,450,2.96516200220031,10.5176406942198,0.3115813033655,0.449698043960285,126,23273,0.00247702915126104
631050030,5.8309518948453,450,3.45402756214805,15.9902140369748,0.185214342270994,0.611002859516846,17811,2893,0.0053236216031172
4134941,5.91607978309962,450,1.1484902669734,14.2101362689788,0.657340915638666,0.365440442658191,10630,7995,0.00388840252182594
770586002,5.91607978309962,450,3.53276098710551,14.5988078440177,0.762084208379423,0.205775579920098,0,25592,0.00322641293133981
417763961,5.91607978309962,450,2.31542188879003,13.8145032394668,0.0353824830985829,0.204734225262547,6452,12069,0.00827041477950368
931630603,6.2449979983984,450,2.57273112819179,6.1268309618412,0.130929334653075,0.235078896991169,419,23516,0.00566890847834569
6131252,6.32455532033676,450,2.24607657910821,18.094301578136,0.360220557312341,0.18827142402428,23154,997,0.000625152814884302
360043048,6.32455532033676,450,3.32687105511102,19.1374903924749,0.111520346311348,0.253417635032647,26969,66,0.00183421075701942
197684844,6.48074069840786,450,2.68578807697738,8.46223448905916,0.599949459287143,0.492773074367614,2,23516,0.00206743755556737
508172018,6.48074069840786,450,2.66184493233183,25.3054655096151,0.276640219025746,0.126180860356379,25725,159,0.00440664569819303
916914088,6.6332495807108,450,4.38130886785512,17.2863162663498,0.223336242294697,0.313429431032027,24303,881,0.00352724868721054
337098812,6.70820393249937,450,3.19721401465675,22.2305197755181,0.297022255316508,0.10086420605695,23971,822,0.00365362949180482
824390790,6.70820393249937,450,2.01977481594561,29.0135887897063,0.150752247872893,0.155416707431705,26139,15,0.0043722890172176
841234945,6.78232998312527,450,4.32882001796308,6.03283511287852,0.26852380892258,0.215627810563218,3,28607,0.016023524120824
706377945,6.78232998312527,450,3.15011322169234,21.3772458241234,0.687125146809103,0.429104120775057,33,22625,0.00534630749063049
15987264,6.78232998312527,450,1.55471760014074,19.8549436609715,0.118546850873262,0.46660419559531,26323,15,0.0070281522305922
370522359,6.78232998312527,450,2.2750878151534,12.6920364864708,0.349234472689159,0.466659765558723,24485,1349,0.0102509258019353
532755463,6.85565460040104,450,1.51120016794798,27.3358585439066,0.826591130672011,0.21006576026093,1,24475,0.0041139755789316
560249568,6.85565460040104,450,3.7010417927555,15.2745880708106,0.0671033487808135,0.213075655169394,27960,6,0.00664858087066962
844871604,6.85565460040104,450,1.57869350450573,21.2531451134286,0.156493764460448,0.459001097858388,25889,40,0.00413645188805642
641615345,6.85565460040104,450,1.30101963456582,19.7322914806626,0.160110484982349,0.316247271836432,24469,23,0.00380527221491593
709384125,6.85565460040104,450,1.98549878960276,8.00331412884977,0.710113227141421,0.468831491102341,1,24551,0.00511506970129021
51371038,6.85565460040104,450,2.38720941449174,5.91571259474993,0.725477048459938,0.173118593164318,1,23697,0.00127153244117202
245686250,6.92820323027551,450,4.28761243988886,9.90735210365007,0.165196219036142,0.180975599133938,24333,492,0.0063238159135504
863594364,6.92820323027551,450,3.89284488087005,16.7340008914028,0.839013031405008,0.482095743031742,1,22760,0.00256938489049519
188166857,6.92820323027551,450,1.43452753132791,8.81665598380132,0.569302986422206,0.452582046232327,4,25346,0.00552815468418935
318912139,6.92820323027551,450,2.56999096944555,28.4126833682777,0.474980925727179,0.335846571096682,21503,2893,0.00339366581003123
601162799,7,450,3.03025670437469,15.8657675055533,0.334618996458299,0.152664300948691,23458,2104,0.00138238016812444
654987186,7,450,3.88706975555972,8.78046784683006,0.825861048952983,0.209016916509359,1,26271,0.00802184912838638
972117850,7,450,1.12699874079306,24.4866454377596,0.7521368855301,0.113208102899611,18791,4,0.0093512861346153
680604731,7,450,1.72343769286911,28.8669887390525,0.354946528728959,0.117968769068169,24703,359,0.0112959197881268
727656214,7.14142842854285,450,3.0252560911128,13.3002789016356,0.331284049114567,0.194678824734515,22783,2421,0.00303362621518973
960183030,7.14142842854285,450,3.70161460047054,23.0232759719073,0.654923863666145,0.156307758991844,472,20216,0.00176130907040103
487642434,7.14142842854285,450,2.55401563380938,29.8742537099199,0.18730686711985,0.479493483016954,26124,40,0.00651607224815093
347068959,7.14142842854285,450,1.98080368541251,22.2745397372018,0.453191145967059,0.323846525149054,23131,1558,0.00100839575146424
370205424,7.14142842854285,450,2.27156902426989,5.48367396558584,0.725012948355535,0.340973646526088,0,27267,0.00390170527303177
674032314,7.14142842854285,450,1.68033670585874,26.8404898670637,0.109281550795654,0.189449937836463,27238,20,0.0051622282522011
376470166,7.21110255092798,450,2.00715127536155,19.2457562716466,0.536756269222455,0.337623012459852,19309,3999,0.00130310808503708
816380094,7.21110255092798,450,4.02456307540655,4.93241555580355,0.444394816758724,0.325258023128704,1,28100,0.00104081645744258
915204280,7.28010988928052,450,2.39047134751948,8.13486218215538,0.62400534051486,0.477043072222924,1,23983,0.00340016870663207
589461986,7.28010988928052,450,4.47903158125446,20.3820105812036,0.720557527901326,0.197180450413811,81,19636,0.00451836791525073
754872906,7.28010988928052,450,2.3399434909379,17.8421613108646,0.537828845804515,0.372913136095929,1,25230,0.00352648853879329
894440809,7.28010988928052,450,2.64830376617458,18.6765372616255,0.768917956147413,0.152816706045035,1,24564,0.00429857196923787
941017975,7.28010988928052,450,3.19698398568077,22.0069424281657,0.888243706043946,0.117607020115462,2,23429,0.0153194499463001
433874663,7.28010988928052,450,2.81912102528609,9.34483852658214,0.654831420568133,0.26431136894003,1,24075,0.00476493929868559
2984741,7.28010988928052,450,1.53248284181914,27.0195757624503,0.417193477646781,0.403310233561792,23035,179,0.00234407767578614
351470250,7.34846922834953,450,1.27578269753303,21.6562092588198,0.219295338790558,0.20276467679608,25970,43,0.0102442967603023
905613452,7.34846922834953,450,4.42153300216858,26.0150904936592,0.399912294848242,0.386654925420042,20277,4650,0.00888199018819856
39228687,7.34846922834953,450,2.73495555539982,29.7766899691084,0.42018145530176,0.275261461830349,23575,2214,0.00745953271082149
828221916,7.34846922834953,450,3.67138149693505,10.635701696732,0.639169857534187,0.394724235993493,1,24916,0.000240194265800163
527915818,7.34846922834953,450,3.51467260880617,19.5641994690563,0.614365750313115,0.397494865733599,1,26012,0.00299217209352158
577025914,7.34846922834953,450,3.20538036192215,20.5865209160022,0.255188303692573,0.264151329833377,25375,643,0.0012103080340037
791759269,7.41619848709566,450,3.19694369773918,9.10147400288543,0.25580892403675,0.164997506724148,24656,958,0.00143286531574585
404074423,7.41619848709566,450,3.35975510828735,21.9173424294356,0.378401030101792,0.160320182069339,23523,2391,0.00104444646545773
896506328,7.41619848709566,450,2.73440867224595,13.5487976272645,0.898515050209218,0.414365378538662,1,26165,0.00490519174103461
43773987,7.41619848709566,450,2.99951964933468,7.49127526006785,0.436375324609621,0.178273896050759,27,24282,0.00214450334729926
957000910,7.41619848709566,450,2.49116120471949,14.4278578943236,0.577251710409898,0.236077823616055,853,17885,0.001603197957608
810800396,7.41619848709566,450,3.06601958821604,28.5407341473261,0.734246462860558,0.233065312075178,1,26173,0.00485253225591214
68638620,7.48331477354788,450,1.3042062914511,23.4611759388999,0.0754662659512158,0.221239894900803,27292,1,0.0109068381065358
468438837,7.48331477354788,450,3.99889052718665,8.35361904124845,0.733165174686497,0.388555480613897,1,24647,0.00296247690013184
