sim_id,statistic,observed,expected,variance,p_value,tumour
1,441.144617418136,0.781071123316506,-6.25003906274414e-06,3.13491770823837e-06,0,T1
2,546.166195248765,0.967022048386936,-6.25003906274414e-06,3.13493639647524e-06,0,T1
3,543.041729797061,0.961487008256957,-6.25003906274414e-06,3.13491723002714e-06,0,T1
4,510.256073086579,0.903439364414611,-6.25003906274414e-06,3.13492866755192e-06,0,T1
5,545.89057871333,0.966534781903743,-6.25003906274414e-06,3.1349411533903e-06,0,T1
6,393.052599917329,0.695923746879303,-6.25003906274414e-06,3.13494384733114e-06,0,T1
7,401.054680541062,0.710089643509474,-6.25003906274414e-06,3.1349226087594e-06,0,T1
8,518.291887519505,0.917667333586829,-6.25003906274414e-06,3.13492848504358e-06,0,T1
9,532.165257958697,0.942231554050357,-6.25003906274414e-06,3.13493118916292e-06,0,T1
10,548.798223523672,0.971682675053708,-6.25003906274414e-06,3.13493912450835e-06,0,T1
11,546.658949330248,0.967894526744421,-6.25003906274414e-06,3.13493652746246e-06,0,T1
12,546.846860354526,0.968225479681239,-6.25003906274414e-06,3.13492514559272e-06,0,T1
13,476.23241486357,0.843197646527675,-6.25003906274414e-06,3.13492607952303e-06,0,T1
14,488.965184619536,0.865741611727552,-6.25003906274414e-06,3.13492373634193e-06,0,T1
15,538.403016652573,0.953274981653786,-6.25003906274414e-06,3.13492471845278e-06,0,T1
16,521.867209124369,0.92399819944249,-6.25003906274414e-06,3.13493186574233e-06,0,T1
17,485.021163408453,0.858756761255312,-6.25003906274414e-06,3.13491148097998e-06,0,T1
18,539.6071496954,0.95540729422208,-6.25003906274414e-06,3.13492674286703e-06,0,T1
19,487.234792842438,0.862676069969471,-6.25003906274414e-06,3.13491095043228e-06,0,T1
20,488.403612137125,0.864745379029975,-6.25003906274414e-06,3.1349097544739e-06,0,T1
21,534.950798887906,0.94716154845519,-6.25003906274414e-06,3.13491787671471e-06,0,T1
22,479.058523871316,0.848200876168108,-6.25003906274414e-06,3.13492164044892e-06,0,T1
23,451.927315386747,0.800163639868033,-6.25003906274414e-06,3.13492551471876e-06,0,T1
24,546.307215532264,0.967270372413736,-6.25003906274414e-06,3.1349275616505e-06,0,T1
25,495.26762300205,0.876900148173412,-6.25003906274414e-06,3.13492100600075e-06,0,T1
26,458.166650213607,0.811210043418459,-6.25003906274414e-06,3.13491942018311e-06,0,T1
27,494.571417389034,0.875667082372199,-6.25003906274414e-06,3.13491825324159e-06,0,T1
28,537.966558294398,0.952502559099052,-6.25003906274414e-06,3.13492707716728e-06,0,T1
