time,type1,type2
0,1,0
1.59914,2,0
2.74283,3,0
3.42651,4,0
3.96242,5,0
4.41665,5,1
4.42578,6,1
4.43553,6,2
4.47646,6,3
4.53758,6,4
4.65061,7,4
4.65768,6,4
4.81571,6,3
4.92013,7,3
5.01728,7,4
5.01773,7,5
5.0194,7,6
5.07026,8,6
5.07576,8,5
5.10527,8,6
5.29688,8,7
5.36231,8,8
5.39043,7,8
5.42664,7,9
5.55502,8,9
5.57059,8,10
5.58863,8,11
5.67532,9,11
5.68191,9,12
5.69245,10,12
5.80296,11,12
5.80679,12,12
5.83133,12,11
5.83505,13,11
5.85835,13,12
5.88165,14,12
5.88217,14,13
5.92648,14,14
5.93687,14,15
5.94744,15,15
5.95969,16,15
5.96968,17,15
6.00043,17,16
6.00823,17,17
6.03199,18,17
6.05562,19,17
6.05656,19,18
6.06074,20,18
6.08798,21,18
6.08842,22,18
6.10532,22,19
6.12119,23,19
6.13235,23,20
6.13904,23,19
6.16642,23,20
6.19815,23,21
6.2486,24,21
6.25413,24,22
6.33611,25,22
6.39599,25,21
6.40583,25,22
6.43596,25,23
6.47477,25,24
6.4813,25,25
6.4968,24,25
6.49951,25,25
6.50593,26,25
6.51025,26,26
6.53105,26,27
6.54437,26,28
6.5526,27,28
6.56326,28,28
6.5866,29,28
6.58887,30,28
6.60531,30,29
6.6092,29,29
6.6158,28,29
6.61728,28,28
6.62704,28,29
6.63238,28,30
6.65179,28,31
6.65371,28,32
6.6626,29,32
6.67469,30,32
6.687,30,33
6.69235,30,34
6.72259,30,33
6.73829,30,34
6.74944,31,34
6.76527,31,35
6.76539,32,35
6.76873,32,36
6.77274,33,36
6.80267,33,37
6.8031,33,38
6.82806,32,38
6.82946,32,37
6.83061,32,38
6.84228,33,38
6.85505,33,39
6.87158,33,40
6.87764,34,40
6.89703,34,39
6.91973,34,40
6.94508,34,41
6.96044,35,41
6.97971,35,42
6.98621,35,43
6.98625,36,43
7.01819,37,43
7.02178,37,44
7.06292,37,43
7.06463,38,43
7.06677,39,43
7.06946,39,44
7.07217,39,45
7.0792,39,46
7.08659,39,47
7.12389,39,48
7.12617,39,49
7.12895,39,50
7.1302,39,51
7.14221,39,52
7.14406,38,52
7.14646,37,52
7.15347,37,53
7.18944,38,53
7.20325,38,54
7.20712,37,54
7.20715,37,55
7.21858,37,56
7.22773,38,56
7.23227,37,56
7.23529,37,57
7.23835,37,58
7.25236,38,58
7.29668,37,58
7.30696,38,58
7.31236,39,58
7.31646,39,59
