time,type1,type2
0,1,0
0.790033,2,0
2.41744,3,0
2.68907,4,0
3.06105,5,0
3.36377,6,0
3.42006,7,0
3.59687,8,0
3.65717,9,0
3.78914,10,0
3.88698,11,0
4.147,11,1
4.17532,11,2
4.27686,11,3
4.3427,12,3
4.44918,13,3
4.58897,14,3
4.69349,15,3
4.69952,16,3
4.77924,17,3
4.85034,18,3
4.9179,19,3
4.93742,20,3
4.95074,21,3
4.96714,22,3
5.0538,23,3
5.0619,24,3
5.06859,25,3
5.06962,26,3
5.07972,27,3
5.10114,28,3
5.17352,28,4
5.17451,29,4
5.18642,30,4
5.21307,31,4
5.23529,31,5
5.24803,32,5
5.25517,33,5
5.2902,34,5
5.33478,35,5
5.34901,36,5
5.35245,37,5
5.38103,37,6
5.39675,38,6
5.41117,39,6
5.43815,40,6
5.45576,41,6
5.48281,42,6
5.48757,43,6
5.61367,44,6
5.63952,45,6
5.64953,46,6
5.64997,47,6
5.66451,48,6
5.68292,49,6
5.69014,50,6
5.70583,51,6
5.70612,52,6
5.70649,53,6
5.71833,54,6
5.73173,55,6
5.74071,56,6
5.74948,57,6
5.75553,58,6
5.77662,59,6
5.77926,60,6
5.78628,61,6
5.7869,62,6
5.82148,63,6
5.82308,63,7
5.82327,64,7
5.83062,65,7
5.86457,66,7
5.87511,67,7
5.87996,68,7
5.8823,69,7
5.89258,70,7
5.90531,71,7
5.92481,71,8
5.92642,72,8
5.92941,72,9
5.9709,73,9
5.97892,74,9
5.98792,74,10
5.9919,75,10
6.00894,76,10
6.01638,77,10
6.03305,78,10
6.04996,79,10
6.05105,80,10
6.05735,81,10
6.08789,81,11
6.09656,82,11
6.14047,83,11
6.15951,84,11
6.17338,84,12
6.17398,85,12
6.17799,86,12
6.18853,87,12
6.1956,88,12
6.19577,89,12
6.2012,90,12
6.22211,91,12
6.22683,92,12
6.24474,93,12
6.25478,93,13
6.2635,94,13
6.29184,95,13
6.29743,96,13
6.30161,97,13
6.3025,98,13
6.30758,99,13
6.33654,100,13
6.34369,101,13
6.34465,102,13
6.3501,103,13
6.35406,104,13
6.36455,105,13
6.38588,106,13
6.3965,107,13
6.40652,108,13
6.42307,109,13
6.4345,110,13
6.43885,111,13
6.44038,112,13
6.45471,112,14
6.46248,113,14
6.46253,114,14
6.46915,115,14
6.47372,116,14
6.47681,117,14
6.47847,118,14
6.49204,119,14
6.5022,120,14
6.5141,121,14
6.51527,122,14
6.52163,123,14
6.52665,124,14
6.54551,124,15
6.54895,125,15
6.55322,126,15
6.55556,127,15
6.55801,128,15
6.56767,129,15
6.56932,130,15
6.57945,131,15
6.60454,132,15
6.6083,133,15
6.61543,133,16
6.62194,134,16
6.63433,135,16
6.64969,136,16
6.65301,137,16
6.6587,138,16
6.68346,139,16
6.69352,140,16
6.69461,140,17
6.69632,141,17
6.706,142,17
6.71146,143,17
6.72604,144,17
6.73826,145,17
6.73841,145,18
6.73942,146,18
6.74158,147,18
6.74197,148,18
6.74915,149,18
6.74991,150,18
6.75408,151,18
6.75508,152,18
6.76334,153,18
6.76353,154,18
6.76711,155,18
6.77037,156,18
6.77218,157,18
6.77554,158,18
6.78188,159,18
6.78481,160,18
6.7969,161,18
6.81119,162,18
6.8113,163,18
6.81301,164,18
6.81455,165,18
6.81832,166,18
6.82473,167,18
6.82504,168,18
6.82646,168,19
6.82862,169,19
6.83247,170,19
6.84443,171,19
6.85553,172,19
6.85608,172,20
6.85935,172,21
6.86941,173,21
6.87003,173,22
6.87579,174,22
6.88473,174,23
6.88599,175,23
6.8918,176,23
6.89488,177,23
6.89651,178,23
6.90198,179,23
6.90942,180,23
6.92975,181,23
6.93524,182,23
6.93996,183,23
6.9475,184,23
6.95376,185,23
6.95968,186,23
6.9622,187,23
6.96647,188,23
6.96874,189,23
6.96879,190,23
6.9744,191,23
6.97581,192,23
7.00864,193,23
7.01033,194,23
7.01224,195,23
7.01225,196,23
7.02082,197,23
7.02196,198,23
7.03564,199,23
7.04454,200,23
7.04764,201,23
7.05799,202,23
7.06051,203,23
7.06192,204,23
7.06611,205,23
7.06694,206,23
7.06972,207,23
7.07068,208,23
7.07313,209,23
7.07744,210,23
7.07925,211,23
7.07945,212,23
7.07947,213,23
7.08455,214,23
7.09005,215,23
7.09354,216,23
7.09744,217,23
7.11962,218,23
7.12498,219,23
7.1362,220,23
7.14058,221,23
7.14318,222,23
7.14917,223,23
7.15383,224,23
7.15675,225,23
7.16466,226,23
7.16468,227,23
7.1664,228,23
7.16889,229,23
7.17078,230,23
7.17156,231,23
7.17664,232,23
7.18004,233,23
7.18532,234,23
7.19143,235,23
7.19312,236,23
7.19499,237,23
7.19713,238,23
7.19883,239,23
7.2083,240,23
7.21516,241,23
7.22394,242,23
7.22566,243,23
7.22638,244,23
7.23898,245,23
7.2467,246,23
7.24977,247,23
7.25533,248,23
7.25766,249,23
7.25967,250,23
7.26256,251,23
7.26301,252,23
7.26303,253,23
7.26421,254,23
7.26777,255,23
7.26875,256,23
7.27472,257,23
7.27974,258,23
7.27997,259,23
7.28074,260,23
7.28565,261,23
7.28676,261,24
7.28942,262,24
7.29035,263,24
7.29666,264,24
7.29909,265,24
7.30867,266,24
7.30925,267,24
7.31163,268,24
7.31523,269,24
7.31962,270,24
7.32316,271,24
7.32507,272,24
7.32617,273,24
7.3273,274,24
7.3274,275,24
7.32878,276,24
7.34347,277,24
7.34438,278,24
7.34767,279,24
7.34811,280,24
7.35697,281,24
7.35724,282,24
7.36034,283,24
7.36683,284,24
7.36707,285,24
7.36844,286,24
7.37028,287,24
7.37099,288,24
7.37285,289,24
7.37467,290,24
7.37577,291,24
7.37955,292,24
7.37995,293,24
7.38631,294,24
7.38968,295,24
7.39396,295,25
7.39699,296,25
7.39844,297,25
7.40086,298,25
7.40141,299,25
7.40276,300,25
7.40654,301,25
7.40814,302,25
7.41681,303,25
7.4176,304,25
7.41978,305,25
7.41992,306,25
7.4278,307,25
7.43335,308,25
7.4373,309,25
7.43803,310,25
7.43885,311,25
7.44095,312,25
7.44832,312,26
7.44978,313,26
7.44999,314,26
7.45158,315,26
7.45179,316,26
7.45179,317,26
7.45195,318,26
7.45333,319,26
7.45484,320,26
7.45511,321,26
7.45807,321,27
7.46478,322,27
7.46526,323,27
7.47176,324,27
7.47633,325,27
7.47767,326,27
7.47791,327,27
7.48129,328,27
7.48286,329,27
7.4836,330,27
7.48374,331,27
7.48556,332,27
7.48567,333,27
7.48784,334,27
7.48893,334,28
7.49222,335,28
7.49393,336,28
7.49482,337,28
7.49725,338,28
7.49751,339,28
7.49845,340,28
7.50655,340,29
7.51284,341,29
7.51366,342,29
7.51488,343,29
7.5159,344,29
7.5178,345,29
7.51998,346,29
7.5215,347,29
7.52527,348,29
7.52794,349,29
7.53136,349,30
7.534,350,30
7.53675,350,31
7.54185,351,31
7.54672,352,31
7.54897,353,31
7.55517,354,31
7.55604,355,31
7.56059,356,31
7.56307,357,31
7.5653,358,31
7.56723,359,31
7.56853,360,31
7.56965,361,31
7.5711,362,31
7.57337,363,31
7.57414,364,31
7.57896,365,31
7.57985,366,31
7.58032,367,31
7.58148,368,31
7.58481,369,31
7.58589,370,31
7.58718,371,31
7.58919,372,31
7.59257,373,31
7.59449,374,31
7.59519,375,31
7.5954,376,31
7.60072,377,31
7.6034,378,31
7.60518,379,31
7.6061,380,31
7.60766,381,31
7.61719,382,31
7.618,383,31
7.61952,384,31
7.62202,385,31
7.62217,386,31
7.62426,387,31
7.62447,388,31
7.6265,389,31
7.62684,390,31
7.6297,391,31
7.63094,391,32
7.63198,392,32
7.63199,393,32
7.63417,393,33
7.63431,394,33
7.63979,395,33
7.64051,396,33
7.64064,397,33
7.64164,398,33
7.64434,399,33
7.64594,400,33
7.65048,401,33
7.65187,402,33
7.65301,403,33
7.65352,404,33
7.65371,405,33
7.66137,406,33
7.66309,407,33
7.66443,408,33
7.66518,409,33
7.66523,410,33
7.66616,411,33
7.67002,412,33
7.67149,413,33
7.67205,414,33
7.67504,415,33
7.67516,416,33
7.67808,417,33
7.67853,418,33
7.67955,419,33
7.6814,420,33
7.68279,421,33
7.68421,422,33
7.68767,423,33
7.6879,424,33
7.68837,425,33
7.69279,426,33
7.69624,427,33
7.69667,428,33
7.69711,429,33
7.69794,430,33
7.70037,431,33
7.70831,432,33
7.70849,433,33
7.71363,434,33
7.71631,435,33
7.71714,436,33
7.7193,437,33
7.73187,438,33
7.73654,439,33
7.73724,440,33
7.73802,441,33
7.7398,442,33
7.74588,443,33
7.74712,444,33
7.74735,445,33
7.74766,446,33
7.75278,447,33
7.75463,448,33
7.7553,449,33
7.75691,450,33
7.75736,451,33
7.75887,452,33
7.7589,453,33
7.76425,454,33
7.76449,455,33
7.76551,456,33
7.76594,457,33
7.76609,458,33
7.77165,459,33
7.77318,460,33
7.77341,461,33
7.77559,462,33
7.78051,463,33
7.78136,464,33
7.78202,465,33
7.78529,466,33
7.78824,467,33
7.79074,468,33
7.79136,469,33
7.79347,470,33
7.795,471,33
7.79534,472,33
7.79919,473,33
7.804,474,33
7.80455,475,33
7.80728,476,33
7.80851,477,33
7.80945,478,33
7.80966,478,34
7.81141,479,34
7.81302,480,34
7.81346,481,34
7.81571,482,34
7.81736,483,34
7.82054,484,34
7.82087,485,34
7.82244,486,34
7.82456,487,34
7.82577,488,34
7.82691,489,34
7.82717,490,34
7.82727,490,35
7.83005,491,35
7.83345,492,35
7.83348,493,35
7.84179,494,35
7.84293,495,35
7.84365,496,35
7.84529,497,35
7.84576,498,35
7.84599,499,35
7.84672,500,35
7.8517,501,35
7.85802,502,35
7.86339,503,35
7.86506,504,35
7.86552,505,35
7.86894,506,35
7.86932,507,35
7.87434,508,35
7.87656,509,35
7.87856,510,35
7.88006,511,35
7.88475,512,35
7.88872,513,35
7.88966,514,35
7.89084,515,35
7.89402,516,35
7.89464,517,35
7.89763,518,35
7.89914,519,35
7.9029,520,35
7.90736,521,35
7.90749,522,35
7.90823,523,35
7.90912,524,35
7.91089,525,35
7.91095,526,35
7.91188,526,36
7.91319,527,36
7.91515,528,36
7.9165,529,36
7.91697,530,36
7.91961,531,36
7.91984,532,36
7.92085,533,36
7.92169,534,36
7.92548,535,36
7.92551,536,36
7.92572,537,36
7.92781,538,36
7.92917,539,36
7.92924,540,36
7.93105,541,36
7.93317,542,36
7.93654,543,36
7.93864,544,36
7.93941,545,36
7.9416,546,36
7.94521,547,36
7.94526,548,36
7.94862,549,36
7.94874,550,36
7.94943,551,36
7.94944,552,36
7.94994,553,36
7.95226,554,36
7.95328,555,36
7.954,556,36
7.95418,557,36
7.95466,558,36
7.95768,558,37
7.9583,559,37
7.95886,560,37
7.95887,561,37
7.96063,562,37
7.96348,562,38
7.96488,563,38
7.96545,564,38
7.96582,565,38
7.97101,566,38
7.97423,566,39
7.97487,567,39
7.97766,568,39
7.97809,568,40
7.97864,569,40
7.98038,570,40
7.98661,571,40
7.98687,572,40
7.98701,573,40
7.98732,574,40
7.99032,575,40
7.99125,576,40
7.99196,577,40
7.99397,578,40
7.99445,579,40
7.99445,580,40
7.99602,581,40
7.99839,582,40
7.99858,583,40
8.00159,584,40
8.00195,585,40
8.002,586,40
8.00225,587,40
8.00303,588,40
8.0047,588,41
8.00814,589,41
8.00863,590,41
8.00968,591,41
8.01226,592,41
8.01321,593,41
8.01573,594,41
8.01666,595,41
8.01967,596,41
8.02293,597,41
8.02362,598,41
8.02547,599,41
8.02777,600,41
8.02964,601,41
8.03121,602,41
8.03133,603,41
8.03205,604,41
8.03521,605,41
8.0355,606,41
8.03839,607,41
8.03993,608,41
8.04284,609,41
8.04349,609,42
8.04488,610,42
8.04502,611,42
8.04767,612,42
8.05114,613,42
8.05307,613,43
8.05448,613,44
8.05664,614,44
8.0583,615,44
8.05831,615,45
8.05848,616,45
8.05958,617,45
8.06223,618,45
8.06473,619,45
8.06524,620,45
8.06562,621,45
8.06586,622,45
8.07072,623,45
8.07397,624,45
8.07647,625,45
8.07688,626,45
8.0858,627,45
8.08872,628,45
8.0898,629,45
8.0935,630,45
8.09415,631,45
8.09613,632,45
8.09675,633,45
8.09768,634,45
8.09925,635,45
8.10043,636,45
8.10612,637,45
8.10686,638,45
8.10803,638,46
8.10854,639,46
8.10861,640,46
8.10916,641,46
8.10918,642,46
8.11273,643,46
8.11524,644,46
8.11667,645,46
8.11838,646,46
8.11953,646,47
8.12004,647,47
8.12548,648,47
8.13024,649,47
8.13102,650,47
8.13216,651,47
8.13362,652,47
8.13408,653,47
8.13422,654,47
8.13542,655,47
8.1361,656,47
8.13814,657,47
8.13858,658,47
8.13925,659,47
8.14153,660,47
8.14199,661,47
8.14384,662,47
8.1451,663,47
8.14539,664,47
8.14541,665,47
8.14561,666,47
8.1514,667,47
8.153,668,47
8.15613,669,47
8.15699,670,47
8.16025,671,47
8.16136,672,47
8.16181,673,47
8.1623,674,47
8.16307,675,47
8.16387,676,47
8.16659,677,47
8.16665,678,47
8.16988,678,48
8.17174,679,48
8.17321,680,48
8.17339,681,48
8.17378,682,48
8.17418,683,48
8.1783,684,48
8.17983,685,48
8.1823,686,48
8.18497,687,48
8.18537,688,48
8.18669,689,48
8.19257,690,48
8.1929,691,48
8.19441,692,48
8.19493,693,48
