"sim_id","seed","mutcount","wt_cellcount","mt_cellcount","tend"
1,249954664,625,119944,14,42.2706236942509
2,977336091,702,86219,30461,43.5677093494083
3,30304933,748,113404,2396,41.2543827423469
4,219288428,586,110263,7232,43.5720257783096
5,892759148,755,120451,139,43.2644676780542
6,444793821,976,119469,6,42.1645567506708
7,541098926,670,110673,8770,42.1832194058384
8,277522960,671,105502,12584,43.1726266487026
9,608404969,543,114434,2201,41.9762601182643
10,663791629,596,112653,8008,42.9035436398938
11,679141543,660,110435,8889,41.3402349678065
12,627630703,637,119594,17,41.8906290248418
13,670176748,655,116729,1,41.586216995447
14,259601511,663,113338,2824,41.3020330044784
15,803965985,705,113633,4028,42.1193888527318
16,72981461,637,117812,6,41.3006695884257
17,929082680,601,113886,270,41.901007815562
18,345424483,499,108665,8328,42.7534481497052
19,964609964,622,120141,3,41.663443800671
20,362356276,746,113835,3281,42.2949878061755
21,404925144,631,120093,2,41.8444694892926
22,626898648,661,115503,5877,41.9363454520631
23,580113318,689,116211,2,41.9700057337276
24,989502873,602,117122,53,42.3030576547031
25,117780030,679,119300,326,43.1659706689567
26,511179619,630,89782,30266,43.0726675923166
27,355697364,521,120015,64,43.4375502650863
28,244702767,571,117845,36,42.1409729299796
29,537178248,587,96928,23240,43.5673737390053
30,250872698,473,119755,5,43.1259580955174
31,321710120,617,118927,3,42.741496979738
32,899788781,575,113032,5,40.794530349258
33,977726277,660,119664,6,42.8764850028094
34,668340690,594,120226,15,42.2030623501827
35,24846628,603,116373,4602,43.5271875658625
36,256160700,678,110228,6631,43.4330802778673
37,159192090,742,120776,3,41.475441076858
38,924896707,735,119554,7,43.2336574372826
39,594066361,595,116638,2,40.9369070920567
40,933742299,683,118172,14,41.4854688917209
41,214276924,650,110693,6891,44.9671452834697
42,957519485,527,117834,11,41.3695755642553
43,716323804,739,118678,14,42.6815601932189
44,497800277,557,119796,19,42.5696262191146
45,321672760,546,118801,871,42.3132903747588
46,105441584,517,118527,44,41.9672043515091
47,869312710,637,116642,49,42.1907491748985
48,361155723,700,116821,595,43.3498257625708
49,845879140,707,113820,2374,42.9415006917734
50,936191749,647,119178,3,42.6770315482387
51,297306929,610,110932,9,41.2487407773614
52,819422454,548,111875,5734,41.9965188832704
53,709543916,715,102078,14600,43.4468182416034
54,667532790,529,106608,8308,41.2473803129771
55,552773513,621,117443,3282,45.1016869980293
56,382226056,578,117610,685,42.6991854011477
57,325257748,729,115694,161,43.2597616229229
58,496074335,647,121750,2,41.5652885695291
59,781646221,773,118955,345,42.1978759114159
60,504334574,785,114512,587,41.494553262149
61,788992893,664,120125,1013,43.5470802143012
62,278857042,584,121371,8,44.9906911166339
63,638301163,615,96551,19747,44.5153443039404
64,610550474,652,116478,2,41.2305093925187
65,637524996,680,116914,7,43.3805017813347
66,837179225,621,116540,11,42.2206128870349
67,716546266,662,118968,176,43.7218011397039
68,627102656,667,117003,37,42.1155220682127
69,576731525,695,109104,7271,44.1804343625704
70,956538646,599,111120,8633,43.358595228483
71,969454189,463,111979,6189,42.7248752490624
72,886180019,794,118279,34,40.8361976250733
73,732643412,705,118820,31,44.3596241814097
74,872587551,771,119133,61,42.3942588669505
75,705880156,680,116474,1839,41.5753665819664
76,829700157,645,116897,9,43.7261609781645
77,566461958,757,91638,24167,43.7258648661264
78,172023483,612,115100,2801,41.2793871461508
79,103438597,602,119432,11,43.3414965110994
80,766373327,599,119234,4,42.8393481616232
81,322963040,676,117725,2822,41.6986686368649
82,152188033,664,115979,69,42.4212600555679
83,288827588,604,102116,14185,43.8629124593313
84,829336008,572,100063,17084,42.3953567750912
85,582999854,694,116088,43,41.4571800700741
86,752659844,622,111115,7901,42.4358675163827
87,189661780,729,113135,1901,41.4779143770224
88,128319758,544,117587,3057,44.8057914017012
89,730855471,804,118662,4,44.3370856872502
90,32669429,621,114766,2319,42.5286502760984
91,383884663,674,104238,12429,42.2079397210295
92,643008062,596,99550,18223,42.5177957785277
93,238658892,513,113797,14,40.3755468555085
94,633588349,837,66565,54311,45.3282379422412
95,494833975,716,118738,1,41.7508050834305
96,769883922,690,120338,272,40.8114822662487
97,756619314,725,120244,8,42.4181379232824
98,325485432,588,118784,112,41.1948046381505
99,624912559,779,115621,8,42.9569902499337
100,668624528,758,115963,7,42.3127444237812
