time,type1,type2
0,1,0
0.106727,2,0
0.892659,3,0
0.896407,4,0
1.27059,5,0
1.49065,6,0
1.59931,7,0
1.69228,8,0
1.70689,9,0
2.05493,10,0
2.16774,11,0
2.23425,12,0
2.25361,13,0
2.31813,14,0
2.33865,15,0
2.41579,16,0
2.47177,17,0
2.49834,18,0
2.54433,19,0
2.69226,20,0
2.69635,21,0
2.7005,22,0
2.83782,23,0
2.90724,24,0
2.93021,25,0
2.93466,26,0
3.01106,27,0
3.1369,28,0
3.241,29,0
3.2474,30,0
3.26117,31,0
3.26673,32,0
3.34237,33,0
3.35346,34,0
3.36499,35,0
3.37426,36,0
3.37876,37,0
3.38643,38,0
3.38948,39,0
3.39411,40,0
3.42647,41,0
3.45976,42,0
3.47904,43,0
3.50486,44,0
3.50587,45,0
3.5241,46,0
3.52823,47,0
3.56137,48,0
3.57534,49,0
3.58188,50,0
3.59465,51,0
3.59783,52,0
3.62035,53,0
3.63534,54,0
3.65319,55,0
3.69901,56,0
3.70133,57,0
3.73183,58,0
3.73492,59,0
3.78617,60,0
3.80743,61,0
3.83375,62,0
3.83967,63,0
3.86955,64,0
3.88088,65,0
3.88357,66,0
3.88407,67,0
3.89613,68,0
3.90665,69,0
3.92806,70,0
3.93687,71,0
3.9519,72,0
3.97353,73,0
3.9754,74,0
3.97933,75,0
3.99082,76,0
3.99403,77,0
4.01095,78,0
4.01431,79,0
4.01873,80,0
4.03563,81,0
4.06494,82,0
4.08412,83,0
4.08607,84,0
4.08836,85,0
4.09749,86,0
4.10446,87,0
4.10754,88,0
4.11369,89,0
4.11769,90,0
4.12735,91,0
4.12859,92,0
4.13641,93,0
4.14488,94,0
4.14603,95,0
4.1465,96,0
4.15452,97,0
4.19669,98,0
4.22279,99,0
4.2382,100,0
4.2502,101,0
4.25505,102,0
4.26629,103,0
4.28214,104,0
4.28591,105,0
4.29338,106,0
4.32603,107,0
4.33556,108,0
4.35171,109,0
4.35838,110,0
4.37216,111,0
4.37361,112,0
4.37389,113,0
4.37757,114,0
4.37775,115,0
4.40167,116,0
4.40669,117,0
4.41833,118,0
4.42418,119,0
4.43015,120,0
4.43584,121,0
4.46767,122,0
4.47306,123,0
4.48718,124,0
4.5026,125,0
4.503,126,0
4.50982,127,0
4.51154,128,0
4.51837,129,0
4.51846,130,0
4.5221,131,0
4.53291,132,0
4.55137,133,0
4.55209,134,0
4.55732,135,0
4.56669,136,0
4.56882,137,0
4.58327,138,0
4.58556,139,0
4.5883,140,0
4.58892,141,0
4.5943,142,0
4.59624,143,0
4.60304,144,0
4.60326,145,0
4.61046,146,0
4.62186,147,0
4.6284,148,0
4.6298,149,0
4.63126,150,0
4.63233,151,0
4.6356,152,0
4.67198,153,0
4.6729,154,0
4.68162,155,0
4.69316,156,0
4.69938,157,0
4.70043,158,0
4.70312,159,0
4.71603,160,0
4.71708,161,0
4.72484,162,0
4.72518,163,0
4.72864,164,0
4.72886,165,0
4.73368,166,0
4.74135,167,0
4.74456,168,0
4.75095,169,0
4.76184,170,0
4.76468,171,0
4.7689,172,0
4.77281,173,0
4.78013,174,0
4.78457,175,0
4.7855,176,0
4.78698,177,0
4.79461,178,0
4.79685,179,0
4.8026,180,0
4.80581,181,0
4.80657,182,0
4.80975,183,0
4.81378,184,0
4.81466,185,0
4.81518,186,0
4.8161,187,0
4.81902,188,0
4.82236,189,0
4.82318,190,0
4.82447,191,0
4.82767,192,0
4.83022,193,0
4.84053,194,0
4.84816,195,0
4.85378,196,0
4.85695,197,0
4.86097,198,0
4.86099,199,0
4.86614,200,0
4.86727,201,0
4.87405,202,0
4.87885,203,0
4.882,204,0
4.88288,205,0
4.91128,206,0
4.9151,207,0
4.91745,208,0
4.91992,209,0
4.93123,210,0
4.93284,211,0
4.9392,212,0
4.94349,213,0
4.94746,214,0
4.94882,215,0
4.95144,216,0
4.96908,217,0
4.97117,218,0
4.97202,219,0
4.97365,220,0
4.97463,221,0
4.97555,222,0
4.99955,223,0
4.99995,224,0
5.00198,225,0
5.00311,226,0
5.01031,227,0
5.01598,228,0
5.01765,229,0
5.02004,230,0
5.02018,231,0
5.03354,232,0
5.0351,233,0
5.03698,234,0
5.04158,235,0
5.04165,236,0
5.04183,237,0
5.0437,238,0
5.0441,239,0
5.06739,240,0
5.06931,241,0
5.07709,242,0
5.09115,243,0
5.09711,244,0
5.09906,245,0
5.10252,246,0
5.10563,247,0
5.10775,248,0
5.11503,249,0
5.1165,250,0
5.11673,251,0
5.12224,252,0
5.12308,253,0
5.12553,254,0
5.12562,255,0
5.13179,256,0
5.13251,257,0
5.13615,258,0
5.13677,259,0
5.13778,260,0
5.13922,261,0
5.1403,262,0
5.14941,263,0
5.15403,264,0
5.16,265,0
5.16621,266,0
5.16836,267,0
5.17393,268,0
5.17599,269,0
5.18182,270,0
5.18884,271,0
5.18897,272,0
5.19188,273,0
5.19205,274,0
5.19278,275,0
5.19306,276,0
5.19389,277,0
5.19481,278,0
5.2005,279,0
5.2039,280,0
5.20551,281,0
5.20916,282,0
5.2095,283,0
5.21514,284,0
5.21993,285,0
5.22056,286,0
5.22072,287,0
5.22126,288,0
5.22426,289,0
5.23119,290,0
5.2434,291,0
5.24492,292,0
5.24509,293,0
5.24819,294,0
5.25324,295,0
5.25428,296,0
5.25507,297,0
5.26344,298,0
5.26804,299,0
5.27265,300,0
5.27492,301,0
5.27691,302,0
5.28371,303,0
5.29537,304,0
5.29678,305,0
5.29774,306,0
5.30249,307,0
5.30293,308,0
5.30748,309,0
