muts,s1_c2,s2_c1,s3_c2,s4_c1,s5_c2,s6_c1,s7_c1,s8_c2,s9_c2,s10_c2
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1
16,0,1,0,0,0,1,0,0,0,0
17,0,1,0,0,0,1,0,0,0,0
18,0,1,0,0,0,1,0,0,0,0
19,0,1,0,0,0,1,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0
22,0,1,0,0,0,0,0,0,0,0
23,1,0,1,1,1,0,1,1,1,1
24,1,0,1,1,1,0,1,1,1,1
25,1,0,1,1,1,0,1,1,1,1
26,1,0,1,1,1,0,1,1,1,1
27,1,0,1,1,1,0,1,1,1,1
28,1,0,1,1,1,0,1,1,1,1
29,1,0,1,1,1,0,1,1,1,1
30,1,0,1,1,1,0,1,1,1,1
31,1,0,1,1,1,0,1,1,1,1
32,1,0,1,1,1,0,1,1,1,1
33,0,0,0,1,0,0,1,0,0,0
34,0,0,0,1,0,0,1,0,0,0
35,0,0,0,1,0,0,1,0,0,0
36,0,0,0,1,0,0,1,0,0,0
37,0,0,0,1,0,0,1,0,0,0
38,0,0,0,1,0,0,1,0,0,0
39,0,0,0,1,0,0,1,0,0,0
40,0,0,0,0,0,0,1,0,0,0
41,0,0,0,0,0,0,1,0,0,0
42,0,0,0,0,0,0,1,0,0,0
43,0,0,0,0,0,0,1,0,0,0
44,0,0,0,0,0,0,1,0,0,0
45,0,0,0,0,0,0,1,0,0,0
46,0,0,0,0,0,0,1,0,0,0
47,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,1,0,1,0,1,0,0,1,1,1
50,1,0,1,0,1,0,0,1,1,1
51,1,0,1,0,1,0,0,1,1,1
52,1,0,1,0,1,0,0,1,1,1
53,1,0,1,0,1,0,0,1,1,1
54,1,0,1,0,1,0,0,1,1,1
55,1,0,1,0,1,0,0,1,1,1
56,1,0,1,0,1,0,0,1,1,1
57,1,0,1,0,1,0,0,1,1,1
58,1,0,1,0,1,0,0,1,1,1
59,1,0,1,0,1,0,0,1,1,1
60,1,0,1,0,1,0,0,1,1,1
61,1,0,1,0,1,0,0,1,1,1
62,1,0,1,0,1,0,0,1,1,1
63,1,0,1,0,1,0,0,1,1,1
64,1,0,1,0,1,0,0,1,1,1
65,1,0,1,0,1,0,0,1,1,1
66,1,0,1,0,1,0,0,1,1,1
67,1,0,1,0,1,0,0,1,1,1
68,1,0,1,0,1,0,0,1,1,1
69,1,0,1,0,1,0,0,1,1,1
70,1,0,1,0,1,0,0,1,1,1
71,1,0,1,0,1,0,0,1,1,1
