clone,alt,depth,id
0,54,122,96d2acX0
0,50,104,96d2acX1
0,45,103,96d2acX2
0,64,109,96d2acX3
0,57,104,96d2acX4
0,65,127,96d2acX5
0,42,85,96d2acX6
0,58,98,96d2acX7
0,48,116,96d2acX8
2,12,101,96d2adX0
2,10,104,96d2adX2
2,17,110,96d2adX3
2,11,90,96d2adX4
2,7,92,96d2adX5
2,8,104,96d2adX6
2,7,98,96d2adX7
2,15,112,96d2adX8
2,15,107,96d2afX0
2,16,108,96d2afX1
2,15,117,96d2afX2
2,7,87,96d2afX3
2,16,100,96d2afX4
2,10,93,96d2afX5
2,11,87,96d2afX6
2,9,98,96d2afX7
2,20,114,96d2b6X0
2,14,113,96d2b6X1
2,10,110,96d2b6X2
2,14,102,96d2b6X3
2,7,95,96d2b6X4
2,9,96,96d2b6X5
2,12,93,96d2b6X6
2,19,113,96d2b6X7
2,11,101,96d2b6X8
2,12,111,96d2b7X0
2,15,103,96d2b7X1
2,16,90,96d2b7X2
2,16,95,96d2b7X3
2,15,96,96d2b7X4
2,15,108,96d2b7X5
2,8,96,96d2b7X6
2,12,92,96d2b7X7
2,7,96,96d2b7X8
2,13,108,96d2b7X9
2,10,91,96d2c1X0
2,11,101,96d2c1X1
2,14,109,96d2c1X2
2,15,105,96d2c1X3
2,15,90,96d2c1X4
2,10,107,96d2c1X5
2,12,93,96d2c1X6
2,13,87,96d2c1X7
2,10,104,96d2c1X8
2,13,102,96d2c1X9
2,11,96,96d2c1Xa
2,22,102,96d2c1Xb
2,8,92,96d2c1Xc
2,13,99,96d2c1Xd
2,7,100,96d2c1Xe
2,7,101,96d2c1Xf
2,14,92,96d2c1X10
2,12,98,96d2c1X11
2,16,108,96d2c8X0
2,18,110,96d2c8X1
2,8,101,96d2c8X2
2,11,104,96d2c8X3
2,11,103,96d2c8X4
2,10,104,96d2c8X5
2,10,103,96d2c8X6
2,19,109,96d2c8X7
2,10,96,96d2c8X8
2,9,88,96d2d1X0
2,12,94,96d2d1X1
2,9,80,96d2d1X2
2,16,121,96d2d1X3
2,10,93,96d2d1X4
2,16,106,96d2d1X5
2,11,95,96d2d1X6
2,8,93,96d2d1X7
