"clone","alt","depth","id"
0,54,100,"2X0"
0,54,100,"2X1"
0,51,100,"2X2"
0,49,100,"2X3"
0,45,100,"2X4"
0,59,100,"2X5"
0,59,100,"2X6"
0,49,100,"3X0"
0,49,100,"3X1"
0,49,100,"3X2"
0,50,100,"3X3"
0,52,100,"3X4"
0,46,100,"3X5"
0,48,100,"3X6"
0,49,100,"3X7"
0,53,100,"3X8"
1,49,100,"6X0"
1,45,100,"6X1"
1,50,100,"6X2"
1,58,100,"6X3"
1,56,100,"6X4"
1,55,100,"6X5"
1,42,100,"6X6"
1,50,100,"6X7"
1,45,100,"eX0"
1,46,100,"eX1"
1,51,100,"eX2"
1,52,100,"eX3"
1,42,100,"eX4"
1,49,100,"eX5"
1,48,100,"eX6"
1,49,100,"eX7"
1,47,100,"eX8"
1,42,100,"eX9"
1,47,100,"eXa"
1,48,100,"3eX0"
1,56,100,"3eX1"
1,46,100,"3eX2"
1,38,100,"3eX3"
1,46,100,"3eX4"
1,44,100,"3eX5"
1,44,100,"3eX6"
1,48,100,"3eX7"
1,53,100,"3eX8"
1,48,100,"3eX9"
1,53,100,"3eXa"
1,51,100,"3eXb"
1,54,100,"3eXc"
1,47,100,"5cX0"
1,57,100,"5cX1"
1,46,100,"5cX2"
1,45,100,"5cX3"
1,56,100,"82X0"
1,41,100,"82X1"
1,48,100,"82X2"
1,47,100,"82X3"
1,52,100,"82X4"
1,44,100,"82X5"
1,50,100,"82X6"
1,56,100,"82X7"
1,47,100,"82X8"
1,54,100,"82X9"
1,46,100,"82Xa"
1,54,100,"82Xb"
1,53,100,"82Xc"
1,48,100,"82Xd"
1,49,100,"8fX0"
1,44,100,"8fX1"
1,46,100,"8fX2"
1,53,100,"8fX3"
1,47,100,"8fX4"
1,48,100,"8fX5"
1,51,100,"8fX6"
1,45,100,"8fX7"
1,46,100,"8fX8"
1,48,100,"8fX9"
1,51,100,"8fXa"
1,47,100,"8fXb"
1,51,100,"8fXc"
1,50,100,"8fXd"
1,54,100,"8fXe"
1,52,100,"8fXf"
1,54,100,"beX0"
1,42,100,"beX1"
1,44,100,"beX2"
1,43,100,"beX3"
1,53,100,"beX4"
1,49,100,"beX5"
1,50,100,"beX6"
1,56,100,"beX7"
1,46,100,"beX8"
1,49,100,"196X0"
1,40,100,"196X1"
1,55,100,"196X2"
1,45,100,"196X3"
1,44,100,"196X4"
1,54,100,"196X5"
1,50,100,"196X6"
1,48,100,"196X7"
1,44,100,"196X8"
1,55,100,"196X9"
1,56,100,"196Xa"
1,55,100,"196Xb"
1,45,100,"196Xc"
1,45,100,"196Xd"
1,62,100,"257X0"
1,51,100,"257X1"
1,47,100,"257X2"
1,52,100,"257X3"
1,50,100,"257X4"
1,48,100,"257X5"
1,55,100,"257X6"
1,53,100,"257X7"
1,52,100,"257X8"
1,52,100,"257X9"
1,44,100,"257Xa"
1,53,100,"27aX0"
1,37,100,"27aX1"
1,57,100,"27aX2"
1,47,100,"27aX3"
1,43,100,"27aX4"
1,56,100,"27aX5"
1,52,100,"27aX6"
1,51,100,"27aX7"
1,56,100,"27aX8"
1,55,100,"27aX9"
1,59,100,"27aXa"
1,51,100,"27aXb"
1,62,100,"570X0"
1,58,100,"570X1"
1,47,100,"570X2"
1,40,100,"570X3"
1,48,100,"570X4"
1,50,100,"570X5"
1,45,100,"570X6"
1,57,100,"a93X0"
1,61,100,"a93X1"
1,45,100,"a93X2"
1,58,100,"a93X3"
1,54,100,"a93X4"
1,51,100,"a93X5"
1,41,100,"a93X6"
1,45,100,"a93X7"
1,48,100,"a93X8"
1,46,100,"a93X9"
1,55,100,"a93Xa"
1,52,100,"144cX0"
1,45,100,"144cX1"
1,53,100,"144cX2"
1,51,100,"144cX3"
1,44,100,"144cX4"
1,50,100,"144cX5"
1,42,100,"144cX6"
1,44,100,"144cX7"
1,56,100,"144cX8"
1,45,100,"144cX9"
1,50,100,"144cXa"
1,52,100,"144cXb"
1,44,100,"1e17X0"
1,59,100,"1e17X1"
1,57,100,"1e17X2"
1,40,100,"1e17X3"
1,42,100,"1e17X4"
1,56,100,"1e17X5"
1,47,100,"1e17X6"
1,52,100,"1e17X7"
1,49,100,"1e17X8"
1,47,100,"1e17X9"
1,50,100,"1e17Xa"
1,57,100,"203fX0"
1,51,100,"203fX1"
1,51,100,"203fX2"
1,53,100,"203fX3"
1,52,100,"203fX4"
1,49,100,"203fX5"
1,49,100,"203fX6"
1,51,100,"203fX7"
1,53,100,"203fX8"
1,47,100,"203fX9"
1,46,100,"266aX0"
1,49,100,"266aX1"
1,50,100,"266aX2"
1,42,100,"266aX3"
1,51,100,"266aX4"
1,49,100,"266aX5"
1,39,100,"266aX6"
1,49,100,"266aX7"
1,49,100,"266aX8"
1,55,100,"266aX9"
1,46,100,"266aXa"
1,51,100,"266aXb"
1,51,100,"266aXc"
1,53,100,"266aXd"
1,53,100,"266aXe"
1,44,100,"3769X0"
1,42,100,"3769X1"
1,44,100,"3769X2"
1,49,100,"3769X3"
1,41,100,"3769X4"
1,48,100,"40afX0"
1,52,100,"40afX1"
1,48,100,"40afX2"
1,50,100,"40afX3"
1,52,100,"40afX4"
1,47,100,"40afX5"
1,54,100,"40afX6"
1,48,100,"40afX7"
1,52,100,"40afX8"
1,59,100,"40afX9"
1,49,100,"40afXa"
1,53,100,"40afXb"
1,50,100,"40afXc"
1,43,100,"40afXd"
1,41,100,"40afXe"
1,47,100,"4538X0"
1,52,100,"4538X1"
