"clone","alt","depth","id"
0,48,88,"1f3e7eX0"
0,60,108,"1f3e7eX1"
0,50,99,"1f3e7eX2"
0,45,92,"1f3e7eX3"
0,54,113,"1f3e7eX4"
0,50,107,"1f3e7eX5"
0,56,109,"1f3e7eX6"
0,62,105,"1f3e7eX7"
0,51,96,"1f3e7eX8"
0,37,83,"1f3e7eX9"
0,50,92,"1f3e7eXa"
0,42,104,"1f3e7fX0"
0,43,92,"1f3e7fX1"
0,26,74,"1f3e7fX2"
0,53,122,"1f3e7fX3"
0,52,110,"1f3e7fX4"
0,45,87,"1f3e7fX5"
0,49,109,"1f3e7fX6"
0,47,98,"1f3e7fX7"
0,49,94,"1f3e7fX8"
0,56,122,"1f3e7fX9"
0,36,94,"1f3e7fXa"
0,42,100,"1f3e7fXb"
1,13,100,"1f3e83X1"
1,19,126,"1f3e83X2"
1,9,112,"1f3e83X3"
1,7,99,"1f3e83X4"
1,13,98,"1f3e83X5"
1,16,114,"1f3e83X6"
1,12,102,"1f3e83X7"
1,12,105,"1f3e83X8"
1,11,99,"1f3e83Xa"
1,9,92,"1f3e83Xb"
1,7,84,"1f3e83Xc"
1,10,89,"1f3e85X0"
1,13,102,"1f3e85X1"
1,10,88,"1f3e85X3"
1,8,99,"1f3e85X4"
1,9,113,"1f3e85X5"
1,6,89,"1f3e85X6"
1,8,95,"1f3e85X7"
1,6,99,"1f3e85X8"
1,13,99,"1f3e85X9"
1,13,95,"1f3e85Xa"
1,10,95,"1f3e85Xb"
1,11,89,"1f3e85Xc"
1,6,111,"1f3e87X8"
1,6,90,"1f3e8aX3"
1,5,79,"1f3ea9X4"
1,5,112,"1f3ea9X8"
1,5,105,"1f3ee6X2"
1,5,112,"1f3ee6Xb"
1,5,122,"1f3f2fX2"
1,5,103,"1f3e88X0"
1,7,110,"1f3e88X1"
1,8,98,"1f3e88X2"
1,6,92,"1f3e88X3"
1,6,79,"1f3e88X4"
1,11,105,"1f3e88X5"
1,8,109,"1f3e8cX1"
1,7,109,"1f3e8cX2"
1,5,103,"1f3e8cX3"
1,5,87,"1f3e8cX5"
1,8,94,"1f3e8cX6"
1,10,91,"1f3e90X0"
1,5,113,"1f3e90X1"
1,9,104,"1f3e90X3"
1,8,115,"1f3e90X4"
1,10,95,"1f3e90X5"
1,9,96,"1f3e90X6"
1,5,112,"1f3e90X7"
1,6,108,"1f3e90X8"
1,6,107,"1f3e90Xa"
1,9,97,"1f3e90Xb"
1,9,106,"1f3e95X0"
1,11,119,"1f3e95X1"
1,6,101,"1f3e95X2"
1,7,114,"1f3e95X3"
1,6,105,"1f3e95X4"
1,5,91,"1f3e95X5"
1,8,107,"1f3e95X7"
1,7,108,"1f3e95X8"
1,7,110,"1f3e95X9"
1,11,126,"1f3ea1X0"
1,5,111,"1f3ea1X1"
1,9,111,"1f3ea1X3"
1,5,104,"1f3ea1X4"
1,5,96,"1f3ea1X8"
1,5,105,"1f3eacX1"
1,5,104,"1f3eacX2"
1,7,107,"1f3eacX3"
1,6,110,"1f3eacX4"
1,6,108,"1f3eacX5"
1,8,104,"1f3eacX6"
1,5,121,"1f3eafX0"
1,5,110,"1f3eafX2"
1,6,102,"1f3eafX4"
1,6,86,"1f3eafX5"
1,5,110,"1f3ec4X1"
1,5,109,"1f3ec4X4"
1,7,91,"1f3edcX6"
1,7,111,"1f3ee7X8"
1,7,96,"1f3ee7Xb"
1,6,112,"1f3ee7Xd"
1,7,93,"1f3f6bX1"
1,5,91,"1f3f6bX4"
1,5,99,"1f3f80X1"
1,5,108,"1f3f95X2"
1,7,112,"1f3fccX1"
1,5,106,"1f3fccX3"
1,7,93,"1f4010Xa"
1,5,101,"1f3eb0X6"
0,42,115,"1f3e84X0"
0,28,90,"1f3e84X1"
0,30,100,"1f3e84X2"
0,37,112,"1f3e84X3"
0,33,88,"1f3e84X4"
0,29,90,"1f3e84X5"
0,24,88,"1f3e84X6"
0,30,98,"1f3e84X7"
0,40,103,"1f3e84X8"
0,35,103,"1f3e84X9"
0,28,104,"1f3e84Xa"
0,35,82,"1f3e84Xb"
0,37,96,"1f3e94X0"
0,28,80,"1f3e94X1"
0,35,84,"1f3e94X2"
0,42,104,"1f3e94X3"
0,32,110,"1f3e94X4"
0,34,102,"1f3e94X5"
