clone,alt,depth,id
0,59,109,96d2acX0
0,41,76,96d2acX1
0,44,93,96d2acX2
0,51,93,96d2acX3
0,49,87,96d2acX4
0,57,105,96d2acX5
0,54,94,96d2acX6
0,48,102,96d2acX7
0,56,107,96d2acX8
2,16,109,96d2adX0
2,14,103,96d2adX1
2,12,97,96d2adX2
2,13,83,96d2adX3
2,8,98,96d2adX4
2,10,93,96d2adX5
2,9,96,96d2adX6
2,11,107,96d2adX7
2,19,96,96d2adX8
2,21,117,96d2afX0
2,15,104,96d2afX1
2,17,114,96d2afX2
2,14,105,96d2afX3
2,8,103,96d2afX4
2,16,92,96d2afX5
2,12,89,96d2afX6
2,16,112,96d2afX7
2,16,95,96d2b6X0
2,16,110,96d2b6X1
2,16,90,96d2b6X2
2,16,96,96d2b6X3
2,17,107,96d2b6X4
2,14,102,96d2b6X5
2,7,97,96d2b6X6
2,16,94,96d2b6X7
2,12,92,96d2b6X8
2,21,105,96d2b7X0
2,14,101,96d2b7X1
2,10,88,96d2b7X2
2,22,98,96d2b7X3
2,16,107,96d2b7X4
2,10,103,96d2b7X5
2,15,113,96d2b7X6
2,14,113,96d2b7X7
2,19,108,96d2b7X8
2,10,116,96d2b7X9
2,13,107,96d2c1X0
2,17,123,96d2c1X1
2,19,120,96d2c1X2
2,14,94,96d2c1X3
2,12,106,96d2c1X4
2,20,118,96d2c1X5
2,10,97,96d2c1X6
2,11,93,96d2c1X7
2,20,114,96d2c1X8
2,15,100,96d2c1X9
2,12,107,96d2c1Xa
2,7,90,96d2c1Xb
2,11,92,96d2c1Xc
2,15,93,96d2c1Xd
2,15,102,96d2c1Xe
2,11,86,96d2c1Xf
2,13,94,96d2c1X10
2,23,117,96d2c1X11
2,14,105,96d2c8X0
2,12,97,96d2c8X1
2,15,104,96d2c8X2
2,19,103,96d2c8X3
2,12,97,96d2c8X4
2,7,110,96d2c8X5
2,13,109,96d2c8X6
2,10,99,96d2c8X7
2,17,97,96d2c8X8
2,14,96,96d2d1X0
2,14,93,96d2d1X1
2,16,113,96d2d1X2
2,13,95,96d2d1X3
2,6,78,96d2d1X4
2,14,108,96d2d1X5
2,16,114,96d2d1X6
2,15,104,96d2d1X7
2,15,91,96d2d1X8
2,12,84,96d2d1X9
2,17,114,96d2d4X0
2,16,110,96d2d4X1
2,13,99,96d2d4X2
2,13,104,96d2d4X3
2,13,113,96d2d4X4
2,11,109,96d2d4X5
2,11,99,96d2d4X6
2,10,86,96d2d4X7
2,16,119,96d2d4X8
2,14,89,96d2d4X9
2,19,94,96d2d4Xa
2,8,92,96d2d4Xb
2,17,96,96d2d8X0
2,16,102,96d2d8X1
2,9,105,96d2d8X2
2,16,109,96d2d8X3
2,8,97,96d2d8X4
2,18,120,96d2d8X5
2,18,94,96d2d8X6
2,14,102,96d2d8X7
2,9,90,96d2d8X8
2,16,91,96d2d8X9
2,18,109,96d2d8Xa
2,14,98,96d2e6X0
2,15,109,96d2e6X1
2,10,95,96d2e6X2
2,11,109,96d2e6X3
2,15,97,96d2e6X4
2,15,117,96d2e6X5
2,12,103,96d2e6X6
2,19,104,96d2e6X7
2,12,112,96d32aX0
2,18,106,96d32aX1
2,20,104,96d32aX2
2,15,95,96d32aX3
2,12,95,96d32aX4
2,8,83,96d341X2
2,9,95,96d341X3
2,16,114,96d341X4
2,10,109,96d341X5
2,13,118,96d341X7
2,11,98,96d341X8
2,11,106,96d341X9
2,9,120,96d341Xa
2,13,114,96d341Xb
2,7,108,96d349X0
2,13,102,96d349X1
2,10,101,96d349X2
2,9,103,96d349X3
2,10,110,96d349X4
2,8,97,96d349X5
2,12,96,96d349X6
2,10,84,96d349X7
2,6,86,96d349X8
2,9,88,96d349X9
2,8,118,96d349Xa
2,13,121,96d349Xb
2,6,98,96d349Xc
2,11,96,96d354X0
2,13,110,96d354X1
2,6,89,96d354X2
2,15,107,96d354X3
2,9,111,96d354X4
2,12,105,96d354X5
2,15,94,96d354X6
2,13,105,96d354X7
2,13,89,96d354X8
2,7,106,96d354X9
2,8,85,96d354Xa
2,12,101,96d357X0
2,11,112,96d357X1
2,9,107,96d357X2
2,5,88,96d357X3
2,11,89,96d357X4
2,12,107,96d357X5
2,11,103,96d357X6
2,7,92,96d357X7
2,7,102,96d357X8
2,7,87,96d357X9
2,11,107,96d357Xa
2,8,86,96d357Xb
2,10,102,96d357Xc
2,11,90,96d35bX0
2,12,112,96d35bX1
2,8,100,96d35bX2
2,7,92,96d35bX3
2,14,104,96d35bX4
2,15,95,96d35bX5
2,8,89,96d36bX7
2,6,106,96d3a8X3
2,5,109,96d3a8X5
2,5,105,96d3e0X9
2,6,104,96d36cX1
2,5,99,96d36cX2
2,7,107,96d36cX3
2,8,101,96d36cX4
2,10,96,96d37bX0
2,8,96,96d37bX1
2,8,99,96d37bX2
2,10,113,96d37bX3
2,5,126,96d37bX4
2,8,123,96d37bX5
2,7,77,96d37bX6
2,7,92,96d37bX7
2,11,119,96d37bX8
2,6,99,96d37bXa
2,5,140,96d385X3
2,6,103,96d3d0X0
2,5,103,96d4a9X2
2,6,95,96d4a9X6
2,6,89,96d76aX5
2,5,99,96d76aX6
2,6,103,96d386X0
2,6,100,96d386X2
2,6,110,96d386X9
2,6,87,96d38aX2
2,5,108,96d38aX3
2,5,104,96d38aX5
2,6,106,96d38aX6
2,9,103,96d38aX7
2,7,103,96d38aX8
2,6,99,96d3abX1
2,5,79,96d3abX3
2,9,105,96d3abX4
2,6,111,96d3abX7
2,6,87,96d3abX9
2,6,104,96d4e8X4
2,6,108,96d638X2
2,5,96,96d3b2X0
2,5,99,96d3b9X4
2,5,103,96d3b9X7
2,5,110,96d3b9X8
2,5,93,96d691X8
2,5,115,96d6e0X5
2,5,102,96d6e0X12
2,5,97,96d9d0X3
2,5,106,96d9d0X7
2,5,88,96d9d0Xc
2,6,111,96de64X1
2,5,106,96de64X7
2,6,112,96dfdaX3
2,5,98,96e011X0
2,5,99,96d342X3
2,6,98,96d347X5
2,5,92,96d347X8
2,7,97,96d347X9
2,6,108,96d362X2
2,7,87,96d362X3
2,5,91,96d362X5
2,5,101,96d3c8X1
2,7,111,96d3c8X7
2,6,97,96d3deX1
2,5,101,96d3deX3
2,8,90,96d3deX4
2,6,103,96d3deX9
2,5,101,96d3f6X2
2,5,101,96d415X2
2,6,84,96d415X6
2,6,103,96d47dX0
2,6,98,96d47dX5
2,6,95,96d49cX7
2,5,99,96d49cXb
2,5,114,96d55dX3
2,5,101,96d55dXd
2,6,98,96d8b4X1
2,6,119,96d8b4X9
2,5,97,96d9c5X0
2,6,99,96d9c5X2
2,5,116,96d9c5X3
2,5,101,96d9c5X5
2,5,107,96d9c5Xa
2,5,83,96d9f4X1
2,5,105,96da2cX0
2,5,95,96db00X6
2,6,105,96db44X1
2,7,108,96db44X3
2,5,84,9701c8X0
1,42,112,96d2aeX0
1,45,105,96d2aeX1
1,34,102,96d2aeX2
1,44,109,96d2aeX3
1,30,92,96d2aeX4
1,40,87,96d2aeX5
1,35,88,96d2aeX6
1,26,94,96d2aeX7
1,32,90,96d2aeX8
1,36,102,96d2aeX9
1,31,101,96d2aeXa
1,40,96,96d2aeXb
1,37,119,96d2aeXc
1,36,105,96d2aeXd
1,40,103,96d2aeXe
1,30,107,96d2aeXf
1,47,112,96d2aeX10
1,38,102,96d2aeX11
1,39,108,96d2aeX12
1,43,112,96d2aeX13
1,34,84,96d2b3X0
1,43,109,96d2b3X1
1,33,92,96d2b3X2
1,43,96,96d2b3X3
1,39,103,96d2b3X4
1,41,114,96d2b3X5
1,42,96,96d2b3X6
1,32,99,96d2b3X7
1,45,119,96d2b3X8
1,33,87,96d2b3X9
1,44,103,96d2b9X0
1,35,94,96d2b9X1
1,39,105,96d2b9X2
1,33,89,96d2b9X3
1,36,103,96d2b9X4
1,30,88,96d2b9X5
1,34,97,96d2b9X6
1,30,98,96d2bcX0
1,37,95,96d2bcX1
1,41,105,96d2bcX2
1,30,90,96d2bcX3
1,45,114,96d2bcX4
1,30,98,96d2bcX5
1,36,106,96d2bcX6
1,28,81,96d2bcX7
1,30,100,96d2bcX8
1,30,106,96d2bcX9
1,32,98,96d2beX0
1,26,90,96d2beX1
1,45,107,96d2beX2
1,38,90,96d2beX3
1,42,113,96d2beX4
1,34,91,96d2beX5
1,30,90,96d2beX6
1,40,99,96d2beX7
1,37,93,96d2beX8
1,37,103,96d2beX9
1,36,88,96d2c0X0
1,35,98,96d2c0X1
1,30,88,96d2c0X2
1,38,101,96d2c0X3
1,38,104,96d2c0X4
1,25,97,96d2c0X5
1,33,97,96d2c0X6
1,31,98,96d2c0X7
1,44,104,96d2c3X0
1,41,108,96d2c3X1
1,38,116,96d2c3X2
1,28,95,96d2c3X3
1,23,117,96d2cdX0
1,31,102,96d2cdX1
1,26,97,96d2cdX2
1,25,93,96d2cdX3
1,39,114,96d2cdX4
1,31,103,96d2daX0
1,26,98,96d2daX1
1,32,121,96d2daX2
1,31,100,96d2daX3
1,37,115,96d2daX4
1,30,96,96d2daX5
1,27,109,96d2daX6
1,24,102,96d2daX7
1,27,92,96d2daX8
1,32,109,96d2dbX0
1,32,119,96d2dbX1
1,13,81,96d2dbX2
1,35,92,96d2dbX3
1,28,103,96d2dbX4
1,25,98,96d2dbX5
1,33,113,96d2dbX6
1,23,109,96d2dbX7
1,40,112,96d2dbX8
1,8,99,96d2e3X0
1,9,94,96d2e3X1
1,12,99,96d2e3X2
1,8,100,96d2e3X3
1,8,101,96d2e3X4
1,9,107,96d2e3X5
1,8,89,96d2e3X6
1,8,106,96d2e3X7
1,8,106,96d2e3X9
1,9,99,96d2e3Xa
1,10,108,96d2e8X0
1,13,110,96d2e8X1
1,6,92,96d2e8X2
1,10,110,96d2e8X4
1,11,93,96d2e8X5
1,11,102,96d2edX1
1,9,110,96d2edX2
1,8,101,96d2edX3
1,10,106,96d2edX4
1,5,105,96d2edX5
1,10,88,96d2edX6
1,11,104,96d2efX0
1,6,89,96d2efX1
1,9,100,96d2efX2
1,7,106,96d2efX3
1,10,107,96d2efX4
1,11,101,96d2efX5
1,9,101,96d2f4X0
1,8,88,96d2f4X1
1,10,108,96d2f4X2
1,5,83,96d2f4X3
1,9,102,96d2f4X4
1,11,117,96d2f4X5
1,8,86,96d2f4X6
1,8,94,96d2f4X7
1,8,98,96d301X0
1,5,103,96d301X1
1,7,106,96d301X3
1,5,95,96d301X4
1,10,107,96d301X5
1,8,82,96d301X6
1,10,94,96d301X7
1,12,110,96d301X8
1,12,103,96d301X9
1,8,80,96d301Xa
1,6,91,96d301Xb
1,7,100,96d301Xc
1,8,100,96d303X0
1,13,110,96d303X1
1,7,80,96d303X2
1,12,105,96d303X3
1,5,78,96d303X4
1,12,117,96d303X5
1,9,90,96d339X0
1,6,97,96d339X1
1,5,96,96d339X2
1,10,106,96d339X3
1,10,97,96d339X4
1,12,99,96d339X5
1,12,109,96d339X6
1,12,111,96d339X7
1,5,114,96d339X8
1,11,112,96d339X9
1,10,103,96d339Xa
1,9,105,96d339Xb
1,14,112,96d339Xc
1,11,120,96d339Xd
1,10,105,96d339Xe
1,9,102,96d339Xf
1,9,108,96d35eX0
1,6,94,96d35eX1
1,8,107,96d35eX3
1,6,82,96d35eX4
1,12,126,96d35eX5
1,7,90,96d35eX6
1,9,99,96d35eX7
1,10,101,96d35eX8
1,6,111,96d35eX9
1,9,97,96d35eXa
1,9,110,96d35eXb
1,5,100,96d377X0
1,12,87,96d377X1
1,12,114,96d377X2
1,8,99,96d377X3
1,11,94,96d377X4
1,7,95,96d377X5
1,11,88,96d377X6
1,14,105,96d377X7
1,6,96,96d377X8
1,11,82,96d377X9
1,10,107,96d377Xa
1,9,85,96d398X0
1,11,103,96d398X1
1,14,99,96d398X2
1,15,108,96d398X3
1,7,91,96d398X4
1,8,83,96d398X5
1,6,94,96d398X6
1,7,102,96d398X7
1,8,101,96d398X8
1,8,100,96d398X9
1,7,109,96d398Xa
1,7,116,96d3a5X1
1,6,71,96d3a5X2
1,14,123,96d3a5X3
1,10,106,96d3a5X4
1,9,118,96d3a5X5
1,10,98,96d3a5X6
1,11,94,96d3a5X7
1,7,97,96d3a5X8
1,10,113,96d3a5X9
1,9,110,96d3a5Xa
1,10,101,96d3a5Xb
1,5,99,96d468X0
1,8,118,96d468X1
1,8,102,96d468X2
1,9,98,96d468X3
1,10,97,96d468X4
1,9,98,96d468X5
1,5,94,96d468X6
1,9,117,96d468X7
1,5,102,96d468X8
1,7,116,96d468X9
1,7,114,96d4b7X0
1,6,83,96d4eeX3
1,5,111,96d4eeX4
1,6,126,96d4eeX6
1,6,110,96d4eeX7
1,10,126,96d4eeX8
1,5,98,96d4eeX9
1,6,102,96d4eeXb
1,6,96,96d4eeXc
1,5,83,96d50eX0
1,6,89,96d50eX1
1,6,102,96d50eX2
1,8,91,96d50eX3
1,7,97,96d50eX5
1,5,105,96d50eX6
1,5,90,96d50eX7
1,8,128,96d50eX8
1,5,84,96d50eXa
1,9,97,96d539X1
1,8,86,96d539X3
1,6,90,96d539X4
1,8,99,96d539X6
1,8,108,96d539X7
1,5,92,96d539X8
1,7,88,96d539X9
1,5,98,96d539Xa
1,7,106,96d55bX0
1,5,117,96d55bX2
1,5,85,96d55bX3
1,5,98,96d55bX4
1,6,106,96d55bX5
1,7,90,96d55bX8
1,5,96,96d55bXb
1,6,95,96d55bXc
1,9,108,96d617X0
1,5,104,96d61fX4
1,6,93,96d61fX7
1,5,101,96d61fXa
1,5,109,96d61fXb
1,5,97,96d7b9X2
1,5,117,96d84eX3
1,5,134,96debbX1
1,5,98,96d4b8X2
1,6,100,96d4b8X4
1,5,104,96d4f2X0
1,5,102,96d54dX1
1,7,110,96d54dX2
1,5,87,96d64fX8
1,6,105,96d6adX5
1,5,104,96d747X8
1,6,109,96d7e8X8
1,5,109,96efc2X2
1,15,112,96d2e4X0
1,23,106,96d2e4X1
1,23,89,96d2e4X2
1,14,83,96d2e4X3
1,21,95,96d2e4X4
1,21,87,96d2e4X5
1,21,78,96d2e4X6
1,26,100,96d2e4X7
1,22,101,96d2e4X8
1,17,81,96d2e4X9
1,12,77,96d30cX0
1,24,94,96d30cX1
1,17,91,96d30cX2
1,18,97,96d30cX3
1,23,113,96d30cX4
1,22,94,96d30cX5
1,24,108,96d30cX6
1,28,96,96d30cX7
1,26,102,96d30cX8
1,21,104,96d30cX9
1,22,101,96d30cXa
1,17,104,96d30cXb
1,19,98,96d30cXc
1,27,102,96d30cXd
1,28,107,96d30cXe
1,12,106,96d30dX0
1,8,91,96d30dX1
1,14,112,96d30dX2
1,17,101,96d30dX3
1,18,91,96d30dX4
1,16,99,96d30dX5
1,13,105,96d30dX6
1,18,92,96d30fX0
1,13,92,96d30fX1
1,13,93,96d30fX2
1,13,109,96d30fX3
1,13,90,96d30fX4
1,12,94,96d30fX5
1,7,89,96d30fX6
1,12,105,96d30fX7
1,16,86,96d316X0
1,15,100,96d316X1
1,7,95,96d316X2
1,15,105,96d316X3
1,13,91,96d316X4
1,12,108,96d316X5
1,17,102,96d316X6
1,15,105,96d316X7
1,13,109,96d316X8
1,23,98,96d316X9
1,16,102,96d316Xa
1,16,98,96d316Xb
1,11,93,96d316Xc
1,9,98,96d316Xd
1,14,102,96d326X0
1,14,91,96d326X1
1,11,100,96d326X2
1,15,104,96d326X3
1,12,104,96d326X4
1,12,99,96d326X5
1,11,95,96d326X6
1,17,95,96d33cX0
1,13,111,96d33cX1
1,17,97,96d33cX2
1,14,94,96d33cX3
1,17,107,96d33cX4
1,14,93,96d33cX5
1,14,102,96d33cX6
1,19,103,96d33cX7
1,7,91,96d33cX8
1,16,94,96d364X0
1,13,90,96d364X1
1,15,107,96d364X2
1,15,108,96d364X3
1,14,106,96d364X4
1,13,97,96d364X5
1,16,94,96d364X6
1,12,103,96d364X7
1,10,111,96d364X8
1,17,107,96d364X9
1,5,91,96d36fX5
1,5,100,96d36fX6
1,6,110,96d437X3
1,5,95,96d453X8
1,7,106,96d5c4X4
1,13,96,96d370X0
1,8,84,96d370X1
