"clone","alt","depth","id"
0,55,116,"1f3e7eX0"
0,56,95,"1f3e7eX1"
0,46,100,"1f3e7eX2"
0,56,94,"1f3e7eX3"
0,45,94,"1f3e7eX4"
0,45,88,"1f3e7eX5"
0,43,104,"1f3e7eX6"
0,58,106,"1f3e7eX7"
0,44,88,"1f3e7eX8"
0,38,87,"1f3e7eX9"
0,44,89,"1f3e7eXa"
0,48,101,"1f3e7fX0"
0,37,99,"1f3e7fX1"
0,39,97,"1f3e7fX2"
0,50,102,"1f3e7fX3"
0,42,95,"1f3e7fX4"
0,55,110,"1f3e7fX5"
0,43,89,"1f3e7fX6"
0,50,97,"1f3e7fX7"
0,62,104,"1f3e7fX8"
0,57,106,"1f3e7fX9"
0,50,92,"1f3e7fXa"
0,58,112,"1f3e7fXb"
1,49,99,"1f3e83X0"
1,38,99,"1f3e83X1"
1,51,112,"1f3e83X2"
1,52,108,"1f3e83X3"
1,50,94,"1f3e83X4"
1,46,99,"1f3e83X5"
1,51,100,"1f3e83X6"
1,45,97,"1f3e83X7"
1,54,111,"1f3e83X8"
1,57,102,"1f3e83X9"
1,44,94,"1f3e83Xa"
1,48,96,"1f3e83Xb"
1,40,96,"1f3e83Xc"
1,57,120,"1f3e85X0"
1,48,109,"1f3e85X1"
1,58,106,"1f3e85X2"
1,63,106,"1f3e85X3"
1,53,125,"1f3e85X4"
1,36,96,"1f3e85X5"
1,43,80,"1f3e85X6"
1,47,98,"1f3e85X7"
1,56,111,"1f3e85X8"
1,41,106,"1f3e85X9"
1,52,98,"1f3e85Xa"
1,48,97,"1f3e85Xb"
1,53,95,"1f3e85Xc"
1,25,95,"1f3e87X0"
1,18,97,"1f3e87X1"
1,20,96,"1f3e87X2"
1,19,107,"1f3e87X3"
1,28,89,"1f3e87X4"
1,19,91,"1f3e87X5"
1,15,83,"1f3e87X6"
1,21,101,"1f3e87X7"
1,26,119,"1f3e87X8"
1,29,114,"1f3e87X9"
1,17,90,"1f3e87Xa"
1,25,117,"1f3e8aX0"
1,21,97,"1f3e8aX1"
1,18,104,"1f3e8aX2"
1,15,96,"1f3e8aX3"
1,24,94,"1f3e8aX4"
1,23,111,"1f3e8aX5"
1,26,80,"1f3e8aX6"
1,13,85,"1f3e8aX7"
1,24,124,"1f3e8aX8"
1,13,99,"1f3e8aX9"
1,14,96,"1f3e8aXa"
1,28,104,"1f3e8aXb"
1,22,96,"1f3e8aXc"
1,20,117,"1f3e8aXd"
1,19,97,"1f3e8aXe"
1,14,91,"1f3e8aXf"
1,14,80,"1f3e8aX10"
1,25,107,"1f3e8aX11"
1,21,106,"1f3e8aX12"
1,15,105,"1f3e8aX13"
1,18,119,"1f3e8aX14"
1,25,116,"1f3e98X0"
1,18,92,"1f3e98X1"
1,13,89,"1f3e98X2"
1,17,86,"1f3e98X3"
1,22,107,"1f3e98X4"
1,24,105,"1f3e98X5"
1,21,90,"1f3e98X6"
1,22,109,"1f3e98X7"
1,19,97,"1f3e98X8"
1,16,96,"1f3e98X9"
1,16,102,"1f3e98Xa"
1,17,111,"1f3e98Xb"
1,19,118,"1f3e98Xc"
1,25,96,"1f3e98Xd"
1,17,86,"1f3ea9X0"
1,12,93,"1f3ea9X1"
1,22,111,"1f3ea9X2"
1,20,100,"1f3ea9X3"
1,19,109,"1f3ea9X4"
1,19,85,"1f3ea9X5"
1,15,95,"1f3ea9X6"
1,21,104,"1f3ea9X7"
1,25,97,"1f3ea9X8"
1,20,102,"1f3ea9X9"
1,17,93,"1f3ea9Xa"
1,16,96,"1f3ea9Xb"
1,13,90,"1f3ee6X0"
1,15,96,"1f3ee6X1"
1,16,107,"1f3ee6X2"
1,24,104,"1f3ee6X3"
1,19,98,"1f3ee6X4"
1,12,89,"1f3ee6X5"
1,20,94,"1f3ee6X6"
1,30,103,"1f3ee6X7"
1,19,91,"1f3ee6X8"
1,18,101,"1f3ee6X9"
1,15,90,"1f3ee6Xa"
1,18,103,"1f3ee6Xb"
1,31,113,"1f3ee6Xc"
1,14,94,"1f3ee6Xd"
1,23,120,"1f3ee6Xe"
1,21,96,"1f3ee6Xf"
1,17,95,"1f3ee6X10"
1,13,76,"1f3ee6X11"
1,27,100,"1f3efeX0"
1,17,96,"1f3efeX1"
1,14,97,"1f3efeX2"
1,12,92,"1f3efeX3"
1,15,79,"1f3efeX4"
1,29,112,"1f3efeX5"
1,18,98,"1f3efeX6"
1,22,117,"1f3efeX7"
1,16,88,"1f3efeX8"
1,17,102,"1f3f2fX0"
1,17,87,"1f3f2fX1"
1,15,85,"1f3f2fX2"
1,23,103,"1f3f2fX3"
1,22,110,"1f3f2fX4"
