clone,alt,depth,id
0,55,111,28fe84X0
0,45,79,28fe84X1
0,50,121,28fe84X2
0,56,101,28fe84X3
0,36,88,28fe84X4
0,55,113,28fe84X5
0,51,99,28fe84X6
0,49,93,28fe84X7
0,46,102,28fe84X8
0,40,93,28fe84X9
0,49,92,28fe84Xa
0,59,109,28fe84Xb
0,46,95,28fe86X0
0,50,97,28fe86X1
0,58,107,28fe86X2
0,49,94,28fe86X3
0,57,121,28fe86X4
0,42,102,28fe86X5
0,57,109,28fe86X6
0,56,108,28fe86X7
1,9,91,28fe87X0
1,7,107,28fe87X1
1,8,93,28fe87X4
1,9,91,28fe87X5
1,14,99,28fe87X6
1,6,80,28fe87X7
1,5,107,28fe87X9
1,7,107,28fe87Xa
1,5,126,28fe8fX0
1,9,121,28fe8fX1
1,6,102,28fe8fX2
1,10,114,28fe8fX3
1,6,100,28fe8fX5
1,6,87,28fe8fX7
1,5,88,28fe8fX8
1,7,120,28fe8fX9
1,6,97,28fe9cX0
1,5,94,28fe9cX1
1,6,106,28fe9cX2
1,7,100,28fe9cX3
1,13,124,28fe9cX4
1,9,101,28fe9cX5
1,5,97,28fe9cX6
1,9,97,28fecaX1
1,6,104,28fecaX2
1,5,96,28fecaX4
1,7,109,28fecaX6
1,7,83,28fecaXa
1,5,81,28feceX0
1,6,94,28feceX2
1,5,105,28feceX3
1,7,102,28feceX6
1,10,106,28feceX9
1,6,117,28feceXa
1,7,102,28fee2X1
1,6,89,28fee2X2
1,5,97,28fee2X3
1,10,89,28fee2X4
1,7,94,28fee2X5
1,10,124,28fee2X6
1,5,88,28fee2X8
1,9,97,28fee2Xa
1,8,116,28ff19X2
1,5,106,28ff19X3
1,7,109,28ff19X4
1,7,95,28ff19X6
1,9,87,28ff19X7
1,5,108,28ff47X8
1,5,112,29000bX5
1,7,80,29022eX9
1,6,102,2904e9X7
1,6,105,290860Xc
1,6,112,290cc7X5
1,5,111,291a87X4
1,5,105,2925b7X3
1,6,110,2925b7X9
1,7,105,2925b7Xb
1,5,93,293960X0
1,5,108,293960X7
1,5,110,2950e0Xe
1,6,89,28ff48X0
1,5,81,28ff48X3
1,8,108,28ff48X4
1,5,100,28ff48X6
1,5,106,28ff48X9
1,5,84,290012X2
1,6,97,290012X7
1,8,111,290012X8
1,5,94,290014X0
1,8,96,290014X1
1,7,95,290014X5
1,6,96,290014X8
1,5,117,290014Xb
1,6,95,2903b4X1
1,7,105,2903b4X2
1,7,87,2903b4X3
1,7,102,2903b4X6
1,7,102,2903b4Xc
1,9,113,2903b4Xd
1,6,93,290748X0
1,5,115,290748X2
1,5,98,290748X3
1,7,113,290748X4
1,5,102,290748X6
1,6,114,2908c4X2
1,6,102,290b8aX0
1,6,99,290b8aX2
1,6,104,290b8aX4
1,6,99,290b8aX8
1,6,101,290b8aXd
1,6,108,290e92X1
1,6,112,290e92X6
1,6,108,290e92X9
1,8,115,290e92Xb
1,5,98,290f03X0
1,5,112,290f03X3
1,8,98,290f03X6
1,8,100,2910adX0
1,8,115,2910adX1
1,6,95,2910adX3
1,5,100,2910adX4
1,5,114,291810X6
1,5,94,291b0cX3
1,5,99,291b0cX7
1,6,98,291b0cX9
1,6,117,291b0cXc
1,6,94,291bc6X0
1,5,109,291f7bX3
1,6,93,2922abX7
1,5,105,292ae3X7
1,7,104,292ae3X8
1,5,88,293112Xb
1,5,102,295c35X3
1,6,100,29601aX6
1,5,100,299663X3
1,5,85,29a84bX5
1,5,119,29bd74X3
1,6,109,29bd74X4
0,31,101,28fe88X0
0,61,111,28fe88X1
0,41,116,28fe88X2
0,52,107,28fe88X3
0,43,111,28fe88X4
0,48,100,28fe88X5
0,42,101,28fe88X6
1,5,91,28fe98X5
1,5,100,28fed4Xa
1,6,90,29072bX0
1,7,106,29072bX7
1,6,108,290fb6X11
1,5,95,291da9Xb
1,5,106,291da9Xc
1,7,98,292edcX3
1,6,96,292edcX7
1,42,109,28fe92X0
1,44,105,28fe92X1
1,47,120,28fe92X2
1,40,98,28fe92X3
1,42,102,28fe92X4
1,43,100,28fe92X5
1,45,111,28fe92X6
1,42,85,28fe92X7
1,49,101,28fe92X8
1,54,104,28fe95X0
1,54,100,28fe95X1
1,43,104,28fe95X2
1,47,126,28fe95X3
1,36,97,28fe95X4
1,44,100,28fe95X5
1,46,99,28fea9X0
1,39,93,28fea9X1
1,45,97,28fea9X2
1,35,94,28fea9X3
1,38,96,28fea9X4
1,38,87,28fea9X5
1,37,97,28fea9X6
1,39,109,28fea9X7
1,42,98,28fea9X8
1,36,93,28fea9X9
1,40,105,28fea9Xa
1,25,86,28fea9Xb
1,34,89,28fea9Xc
1,51,109,28fec2X0
1,42,105,28fec2X1
1,62,120,28fec2X2
1,39,86,28fec2X3
1,43,98,28fec2X4
1,41,95,28fec2X5
1,42,102,28fec2X6
1,40,97,28fec2X7
1,48,112,28fec2X8
1,48,118,28fec2X9
1,36,89,28fec2Xa
1,45,109,28fec2Xb
1,44,105,28fec2Xc
1,57,107,28fec2Xd
1,50,113,28fec2Xe
1,45,103,28fec2Xf
1,39,107,28fee0X0
1,37,98,28fee0X1
1,42,113,28fee0X2
1,33,91,28fee0X3
1,47,87,28fee0X4
1,40,111,28fee0X5
1,51,101,28fee0X6
1,35,88,28fee0X7
1,52,106,28fee0X8
1,41,99,28fee0X9
1,35,85,28fee0Xa
1,38,93,28fef4X0
1,46,96,28fef4X1
1,35,97,28fef4X2
1,45,109,28fef4X3
1,34,85,28fef4X4
1,37,92,28fef4X5
1,24,85,28fef4X6
1,38,83,28fef4X7
1,44,102,28fef4X8
1,43,105,28fef4X9
1,38,99,28fef4Xa
1,56,109,28fef4Xb
1,34,103,28ff07X0
1,35,96,28ff07X1
1,24,83,28ff07X2
1,27,92,28ff07X3
1,47,118,28ff52X0
1,22,102,28ff52X1
1,24,86,28ff52X2
1,30,101,28ff52X3
1,27,109,28ff52X4
1,34,114,28ff52X5
1,27,101,28ff52X6
1,28,85,28ff52X7
1,39,113,28ff52X8
1,36,110,28ff52X9
1,21,91,28ff52Xa
1,40,113,28ffa3X0
1,29,101,28ffa3X1
1,34,107,28ffa3X2
1,30,107,28ffa3X3
1,23,100,28ffa3X4
1,25,82,28ffa3X5
1,39,123,28ffa3X6
1,30,99,28ffa3X7
1,31,96,28ffa3X8
1,24,87,28ffa3X9
1,39,101,290010X0
1,28,93,290010X1
1,23,91,290010X2
1,31,90,290010X3
1,32,101,290010X4
1,33,101,290010X5
1,32,97,290010X6
1,26,95,290010X7
1,25,100,290010X8
1,28,106,290010X9
1,28,99,290010Xa
1,7,113,29009cX5
1,5,100,29009cX8
1,6,99,2900faX3
1,6,101,2900faX5
1,6,91,2900faX7
1,5,106,2902e9X1
1,5,105,2902e9X3
1,5,104,2902eeX2
1,7,116,2902eeX4
1,7,103,2902eeX5
1,9,109,29059aX0
1,6,107,29059aX3
1,5,84,29059aX4
1,5,109,29059aX7
1,7,115,29059aX9
1,5,95,29059aXa
1,5,100,29065cX0
1,5,101,29065cX4
1,10,83,29065cX8
1,8,107,29065cXc
1,6,99,29093dX4
1,6,106,290a2dX2
1,5,106,290a2dX5
1,5,94,290a2dXa
1,6,86,290a9dXa
1,7,89,292083X1
1,6,95,292083X3
1,5,81,292083X6
