clone,alt,depth,id
0,43,93,77ccaeX0
0,50,103,77ccaeX1
0,54,100,77ccaeX2
0,68,123,77ccaeX3
0,50,100,77ccaeX4
0,55,100,77ccaeX5
0,53,100,77ccaeX6
0,38,84,77ccaeX7
0,48,100,77ccaeX8
1,5,90,77ccafX0
1,5,107,77ccafX3
1,5,98,77ccafX4
1,8,117,77ccafX5
1,5,104,77ccafX7
1,5,91,77ccafX9
1,5,94,77ccafXa
1,7,107,77ccb1X0
1,5,114,77ccb1X2
1,5,99,77ccb1X5
1,6,95,77ccb1X8
1,6,94,77ccbeX6
1,7,98,77ccbeX8
1,5,94,77ccbeXa
1,6,90,77ccbeXd
1,5,99,77ccc7X4
1,8,103,77ccc7Xd
1,7,100,77ccc7Xe
1,5,107,77cccaX4
1,6,117,77cccaX5
1,5,100,77cd06X2
1,8,102,77cd06X4
1,8,114,77cd06X5
1,5,95,77cd06X6
1,5,109,77cd06Xc
1,5,88,77cd17X0
1,6,102,77cd17X2
1,6,83,77cd17X3
1,8,100,77cd3dX0
1,9,81,77cd3dX3
1,7,95,77cd3dX5
1,5,100,77cd3dXb
1,8,101,77cd3dXc
1,5,81,77cdccX0
1,5,103,77cf41X7
1,5,103,77cf41X9
1,5,107,77cf41Xa
1,8,123,77d244X3
1,8,87,77d244X5
1,5,89,77d244X7
1,5,99,77d29eX0
1,5,111,77d29eX3
1,6,101,77d29eX7
1,5,101,77d3fcX1
1,5,85,77d3fcX8
1,5,122,77dfe5X4
1,5,105,77eb0bX3
1,6,107,77ef5aX0
1,5,104,77d4a2X0
1,5,110,77d4a2X1
0,45,100,77ccb0X0
0,56,97,77ccb0X1
0,55,108,77ccb0X2
0,48,103,77ccb0X3
0,42,92,77ccb0X4
0,49,99,77ccb0X5
0,58,112,77ccb0X6
0,43,105,77ccb0X7
0,56,119,77ccb0X8
0,44,119,77ccb0X9
0,45,107,77ccb0Xa
2,35,72,77ccb3X0
2,47,104,77ccb3X1
2,43,109,77ccb3X2
2,29,87,77ccb3X3
2,43,100,77ccb3X4
2,46,103,77ccb3X5
2,39,92,77ccb3X6
2,50,103,77ccb3X7
2,66,132,77ccb5X0
2,42,100,77ccb5X1
2,30,99,77ccb5X2
2,50,96,77ccb5X3
2,37,100,77ccb5X4
2,41,108,77ccb5X5
2,36,86,77ccb5X6
2,54,110,77ccb5X7
2,41,89,77ccb5X8
2,26,84,77ccb5X9
2,35,85,77ccbfX0
2,41,89,77ccbfX1
2,42,94,77ccbfX2
2,48,117,77ccbfX3
2,43,98,77ccbfX4
2,41,96,77ccbfX5
2,43,121,77ccbfX6
2,51,113,77ccbfX7
2,47,103,77ccbfX8
2,46,103,77ccc6X0
2,49,114,77ccc6X1
2,47,107,77ccc6X2
2,35,73,77ccc6X3
2,30,93,77ccc6X4
2,53,111,77ccc6X5
2,50,108,77ccc6X6
2,45,102,77ccc6X7
2,43,103,77ccc6X8
2,41,99,77cccfX0
2,35,82,77cccfX1
2,28,95,77cccfX2
2,45,118,77cccfX3
2,43,114,77cccfX4
2,45,85,77cccfX5
2,38,87,77cccfX6
2,38,100,77cccfX7
2,42,99,77ccd2X0
2,44,128,77ccd2X1
2,30,84,77ccd2X2
2,40,95,77ccd2X3
2,36,100,77ccd2X4
2,33,99,77ccd2X5
2,37,96,77ccd2X6
2,25,77,77ccd2X7
2,35,106,77ccd2X8
2,33,93,77ccd2X9
2,37,109,77cd1eX0
2,46,97,77cd1eX1
2,30,108,77cd1eX2
2,44,103,77cd1eX3
2,31,83,77cd1eX4
2,35,85,77cd1eX5
2,35,108,77cd1eX6
2,35,97,77cd1eX7
2,38,99,77cd1eX8
2,39,108,77cd1eX9
2,40,101,77cd1eXa
2,6,104,77cd21X0
2,5,98,77cd21X1
2,6,103,77cd21X3
2,5,100,77cd21X5
2,6,113,77cd21X7
2,8,99,77cd21X8
2,5,99,77cd21Xb
2,5,105,77cd21Xd
2,6,104,77cd21Xe
2,8,93,77cd2cX3
2,6,93,77cd2cX4
2,10,99,77cd2cX9
2,5,98,77cd2cXa
2,5,101,77cd58X1
2,8,91,77cd58X2
2,6,111,77cd58X5
2,8,91,77cd62X7
2,6,96,77cd62X9
2,6,80,77cd62Xb
2,6,95,77cd62Xe
2,7,102,77cd7eX0
2,8,90,77cd7eX2
2,7,95,77cd7eX5
2,5,116,77cd7eX6
2,5,111,77cd7eX7
2,9,114,77cd7eXc
2,5,90,77cd7eXe
2,6,96,77cd87X2
2,6,103,77cd87X5
2,5,99,77cd87X8
2,5,117,77cd99X0
2,7,99,77cd99X5
2,5,102,77cdd0X0
2,5,121,77cdd0X2
2,5,87,77cdd0X6
2,5,107,77cec3X2
2,5,107,77d089X3
2,5,113,77d19fX8
2,36,107,77cd22X0
2,27,93,77cd22X1
2,35,108,77cd22X2
2,35,102,77cd22X3
2,27,95,77cd22X4
2,34,99,77cd22X5
2,32,96,77cd22X6
2,30,90,77cd22X7
2,27,107,77cd22X8
2,51,111,77cd22X9
2,38,88,77cd22Xa
2,24,90,77cd22Xb
2,32,107,77cd22Xc
2,30,112,77cd22Xd
2,40,99,77cd22Xe
2,45,118,77cd22Xf
2,37,104,77cd22X10
2,26,93,77cd22X11
2,22,84,77cd53X0
2,18,85,77cd53X1
2,18,88,77cd53X2
2,24,90,77cd53X3
2,30,90,77cd53X4
2,24,89,77cd53X5
2,24,107,77cd53X6
2,20,97,77cd53X7
2,22,96,77cd53X8
2,24,101,77cd53X9
2,24,104,77cd53Xa
2,26,120,77cd53Xb
2,5,88,77cd6dX7
2,5,113,77cd84X3
2,5,84,77cd84X5
2,7,107,77cdb1X0
2,5,82,77cdb1X1
2,5,103,77cdb1X6
2,6,104,77ce95X9
2,6,106,77d0eeX0
2,7,108,77d0eeX6
2,5,101,7807eaX6
2,25,103,77cd6eX0
2,23,93,77cd6eX1
2,22,88,77cd6eX2
2,28,96,77cd6eX3
2,37,124,77cd6eX4
2,18,85,77cd6eX5
2,20,106,77cd6eX6
2,20,82,77cd6eX7
2,23,100,77cd6eX8
2,27,102,77cd6eX9
2,31,104,77cd6eXa
2,16,78,77cd95X0
2,15,121,77cd95X1
2,14,108,77cd95X2
2,19,112,77cd95X3
2,9,87,77cd95X4
2,13,93,77cd95X5
2,13,78,77cd95X6
2,23,131,77cd95X7
2,13,106,77cd95X8
2,27,106,77cd95X9
2,6,76,77cd95Xa
2,8,81,77cd95Xb
2,18,111,77cdadX0
2,19,99,77cdadX1
2,10,75,77cdadX2
2,14,90,77cdadX3
2,12,97,77cdadX4
2,12,104,77cdadX5
2,19,111,77cdadX6
2,17,96,77cdadX7
2,12,93,77cdadX8
2,17,111,77cdadX9
2,20,105,77cdadXa
2,9,100,77cdadXb
2,10,101,77cdadXc
2,16,84,77cdadXd
2,15,93,77cdb0X0
2,17,104,77cdb0X1
2,11,107,77cdb0X2
2,9,103,77cdb0X3
2,17,98,77cdb0X4
2,10,102,77cdb0X5
2,20,107,77cdb0X6
2,10,91,77cdb0X7
2,17,102,77cdb0X8
2,15,103,77cdb0X9
2,19,111,77cdb0Xa
2,11,101,77cdb0Xb
2,14,110,77cdb0Xc
2,10,95,77cdb0Xd
2,18,99,77ce85X0
2,15,86,77ce85X1
2,12,93,77ce85X2
2,10,86,77ce85X3
2,13,91,77ce85X4
2,18,104,77ce85X5
2,14,107,77ce85X6
2,10,94,77ce85X7
2,9,92,77ce85X8
2,5,109,77cec5X6
2,5,112,77d5a7X2
2,5,100,77d7c4X3
2,12,93,77cec6X0
2,7,115,77cec6X1
2,9,88,77cec6X2
2,20,104,77cec6X3
2,6,88,77cec6X4
2,10,94,77cec6X5
2,15,93,77cec6X6
2,13,104,77cec6X7
2,9,100,77cec6X8
2,12,107,77cec6X9
2,14,100,77cec6Xa
2,10,81,77cec6Xb
2,11,83,77cec6Xc
2,9,93,77cec6Xd
