clone,alt,depth,id
0,46,97,d26efecX0
0,47,109,d26efecX1
0,45,112,d26efecX2
0,56,120,d26efecX3
0,58,121,d26efecX4
0,58,110,d26efecX5
0,61,113,d26efecX6
0,53,103,d26efecX7
0,43,102,d26efecX8
0,47,105,d26efecX9
0,44,94,d26efecXa
0,48,106,d26efecXb
0,58,114,d26eff8X0
0,57,106,d26eff8X1
0,45,90,d26eff8X2
0,40,80,d26eff8X3
0,60,109,d26eff8X4
0,46,94,d26eff8X5
0,36,79,d26eff8X6
0,45,92,d26eff8X7
0,50,101,d26eff8X8
0,52,100,d26eff8X9
0,52,103,d26f005X0
0,47,84,d26f005X1
0,31,87,d26f005X2
0,28,83,d26f00aX0
0,42,87,d26f00aX1
0,48,87,d26f00aX2
0,34,73,d26f00aX3
0,42,108,d26f00aX4
0,56,113,d26f00aX5
0,48,108,d26f00aX6
0,45,102,d26f00aX7
0,47,104,d26f00aX8
0,34,86,d26f00aX9
0,43,86,d26f00aXa
0,38,105,d26f01cX0
0,43,90,d26f01cX1
0,48,94,d26f01cX2
0,41,90,d26f01cX3
0,41,84,d26f01cX4
0,47,109,d26f01cX5
0,46,97,d26f01cX6
0,52,108,d26f01cX7
0,48,97,d26f01cX8
0,58,110,d26f01cX9
0,49,106,d26f025X0
0,39,88,d26f025X1
0,58,115,d26f025X2
0,50,97,d26f025X3
0,54,98,d26f025X4
0,48,98,d26f025X5
0,51,100,d26f091X0
0,58,113,d26f091X1
0,42,86,d26f091X2
0,53,106,d26f091X3
0,51,118,d26f091X4
0,46,113,d26f091X5
0,53,95,d26f091X6
0,42,90,d26f091X7
0,47,101,d26f091X8
0,41,91,d26f091X9
0,53,108,d26f09cX0
0,49,97,d26f09cX1
0,48,102,d26f09cX2
0,49,116,d26f09cX3
0,54,116,d26f09cX4
0,44,107,d26f09cX5
0,45,107,d26f09cX6
0,46,98,d26f09cX7
0,49,111,d26f09cX8
0,42,94,d26f09cX9
0,58,118,d26f09cXa
0,46,101,d26f0b5X0
0,44,107,d26f0b5X1
0,49,99,d26f0b5X2
0,58,119,d26f0b5X3
0,52,109,d26f0b5X4
0,38,87,d26f0b5X5
0,46,106,d26f0b5X6
0,48,115,d26f0b5X7
0,52,103,d26f0b5X8
0,57,100,d26f0b5X9
0,57,109,d26f0b5Xa
0,44,89,d26f0b5Xb
0,49,95,d26f0b9X0
0,40,101,d26f0b9X1
0,42,98,d26f0b9X2
0,36,94,d26f0b9X3
0,56,112,d26f0b9X4
0,60,108,d26f0b9X5
0,44,109,d26f0b9X6
0,49,118,d26f0b9X7
0,47,90,d26f0b9X8
0,51,108,d26f0b9X9
0,39,101,d26f0b9Xa
0,35,86,d26f0b9Xb
0,34,99,d26f0b9Xc
0,40,85,d26f0b9Xd
0,56,117,d26f0b9Xe
1,37,98,d26f0fbX0
1,39,88,d26f0fbX1
1,70,125,d26f0fbX2
1,42,91,d26f0fbX3
1,41,102,d26f0fbX4
1,52,123,d26f0fbX5
1,46,97,d26f0fbX6
1,51,104,d26f0fbX7
1,42,94,d26f0fbX8
1,41,95,d26f0fbX9
1,55,112,d26f0fbXa
1,41,94,d26f0fbXb
1,43,91,d26f0fbXc
1,47,106,d26f156X0
1,42,94,d26f156X1
1,47,109,d26f156X2
1,50,115,d26f156X3
