clone,alt,depth,id
1,5,113,9dc4d4X3
1,5,107,9dc4d4X4
0,43,94,9dc4d5X0
0,43,98,9dc4d5X1
0,50,104,9dc4d5X2
0,54,109,9dc4d5X3
0,50,98,9dc4d5X4
0,64,112,9dc4d5X5
0,50,104,9dc4d5X6
0,46,108,9dc4d5X7
0,42,102,9dc4d5X8
0,38,87,9dc4d5X9
1,5,110,9dc4d6X1
1,6,113,9dc4d6X3
1,6,90,9dc4d9X1
1,5,117,9dc4d9X2
1,5,88,9dc4d9X4
1,9,114,9dc4d9X6
1,8,102,9dc4d9X7
1,8,115,9dc4d9X9
1,7,105,9dc4d9Xb
1,7,105,9dc4d9Xc
1,5,93,9dc4e8X0
1,6,104,9dc4e8X1
1,6,98,9dc4e8X3
1,7,84,9dc4e8X5
1,5,107,9dc4e8X7
1,5,110,9dc4e8X8
1,6,102,9dc4e8X9
1,5,93,9dc504X3
1,5,121,9dc504X5
1,6,91,9dc532X1
1,5,112,9dc532X9
1,6,95,9dc54dX4
0,41,100,9dc4d7X0
0,43,111,9dc4d7X1
0,50,123,9dc4d7X2
0,53,111,9dc4d7X3
0,43,97,9dc4d7X4
0,45,93,9dc4d7X5
0,38,90,9dc4d7X6
0,43,101,9dc4d7X7
0,38,98,9dc4d7X8
0,40,92,9dc4d7X9
1,14,104,9dc4dcX0
1,11,111,9dc4dcX1
1,10,105,9dc4dcX2
1,9,108,9dc4dcX3
1,14,91,9dc4dcX4
1,10,103,9dc4dcX5
1,16,95,9dc4dcX6
1,10,91,9dc4dcX7
1,13,104,9dc4dcX8
1,15,96,9dc4dcX9
1,10,101,9dc4e3X0
1,10,91,9dc4e3X1
1,15,106,9dc4e3X2
1,8,114,9dc4e3X3
1,10,106,9dc4e3X4
1,13,97,9dc4e3X5
1,7,92,9dc4e3X6
1,6,97,9dc4e3X7
1,9,95,9dc4e4X1
1,9,82,9dc4e4X2
1,5,99,9dc4e4X3
1,10,119,9dc4e4X5
1,5,100,9dc4e4X7
1,5,102,9dc4f2X2
1,6,96,9dc4f2X4
1,8,107,9dc4f2X5
1,6,105,9dc4f2X6
1,9,99,9dc4f2X7
1,8,99,9dc4f2X8
1,6,85,9dc4feX3
1,8,88,9dc4e5X0
1,7,98,9dc4e5X1
1,5,113,9dc4e5X2
1,6,101,9dc4e5X8
1,5,94,9dc4edX2
1,6,106,9dc4edX4
1,6,106,9dc4edX8
1,6,91,9dc4edXa
1,5,102,9dc4edXc
1,5,112,9dc4edXf
