clone,alt,depth,id
1,5,100,711aaX3
1,7,103,711aaX6
1,5,94,711aaX8
1,6,112,711b1X0
1,5,114,711b1X6
1,6,100,71217X2
1,5,108,71217X4
1,5,99,71217X8
1,6,117,712b1X6
1,5,105,7138eX2
1,5,103,71961X3
1,7,101,71acdX0
1,5,90,71acdX5
1,6,100,71e20X3
1,7,99,71e20X7
1,6,95,7205bX1
1,5,110,73234X2
1,5,120,7fad2X9
1,5,110,715e8X1
0,37,104,711abX0
0,52,108,711abX1
0,46,101,711abX2
0,42,96,711abX3
0,64,113,711abX4
0,45,93,711abX5
0,39,103,711abX6
0,20,84,711acX0
0,21,102,711acX1
0,28,89,711acX2
0,29,107,711acX3
0,29,90,711acX4
0,25,111,711acX5
0,31,103,711acX6
0,31,101,711acX7
0,28,97,711acX8
0,9,109,711aeX0
0,11,121,711aeX1
0,8,100,711aeX3
1,12,98,711b3X0
1,9,87,711b3X1
1,12,97,711b3X2
1,8,93,711b3X3
1,7,100,711b3X4
1,6,100,711b3X5
1,8,106,711b3X6
1,8,126,711b3X7
1,7,102,711b3X8
1,5,86,711b3X9
1,5,97,75cd1X7
1,5,123,711b5X0
1,7,124,711b5X1
1,8,106,711b5X2
1,5,106,711b5X3
1,10,110,711b5X4
1,6,112,711b5X6
1,8,103,711b5X8
1,5,101,711b5X9
1,5,92,711fcX0
1,5,103,711fcX1
1,6,88,711fcX2
1,5,106,711fcX4
1,5,83,711fcX5
1,9,112,711fcX7
1,5,85,7123bX3
1,7,99,7123bX4
1,11,120,7123bX6
1,6,105,7123bX7
1,9,101,7123bX8
1,6,102,71284X2
1,5,94,71284X6
1,7,124,71284X7
1,7,92,71406X2
1,5,109,71406Xa
1,5,98,717eaX0
1,7,99,717eaX1
1,5,111,717eaX7
1,7,100,717eaX8
1,6,90,718c6X0
1,5,105,718c6X2
1,5,87,71977X0
1,5,101,71977X6
1,5,104,71977X7
1,6,112,71977X8
1,5,97,71977X9
1,5,87,71977Xa
1,8,95,71977Xd
1,8,113,71977Xe
1,5,108,722b6X2
1,5,110,722b6Xc
1,7,102,722b6Xd
1,8,99,722b6Xf
1,5,79,726f4X3
1,8,99,726f4X5
1,5,98,726f4X6
1,5,107,726f4X7
1,5,104,726f4X8
1,5,120,7278fX6
1,7,103,736deX4
1,5,108,74fe5X3
1,5,104,74fe5X6
1,5,100,75757X2
1,5,110,75765X9
1,6,113,7673bX0
1,7,104,7675dX6
1,5,73,7675dX8
1,5,111,77359X7
1,6,101,7142aX6
1,5,118,72eeeX4
1,6,107,7e094Xa
1,27,109,711afX0
1,24,104,711afX1
1,28,104,711afX2
1,28,103,711afX3
1,19,89,711afX4
1,21,100,711afX5
1,20,94,711afX6
1,17,105,711afX7
1,12,95,711b6X0
1,14,93,711b6X1
1,12,96,711b6X2
1,15,95,711b6X3
1,9,81,711b6X4
1,9,98,711b6X5
1,11,101,711b6X6
1,12,95,711b6X7
1,13,99,711bcX0
1,8,99,711bcX1
1,16,86,711bcX3
1,15,95,711bcX4
1,14,86,711bcX5
1,9,113,711beX0
1,15,109,711beX1
1,11,109,711beX2
1,10,91,711beX3
1,9,102,711beX4
1,9,99,711beX5
1,5,101,711c4X3
1,5,111,711f1X5
1,6,106,711f1X6
1,5,104,7120bX7
1,5,122,71486X6
1,5,104,728ccX1
1,5,112,8e953X8
1,6,116,92badX10
1,5,100,94014X4
1,6,86,711c5X0
1,5,99,711c5X2
1,8,99,711c5X3
1,6,97,711c5X4
1,6,98,711c5X5
1,5,91,711c5X7
1,5,102,711c6X1
1,7,110,711c6X4
1,6,92,711c6X5
1,6,108,711c6X7
1,7,112,711c6X8
1,6,96,711c6X9
1,8,97,711c6Xa
1,6,108,711caX4
1,5,87,711caX5
1,5,92,711caX9
1,5,92,711ceX1
1,5,101,711ceX8
1,5,95,711ceX9
1,6,98,711ceXb
1,7,113,711deX4
1,5,115,711deX5
1,5,104,711deX7
1,6,100,711e5X5
1,6,95,71649X2
1,6,96,71d2eX1
1,5,102,72257X4
1,5,113,722fbX6
1,5,110,722fbX7
1,5,108,732d0X2
1,5,97,7438eX3
1,5,82,75630X7
1,5,111,78420X5
1,6,107,7a751X2
1,5,99,83841X4
1,5,88,84e15X0
1,7,97,90c68X7
1,5,94,ab17bX6
1,5,97,712a7Xc
1,5,100,75528Xb
1,6,93,711bfX4
1,5,86,711bfX5
1,7,111,711bfX6
1,6,84,711c1X0
1,8,100,711c1X1
1,8,93,711c1X5
1,6,109,711c1X6
1,6,96,711c1X7
1,5,99,7136aX3
1,5,110,7136aX5
1,6,102,7136aX7
1,8,105,71602X1
1,5,111,71602X4
1,6,110,71602X8
1,6,103,71675X3
1,6,107,71675X6
1,5,105,71675X8
1,6,109,71675Xb
1,6,115,71675Xc
1,5,90,7172dX6
1,6,111,717a7X0
1,5,104,717a7X1
1,5,108,717a7X4
1,5,107,717a7X6
1,5,111,71b76X6
1,5,113,720e9X1
1,6,108,721ffX2
1,6,121,7395dX4
1,7,116,74163X6
1,6,115,74163X7
1,5,94,76b0bX7
1,5,102,78cffX5
1,6,107,79e08X7
1,5,108,7b238X0
1,5,106,7b238X3
1,5,100,7b8f8X1
1,7,89,7c062X0
1,6,92,7d14cX6
1,6,108,7f61fX9
1,5,108,7fe03X0
1,6,116,83459X4
1,5,106,8b66aX1
1,5,105,91d06X3
1,5,97,b2abcX2
1,8,93,711b7X0
1,8,114,711b7X1
1,10,105,711b7X2
1,10,100,711b7X3
1,8,102,711b7X4
1,5,122,711b7X5
1,10,99,711b7X6
1,12,99,711b7X7
1,6,91,711b7X8
1,5,75,711b7X9
1,13,103,711b7Xa
1,6,113,711fbX4
1,6,99,71221X2
1,7,99,7129bX5
1,6,103,71303X7
1,5,108,71980X3
1,5,106,74315X8
1,5,90,711e7X0
1,6,102,711e7X1
1,8,92,711e7X2
1,6,101,711e7X3
1,5,100,711e7X4
1,11,118,711e7X5
1,10,101,711e7X7
1,5,100,711e7X8
1,6,98,711e7X9
1,9,102,711e7Xa
1,10,100,711e7Xb
1,7,103,711e7Xc
1,6,91,71205X1
1,8,95,71205X2
1,5,87,71205X3
1,5,105,7122bX0
1,5,104,7122bX2
1,12,115,7122bX3
1,9,84,7122bX4
1,6,96,7122bX5
1,6,93,7122bX6
1,6,105,7122bX7
1,8,112,7122bXa
1,6,112,7122bXb
1,8,107,7122bXc
1,7,102,7122bXd
1,6,113,71238X1
1,7,81,71238X2
1,15,109,71238X3
1,9,104,71238X4
1,5,108,71238X6
1,6,114,71238X8
1,8,104,71238Xa
1,8,79,71238Xb
1,8,98,71238Xc
1,6,110,71238Xd
1,9,113,71238Xe
1,6,99,7126dX1
1,6,113,7126dX2
1,6,109,7126dX8
1,5,122,7126dXc
1,5,105,712c5X0
1,6,114,7191cX5
1,5,114,71a2dX0
1,5,121,72106X1
1,6,98,723e5X4
1,5,106,723e5X5
1,5,92,72532X2
1,6,113,73706X8
1,5,89,74014X2
1,5,84,74600X0
1,7,114,74600X2
1,5,107,777e1X4
1,5,87,71267X0
1,6,107,71267X4
1,7,95,71267X7
1,7,110,7133fX0
1,5,99,7133fX1
1,6,102,7133fX4
1,6,113,7133fX8
1,5,107,7133fXc
1,6,102,71400X1
1,5,90,71400X5
1,8,101,71400X7
1,7,106,71400X9
1,7,110,71423X0
1,7,106,71423X4
1,7,107,71423X5
1,7,91,71423X6
1,6,111,71423X7
1,8,115,71423X8
1,7,106,71719X1
1,5,96,71719X5
1,5,107,71719X6
1,8,107,71c3cX1
1,6,105,71c3cX3
1,5,99,71c3cX6
1,7,107,71c3cX7
1,6,95,71c3cX8
1,7,115,71c3cX9
1,13,96,725f5X1
1,7,102,725f5X4
1,5,110,725f5X7
1,7,109,725f5X9
1,5,91,725f5Xb
1,10,111,72fc0X0
1,6,102,72fc0X2
1,6,93,72fc0X3
1,10,106,72fc0X5
1,7,103,72fc0X6
1,7,116,72fc0X7
1,5,96,731e8X2
1,7,100,731e8X3
1,8,109,731e8X5
1,6,112,731e8X9
1,7,110,73813X1
1,5,123,73813X3
1,5,106,73813X5
1,6,94,73813X7
1,5,93,73813X8
1,8,107,73813X9
1,8,102,73813Xa
1,5,114,73813Xb
1,7,108,73813Xd
1,8,95,73813Xe
1,7,118,74912X0
1,5,97,74912X1
1,5,111,75258X0
1,7,95,75258X2
1,6,89,75258X7
1,6,103,75258Xb
1,5,105,75258Xd
1,5,121,756e1X2
1,9,97,756e1X6
1,6,99,756e1X8
1,5,116,75a0cX3
1,6,108,75a0cX4
1,6,117,75a0cX6
1,5,90,766d4X0
1,5,107,766d4X2
1,6,89,76c2dX3
1,5,91,76c2dX4
1,9,89,76c2dX5
1,6,98,76c2dX7
1,6,106,76c2dX9
1,8,102,76c2dXb
1,6,97,76c2dXe
1,5,106,79171X3
1,5,93,79b69X5
1,5,115,7f466X4
1,5,117,a5db6X4
1,5,113,8a824X7
1,20,102,711adX0
1,15,96,711adX1
1,21,99,711adX2
1,21,104,711adX3
1,17,109,711adX4
1,17,99,711adX5
1,21,84,711adX6
1,15,108,711adX7
1,14,105,711b8X0
1,11,111,711b8X1
1,5,88,711d6X2
1,6,84,711d6X4
1,5,108,7134bX4
1,5,99,7134bX7
1,5,109,713ecX4
1,5,86,711d7X1
1,6,107,711d7X2
1,12,113,711d7X3
1,5,98,711d7X4
1,7,93,711d7X5
1,8,101,711d7X6
1,5,94,711ebX1
1,10,100,711ebX2
1,9,118,711ebX3
1,7,99,711ebX4
1,8,109,711ebX5
1,6,92,711ebX6
1,10,101,711ebX7
1,15,110,711ebX8
1,12,90,711f8X0
1,9,117,711f8X1
1,5,104,711f8X2
1,7,104,711f8X3
1,6,107,711f8X5
1,6,102,7121dX0
1,6,93,7121dX1
1,5,107,7121dX2
1,8,109,7121dX3
1,13,92,7121dX4
1,8,110,7121dX6
1,9,82,7121dX7
1,6,71,7121dX8
1,6,110,7121dXc
1,7,96,7121dXe
1,5,104,7121dXf
1,12,80,7121dX10
1,6,83,71236X0
1,13,123,71236X2
1,9,106,71236X3
1,8,98,71236X4
1,8,102,71236X5
1,8,99,71236X7
1,10,99,71236X8
1,6,79,71236X9
1,7,99,71236Xa
1,6,106,71236Xb
1,7,103,71236Xc
1,6,108,71236Xd
1,5,101,71236Xe
1,12,98,71236Xf
1,8,95,71236X11
1,5,102,712a8X1
1,5,110,712a8X8
1,5,108,712ddX0
1,10,109,712ddX3
1,6,95,712ddX8
1,5,101,712ddXf
1,5,96,715f6X2
1,5,109,715f6X6
1,5,112,7180dX2
1,5,110,7180dX3
1,5,100,71874X3
1,7,109,71874X4
1,5,94,71874X7
1,6,115,71874Xa
1,5,100,71874Xc
1,5,105,71874Xe
1,5,115,71a41X1
1,5,121,71a41X4
1,6,107,71a41X9
1,5,114,71c8dX3
1,6,102,71c92X3
1,6,92,71c92X5
1,5,105,71d96X3
1,5,93,732a4X7
1,6,110,7432fX0
1,5,96,7432fX6
1,7,110,772e1X5
1,6,94,712a9X0
1,5,104,712a9X1
1,6,87,712a9X3
1,6,109,712a9X9
1,9,92,712d5X2
1,6,107,712d5X3
