clone,alt,depth,id
1,39,108,466308bX0
1,32,106,466308bX1
1,33,113,466308bX2
1,28,101,466308bX3
1,30,107,466308bX4
1,29,77,466308bX5
1,38,111,466308bX6
1,34,96,466308bX7
1,26,98,466308bX8
1,26,85,466308bX9
1,28,102,466308bXa
1,29,100,466308bXb
1,11,115,466308dX0
1,5,102,466308dX1
1,11,102,466308dX2
1,11,96,466308dX3
1,5,95,466308dX4
1,15,112,466308dX5
1,13,119,466308dX6
1,12,101,466308dX7
1,11,104,466308dX8
1,8,89,466308dX9
1,5,102,46630aeX5
1,5,107,46630aeX9
1,7,105,46630aeXb
1,6,111,46630aeXc
1,7,113,466311cX2
1,5,98,466330dXb
1,6,110,46635a5X5
1,5,113,46635e5X2
1,6,111,46638b2X0
1,6,84,4663094X0
1,8,107,4663094X1
1,6,93,4663094X3
1,8,100,4663094X5
1,7,96,4663094X6
1,11,115,4663094X7
1,8,113,4663094X8
1,5,113,4663094X9
1,9,114,4663094Xa
1,7,97,4663094Xb
1,6,92,4663094Xc
1,5,92,4663094Xd
1,13,108,4663099X0
1,8,84,4663099X1
1,12,101,4663099X3
1,5,102,4663099X4
1,6,95,4663099X5
1,12,107,4663099X6
1,10,111,4663099X7
1,9,115,46630c2X0
1,6,88,46630c2X1
1,6,99,46630c2X3
1,7,101,46630c2X4
1,7,88,46630c2X5
1,5,100,46630c2X6
1,7,100,46630c2X7
1,7,102,46630c2X8
1,7,113,46630daX0
1,5,104,46630daX2
1,10,104,46630daX4
1,12,100,46630daX5
1,9,92,46630daX6
1,5,78,46630dcX0
1,8,79,46630dcX1
1,9,106,46630dcX2
1,9,109,46630dcX4
1,14,103,46630dcX5
1,7,111,46630efX1
1,5,95,46630efX3
1,5,105,46630efX4
1,7,91,46630efX7
1,6,105,46630efX8
1,8,94,46630efX9
1,5,97,46630efXb
1,5,84,466317eX1
1,5,111,466317eX6
1,5,86,4663199X5
1,7,119,4663199X7
1,6,84,4663199X8
1,5,120,4663301X4
1,7,95,4663301X5
1,8,124,4663301X9
1,6,116,46633b9X1
1,5,105,46633b9X2
1,6,107,46636e1X4
1,6,102,46637b0X2
1,6,111,4663913X2
1,5,93,466408eX0
1,5,94,4664166X5
1,6,95,46641c3X8
1,5,122,46641c3X9
1,5,110,46641c3Xa
1,7,114,46641c3Xb
1,5,126,4665aadX3
1,5,91,46630f0X0
1,6,116,46630f0X3
1,5,92,46630f0X4
1,5,106,46630f0X5
1,8,109,466317cX0
1,5,124,46632f7X0
1,5,101,46632f7X7
1,5,109,46632f7X8
1,5,100,46634e3X8
1,5,94,46634e3X9
1,5,92,46636e4X2
1,6,113,46636e4X3
1,6,105,46636e4X6
1,5,98,46637bcX2
1,6,94,46637bcX5
1,5,101,4663ba8X1
1,7,102,4664286X1
1,6,103,4664286X3
1,5,115,4664286X4
1,5,97,466485fX1
1,5,85,466485fX6
1,6,102,4664dceX1
1,5,97,4664dceX6
1,19,88,466308eX0
1,17,96,466308eX1
1,17,94,466308eX2
1,14,86,466308eX3
1,24,100,466308eX4
1,17,98,466308eX5
1,25,127,466308eX6
1,18,89,466308eX7
1,25,102,466308eX8
1,14,75,466308eX9
1,22,109,466308eXa
1,22,94,466308eXb
1,28,123,466308eXc
1,13,94,4663092X0
1,16,90,4663092X1
1,25,106,4663092X2
1,21,113,4663092X3
1,22,110,4663092X4
1,21,114,4663092X5
1,15,96,4663092X6
