clone,alt,depth,id
0,51,100,1X0
0,55,100,1X1
0,43,100,1X2
0,52,100,1X3
0,43,100,1X4
0,40,100,1X5
0,47,100,1X6
0,38,100,1X7
0,43,100,1X8
0,39,100,3X0
0,41,100,3X1
0,40,100,3X2
0,48,100,3X3
0,39,100,3X4
0,41,100,3X5
0,43,100,3X6
0,30,100,3X7
0,41,100,3X8
0,41,100,3X9
0,37,100,3Xa
0,41,100,3Xb
0,43,100,7X0
0,33,100,7X1
0,38,100,7X2
0,32,100,7X3
0,43,100,7X4
0,38,100,7X5
0,43,100,7X6
0,38,100,7X7
0,28,100,eX0
0,32,100,eX1
0,33,100,eX2
0,40,100,eX3
0,34,100,eX4
0,29,100,eX5
0,22,100,eX6
0,36,100,eX7
0,32,100,11X0
0,44,100,11X1
0,26,100,11X2
0,33,100,11X3
0,25,100,11X4
0,29,100,11X5
0,36,100,11X6
0,33,100,11X7
0,30,100,11X8
0,36,100,11X9
0,39,100,11Xa
0,32,100,17X0
0,25,100,17X1
0,32,100,17X2
0,35,100,17X3
0,35,100,17X4
0,35,100,17X5
0,32,100,17X6
0,35,100,17X7
0,31,100,17X8
0,33,100,17X9
0,32,100,17Xa
0,25,100,17Xb
0,33,100,17Xc
0,35,100,20X0
0,30,100,20X1
0,30,100,20X2
0,38,100,20X3
0,28,100,20X4
0,31,100,20X5
0,35,100,20X6
0,32,100,20X7
0,31,100,20X8
0,32,100,20X9
0,36,100,20Xa
0,33,100,20Xb
0,37,100,22X0
0,32,100,22X1
0,28,100,22X2
0,26,100,22X3
0,28,100,22X4
0,31,100,22X5
0,43,100,22X6
0,29,100,24X0
0,24,100,24X1
0,34,100,24X2
0,31,100,24X3
0,33,100,24X4
0,34,100,24X5
1,5,100,27X5
1,5,100,27Xa
0,26,100,28X0
0,23,100,28X1
0,31,100,28X2
0,31,100,28X3
0,30,100,28X4
0,28,100,28X5
0,24,100,28X6
0,24,100,28X7
0,33,100,28X8
0,28,100,28X9
0,26,100,28Xa
0,29,100,28Xb
0,31,100,30X0
0,26,100,30X1
0,30,100,30X2
0,26,100,30X3
0,28,100,30X4
0,19,100,30X5
0,22,100,30X6
0,32,100,30X7
0,24,100,30X8
0,34,100,30X9
0,23,100,30Xa
0,32,100,30Xb
0,28,100,30Xc
0,29,100,30Xd
0,32,100,30Xe
0,32,100,88X0
0,26,100,88X1
0,27,100,88X2
0,23,100,88X3
0,27,100,88X4
0,27,100,88X5
0,28,100,88X6
0,27,100,88X7
0,26,100,e1X0
0,21,100,e1X1
0,30,100,e1X2
0,28,100,e1X3
0,16,100,e1X4
0,30,100,e1X5
0,30,100,e1X6
0,27,100,e1X7
0,30,100,e1X8
0,25,100,e1X9
0,26,100,feX0
0,27,100,feX1
0,26,100,feX2
0,30,100,feX3
0,28,100,feX4
0,32,100,feX5
0,25,100,feX6
0,34,100,feX7
0,32,100,feX8
0,33,100,feX9
0,30,100,feXa
0,26,100,feXb
0,27,100,feXc
0,31,100,feXd
2,28,100,159X0
2,33,100,159X1
2,33,100,159X2
2,25,100,159X3
2,35,100,159X4
2,26,100,159X5
2,35,100,159X6
2,23,100,159X7
2,26,100,159X8
2,25,100,159X9
2,24,100,1edX0
2,17,100,1edX1
2,20,100,1edX2
2,29,100,1edX3
2,21,100,1edX4
2,23,100,1edX5
2,31,100,1edX6
2,27,100,1edX7
2,27,100,1edX8
2,16,100,1edX9
2,29,100,1edXa
2,28,100,1edXb
2,14,100,1edXc
2,26,100,1edXd
2,21,100,2a2X0
2,23,100,2a2X1
2,26,100,2a2X2
2,32,100,2a2X3
2,31,100,2a2X4
