clone,alt,depth,id
0,49,100,2X0
0,52,100,2X1
0,56,100,2X2
0,54,100,2X3
0,46,100,2X4
0,40,100,2X5
0,50,100,4X0
0,55,100,4X1
0,54,100,4X2
0,57,100,4X3
0,53,100,4X4
0,51,100,4X5
0,48,100,4X6
0,57,100,4X7
0,47,100,4X8
0,57,100,8X0
0,54,100,8X1
0,55,100,8X2
0,58,100,8X3
0,52,100,8X4
0,45,100,8X5
0,48,100,9X0
0,47,100,9X1
0,45,100,9X2
0,48,100,9X3
0,49,100,9X4
0,43,100,9X5
0,51,100,9X6
0,48,100,bX0
0,47,100,bX1
0,50,100,bX2
0,47,100,bX3
0,52,100,bX4
0,48,100,bX5
0,44,100,bX6
0,43,100,bX7
0,48,100,bX8
0,38,100,17X0
0,49,100,17X1
0,41,100,17X2
0,42,100,17X3
0,54,100,17X4
0,44,100,17X5
0,54,100,17X6
0,56,100,17X7
0,43,100,17X8
0,43,100,17X9
0,55,100,17Xa
0,39,100,1aX0
0,46,100,1aX1
0,49,100,1aX2
0,48,100,1aX3
0,51,100,1aX4
0,43,100,1aX5
0,49,100,1aX6
0,51,100,1aX7
0,50,100,1aX8
1,5,100,38X7
1,6,100,39Xe
0,41,100,1eX0
0,39,100,1eX1
0,51,100,1eX2
0,37,100,1eX3
0,44,100,1eX4
0,40,100,1eX5
0,49,100,1eX6
0,40,100,1eX7
0,46,100,1eX8
0,39,100,20X0
0,41,100,20X1
0,50,100,20X2
0,44,100,20X3
0,47,100,20X4
0,52,100,20X5
0,53,100,20X6
0,62,100,20X7
0,49,100,20X8
0,43,100,20X9
0,39,100,20Xa
0,49,100,20Xb
0,49,100,20Xc
0,53,100,20Xd
0,43,100,21X0
0,41,100,21X1
0,44,100,21X2
0,37,100,21X3
0,43,100,21X4
0,53,100,21X5
0,47,100,21X6
0,54,100,21X7
0,44,100,21X8
0,57,100,21X9
0,45,100,21Xa
0,46,100,21Xb
1,10,100,2bX0
1,5,100,2bX1
1,5,100,2bX3
1,9,100,2bX4
1,6,100,2bX5
1,5,100,2bX6
1,5,100,2bX8
1,5,100,2dX0
1,7,100,2dX1
1,5,100,2dX3
1,6,100,2dX9
1,6,100,2dXb
1,6,100,2dXf
1,10,100,3fX1
1,7,100,3fX2
1,7,100,3fX3
1,11,100,3fX7
1,5,100,53X1
1,7,100,55X0
1,5,100,57X1
1,7,100,57X8
1,5,100,94X7
1,5,100,deX2
1,5,100,149X2
1,5,100,54Xb
0,37,100,2cX0
0,35,100,2cX1
0,41,100,2cX2
0,45,100,2cX3
0,45,100,2cX4
0,56,100,2cX5
0,33,100,46X0
0,38,100,46X1
0,44,100,46X2
0,40,100,46X3
0,40,100,46X4
0,40,100,46X5
0,42,100,46X6
0,37,100,46X7
0,40,100,46X8
0,39,100,46X9
0,42,100,46Xa
0,39,100,46Xb
0,38,100,46Xc
0,45,100,46Xd
0,44,100,46Xe
0,37,100,5bX0
0,45,100,5bX1
0,44,100,5bX2
0,50,100,5bX3
0,40,100,5bX4
0,48,100,5bX5
0,34,100,79X0
0,38,100,79X1
0,34,100,79X2
0,33,100,79X3
0,45,100,79X4
0,41,100,79X5
0,40,100,79X6
0,38,100,79X7
0,37,100,79X8
0,41,100,7cX0
0,34,100,7cX1
0,44,100,7cX2
0,27,100,7cX3
0,39,100,7cX4
0,34,100,7cX5
0,42,100,7cX6
0,41,100,7cX7
0,31,100,7cX8
0,38,100,7cX9
0,39,100,7cXa
0,36,100,7cXb
0,42,100,7cXc
0,33,100,7cXd
0,34,100,7dX0
0,38,100,7dX1
0,39,100,7dX2
0,39,100,7dX3
0,41,100,7dX4
0,39,100,7dX5
0,36,100,7dX6
0,41,100,7dX7
0,38,100,7dX8
0,37,100,7dX9
0,45,100,7dXa
0,41,100,7dXb
0,45,100,a8X0
0,48,100,a8X1
0,41,100,a8X2
0,33,100,a8X3
0,37,100,a8X4
0,49,100,a8X5
0,33,100,a8X6
0,37,100,a8X7
0,47,100,a8X8
0,29,100,a8X9
0,39,100,a8Xa
0,41,100,a8Xb
0,35,100,cbX0
0,38,100,cbX1
0,46,100,cbX2
0,37,100,cbX3
0,40,100,cbX4
0,37,100,cbX5
0,45,100,cbX6
0,44,100,cbX7
0,43,100,cbX8
0,34,100,cbX9
0,39,100,cbXa
0,45,100,101X0
0,36,100,101X1
0,43,100,101X2
0,37,100,101X3
0,28,100,101X4
0,30,100,101X5
0,32,100,101X6
0,42,100,101X7
0,40,100,101X8
0,38,100,116X0
0,42,100,116X1
0,42,100,116X2
0,51,100,116X3
0,40,100,116X4
0,40,100,116X5
0,38,100,116X6
0,40,100,170X0
0,34,100,170X1
0,39,100,170X2
0,35,100,170X3
0,39,100,170X4
0,31,100,170X5
0,46,100,170X6
0,39,100,170X7
0,42,100,170X8
0,40,100,170X9
0,40,100,170Xa
0,41,100,170Xb
0,37,100,170Xc
0,39,100,170Xd
0,38,100,170Xe
0,29,100,170Xf
0,42,100,170X10
0,40,100,224X0
0,37,100,224X1
0,40,100,224X2
0,43,100,224X3
0,42,100,224X4
0,38,100,224X5
0,34,100,224X6
0,33,100,224X7
0,39,100,224X8
0,48,100,224X9
0,41,100,224Xa
0,33,100,224Xb
0,38,100,22cX0
0,39,100,22cX1
0,33,100,22cX2
0,37,100,22cX3
0,33,100,22cX4
0,43,100,22cX5
0,41,100,22cX6
0,41,100,22cX7
0,38,100,241X0
0,46,100,241X1
0,35,100,241X2
0,40,100,241X3
0,37,100,241X4
0,43,100,241X5
0,33,100,241X6
0,43,100,241X7
0,42,100,241X8
0,40,100,241X9
0,28,100,241Xa
0,38,100,241Xb
0,36,100,241Xc
0,35,100,241Xd
0,35,100,267X0
0,37,100,267X1
0,38,100,267X2
0,31,100,267X3
0,40,100,267X4
0,44,100,267X5
0,35,100,267X6
0,37,100,267X7
0,27,100,267X8
0,40,100,498X0
0,39,100,498X1
0,43,100,498X2
0,35,100,498X3
0,37,100,498X4
0,35,100,498X5
0,33,100,498X6
0,46,100,498X7
0,41,100,498X8
0,45,100,498X9
0,38,100,604X0
0,43,100,604X1
0,33,100,604X2
0,35,100,604X3
0,41,100,604X4
0,34,100,604X5
0,41,100,604X6
